"Species","EEZ","p2","p4","Average","Max"
"Paracentrotus lividus","Albanian Exclusive Economic Zone",0,0,0.110863304576765,0.552911974139641
"Paracentrotus lividus","Algerian Exclusive Economic Zone",0,0,0.00220049066405488,0.0244749175843198
"Paracentrotus lividus","Belgian Exclusive Economic Zone",0,0,0.147525928095976,0.529815384075306
"Paracentrotus lividus","Croatian Exclusive Economic Zone",0,0,0.0720420757679893,0.787300409411724
"Paracentrotus lividus","Cypriote Exclusive Economic Zone",0,0,0.0762899198253984,0.208278762614672
"Paracentrotus lividus","Danish Exclusive Economic Zone",0,0,0.024207973840184,0.181527912724087
"Paracentrotus lividus","Dutch Exclusive Economic Zone",0,0,0.0498363319391757,0.731140663262095
"Paracentrotus lividus","Egyptian Exclusive Economic Zone",0,0,0.134800115078024,0.425113544096279
"Paracentrotus lividus","Faeroe Exclusive Economic Zone",0.0229885057471264,0,0.095555667976024,3.20714190224773
"Paracentrotus lividus","French Exclusive Economic Zone",0,0,0.0306586317778006,1.26214032338766
"Paracentrotus lividus","German Exclusive Economic Zone",0,0,0.0427212653138374,0.731140663262095
"Paracentrotus lividus","Greek Exclusive Economic Zone",0,0,0.0872359700612891,1.55572363444264
"Paracentrotus lividus","Greenlandic Exclusive Economic Zone",0.015748031496063,0,0.157656322150355,3.20714190224773
"Paracentrotus lividus","Guernsey Exclusive Economic Zone",0,0,0.0280382279214025,0.0887684062054422
"Paracentrotus lividus","Icelandic Exclusive Economic Zone",0.0114942528735632,0,0.117831351395101,3.20714190224773
"Paracentrotus lividus","Irish Exclusive Economic Zone",0,0,0.0168306825938856,0.232934136620821
"Paracentrotus lividus","Israeli Exclusive Economic Zone",0,0,0.0429972188444283,0.0785978269841644
"Paracentrotus lividus","Italian Exclusive Economic Zone",0,0,0.0418823129461829,1.40352345744202
"Paracentrotus lividus","Jersey Exclusive Economic Zone",0,0,0.0769854031859098,0.0974842260705056
"Paracentrotus lividus","Joint regime area Croatia / Slovenia",0,0,0.609232426965489,0.609232426965489
"Paracentrotus lividus","Joint regime area Italy / France",0,0,1.45182041862122e-05,1.45182041862122e-05
"Paracentrotus lividus","Joint regime area United Kingdom / Denmark (Faeroe Islands)",0,0,0.00908514139457612,0.00908514139457612
"Paracentrotus lividus","Lebanese Exclusive Economic Zone",0,0,0.147461663115545,0.213391639112608
"Paracentrotus lividus","Libyan Exclusive Economic Zone",0,0,0.0410045642198899,0.467903660147828
"Paracentrotus lividus","Maltese Exclusive Economic Zone",0,0,0.00190990929472809,0.0083847492761539
"Paracentrotus lividus","Monégasque Exclusive Economic Zone",0,0,0.00709343529094365,0.00942644011469733
"Paracentrotus lividus","Montenegrin Exclusive economic Zone",0,0,0.0560924457028228,0.501801696071723
"Paracentrotus lividus","Moroccan Exclusive Economic Zone",0,0,0.0202386173690886,0.313108067157295
"Paracentrotus lividus","Norwegian Exclusive Economic Zone",0,0,0.041336614998167,1.13463243931124
"Paracentrotus lividus","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.000991346347174561,0.000991346347174561
"Paracentrotus lividus","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.00803645243382712,0.0120923488651906
"Paracentrotus lividus","Overlapping claim Melilla: Spain / Morocco",0,0,6.95904258395635e-05,6.95904258395635e-05
"Paracentrotus lividus","Overlapping claim Western Saharan Exclusive Economic Zone",0,0,0.0395341916079862,0.133765644015503
"Paracentrotus lividus","Portuguese Exclusive Economic Zone",0,0,0.0707547305315822,0.343408927302439
"Paracentrotus lividus","Portuguese Exclusive Economic Zone (Azores)",0,0,0.0135537558789614,0.106258333904188
"Paracentrotus lividus","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.00350885602926121,0.00997562818248064
"Paracentrotus lividus","Russian Exclusive economic Zone",0,0,0.0410054518029265,0.999665630156491
"Paracentrotus lividus","Slovenian Exclusive Economic Zone",0,0,0.123491348058764,0.123491348058764
"Paracentrotus lividus","Spanish Exclusive Economic Zone",0,0,0.0297608935159293,1.26214032338766
"Paracentrotus lividus","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.0251055044274656,0.399876400343228
"Paracentrotus lividus","Swedish Exclusive Economic Zone",0,0,0.0530582578793013,0.18158331711467
"Paracentrotus lividus","Syrian Exclusive Economic Zone",0,0,0.805855584177912,0.956204971903287
"Paracentrotus lividus","Tunisian Exclusive Economic Zone",0,0,0.0383941718258397,0.798211406035763
"Paracentrotus lividus","Turkish Exclusive Economic Zone",0,0,0.21072979617621,1.55572363444264
"Paracentrotus lividus","United Kingdom Exclusive Economic Zone",0,0,0.0244997794319077,0.529815384075306
