"Species","EEZ","p2","p4","Average","Max"
"Paralichthys olivaceus","Chinese Exclusive Economic Zone",0,0,0.0437955989484931,1.66754006365105
"Paralichthys olivaceus","Indonesian Exclusive Economic Zone",0,0,0.00356745832885984,0.00643923936984569
"Paralichthys olivaceus","Japanese Exclusive Economic Zone",0.00370959194488606,0.000529941706412295,0.0794860520570928,5.70431783193874
"Paralichthys olivaceus","Joint regime area Japan / Korea",0,0,0.00585248961075108,0.0518973804882999
"Paralichthys olivaceus","Malaysian Exclusive Economic Zone",0,0,0.00709760245168026,0.160540916422578
"Paralichthys olivaceus","North Korean Exclusive Economic Zone",0.0103092783505155,0,0.293627408632578,3.72101521696433
"Paralichthys olivaceus","Overlapping claim Kuril Islands: Japan / Russia",0.571428571428571,0.142857142857143,2.39631806573967,5.70431783193874
"Paralichthys olivaceus","Overlapping claim Liancourt Rocks: Japan / South Korea",0,0,0.0149156970453025,0.0177553541562987
"Paralichthys olivaceus","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.00628786503554435,0.0434773823271688
"Paralichthys olivaceus","Overlapping claim South China Sea",0,0,0.00598155103320068,0.0272436122254903
"Paralichthys olivaceus","Philippines Exclusive Economic Zone",0,0,0.0286392677927536,1.41728755898579
"Paralichthys olivaceus","Russian Exclusive economic Zone",0.048,0.008,0.313118285316757,5.70431783193874
"Paralichthys olivaceus","South Korean Exclusive Economic Zone",0.00125470514429109,0,0.0982377945974974,3.72101521696433
"Paralichthys olivaceus","Taiwanese Exclusive Economic Zone",0,0,0.0241240909455224,1.0980296488501
"Paralichthys olivaceus","Vietnamese Exclusive Economic Zone",0,0,0.0308607274919568,0.742320475830468
