"Species","EEZ","p2","p4","Average","Max"
"Penaeus monodon","Australian Exclusive Economic Zone",0,0,0.00451147634085998,0.116589798013006
"Penaeus monodon","Bangladeshi Exclusive Economic Zone",0.0434782608695652,0,0.167130291533364,2.46396031366808
"Penaeus monodon","Bruneian Exclusive Economic Zone",0,0,0.00042695361890272,0.00990361985390949
"Penaeus monodon","Cambodian Exclusive Economic Zone",0,0,0.00137722474416824,0.0138722694943115
"Penaeus monodon","Chagos Archipelago Exclusive Economic Zone",0,0,8.48918694335307e-05,0.000410496715154099
"Penaeus monodon","Chinese Exclusive Economic Zone",0,0,0.0207510517693006,1.58778113417798
"Penaeus monodon","Christmas Island Exclusive Economic Zone",0,0,8.07402573686721e-05,0.000203441493830788
"Penaeus monodon","Cocos Islands Exclusive Economic Zone",0,0,0.0044214646066028,0.00783219280809297
"Penaeus monodon","East Timorian Exclusive Economic Zone",0,0,0.00320910275112157,0.0149840193247451
"Penaeus monodon","Indian Exclusive Economic Zone",0,0,0.0176558677694904,0.611050834740364
"Penaeus monodon","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.00417689405793102,0.12564311526111
"Penaeus monodon","Indonesian Exclusive Economic Zone",0,0,0.00383756195717447,0.562085764717689
"Penaeus monodon","Japanese Exclusive Economic Zone",0.00303030303030303,0,0.026732411676887,3.76401496515301
"Penaeus monodon","Joint regime area Australia / Papua New Guinea",0,0,0.000390199376846831,0.0011020533591243
"Penaeus monodon","Joint regime area Japan / Korea",0,0,0.0102510248499418,0.0519002382419435
"Penaeus monodon","Malaysian Exclusive Economic Zone",0,0,0.00233389170401255,0.368228537726875
"Penaeus monodon","Maldives Exclusive Economic Zone",0,0,0.000642350991273387,0.00329782131532734
"Penaeus monodon","Mauritian Exclusive Economic Zone",0,0,0.000272767463695679,0.00239635719014802
"Penaeus monodon","Micronesian Exclusive Economic Zone",0,0,0.00905141081196849,0.0818486273505721
"Penaeus monodon","Myanmar Exclusive Economic Zone",0,0,0.0137463501581721,0.613294125483146
"Penaeus monodon","Northern Mariana Exclusive Economic Zone",0,0,0.000311090345501651,0.000702614592971577
"Penaeus monodon","Oecussi Ambeno Exclusive Economic Zone",0,0,4.78061893964806e-05,7.73233315475592e-05
"Penaeus monodon","Omani Exclusive Economic Zone",0,0,0.176688238436808,0.677565949323437
"Penaeus monodon","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.00424541922283747,0.0434791454787148
"Penaeus monodon","Overlapping claim South China Sea",0,0,0.000572336285768169,0.00564194126697495
"Penaeus monodon","Pakistani Exclusive Economic Zone",0,0,0.000495397027426003,0.00137646655138511
"Penaeus monodon","Palau Exclusive Economic Zone",0,0,0.00214475399131934,0.00903762034586975
"Penaeus monodon","Papua New Guinean Exclusive Economic Zone",0,0,0.000477280401902067,0.102136986368381
"Penaeus monodon","Philippines Exclusive Economic Zone",0,0,0.00492341535734469,1.41727871862402
"Penaeus monodon","Réunion Exclusive Economic Zone",0,0,0.000210622152184366,0.00110388534541518
"Penaeus monodon","Seychellois Exclusive Economic Zone",0,0,1.97176131897796e-05,0.000195476865444558
"Penaeus monodon","South Korean Exclusive Economic Zone",0.0350877192982456,0,0.192091757389744,3.76401496515301
"Penaeus monodon","Sri Lankan Exclusive Economic Zone",0,0,0.0373814562426853,0.611050834740364
"Penaeus monodon","Taiwanese Exclusive Economic Zone",0,0,0.0171237710500243,1.09803535799254
"Penaeus monodon","Thailand Exclusive Economic Zone",0,0,0.00398980472723715,0.266820634566271
"Penaeus monodon","Vietnamese Exclusive Economic Zone",0,0,0.00653312045638223,0.742313475125087
