"x","y","sigmaNovelty","cell","EEZ"
-10.375,53.875,0.0591839675089386,808,"Irish Exclusive Economic Zone"
-10.125,53.875,0.0651146146540263,808,"Irish Exclusive Economic Zone"
-10.625,53.625,0.0890022690420686,808,"Irish Exclusive Economic Zone"
-10.375,53.625,0.055546207971456,808,"Irish Exclusive Economic Zone"
-10.125,53.625,0.017525708461911,836,"Irish Exclusive Economic Zone"
-9.875,53.625,0.103516029547848,836,"Irish Exclusive Economic Zone"
-10.625,53.375,0.074374211739312,836,"Irish Exclusive Economic Zone"
-10.375,53.375,0.0388008484897204,836,"Irish Exclusive Economic Zone"
-10.125,53.375,0.00653893956470266,836,"Irish Exclusive Economic Zone"
-9.875,53.375,0.0802700267264597,836,"Irish Exclusive Economic Zone"
-10.375,53.125,0.0586040715454111,836,"Irish Exclusive Economic Zone"
-10.125,53.125,0.0231203459704453,836,"Irish Exclusive Economic Zone"
-9.875,53.125,0.0861324285476033,836,"Irish Exclusive Economic Zone"
-9.625,53.125,0.0668081098183071,836,"Irish Exclusive Economic Zone"
-9.375,53.125,0.100123561689021,836,"Irish Exclusive Economic Zone"
-10.125,52.875,0.0247148026745078,836,"Irish Exclusive Economic Zone"
-9.875,52.875,0.00573138652205848,836,"Irish Exclusive Economic Zone"
-9.625,52.875,0.00559754669546501,836,"Irish Exclusive Economic Zone"
-10.625,52.625,0.0421770879220885,836,"Irish Exclusive Economic Zone"
-10.375,52.625,0.0265655347474219,836,"Irish Exclusive Economic Zone"
-10.125,52.625,0.000742807104675826,836,"Irish Exclusive Economic Zone"
-9.875,52.625,0.00104182414588227,836,"Irish Exclusive Economic Zone"
-10.875,52.375,0.0417757829741716,835,"Irish Exclusive Economic Zone"
-10.625,52.375,0.0357384216847882,836,"Irish Exclusive Economic Zone"
-10.375,52.375,0.0116096830621898,836,"Irish Exclusive Economic Zone"
-10.125,52.375,0.00212817785497602,836,"Irish Exclusive Economic Zone"
-9.875,52.375,0.0226123632279899,836,"Irish Exclusive Economic Zone"
-10.875,52.125,0.0389740873809596,835,"Irish Exclusive Economic Zone"
-10.625,52.125,0.0158581998060885,836,"Irish Exclusive Economic Zone"
-9.875,52.125,0.0454699030880533,836,"Irish Exclusive Economic Zone"
-7.375,52.125,0.00292205018205074,836,"Irish Exclusive Economic Zone"
-7.125,52.125,0.0131963338892534,836,"Irish Exclusive Economic Zone"
-5.125,52.125,0.0468989333357093,837,"United Kingdom Exclusive Economic Zone"
-4.875,52.125,0.00967223356170717,837,"United Kingdom Exclusive Economic Zone"
-10.625,51.875,0.0133497131021169,836,"Irish Exclusive Economic Zone"
-7.875,51.875,0.0569486423634499,836,"Irish Exclusive Economic Zone"
-7.625,51.875,0.0482217898067765,836,"Irish Exclusive Economic Zone"
-7.375,51.875,0.0233780527917911,836,"Irish Exclusive Economic Zone"
-5.375,51.875,0.0207509287879093,837,"United Kingdom Exclusive Economic Zone"
-10.375,51.625,0.00555458418093,863,"Irish Exclusive Economic Zone"
-10.125,51.625,0.0117883887194144,863,"Irish Exclusive Economic Zone"
-8.625,51.625,0.0535377269695441,836,"Irish Exclusive Economic Zone"
-8.375,51.625,0.0110370968057312,836,"Irish Exclusive Economic Zone"
-8.125,51.625,0.00185222878758516,836,"Irish Exclusive Economic Zone"
-7.875,51.625,0.000687375999167962,836,"Irish Exclusive Economic Zone"
-7.625,51.625,0.00228148443875193,836,"Irish Exclusive Economic Zone"
-5.375,51.625,0.0195648714709825,864,"United Kingdom Exclusive Economic Zone"
-5.125,51.625,0.0222518840450661,864,"United Kingdom Exclusive Economic Zone"
-4.875,51.625,0.0276762739977219,864,"United Kingdom Exclusive Economic Zone"
-4.625,51.625,0.0402837419773346,837,"United Kingdom Exclusive Economic Zone"
-4.375,51.625,0.11779272221628,837,"United Kingdom Exclusive Economic Zone"
-10.125,51.375,0.0108295790957585,863,"Irish Exclusive Economic Zone"
-9.875,51.375,0.00475649628726893,863,"Irish Exclusive Economic Zone"
