"x","y","sigmaNovelty","cell","EEZ"
140.875,36.375,0.0459946674838867,3358,"Japanese Exclusive Economic Zone"
140.625,36.125,0.196981608925837,3358,"Japanese Exclusive Economic Zone"
140.875,36.125,0.160888618992369,3358,"Japanese Exclusive Economic Zone"
138.375,34.875,0.00163574193781576,3330,"Japanese Exclusive Economic Zone"
138.625,34.875,0.00201105879394628,3330,"Japanese Exclusive Economic Zone"
140.125,34.875,0.00346452043390947,3358,"Japanese Exclusive Economic Zone"
140.375,34.875,0.00478142447947178,3358,"Japanese Exclusive Economic Zone"
136.625,34.625,0.795685020744924,3303,"Japanese Exclusive Economic Zone"
136.875,34.625,1.22335053846356,3330,"Japanese Exclusive Economic Zone"
137.375,34.625,0.487910714386473,3330,"Japanese Exclusive Economic Zone"
137.625,34.625,0.0072170423361179,3330,"Japanese Exclusive Economic Zone"
137.875,34.625,0.0443934787289042,3330,"Japanese Exclusive Economic Zone"
138.125,34.625,0.067632752910732,3330,"Japanese Exclusive Economic Zone"
138.375,34.625,0.0353519653961574,3330,"Japanese Exclusive Economic Zone"
138.625,34.625,0.0543372239303859,3330,"Japanese Exclusive Economic Zone"
140.125,34.625,0.0161774487754148,3358,"Japanese Exclusive Economic Zone"
140.375,34.625,0.0301161485989396,3358,"Japanese Exclusive Economic Zone"
137.125,34.375,0.00986482636834354,3330,"Japanese Exclusive Economic Zone"
137.375,34.375,0.0242602205401074,3330,"Japanese Exclusive Economic Zone"
137.625,34.375,0.0123012982793728,3330,"Japanese Exclusive Economic Zone"
137.875,34.375,0.0210703002528781,3330,"Japanese Exclusive Economic Zone"
138.125,34.375,0.0210692772033235,3330,"Japanese Exclusive Economic Zone"
138.375,34.375,0.0191633030847741,3330,"Japanese Exclusive Economic Zone"
138.625,34.375,0.0253730968006651,3330,"Japanese Exclusive Economic Zone"
132.875,34.125,0.166511441109054,3275,"Japanese Exclusive Economic Zone"
133.125,34.125,0.439961883223669,3275,"Japanese Exclusive Economic Zone"
133.375,34.125,0.51171804653222,3275,"Japanese Exclusive Economic Zone"
133.625,34.125,0.616031470436251,3275,"Japanese Exclusive Economic Zone"
134.625,34.125,0.393340462447106,3275,"Japanese Exclusive Economic Zone"
134.875,34.125,1.04503012570635,3302,"Japanese Exclusive Economic Zone"
135.125,34.125,0.414075629947353,3302,"Japanese Exclusive Economic Zone"
136.375,34.125,0.0318937312329374,3302,"Japanese Exclusive Economic Zone"
136.625,34.125,0.032063739290793,3302,"Japanese Exclusive Economic Zone"
136.875,34.125,0.0046460582758623,3302,"Japanese Exclusive Economic Zone"
131.125,33.875,0.717908513241085,3247,"Japanese Exclusive Economic Zone"
131.375,33.875,0.728573130458407,3247,"Japanese Exclusive Economic Zone"
132.625,33.875,0.177874249046606,3275,"Japanese Exclusive Economic Zone"
134.875,33.875,0.0175143741958042,3302,"Japanese Exclusive Economic Zone"
135.125,33.875,0.0878122484684204,3302,"Japanese Exclusive Economic Zone"
136.125,33.875,0.0219368856369855,3302,"Japanese Exclusive Economic Zone"
136.375,33.875,0.00988193027455355,3302,"Japanese Exclusive Economic Zone"
136.625,33.875,0.0127004944023863,3302,"Japanese Exclusive Economic Zone"
139.875,33.875,0.00142570592012021,3357,"Japanese Exclusive Economic Zone"
131.125,33.625,0.782636999386876,3247,NA
131.375,33.625,0.929252140647737,3247,"Japanese Exclusive Economic Zone"
134.375,33.625,0.00716003125454846,3302,"Japanese Exclusive Economic Zone"
134.625,33.625,0.0168648956350462,3302,"Japanese Exclusive Economic Zone"
134.875,33.625,0.0150919700338729,3302,"Japanese Exclusive Economic Zone"
135.125,33.625,0.00222013410772148,3302,"Japanese Exclusive Economic Zone"
135.375,33.625,0.00174031062976327,3302,"Japanese Exclusive Economic Zone"
136.125,33.625,0.0245680127289573,3302,"Japanese Exclusive Economic Zone"
136.375,33.625,0.012307742717243,3302,"Japanese Exclusive Economic Zone"
139.375,33.625,0.00130793563182318,3357,"Japanese Exclusive Economic Zone"
139.625,33.625,0.000963422632033946,3357,"Japanese Exclusive Economic Zone"
139.875,33.625,0.00107023512353383,3357,"Japanese Exclusive Economic Zone"
140.125,33.625,0.00246499002848355,3357,"Japanese Exclusive Economic Zone"
133.375,33.375,0.00112881941365625,3275,"Japanese Exclusive Economic Zone"
133.625,33.375,0.0147037964042427,3275,"Japanese Exclusive Economic Zone"
133.875,33.375,0.00012077343992617,3275,"Japanese Exclusive Economic Zone"
134.375,33.375,0.000399782965837241,3302,"Japanese Exclusive Economic Zone"
134.625,33.375,0.00622231228549641,3302,"Japanese Exclusive Economic Zone"
134.875,33.375,0.00045637027815463,3302,"Japanese Exclusive Economic Zone"
135.125,33.375,0.000906546937845667,3302,"Japanese Exclusive Economic Zone"
135.375,33.375,0.00762801913729661,3302,"Japanese Exclusive Economic Zone"
135.625,33.375,0.0011433118061965,3302,"Japanese Exclusive Economic Zone"
135.875,33.375,0.00187380454430004,3302,"Japanese Exclusive Economic Zone"
136.125,33.375,0.0199589073047375,3302,"Japanese Exclusive Economic Zone"
139.375,33.375,0.00287246832142076,3357,"Japanese Exclusive Economic Zone"
139.625,33.375,0.00444675799451155,3357,"Japanese Exclusive Economic Zone"
139.875,33.375,0.00677392990533947,3357,"Japanese Exclusive Economic Zone"
140.125,33.375,0.00653025389687506,3357,"Japanese Exclusive Economic Zone"
128.875,33.125,0.00617473151835302,3219,"Japanese Exclusive Economic Zone"
129.125,33.125,0.00469540186981162,3247,"Japanese Exclusive Economic Zone"
129.375,33.125,0.00290361890493808,3247,"Japanese Exclusive Economic Zone"
129.625,33.125,0.0422680131821224,3247,"Japanese Exclusive Economic Zone"
132.125,33.125,0.00138367464878231,3247,"Japanese Exclusive Economic Zone"
132.375,33.125,0.00684041421629636,3274,"Japanese Exclusive Economic Zone"
133.375,33.125,0.000603224373261402,3274,"Japanese Exclusive Economic Zone"
133.625,33.125,0.00124398647069692,3274,"Japanese Exclusive Economic Zone"
133.875,33.125,0.000354427834842365,3274,"Japanese Exclusive Economic Zone"
134.125,33.125,4.25087575900169e-05,3302,"Japanese Exclusive Economic Zone"
134.375,33.125,0.00264299052843229,3302,"Japanese Exclusive Economic Zone"
135.625,33.125,0.00574846587721321,3302,"Japanese Exclusive Economic Zone"
135.875,33.125,0.00455975721821,3302,"Japanese Exclusive Economic Zone"
139.625,33.125,0.0109010594163574,3357,"Japanese Exclusive Economic Zone"
139.875,33.125,0.00933326232729788,3357,"Japanese Exclusive Economic Zone"
128.625,32.875,0.0365773422744669,3219,"Japanese Exclusive Economic Zone"
128.875,32.875,0.00629648435891291,3219,"Japanese Exclusive Economic Zone"
129.125,32.875,0.00169206886558121,3219,"Japanese Exclusive Economic Zone"
129.375,32.875,0.00105377426901244,3247,"Japanese Exclusive Economic Zone"
129.625,32.875,0.0272479539131032,3247,"Japanese Exclusive Economic Zone"
129.875,32.875,0.0492338904546233,3247,"Japanese Exclusive Economic Zone"
130.375,32.875,0.741897184685833,3247,"Japanese Exclusive Economic Zone"
132.125,32.875,0.00140721982935362,3274,"Japanese Exclusive Economic Zone"
132.375,32.875,0.00173613200847192,3274,"Japanese Exclusive Economic Zone"
132.625,32.875,0.00568328557695513,3274,"Japanese Exclusive Economic Zone"
133.125,32.875,0.00517228643420855,3274,"Japanese Exclusive Economic Zone"
133.375,32.875,0.000900527976035438,3274,"Japanese Exclusive Economic Zone"
133.625,32.875,0.002183634163431,3274,"Japanese Exclusive Economic Zone"
133.875,32.875,0.00182062504962695,3274,"Japanese Exclusive Economic Zone"
134.125,32.875,0.0282559640782792,3274,"Japanese Exclusive Economic Zone"
128.375,32.625,0.00150742071368803,3219,"Japanese Exclusive Economic Zone"
128.625,32.625,0.0420394215184902,3219,NA
128.875,32.625,0.00267931117094584,3219,"Japanese Exclusive Economic Zone"
129.125,32.625,0.0037828288897233,3219,"Japanese Exclusive Economic Zone"
129.375,32.625,0.00184967620567787,3247,"Japanese Exclusive Economic Zone"
129.625,32.625,0.00619286937394158,3247,"Japanese Exclusive Economic Zone"
129.875,32.625,0.0464863205152989,3247,"Japanese Exclusive Economic Zone"
130.125,32.625,0.484992050958399,3247,"Japanese Exclusive Economic Zone"
130.375,32.625,1.08674402044212,3247,"Japanese Exclusive Economic Zone"
130.625,32.625,0.746722277552702,3247,"Japanese Exclusive Economic Zone"
131.875,32.625,0.00509971049427193,3274,"Japanese Exclusive Economic Zone"
132.125,32.625,0.00137239859753017,3274,"Japanese Exclusive Economic Zone"
132.375,32.625,0.000873448431437489,3274,"Japanese Exclusive Economic Zone"
132.625,32.625,0.000369348656273228,3274,"Japanese Exclusive Economic Zone"
132.875,32.625,0.000559308906132054,3274,"Japanese Exclusive Economic Zone"
133.125,32.625,0.000497905752524654,3274,"Japanese Exclusive Economic Zone"
133.375,32.625,0.0140865932015554,3274,"Japanese Exclusive Economic Zone"
128.125,32.375,0.00570954474390934,3219,"Japanese Exclusive Economic Zone"
128.375,32.375,0.00584150640325541,3219,"Japanese Exclusive Economic Zone"
128.625,32.375,0.00177455466259978,3219,"Japanese Exclusive Economic Zone"
128.875,32.375,0.00594353950956921,3219,"Japanese Exclusive Economic Zone"
129.125,32.375,0.00364283316255707,3219,"Japanese Exclusive Economic Zone"
129.375,32.375,0.00783642736156598,3219,"Japanese Exclusive Economic Zone"
129.625,32.375,0.0212140363022933,3247,"Japanese Exclusive Economic Zone"
129.875,32.375,0.181119497530808,3247,"Japanese Exclusive Economic Zone"
130.375,32.375,0.965088535145757,3247,"Japanese Exclusive Economic Zone"
131.875,32.375,0.000323959729485913,3274,"Japanese Exclusive Economic Zone"
132.125,32.375,0.00118571293399754,3274,"Japanese Exclusive Economic Zone"
132.375,32.375,0.00522103981253374,3274,"Japanese Exclusive Economic Zone"
132.625,32.375,0.011939967358323,3274,"Japanese Exclusive Economic Zone"
132.875,32.375,0.0147007011711426,3274,"Japanese Exclusive Economic Zone"
133.125,32.375,0.018070233457972,3274,"Japanese Exclusive Economic Zone"
139.625,32.375,0.00861109151710208,3357,"Japanese Exclusive Economic Zone"
139.875,32.375,0.00913840739635691,3357,"Japanese Exclusive Economic Zone"
128.125,32.125,0.0168088868235949,3219,"Japanese Exclusive Economic Zone"
128.375,32.125,0.00819563304708805,3219,"Japanese Exclusive Economic Zone"
129.375,32.125,0.0214570784018187,3219,"Japanese Exclusive Economic Zone"
129.625,32.125,0.0400015838185836,3247,"Japanese Exclusive Economic Zone"
129.875,32.125,0.0192728812980921,3247,"Japanese Exclusive Economic Zone"
131.625,32.125,0.00362769081580103,3274,"Japanese Exclusive Economic Zone"
131.875,32.125,0.000794544776511268,3274,"Japanese Exclusive Economic Zone"
132.125,32.125,0.000365295395713007,3274,"Japanese Exclusive Economic Zone"
139.625,32.125,0.00967232127902852,3357,"Japanese Exclusive Economic Zone"
139.875,32.125,0.00675037170606214,3357,"Japanese Exclusive Economic Zone"
129.375,31.875,0.00466785451876448,3219,"Japanese Exclusive Economic Zone"
129.625,31.875,0.0209342404984445,3219,"Japanese Exclusive Economic Zone"
129.875,31.875,0.0503262763165353,3247,"Japanese Exclusive Economic Zone"
130.125,31.875,0.224740454029977,3247,"Japanese Exclusive Economic Zone"
131.625,31.875,0.0151588534247961,3274,"Japanese Exclusive Economic Zone"
131.875,31.875,0.00090501082698071,3274,"Japanese Exclusive Economic Zone"
132.125,31.875,0.00390762685065153,3274,"Japanese Exclusive Economic Zone"
129.375,31.625,0.00665933432736693,3219,"Japanese Exclusive Economic Zone"
129.625,31.625,0.00854560401810216,3246,"Japanese Exclusive Economic Zone"
129.875,31.625,0.0363052122210291,3246,"Japanese Exclusive Economic Zone"
130.125,31.625,0.0558574712765149,3246,"Japanese Exclusive Economic Zone"
130.625,31.625,0.0479407871131549,3246,"Japanese Exclusive Economic Zone"
131.625,31.625,0.00027326499468414,3274,"Japanese Exclusive Economic Zone"
131.875,31.625,0.00282716675179853,3274,"Japanese Exclusive Economic Zone"
129.125,31.375,0.00210832983636898,3219,"Japanese Exclusive Economic Zone"
129.375,31.375,0.00795619553027713,3246,"Japanese Exclusive Economic Zone"
129.625,31.375,0.00815078476573579,3246,"Japanese Exclusive Economic Zone"
129.875,31.375,0.0102050800421765,3246,"Japanese Exclusive Economic Zone"
130.125,31.375,0.0450824837157632,3246,"Japanese Exclusive Economic Zone"
130.625,31.375,0.000781099438310655,3246,"Japanese Exclusive Economic Zone"
131.125,31.375,0.0383973095373121,3246,"Japanese Exclusive Economic Zone"
131.375,31.375,0.0212991852681715,3246,"Japanese Exclusive Economic Zone"
131.625,31.375,0.00190627876257373,3274,"Japanese Exclusive Economic Zone"
128.875,31.125,0.00304761866072222,3219,"Joint regime area Japan / Korea"
129.125,31.125,0.0016526809008907,3219,"Japanese Exclusive Economic Zone"
129.375,31.125,0.00568803955211153,3246,"Japanese Exclusive Economic Zone"
129.625,31.125,0.0104614544004124,3246,"Japanese Exclusive Economic Zone"
129.875,31.125,0.00383726391010841,3246,"Japanese Exclusive Economic Zone"
130.125,31.125,0.00270531846934369,3246,"Japanese Exclusive Economic Zone"
130.375,31.125,0.00188733239987192,3246,"Japanese Exclusive Economic Zone"
130.625,31.125,0.000757725958957694,3246,"Japanese Exclusive Economic Zone"
131.125,31.125,0.0101457658429219,3246,"Japanese Exclusive Economic Zone"
131.375,31.125,0.00292181972436277,3246,"Japanese Exclusive Economic Zone"
131.625,31.125,0.0245853672419552,3246,"Japanese Exclusive Economic Zone"
128.875,30.875,0.00433971992928866,3219,"Joint regime area Japan / Korea"
129.125,30.875,0.00310045997049848,3246,"Japanese Exclusive Economic Zone"
129.375,30.875,0.00136779744668486,3246,"Japanese Exclusive Economic Zone"
129.625,30.875,0.000650716734064738,3246,"Japanese Exclusive Economic Zone"
129.875,30.875,0.00277530742828573,3246,"Japanese Exclusive Economic Zone"
130.125,30.875,0.00273452366850704,3246,"Japanese Exclusive Economic Zone"
130.375,30.875,0.0029273348229899,3246,"Japanese Exclusive Economic Zone"
130.625,30.875,0.00919320666973249,3246,"Japanese Exclusive Economic Zone"
130.875,30.875,0.00911941619325763,3246,"Japanese Exclusive Economic Zone"
131.125,30.875,0.00735667706639137,3246,"Japanese Exclusive Economic Zone"
131.375,30.875,0.0170125098524278,3246,"Japanese Exclusive Economic Zone"
131.625,30.875,0.0490449652776996,3246,"Japanese Exclusive Economic Zone"
129.125,30.625,0.00155804160162082,3246,"Japanese Exclusive Economic Zone"
129.375,30.625,0.00128640894812134,3246,"Japanese Exclusive Economic Zone"
129.625,30.625,0.00197951859323594,3246,"Japanese Exclusive Economic Zone"
129.875,30.625,0.00559131917373482,3246,"Japanese Exclusive Economic Zone"
130.125,30.625,0.00412444810675342,3246,"Japanese Exclusive Economic Zone"
130.375,30.625,0.00104712382835809,3246,"Japanese Exclusive Economic Zone"
130.625,30.625,0.00378502347518975,3246,"Japanese Exclusive Economic Zone"
130.875,30.625,0.0218370955937643,3246,"Japanese Exclusive Economic Zone"
131.125,30.625,0.00732339515275351,3246,"Japanese Exclusive Economic Zone"
131.375,30.625,0.0342009463694506,3246,"Japanese Exclusive Economic Zone"
131.625,30.625,0.00895384877833794,3246,"Japanese Exclusive Economic Zone"
129.375,30.375,0.000292027340012101,3246,"Japanese Exclusive Economic Zone"
129.625,30.375,2.51748633640108e-06,3246,"Japanese Exclusive Economic Zone"
129.875,30.375,0.001428143172405,3246,"Japanese Exclusive Economic Zone"
130.125,30.375,0.00238214493109129,3246,"Japanese Exclusive Economic Zone"
130.375,30.375,0.0011075783496122,3246,"Japanese Exclusive Economic Zone"
131.125,30.375,0.00374284833644873,3246,"Japanese Exclusive Economic Zone"
131.375,30.375,0.00147002888593527,3246,"Japanese Exclusive Economic Zone"
131.625,30.375,0.00140103021966719,3246,"Japanese Exclusive Economic Zone"
129.375,30.125,7.14502728983368e-05,3246,"Japanese Exclusive Economic Zone"
129.625,30.125,0.000178386380877645,3246,"Japanese Exclusive Economic Zone"
129.875,30.125,0.000171657368251253,3246,"Japanese Exclusive Economic Zone"
130.125,30.125,0.00179505603393923,3246,"Japanese Exclusive Economic Zone"
130.375,30.125,0.00112574040191154,3246,"Japanese Exclusive Economic Zone"
130.625,30.125,0.00319366194058785,3246,"Japanese Exclusive Economic Zone"
130.875,30.125,0.00126917521348184,3246,"Japanese Exclusive Economic Zone"
131.125,30.125,0.000739885440700899,3246,"Japanese Exclusive Economic Zone"
131.375,30.125,0.00289901123795289,3246,"Japanese Exclusive Economic Zone"
129.375,29.875,0.000197518015706507,3246,"Japanese Exclusive Economic Zone"
129.625,29.875,0.000231995458496641,3246,"Japanese Exclusive Economic Zone"
129.875,29.875,0.000195416450285433,3246,NA
130.125,29.875,0.000151033173195174,3246,"Japanese Exclusive Economic Zone"
130.375,29.875,0.000208397239322361,3246,"Japanese Exclusive Economic Zone"
130.625,29.875,0.00126654332574595,3246,"Japanese Exclusive Economic Zone"
130.875,29.875,0.00252933468314503,3246,"Japanese Exclusive Economic Zone"
131.125,29.875,0.00262208537615408,3246,"Japanese Exclusive Economic Zone"
129.375,29.625,0.000915638128738274,3246,"Japanese Exclusive Economic Zone"
129.625,29.625,0.00046287627328772,3246,"Japanese Exclusive Economic Zone"
129.875,29.625,0.000231405754711489,3246,"Japanese Exclusive Economic Zone"
130.125,29.625,6.14593708435145e-05,3246,"Japanese Exclusive Economic Zone"
129.125,29.375,0.000863002882656072,3218,"Japanese Exclusive Economic Zone"
129.375,29.375,0.000905890155593579,3246,"Japanese Exclusive Economic Zone"
129.625,29.375,0.00051991400115474,3246,"Japanese Exclusive Economic Zone"
129.875,29.375,0.000325467686313442,3246,"Japanese Exclusive Economic Zone"
130.125,29.375,0.000343331277327161,3246,"Japanese Exclusive Economic Zone"
128.875,29.125,0.000483924892657253,3218,"Japanese Exclusive Economic Zone"
129.125,29.125,0.000996214833613063,3218,"Japanese Exclusive Economic Zone"
129.375,29.125,0.000565657027846867,3218,"Japanese Exclusive Economic Zone"
