"x","y","sigmaNovelty","cell","EEZ"
129.875,32.125,0.0192720968806718,3247,"Japanese Exclusive Economic Zone"
131.625,32.125,0.0121718711284794,3274,"Japanese Exclusive Economic Zone"
129.625,31.875,0.0209322377033093,3219,"Japanese Exclusive Economic Zone"
129.875,31.875,0.0503232123795004,3247,"Japanese Exclusive Economic Zone"
130.125,31.875,0.224736684025983,3247,"Japanese Exclusive Economic Zone"
131.625,31.875,0.0378078914275648,3274,"Japanese Exclusive Economic Zone"
131.875,31.875,0.00793196310563375,3274,"Japanese Exclusive Economic Zone"
129.375,31.625,0.00665916534818888,3219,"Japanese Exclusive Economic Zone"
129.625,31.625,0.00854402036471759,3246,"Japanese Exclusive Economic Zone"
129.875,31.625,0.0363014431359636,3246,"Japanese Exclusive Economic Zone"
130.125,31.625,0.0558530964247008,3246,"Japanese Exclusive Economic Zone"
130.625,31.625,0.047935885133447,3246,"Japanese Exclusive Economic Zone"
131.625,31.625,0.0554800693352647,3274,"Japanese Exclusive Economic Zone"
131.875,31.625,0.00282638214920426,3274,"Japanese Exclusive Economic Zone"
129.125,31.375,0.00210819684384833,3219,"Japanese Exclusive Economic Zone"
129.375,31.375,0.00795500671375184,3246,"Japanese Exclusive Economic Zone"
129.625,31.375,0.00814821946295571,3246,"Japanese Exclusive Economic Zone"
129.875,31.375,0.0102030998107552,3246,"Japanese Exclusive Economic Zone"
130.125,31.375,0.0450776855571244,3246,"Japanese Exclusive Economic Zone"
130.625,31.375,0.000780980877225207,3246,"Japanese Exclusive Economic Zone"
131.125,31.375,0.0756128336343206,3246,"Japanese Exclusive Economic Zone"
131.375,31.375,0.114213139607611,3246,"Japanese Exclusive Economic Zone"
131.625,31.375,0.0066609551020935,3274,"Japanese Exclusive Economic Zone"
129.125,31.125,0.00165046496272429,3219,"Japanese Exclusive Economic Zone"
129.375,31.125,0.00266558435742534,3246,"Japanese Exclusive Economic Zone"
129.625,31.125,0.00127900781022831,3246,"Japanese Exclusive Economic Zone"
129.875,31.125,0.00383694996983976,3246,"Japanese Exclusive Economic Zone"
130.125,31.125,0.00270495489840664,3246,"Japanese Exclusive Economic Zone"
130.375,31.125,0.00188711806046435,3246,"Japanese Exclusive Economic Zone"
130.625,31.125,0.000757695553264942,3246,"Japanese Exclusive Economic Zone"
131.125,31.125,0.101802387365598,3246,"Japanese Exclusive Economic Zone"
131.375,31.125,0.00292302466489493,3246,"Japanese Exclusive Economic Zone"
131.625,31.125,0.0245785885884691,3246,"Japanese Exclusive Economic Zone"
129.375,30.875,0.00136590038456678,3246,"Japanese Exclusive Economic Zone"
129.625,30.875,0.000649625257871004,3246,"Japanese Exclusive Economic Zone"
129.875,30.875,0.00277797989226767,3246,"Japanese Exclusive Economic Zone"
130.125,30.875,0.00273565724925654,3246,"Japanese Exclusive Economic Zone"
130.375,30.875,0.00292834910163488,3246,"Japanese Exclusive Economic Zone"
130.625,30.875,0.00123078163981794,3246,"Japanese Exclusive Economic Zone"
130.875,30.875,0.00912043808379646,3246,"Japanese Exclusive Economic Zone"
131.125,30.875,0.00735881673819563,3246,"Japanese Exclusive Economic Zone"
131.375,30.875,0.0170080077951277,3246,"Japanese Exclusive Economic Zone"
131.625,30.875,0.0217986310127798,3246,"Japanese Exclusive Economic Zone"
140.125,30.875,0.00278700452385309,3356,"Japanese Exclusive Economic Zone"
140.375,30.875,0.010231422063607,3356,"Japanese Exclusive Economic Zone"
129.375,30.625,0.000748657084713704,3246,"Japanese Exclusive Economic Zone"
129.625,30.625,0.0019778851934362,3246,"Japanese Exclusive Economic Zone"
129.875,30.625,0.00558876551742549,3246,"Japanese Exclusive Economic Zone"
130.125,30.625,0.00465668012190987,3246,"Japanese Exclusive Economic Zone"
130.375,30.625,0.00104563828762105,3246,"Japanese Exclusive Economic Zone"
130.625,30.625,0.00378672696602616,3246,"Japanese Exclusive Economic Zone"
130.875,30.625,0.0152990147568219,3246,"Japanese Exclusive Economic Zone"
131.125,30.625,0.00732459484771069,3246,"Japanese Exclusive Economic Zone"
131.375,30.625,0.0204180245822247,3246,"Japanese Exclusive Economic Zone"
131.625,30.625,0.00896080390046425,3246,"Japanese Exclusive Economic Zone"
140.125,30.625,0.00520437899707133,3356,"Japanese Exclusive Economic Zone"
140.375,30.625,0.0178822386390979,3356,"Japanese Exclusive Economic Zone"
