"x","y","sigmaNovelty","cell","EEZ"
3.125,71.875,3.31745118301334,51,NA
3.375,71.875,4.54091758888204,51,NA
3.125,71.625,3.91349135920052,51,NA
3.375,71.625,5.13479817309897,51,NA
18.625,69.875,0.0384290730150476,3079,"Norwegian Exclusive Economic Zone"
18.875,69.875,0.0748461975030201,3079,"Norwegian Exclusive Economic Zone"
18.875,69.625,0.129613167758918,3079,"Norwegian Exclusive Economic Zone"
15.625,69.375,0.252826951502048,3052,"Norwegian Exclusive Economic Zone"
15.875,69.375,0.24466877256813,3052,"Norwegian Exclusive Economic Zone"
13.625,68.375,0.373550064999003,25,"Norwegian Exclusive Economic Zone"
13.875,68.375,0.3918549577533,3052,"Norwegian Exclusive Economic Zone"
13.625,68.125,0.139196626354318,25,"Norwegian Exclusive Economic Zone"
13.875,68.125,0.057272294454264,25,"Norwegian Exclusive Economic Zone"
14.625,68.125,0.0440485405266114,3052,"Norwegian Exclusive Economic Zone"
14.875,68.125,0.0469410904620827,3052,"Norwegian Exclusive Economic Zone"
11.625,67.875,0.40116338899036,25,"Norwegian Exclusive Economic Zone"
11.875,67.875,0.427666241825153,25,"Norwegian Exclusive Economic Zone"
11.625,67.625,0.373896965447373,25,"Norwegian Exclusive Economic Zone"
11.875,67.625,0.273876055797233,25,"Norwegian Exclusive Economic Zone"
13.625,67.375,0.058155026777044,25,"Norwegian Exclusive Economic Zone"
13.875,67.375,0.0319103583428261,25,"Norwegian Exclusive Economic Zone"
13.625,67.125,0.0445158491499172,25,"Norwegian Exclusive Economic Zone"
13.875,67.125,0.0832796290090795,25,"Norwegian Exclusive Economic Zone"
12.125,66.375,0.00875621277371299,25,"Norwegian Exclusive Economic Zone"
12.375,66.375,0.0142737446446085,25,"Norwegian Exclusive Economic Zone"
11.375,66.125,0.0296639091553893,26,"Norwegian Exclusive Economic Zone"
11.625,66.125,0.0460264535807697,26,"Norwegian Exclusive Economic Zone"
11.875,66.125,0.00900963122379828,26,"Norwegian Exclusive Economic Zone"
12.125,66.125,0.0277973920355493,26,"Norwegian Exclusive Economic Zone"
12.375,66.125,0.0294882582424861,26,"Norwegian Exclusive Economic Zone"
11.125,65.875,0.0392048779773302,26,"Norwegian Exclusive Economic Zone"
11.375,65.875,0.0594043843474375,26,"Norwegian Exclusive Economic Zone"
11.625,65.875,0.00593909146238147,26,"Norwegian Exclusive Economic Zone"
11.875,65.875,0.0384861471331396,26,"Norwegian Exclusive Economic Zone"
12.125,65.875,0.0454884277663302,26,"Norwegian Exclusive Economic Zone"
12.375,65.875,0.107452332303341,26,"Norwegian Exclusive Economic Zone"
12.625,65.875,0.229411290444384,26,"Norwegian Exclusive Economic Zone"
10.875,65.625,0.0498706455191662,26,"Norwegian Exclusive Economic Zone"
11.125,65.625,0.0646610295067964,26,"Norwegian Exclusive Economic Zone"
11.375,65.625,0.0092459240916646,26,"Norwegian Exclusive Economic Zone"
11.625,65.625,0.0272763730775528,26,"Norwegian Exclusive Economic Zone"
12.125,65.625,0.279832563226179,26,"Norwegian Exclusive Economic Zone"
10.625,65.375,0.0667374172090533,26,"Norwegian Exclusive Economic Zone"
10.875,65.375,0.115202219863764,26,"Norwegian Exclusive Economic Zone"
11.125,65.375,0.0201830163451015,26,"Norwegian Exclusive Economic Zone"
11.375,65.375,0.0186349292558971,26,"Norwegian Exclusive Economic Zone"
11.625,65.375,0.160917977452726,26,"Norwegian Exclusive Economic Zone"
11.875,65.375,0.343636652201636,26,"Norwegian Exclusive Economic Zone"
12.125,65.375,0.128486095932688,26,"Norwegian Exclusive Economic Zone"
10.375,65.125,0.0953683395660438,26,"Norwegian Exclusive Economic Zone"
10.625,65.125,0.107299800099257,26,"Norwegian Exclusive Economic Zone"
10.875,65.125,0.0258199142879534,26,"Norwegian Exclusive Economic Zone"
11.125,65.125,0.0053613357601133,26,"Norwegian Exclusive Economic Zone"
11.375,65.125,0.0319451228875934,26,"Norwegian Exclusive Economic Zone"
11.625,65.125,0.238164445138666,26,"Norwegian Exclusive Economic Zone"
11.875,65.125,0.385232806479605,26,NA
10.125,64.875,0.121220383860164,26,"Norwegian Exclusive Economic Zone"
10.375,64.875,0.112208273171311,26,"Norwegian Exclusive Economic Zone"
10.625,64.875,0.0208296609665644,26,"Norwegian Exclusive Economic Zone"
8.875,64.625,0.0503208746627899,26,"Norwegian Exclusive Economic Zone"
