"x","y","sigmaNovelty","cell","EEZ"
11.375,66.125,0.0296757560431279,26,"Norwegian Exclusive Economic Zone"
11.625,66.125,0.04605140440278,26,"Norwegian Exclusive Economic Zone"
11.125,65.875,0.0392283683637145,26,"Norwegian Exclusive Economic Zone"
11.375,65.875,0.059444270672634,26,"Norwegian Exclusive Economic Zone"
11.625,65.875,0.00593806135080132,26,"Norwegian Exclusive Economic Zone"
11.875,65.875,0.0385387953451933,26,"Norwegian Exclusive Economic Zone"
10.875,65.625,0.0499058659055988,26,"Norwegian Exclusive Economic Zone"
11.125,65.625,0.0647152829097909,26,"Norwegian Exclusive Economic Zone"
11.375,65.625,0.00925428842839734,26,"Norwegian Exclusive Economic Zone"
11.625,65.625,0.0273014491741556,26,"Norwegian Exclusive Economic Zone"
12.125,65.625,0.466069533151235,26,"Norwegian Exclusive Economic Zone"
10.625,65.375,0.0667833445797513,26,"Norwegian Exclusive Economic Zone"
10.875,65.375,0.115291118347214,26,"Norwegian Exclusive Economic Zone"
11.125,65.375,0.0202074451482872,26,"Norwegian Exclusive Economic Zone"
11.375,65.375,0.0186308265311531,26,"Norwegian Exclusive Economic Zone"
11.625,65.375,0.160945628311008,26,"Norwegian Exclusive Economic Zone"
11.875,65.375,0.343824266455099,26,"Norwegian Exclusive Economic Zone"
12.125,65.375,0.128591458416661,26,"Norwegian Exclusive Economic Zone"
8.875,65.125,0.0269964740096215,26,"Norwegian Exclusive Economic Zone"
9.125,65.125,0.0235536072047442,26,"Norwegian Exclusive Economic Zone"
10.375,65.125,0.0954561704067873,26,"Norwegian Exclusive Economic Zone"
10.625,65.125,0.107398901413454,26,"Norwegian Exclusive Economic Zone"
10.875,65.125,0.0258602091272508,26,"Norwegian Exclusive Economic Zone"
11.125,65.125,0.00536389348573196,26,"Norwegian Exclusive Economic Zone"
11.375,65.125,0.0319394082192733,26,"Norwegian Exclusive Economic Zone"
11.625,65.125,0.238397600548222,26,"Norwegian Exclusive Economic Zone"
11.875,65.125,0.384935890234138,26,NA
8.625,64.875,0.0283029193608976,26,"Norwegian Exclusive Economic Zone"
8.875,64.875,0.00902239694543106,26,"Norwegian Exclusive Economic Zone"
9.125,64.875,0.00968421319955206,26,"Norwegian Exclusive Economic Zone"
9.375,64.875,0.00645246011566272,26,"Norwegian Exclusive Economic Zone"
10.125,64.875,0.0744689379243799,26,"Norwegian Exclusive Economic Zone"
10.375,64.875,0.112325877012505,26,"Norwegian Exclusive Economic Zone"
10.625,64.875,0.0208586396939022,26,"Norwegian Exclusive Economic Zone"
8.375,64.625,0.0185299048201406,26,"Norwegian Exclusive Economic Zone"
8.625,64.625,0.027421663577248,26,"Norwegian Exclusive Economic Zone"
8.875,64.625,0.031317837820661,26,"Norwegian Exclusive Economic Zone"
9.125,64.625,0.00505620309117752,26,"Norwegian Exclusive Economic Zone"
9.375,64.625,0.00341129819668875,26,"Norwegian Exclusive Economic Zone"
9.625,64.625,0.00941719502947886,26,"Norwegian Exclusive Economic Zone"
9.875,64.625,0.034073200123171,26,"Norwegian Exclusive Economic Zone"
10.125,64.625,0.110544793578531,26,"Norwegian Exclusive Economic Zone"
10.375,64.625,0.142789192797648,26,"Norwegian Exclusive Economic Zone"
10.625,64.625,0.0326534641599412,26,"Norwegian Exclusive Economic Zone"
10.875,64.625,0.00439362736544699,26,"Norwegian Exclusive Economic Zone"
-22.375,64.375,0.594999287420089,189,"Icelandic Exclusive Economic Zone"
-22.125,64.375,0.585184212538795,189,"Icelandic Exclusive Economic Zone"
8.375,64.375,0.049535776148305,54,"Norwegian Exclusive Economic Zone"
8.625,64.375,0.0675220640875932,26,"Norwegian Exclusive Economic Zone"
8.875,64.375,0.101986750416802,26,"Norwegian Exclusive Economic Zone"
9.125,64.375,0.090517570928871,26,"Norwegian Exclusive Economic Zone"
9.375,64.375,0.0892723551116514,26,"Norwegian Exclusive Economic Zone"
9.625,64.375,0.102521909720999,26,"Norwegian Exclusive Economic Zone"
9.875,64.375,0.149148467680435,26,"Norwegian Exclusive Economic Zone"
10.125,64.375,0.173100798779665,26,"Norwegian Exclusive Economic Zone"
10.375,64.375,0.158187196334855,26,"Norwegian Exclusive Economic Zone"
-22.625,64.125,0.0228209357292223,189,"Icelandic Exclusive Economic Zone"
-22.375,64.125,0.111610468277638,189,"Icelandic Exclusive Economic Zone"
-22.125,64.125,0.00359014369762931,189,"Icelandic Exclusive Economic Zone"
7.875,64.125,0.00852521459287283,54,"Norwegian Exclusive Economic Zone"
8.125,64.125,0.0628864763190375,54,"Norwegian Exclusive Economic Zone"
8.375,64.125,0.114003947982511,54,"Norwegian Exclusive Economic Zone"
8.625,64.125,0.16555971751597,54,"Norwegian Exclusive Economic Zone"
8.875,64.125,0.187885459172973,54,"Norwegian Exclusive Economic Zone"
9.125,64.125,0.210576626587429,26,"Norwegian Exclusive Economic Zone"
9.375,64.125,0.168931680116186,26,"Norwegian Exclusive Economic Zone"
9.625,64.125,0.0564567694662793,26,"Norwegian Exclusive Economic Zone"
9.875,64.125,0.034246065287651,26,"Norwegian Exclusive Economic Zone"
-22.875,63.875,0.389239749028389,189,"Icelandic Exclusive Economic Zone"
-16.375,63.875,0.0983019794598903,162,"Icelandic Exclusive Economic Zone"
-16.125,63.875,0.0464919930251925,162,"Icelandic Exclusive Economic Zone"
-15.375,63.875,0.212605061425894,162,"Icelandic Exclusive Economic Zone"
-15.125,63.875,0.0862928774131881,162,"Icelandic Exclusive Economic Zone"
7.625,63.875,0.00594729182035905,54,"Norwegian Exclusive Economic Zone"
7.875,63.875,0.0447535052991962,54,"Norwegian Exclusive Economic Zone"
8.125,63.875,0.17395303556671,54,"Norwegian Exclusive Economic Zone"
8.375,63.875,0.128417603066094,54,"Norwegian Exclusive Economic Zone"
8.625,63.875,0.0862951496581649,54,"Norwegian Exclusive Economic Zone"
8.875,63.875,0.115895311225951,54,"Norwegian Exclusive Economic Zone"
9.125,63.875,0.115143782369002,54,"Norwegian Exclusive Economic Zone"
9.375,63.875,0.0360250186334001,27,"Norwegian Exclusive Economic Zone"
9.625,63.875,0.0274643303943339,27,"Norwegian Exclusive Economic Zone"
-22.875,63.625,0.00556200016433458,189,"Icelandic Exclusive Economic Zone"
-22.625,63.625,0.000184476358077701,189,"Icelandic Exclusive Economic Zone"
-22.375,63.625,0.00104066099851706,189,"Icelandic Exclusive Economic Zone"
-22.125,63.625,0.00541124711789176,189,"Icelandic Exclusive Economic Zone"
-21.125,63.625,0.282049547201608,189,"Icelandic Exclusive Economic Zone"
-20.875,63.625,0.555031777028861,189,"Icelandic Exclusive Economic Zone"
-20.625,63.625,0.0187716486849678,189,"Icelandic Exclusive Economic Zone"
-17.625,63.625,0.0187300744698899,162,"Icelandic Exclusive Economic Zone"
-17.375,63.625,0.0217807916344158,162,"Icelandic Exclusive Economic Zone"
-17.125,63.625,0.111305555012825,162,"Icelandic Exclusive Economic Zone"
-16.875,63.625,0.0700458425101433,162,"Icelandic Exclusive Economic Zone"
-16.625,63.625,0.154800380729416,162,"Icelandic Exclusive Economic Zone"
-16.375,63.625,0.0211760163325875,162,"Icelandic Exclusive Economic Zone"
-16.125,63.625,0.052640160039269,162,"Icelandic Exclusive Economic Zone"
-15.375,63.625,0.048868086414032,162,"Icelandic Exclusive Economic Zone"
-15.125,63.625,0.0450939811348599,162,"Icelandic Exclusive Economic Zone"
5.375,63.625,0.00358222761477896,54,"Norwegian Exclusive Economic Zone"
5.625,63.625,0.00571058147311592,54,"Norwegian Exclusive Economic Zone"
5.875,63.625,0.00202970423470708,54,"Norwegian Exclusive Economic Zone"
6.125,63.625,0.00934296040697206,54,"Norwegian Exclusive Economic Zone"
6.375,63.625,0.021188357835509,54,"Norwegian Exclusive Economic Zone"
6.625,63.625,0.00416300929798828,54,"Norwegian Exclusive Economic Zone"
6.875,63.625,0.000821170196761301,54,"Norwegian Exclusive Economic Zone"
7.125,63.625,0.0037174482458696,54,"Norwegian Exclusive Economic Zone"
7.375,63.625,0.0306230755198552,54,"Norwegian Exclusive Economic Zone"
7.625,63.625,0.0847484065611142,54,"Norwegian Exclusive Economic Zone"
7.875,63.625,0.077585372484487,54,"Norwegian Exclusive Economic Zone"
8.125,63.625,0.114858883910261,54,"Norwegian Exclusive Economic Zone"
8.375,63.625,0.0906926110013906,54,"Norwegian Exclusive Economic Zone"
8.875,63.625,0.0750039180609267,27,NA
9.125,63.625,0.0487410428456884,27,"Norwegian Exclusive Economic Zone"
9.375,63.625,0.0164714634717956,27,"Norwegian Exclusive Economic Zone"
9.625,63.625,0.0443492836057203,27,"Norwegian Exclusive Economic Zone"
-22.625,63.375,0.00857640076297875,189,"Icelandic Exclusive Economic Zone"
-22.375,63.375,0.00715311542459842,189,"Icelandic Exclusive Economic Zone"
-21.375,63.375,0.00392386403656297,189,"Icelandic Exclusive Economic Zone"
-21.125,63.375,0.0202404523871732,189,"Icelandic Exclusive Economic Zone"
-20.875,63.375,0.0147024592094594,189,"Icelandic Exclusive Economic Zone"
