"Species","EEZ","p2","p4","Average","Max"
"Pomatomus saltatrix","Albanian Exclusive Economic Zone",0,0,0.00268378832913396,0.00704823852040453
"Pomatomus saltatrix","Algerian Exclusive Economic Zone",0,0,0.00097540688284403,0.0561282878168723
"Pomatomus saltatrix","Amsterdam Island & St. Paul Island Exclusive Economic Zone",0,0,0.000235908358484638,0.002864113530671
"Pomatomus saltatrix","Angolan Exclusive Economic Zone",0,0,0.0144851589106597,0.788841138044818
"Pomatomus saltatrix","Anguilla Exclusive Economic Zone",0,0,6.97328194744065e-06,3.11383695752541e-05
"Pomatomus saltatrix","Antigua and Barbuda Exclusive Economic Zone",0,0,6.63882648834045e-06,3.32389852880112e-05
"Pomatomus saltatrix","Argentinean Exclusive Economic Zone",0,0,0.0226417398308407,0.72982732016142
"Pomatomus saltatrix","Aruban Exclusive Economic Zone",0,0,3.9933082922877e-05,0.000198166483226878
"Pomatomus saltatrix","Ascension Exclusive Economic Zone",0,0,5.34694376411073e-05,0.000552220507369639
"Pomatomus saltatrix","Australian Exclusive Economic Zone",0,0,0.0014027292576471,0.12986931888099
"Pomatomus saltatrix","Bahamas Exclusive Economic Zone",0,0,0.000460190686617133,0.0303189327365198
"Pomatomus saltatrix","Bangladeshi Exclusive Economic Zone",0.0172413793103448,0,0.154664587243888,2.54018425662298
"Pomatomus saltatrix","Barbados Exclusive Economic Zone",0,0,2.10440603890003e-05,0.00029894361047534
"Pomatomus saltatrix","Bassas da India Exclusive Economic Zone",0,0,7.49843178752689e-05,0.00128739976445758
"Pomatomus saltatrix","Belizean Exclusive Economic Zone",0,0,0.00276851412084227,0.0618911721903634
"Pomatomus saltatrix","Beninese Exclusive Economic Zone",0,0,0.00199218500857275,0.0102169849019564
"Pomatomus saltatrix","Bermudian Exclusive Economic Zone",0,0,0.000422910248841208,0.00342501986119788
"Pomatomus saltatrix","Bonaire Exclusive Economic Zone",0,0,4.63655995542707e-05,0.000134452490302835
"Pomatomus saltatrix","Brazilian Exclusive Economic Zone",0,0,0.00763041293748383,0.729494115901304
"Pomatomus saltatrix","British Virgin Islands Exclusive Economic Zone",0,0,3.18500396816088e-05,0.000258033159017637
"Pomatomus saltatrix","Cameroonian Exclusive Economic Zone",0,0,0.00665926091385126,0.0963145091761121
"Pomatomus saltatrix","Canadian Exclusive Economic Zone",0,0,0.0230900970344818,1.01440186992831
"Pomatomus saltatrix","Cape Verdean Exclusive Economic Zone",0,0,0.000192521106789518,0.00315098849534566
"Pomatomus saltatrix","Cayman Islands Exclusive Economic Zone",0,0,0.00025106985926655,0.00103152744708787
"Pomatomus saltatrix","Chagos Archipelago Exclusive Economic Zone",0,0,5.85063520291867e-05,0.000619258884277423
"Pomatomus saltatrix","Christmas Island Exclusive Economic Zone",0,0,3.16487551609007e-05,0.000254128127774526
"Pomatomus saltatrix","Colombian Exclusive Economic Zone",0,0,0.00669569007144472,0.496370735447531
"Pomatomus saltatrix","Colombian Exclusive Economic Zone (Bajo Nuevo)",0,0,0.000210082182883314,0.000210082182883314
"Pomatomus saltatrix","Colombian Exclusive Economic Zone (Quitasueño)",0,0,0.001349032652288,0.00160990859267663
"Pomatomus saltatrix","Colombian Exclusive Economic Zone (Serrana)",0,0,0.000568251179897131,0.000829147121617929
"Pomatomus saltatrix","Colombian Exclusive Economic Zone (Serranilla)",0,0,0.00032981113214657,0.000366725986932843
"Pomatomus saltatrix","Comoran Exclusive Economic Zone",0,0,3.65821190476767e-05,0.000187648101586818
"Pomatomus saltatrix","Congolese Exclusive Economic Zone",0,0,0.00620364678907901,0.0198945984001971
"Pomatomus saltatrix","Costa Rican Exclusive Economic Zone",0,0,0.000479466158915888,0.0124777628968362
"Pomatomus saltatrix","Croatian Exclusive Economic Zone",0,0,0.100028586492763,0.787241117203551
"Pomatomus saltatrix","Crozet Islands Exclusive Economic Zone",0,0,0.00160267034528638,0.0315508239699442
"Pomatomus saltatrix","Cuban Exclusive Economic Zone",0,0,0.000503678187335286,0.0303189327365198
"Pomatomus saltatrix","Curaçaoan Exclusive Economic Zone",0,0,5.35157952196666e-05,0.000222778526740954
"Pomatomus saltatrix","Cypriote Exclusive Economic Zone",0,0,0.00937251906984929,0.0192626036918443
"Pomatomus saltatrix","Democratic Republic of the Congo Exclusive Economic Zone",0,0,0.0302160774749513,0.788841138044818
"Pomatomus saltatrix","Djiboutian Exclusive Economic Zone",0,0,0.00682846057600543,0.0567995326121072
"Pomatomus saltatrix","Dominican Exclusive Economic Zone",0,0,2.1610123474309e-05,0.000245519203088376
"Pomatomus saltatrix","Dominican Republic Exclusive Economic Zone",0,0,6.14797762195836e-05,0.00219727318814152
"Pomatomus saltatrix","East Timorian Exclusive Economic Zone",0,0,0.00271966365415609,0.0149839324438589
"Pomatomus saltatrix","Egyptian Exclusive Economic Zone",0,0,0.00483525087069627,0.0141315163921778
"Pomatomus saltatrix","Equatorial Guinean Exclusive Economic Zone",0,0,0.000923653124897081,0.0963145091761121
"Pomatomus saltatrix","Eritrean Exclusive Economic Zone",0,0,0.10952073487937,0.332322082866749
"Pomatomus saltatrix","Fijian Exclusive Economic Zone",0,0,0.00741801027281533,0.880966879789938
"Pomatomus saltatrix","French Exclusive Economic Zone",0,0,0.0105617205512841,0.496713735499425
"Pomatomus saltatrix","French Guiana Exclusive Economic Zone",0,0,0.00105804152210796,0.011607154025421
"Pomatomus saltatrix","Gabonese Exclusive Economic Zone",0,0,0.00205735797214776,0.0144181058972084
"Pomatomus saltatrix","Gambian Exclusive Economic Zone",0,0,0.0146886854911657,0.374859665650934
"Pomatomus saltatrix","Georgian Exclusive Economic Zone",0.75,0,2.37148120623136,2.92453586762938
"Pomatomus saltatrix","Ghanaian Exclusive Economic Zone",0,0,0.00491773594551971,0.127391429964596
"Pomatomus saltatrix","Greek Exclusive Economic Zone",0,0,0.0226744977184761,0.303260911644042
"Pomatomus saltatrix","Grenadian Exclusive Economic Zone",0,0,0.000243467431272127,0.00393185541076078
"Pomatomus saltatrix","Guadeloupean Exclusive Economic Zone",0,0,1.32959046964444e-05,0.000245519203088376
"Pomatomus saltatrix","Guatemalan Exclusive Economic Zone",0,0,0.0327234167943823,0.0395399822440467
"Pomatomus saltatrix","Guinea Bissau Exclusive Economic Zone",0,0,0.000956425893068919,0.017993610698303
"Pomatomus saltatrix","Guinean Exclusive Economic Zone",0,0,0.000622833424571552,0.0475448764632056
"Pomatomus saltatrix","Guyanese Exclusive Economic Zone",0,0,0.000818855760274531,0.0254614453246878
"Pomatomus saltatrix","Haitian Exclusive Economic Zone",0,0,1.91074447239818e-05,0.000437093502320406
"Pomatomus saltatrix","Honduran Exclusive Economic Zone",0,0,0.00863354307169171,0.0975283743656281
"Pomatomus saltatrix","Ile Europa Exclusive Economic Zone",0,0,9.86732799403325e-05,0.000732372248560498
"Pomatomus saltatrix","Indian Exclusive Economic Zone",0,0,0.00622064595738112,0.41085649765048
"Pomatomus saltatrix","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.00223088881838098,0.164676325386105
"Pomatomus saltatrix","Indonesian Exclusive Economic Zone",0,0,0.00188827595381133,0.10581460031634
"Pomatomus saltatrix","Iranian Exclusive Economic Zone",0,0,0.0718518462493038,1.0217219982287
"Pomatomus saltatrix","Israeli Exclusive Economic Zone",0,0,0.00356531100500755,0.0122001293550855
"Pomatomus saltatrix","Italian Exclusive Economic Zone",0,0,0.0318389214562883,1.35542507224793
"Pomatomus saltatrix","Ivory Coast Exclusive Economic Zone",0,0,0.00293672989803537,0.0887923965180683
"Pomatomus saltatrix","Jamaican Exclusive Economic Zone",0,0,0.000176046222759534,0.00367031448663711
"Pomatomus saltatrix","Joint regime area Argentina / Uruguay",0,0,0.0565402551984013,0.429110055867917
"Pomatomus saltatrix","Joint regime area Colombia / Dominican Republic",0,0,6.63679862088597e-06,1.38607568328897e-05
"Pomatomus saltatrix","Joint regime area Colombia / Jamaica",0,0,0.000196998408129035,0.000393021651637732
"Pomatomus saltatrix","Joint regime area Guyana / Barbados",0,0,3.90446585635396e-06,3.90446585635396e-06
"Pomatomus saltatrix","Joint regime area Nigeria / Sao Tome and Principe",0,0,0.000375192010364312,0.00305768609548121
"Pomatomus saltatrix","Joint regime area Senegal / Guinea Bissau",0,0,0.000366164802230494,0.00659417247892372
"Pomatomus saltatrix","Joint regime area Spain / France",0,0,0.000628130910159612,0.00099236062024871
"Pomatomus saltatrix","Juan de Nova Exclusive Economic Zone",0,0,1.01083385374741e-05,0.000193511374665821
"Pomatomus saltatrix","Kenyan Exclusive Economic Zone",0,0,4.59881556898579e-05,0.00210010487434429
"Pomatomus saltatrix","Kiribati Exclusive Economic Zone (Gilbert Islands)",0,0,0.00171820914499571,0.269047403438194
"Pomatomus saltatrix","Liberian Exclusive Economic Zone",0,0,0.000130343551419961,0.0125890520875286
"Pomatomus saltatrix","Libyan Exclusive Economic Zone",0,0,0.0835252350034543,0.392933960825399
"Pomatomus saltatrix","Madagascan Exclusive Economic Zone",0,0,0.000352667627409764,0.157136982153964
"Pomatomus saltatrix","Malaysian Exclusive Economic Zone",0,0,0.00332960409556776,0.0402148418854295
"Pomatomus saltatrix","Maldives Exclusive Economic Zone",0,0,0.000825431299672237,0.0110548931032015
"Pomatomus saltatrix","Maltese Exclusive Economic Zone",0,0,0.00102825528422999,0.00450314816603067
"Pomatomus saltatrix","Martinican Exclusive Economic Zone",0,0,2.78110944270499e-05,0.000358288537484711
"Pomatomus saltatrix","Mauritanian Exclusive Economic Zone",0,0,0.085805501189391,1.2206526698009
"Pomatomus saltatrix","Mauritian Exclusive Economic Zone",0,0,5.25320298539359e-05,0.000939139673832151
"Pomatomus saltatrix","Mexican Exclusive Economic Zone",0,0,0.0134897630942543,1.68206986349598
"Pomatomus saltatrix","Montserrat Exclusive Economic Zone",0,0,9.64294559682088e-06,4.66593001465896e-05
"Pomatomus saltatrix","Moroccan Exclusive Economic Zone",0,0,0.00376695880410215,0.187864642269605
"Pomatomus saltatrix","Mozambican Exclusive Economic Zone",0,0,0.000234805167163351,0.0458493283980157
"Pomatomus saltatrix","Myanmar Exclusive Economic Zone",0,0,0.00838840491752441,0.511656012201862
"Pomatomus saltatrix","Namibian Exclusive Economic Zone",0,0,0.0611047557998766,1.30277792627373
"Pomatomus saltatrix","New Caledonian Exclusive Economic Zone",0,0,0.000105653042062362,0.000460675119421948
"Pomatomus saltatrix","New Zealand Exclusive Economic Zone",0,0,0.00323077973940168,1.30277792627373
"Pomatomus saltatrix","Nicaraguan Exclusive Economic Zone",0,0,0.007640822544307,0.0975283743656281
"Pomatomus saltatrix","Nigerian Exclusive Economic Zone",0,0,0.00289035825204483,0.0712950961073658
"Pomatomus saltatrix","Norfolk Island Exclusive Economic Zone",0,0,0.000155817699606104,0.00150812418520776
"Pomatomus saltatrix","Oecussi Ambeno Exclusive Economic Zone",0,0,0.000515320468689974,0.000901009988455672
"Pomatomus saltatrix","Omani Exclusive Economic Zone",0,0,0.0166313260249411,1.0217219982287
