"Species","EEZ","p2","p4","Average","Max"
"Portunus pelagicus","Algerian Exclusive Economic Zone",0,0,0.00290809491157672,0.0315637999378496
"Portunus pelagicus","American Samoa Exclusive Economic Zone",0,0,0.00140678162021793,0.0130109135940187
"Portunus pelagicus","Australian Exclusive Economic Zone",0,0,0.00478374433649873,0.186861724517424
"Portunus pelagicus","Bahraini Exclusive Economic Zone",0,0,0.0817920060866897,0.202246092737643
"Portunus pelagicus","Bassas da India Exclusive Economic Zone",0,0,0.000822385141495256,0.00208746128838997
"Portunus pelagicus","Bruneian Exclusive Economic Zone",0,0,0.000401018175783027,0.00590647306216043
"Portunus pelagicus","Cambodian Exclusive Economic Zone",0,0,0.00137236036058901,0.0138499030861168
"Portunus pelagicus","Chagos Archipelago Exclusive Economic Zone",0,0,7.30365035678811e-05,0.000454356797511501
"Portunus pelagicus","Chilean Exclusive Economic Zone",0.00854700854700855,0,0.349820100025054,2.00951537990563
"Portunus pelagicus","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)",0,0,0.00289766848728199,0.00617641488102941
"Portunus pelagicus","Chinese Exclusive Economic Zone",0,0,0.0316910334686391,1.58778979812912
"Portunus pelagicus","Christmas Island Exclusive Economic Zone",0,0,4.86627119872141e-05,6.57823769644797e-05
"Portunus pelagicus","Clipperton Exclusive Economic Zone",0,0,3.5756150185078e-05,6.09113169651416e-05
"Portunus pelagicus","Cocos Islands Exclusive Economic Zone",0,0,0.000363317600595443,0.0013479054751553
"Portunus pelagicus","Colombian Exclusive Economic Zone",0,0,0.0174758645852989,0.523382819396539
"Portunus pelagicus","Comoran Exclusive Economic Zone",0,0,0.000100758670576782,0.000370256478989331
"Portunus pelagicus","Cook Islands Exclusive Economic Zone",0,0,0.00176920147975832,0.0144294359523374
"Portunus pelagicus","Costa Rican Exclusive Economic Zone",0,0,0.00243323974589747,0.0284398918940486
"Portunus pelagicus","Croatian Exclusive Economic Zone",0,0,0.131440574197085,0.609280715141735
"Portunus pelagicus","Djiboutian Exclusive Economic Zone",0,0,0.00608882401546284,0.0366213314125331
"Portunus pelagicus","East Timorian Exclusive Economic Zone",0,0,0.00356883641534174,0.0204070471125499
"Portunus pelagicus","Ecuadorian Exclusive Economic Zone",0,0,0.0524313356071392,0.567717762544011
"Portunus pelagicus","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.0737332098457292,0.805975196279953
"Portunus pelagicus","El Salvador Exclusive Economic Zone",0,0,0.00822224983144937,0.0695197129207586
"Portunus pelagicus","Eritrean Exclusive Economic Zone",0,0,0.0253935866590154,0.337668993861394
"Portunus pelagicus","Fijian Exclusive Economic Zone",0.000198255352894528,0,0.0129486045323482,2.00951537990563
"Portunus pelagicus","French Exclusive Economic Zone",0,0,0.0147509541294356,0.0147509541294356
"Portunus pelagicus","French Polynesian Exclusive Economic Zone",0,0,0.00125839063251409,0.0408442112379745
"Portunus pelagicus","Greek Exclusive Economic Zone",0,0,0.0401708509400748,0.246336226893614
"Portunus pelagicus","Guam Exclusive Economic Zone",0,0,8.00029820652621e-05,9.21952881079371e-05
"Portunus pelagicus","Guatemalan Exclusive Economic Zone",0,0,0.0073297873260456,0.0695197129207586
"Portunus pelagicus","Honduran Exclusive Economic Zone",0,0,0.0284458898813649,0.0636741786882612
"Portunus pelagicus","Howland and Baker Islands Exclusive Economic Zone",0,0,0.001602229005824,0.00216730199299447
"Portunus pelagicus","Ile Europa Exclusive Economic Zone",0,0,0.000822385141495256,0.00208746128838997
"Portunus pelagicus","Indian Exclusive Economic Zone",0,0,0.0138214701029444,0.410843890890605
"Portunus pelagicus","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.00157578172386187,0.0262067814925938
"Portunus pelagicus","Indonesian Exclusive Economic Zone",0,0,0.00249394954058089,0.368477364611705
"Portunus pelagicus","Iranian Exclusive Economic Zone",0,0,0.0998438712404046,1.06019077418214
"Portunus pelagicus","Italian Exclusive Economic Zone",0,0,0.0654484025747265,1.40352832417187
"Portunus pelagicus","Japanese Exclusive Economic Zone",0,0,0.0573541210583192,1.28163572508395
"Portunus pelagicus","Jarvis Island Exclusive Economic Zone",0,0,0.00155546897807691,0.00558738412481309
"Portunus pelagicus","Johnston Atoll Exclusive Economic Zone",0,0,0.00553358488375258,0.00575652843928083
"Portunus pelagicus","Joint regime area Australia / Papua New Guinea",0,0,0.000451793494792902,0.00110218561991464
