"x","y","sigmaNovelty","cell","EEZ"
-9.625,40.125,0.0288752523069594,1000,"Portuguese Exclusive Economic Zone"
-9.375,40.125,0.0617020692069636,1000,"Portuguese Exclusive Economic Zone"
-9.125,40.125,0.179950003898889,1000,"Portuguese Exclusive Economic Zone"
-8.875,40.125,0.333811806652763,1000,"Portuguese Exclusive Economic Zone"
0.375,40.125,0.0121509250126529,1506,"Spanish Exclusive Economic Zone"
0.625,40.125,0.00495805768882095,1534,"Spanish Exclusive Economic Zone"
2.375,40.125,0.00265708923826168,1534,"Spanish Exclusive Economic Zone"
2.625,40.125,0.00488172217910051,1534,"Spanish Exclusive Economic Zone"
2.875,40.125,0.00362307843045339,1534,"Spanish Exclusive Economic Zone"
3.125,40.125,0.00109456764823933,1534,"Spanish Exclusive Economic Zone"
3.375,40.125,0.000162188177361696,1534,"Spanish Exclusive Economic Zone"
3.625,40.125,6.62314772414362e-05,1534,"Spanish Exclusive Economic Zone"
3.875,40.125,0.000519767903443467,1534,"Spanish Exclusive Economic Zone"
4.125,40.125,9.79619776352046e-06,1534,"Spanish Exclusive Economic Zone"
8.375,40.125,0.00309542617223613,1590,"Italian Exclusive Economic Zone"
22.875,40.125,0.0665863365407246,1702,"Greek Exclusive Economic Zone"
23.125,40.125,0.0363963403206619,1702,"Greek Exclusive Economic Zone"
23.625,40.125,0.0186446435168039,1702,"Greek Exclusive Economic Zone"
24.125,40.125,0.00474837798218718,1702,"Greek Exclusive Economic Zone"
25.375,40.125,0.456542302439066,1702,"Greek Exclusive Economic Zone"
25.625,40.125,0.126561590528111,2207,"Turkish Exclusive Economic Zone"
26.125,40.125,0.225422327986206,2207,"Turkish Exclusive Economic Zone"
26.375,40.125,0.368655765391706,2207,"Turkish Exclusive Economic Zone"
-31.375,39.875,0.0980323120018203,938,"Portuguese Exclusive Economic Zone (Azores)"
-31.125,39.875,0.0809343644627682,966,"Portuguese Exclusive Economic Zone (Azores)"
-9.875,39.875,0.0756956657679179,999,"Portuguese Exclusive Economic Zone"
-9.625,39.875,0.0242345330911674,1000,"Portuguese Exclusive Economic Zone"
-9.375,39.875,0.108185998867342,1000,"Portuguese Exclusive Economic Zone"
-9.125,39.875,0.16479364686833,1000,"Portuguese Exclusive Economic Zone"
0.125,39.875,0.0230189158820551,1506,"Spanish Exclusive Economic Zone"
0.375,39.875,0.00926255016879529,1506,"Spanish Exclusive Economic Zone"
0.625,39.875,0.00102204211251544,1506,"Spanish Exclusive Economic Zone"
0.875,39.875,0.000744164256745093,1534,"Spanish Exclusive Economic Zone"
2.125,39.875,0.00273489222637847,1534,"Spanish Exclusive Economic Zone"
2.375,39.875,0.000396836295869322,1534,"Spanish Exclusive Economic Zone"
2.625,39.875,0.000171992733055405,1534,"Spanish Exclusive Economic Zone"
3.125,39.875,0.000963558091280616,1534,"Spanish Exclusive Economic Zone"
3.375,39.875,0.00133363387815122,1534,"Spanish Exclusive Economic Zone"
3.625,39.875,0.00297015757589666,1534,"Spanish Exclusive Economic Zone"
3.875,39.875,0.00172532989445811,1534,"Spanish Exclusive Economic Zone"
4.375,39.875,0.000748964128191777,1562,"Spanish Exclusive Economic Zone"
8.125,39.875,0.00348939903605836,1590,"Italian Exclusive Economic Zone"
8.375,39.875,0.0127886894498518,1590,"Italian Exclusive Economic Zone"
12.625,39.875,0.00470913933524987,1618,"Italian Exclusive Economic Zone"
12.875,39.875,0.00729462975732778,1618,"Italian Exclusive Economic Zone"
15.125,39.875,0.000220460318492993,1646,"Italian Exclusive Economic Zone"
15.375,39.875,0.00446520026685396,1646,"Italian Exclusive Economic Zone"
15.625,39.875,0.00101033776016663,1646,"Italian Exclusive Economic Zone"
22.875,39.875,0.0611872400761856,1702,"Greek Exclusive Economic Zone"
23.125,39.875,0.0392304987749859,1702,"Greek Exclusive Economic Zone"
23.375,39.875,0.0705895351383967,1702,"Greek Exclusive Economic Zone"
23.625,39.875,0.0863869551413801,1702,"Greek Exclusive Economic Zone"
23.875,39.875,0.0162129880741266,1702,"Greek Exclusive Economic Zone"
24.125,39.875,0.00094814441388609,1702,"Greek Exclusive Economic Zone"
24.375,39.875,0.000831946894925884,1702,"Greek Exclusive Economic Zone"
25.375,39.875,0.0208141044411514,2207,"Greek Exclusive Economic Zone"
25.625,39.875,0.0812108145422552,2207,"Greek Exclusive Economic Zone"
25.875,39.875,0.0938401390341997,2207,"Turkish Exclusive Economic Zone"
26.125,39.875,0.111656136472311,2207,"Turkish Exclusive Economic Zone"
-31.625,39.625,0.107750506361201,938,"Portuguese Exclusive Economic Zone (Azores)"
-31.375,39.625,0.0925507619515339,966,"Portuguese Exclusive Economic Zone (Azores)"
-31.125,39.625,0.0473922836160289,966,"Portuguese Exclusive Economic Zone (Azores)"
-30.875,39.625,0.0580256439972905,966,"Portuguese Exclusive Economic Zone (Azores)"
-28.125,39.625,0.00504344561623752,967,"Portuguese Exclusive Economic Zone (Azores)"
-27.875,39.625,0.00352324048847636,967,"Portuguese Exclusive Economic Zone (Azores)"
-10.125,39.625,0.0669145589012506,999,"Portuguese Exclusive Economic Zone"
-9.875,39.625,0.0235623069905886,999,"Portuguese Exclusive Economic Zone"
-9.625,39.625,0.0465531920162145,1000,"Portuguese Exclusive Economic Zone"
-9.375,39.625,0.00269025002556786,1000,"Portuguese Exclusive Economic Zone"
-9.125,39.625,0.0276711532998227,1000,"Portuguese Exclusive Economic Zone"
-0.125,39.625,0.0468289421100229,1506,"Spanish Exclusive Economic Zone"
0.125,39.625,0.00748791580705863,1506,"Spanish Exclusive Economic Zone"
0.375,39.625,0.00342442211530582,1506,"Spanish Exclusive Economic Zone"
0.625,39.625,0.000987700640997645,1506,"Spanish Exclusive Economic Zone"
0.875,39.625,0.00123735955539051,1534,"Spanish Exclusive Economic Zone"
1.125,39.625,0.000676722245881424,1534,"Spanish Exclusive Economic Zone"
1.375,39.625,0.000335558553230786,1534,"Spanish Exclusive Economic Zone"
1.625,39.625,0.000640529254148382,1534,"Spanish Exclusive Economic Zone"
1.875,39.625,0.00106982581285706,1534,"Spanish Exclusive Economic Zone"
2.125,39.625,0.00412835509126475,1534,"Spanish Exclusive Economic Zone"
2.375,39.625,0.000550874352742366,1534,"Spanish Exclusive Economic Zone"
3.625,39.625,0.00237276373871359,1534,"Spanish Exclusive Economic Zone"
3.875,39.625,7.18537497085224e-05,1534,"Spanish Exclusive Economic Zone"
4.125,39.625,0.00163718455625834,1534,"Spanish Exclusive Economic Zone"
4.375,39.625,0.00306695362016962,1562,"Spanish Exclusive Economic Zone"
7.875,39.625,0.000322875969602546,1590,"Italian Exclusive Economic Zone"
8.125,39.625,0.000210466189996471,1590,"Italian Exclusive Economic Zone"
8.375,39.625,0.00698806369745164,1590,"Italian Exclusive Economic Zone"
12.625,39.625,0.00550405326244779,1618,"Italian Exclusive Economic Zone"
12.875,39.625,0.00686513607846913,1618,"Italian Exclusive Economic Zone"
15.125,39.625,0.000275137455435585,1646,"Italian Exclusive Economic Zone"
15.375,39.625,4.78878868942185e-05,1646,"Italian Exclusive Economic Zone"
15.625,39.625,0.000468597590867136,1646,"Italian Exclusive Economic Zone"
23.125,39.625,0.00652007611956158,1702,"Greek Exclusive Economic Zone"
23.375,39.625,0.0157108430072396,1702,"Greek Exclusive Economic Zone"
23.625,39.625,0.0514117666554984,1702,"Greek Exclusive Economic Zone"
