"x","y","sigmaNovelty","cell","EEZ"
-57.375,54.875,0.00594122945708182,405,"Canadian Exclusive Economic Zone"
-57.125,54.875,0.0347901515247742,405,"Canadian Exclusive Economic Zone"
-54.875,54.875,0.402006122782608,406,"Canadian Exclusive Economic Zone"
-54.625,54.875,0.416932732348029,406,"Canadian Exclusive Economic Zone"
-57.375,54.625,0.00340997813730993,405,"Canadian Exclusive Economic Zone"
-57.125,54.625,0.0157494061634348,405,"Canadian Exclusive Economic Zone"
-56.875,54.625,0.00593474036918946,405,"Canadian Exclusive Economic Zone"
-54.875,54.625,0.26793084458909,406,"Canadian Exclusive Economic Zone"
-54.625,54.625,0.282365587479764,406,"Canadian Exclusive Economic Zone"
-57.625,54.375,0.000537392661633363,405,"Canadian Exclusive Economic Zone"
-57.375,54.375,0.00656480578539557,405,"Canadian Exclusive Economic Zone"
-57.125,54.375,0.00706477569008091,405,"Canadian Exclusive Economic Zone"
-56.875,54.375,0.0180471407766551,433,"Canadian Exclusive Economic Zone"
-57.375,54.125,0.00521060610589184,433,"Canadian Exclusive Economic Zone"
-57.125,54.125,0.00319068090526547,433,"Canadian Exclusive Economic Zone"
-55.625,52.625,0.00762908055779199,433,"Canadian Exclusive Economic Zone"
-55.375,52.625,0.00685222441760551,433,"Canadian Exclusive Economic Zone"
-55.625,52.375,0.0112227603950936,433,"Canadian Exclusive Economic Zone"
-55.375,52.375,0.00457883012663195,433,"Canadian Exclusive Economic Zone"
-55.125,52.375,0.0230535753034506,433,"Canadian Exclusive Economic Zone"
-55.625,52.125,0.0202644098476603,433,"Canadian Exclusive Economic Zone"
-55.375,52.125,0.0165463243870096,433,"Canadian Exclusive Economic Zone"
-55.125,52.125,0.00492457271630624,433,"Canadian Exclusive Economic Zone"
-54.875,52.125,0.0673656104210148,433,"Canadian Exclusive Economic Zone"
-55.875,51.875,0.0229478261302945,433,"Canadian Exclusive Economic Zone"
-55.625,51.875,0.0218697262140841,433,"Canadian Exclusive Economic Zone"
-55.375,51.875,0.0218186011226628,433,"Canadian Exclusive Economic Zone"
-55.125,51.875,0.0218224930614851,433,"Canadian Exclusive Economic Zone"
-54.875,51.875,0.0573033713168933,433,"Canadian Exclusive Economic Zone"
-56.625,51.625,0.0169693150784079,742,"Canadian Exclusive Economic Zone"
