"Species","EEZ","p2","p4","Average","Max"
"Rachycentron canadum","Angolan Exclusive Economic Zone",0,0,0.0623145997413636,0.606763467371528
"Rachycentron canadum","Anguilla Exclusive Economic Zone",0,0,6.20840383694853e-05,0.000196188747622485
"Rachycentron canadum","Antigua and Barbuda Exclusive Economic Zone",0,0,2.97433494817862e-05,0.000196188747622485
"Rachycentron canadum","Argentinean Exclusive Economic Zone",0,0,0.166243360435284,0.868419678561165
"Rachycentron canadum","Aruban Exclusive Economic Zone",0,0,3.41532587587692e-05,0.000325759184203148
"Rachycentron canadum","Ascension Exclusive Economic Zone",0,0,0.00351817799695361,0.0108961229832568
"Rachycentron canadum","Australian Exclusive Economic Zone",0,0,0.0038713298344764,0.162884992449748
"Rachycentron canadum","Bahamas Exclusive Economic Zone",0,0,0.000466729076157542,0.0297127907665649
"Rachycentron canadum","Bahraini Exclusive Economic Zone",0,0,0.22573497220345,0.803026093424657
"Rachycentron canadum","Barbados Exclusive Economic Zone",0,0,3.74161275229283e-05,0.000313818676337522
"Rachycentron canadum","Bassas da India Exclusive Economic Zone",0,0,6.81163663277388e-05,0.00035266704650379
"Rachycentron canadum","Belizean Exclusive Economic Zone",0,0,0.000860434141977143,0.0270227824744957
"Rachycentron canadum","Beninese Exclusive Economic Zone",0,0,0.00786791013130321,0.0400119644317494
"Rachycentron canadum","Bermudian Exclusive Economic Zone",0,0,0.00987409155540269,0.0226995287337065
"Rachycentron canadum","Bonaire Exclusive Economic Zone",0,0,2.1914676305888e-05,7.71726294426712e-05
"Rachycentron canadum","Brazilian Exclusive Economic Zone",0,0,0.017263670870394,0.729490117894762
"Rachycentron canadum","British Virgin Islands Exclusive Economic Zone",0,0,0.000124953389829118,0.000995934960078429
"Rachycentron canadum","Bruneian Exclusive Economic Zone",0,0,0.000419026086424735,0.0190292028411727
"Rachycentron canadum","Cambodian Exclusive Economic Zone",0,0,0.000504220309719536,0.00284835150679685
"Rachycentron canadum","Cameroonian Exclusive Economic Zone",0,0,0.0490879450768917,0.257297115839472
"Rachycentron canadum","Canadian Exclusive Economic Zone",0,0,0.837162290918506,1.70087349144158
"Rachycentron canadum","Cape Verdean Exclusive Economic Zone",0,0,0.00432439863653023,0.0455635304067675
"Rachycentron canadum","Cayman Islands Exclusive Economic Zone",0,0,5.92106163572271e-05,0.000215727086575107
"Rachycentron canadum","Chagos Archipelago Exclusive Economic Zone",0,0,7.19710525878412e-05,0.000398877628682287
"Rachycentron canadum","Chinese Exclusive Economic Zone",0,0,0.0139582986229899,1.48558808187476
"Rachycentron canadum","Christmas Island Exclusive Economic Zone",0,0,7.78318583111378e-05,0.000188988427943048
"Rachycentron canadum","Cocos Islands Exclusive Economic Zone",0,0,0.000239965908433124,0.000578935536289667
"Rachycentron canadum","Colombian Exclusive Economic Zone",0,0,0.00940071643377138,0.496328412507979
"Rachycentron canadum","Colombian Exclusive Economic Zone (Bajo Nuevo)",0,0,0.000210009171022928,0.000210009171022928
"Rachycentron canadum","Colombian Exclusive Economic Zone (Quitasueño)",0,0,8.85089297700037e-05,0.000255664259149079
"Rachycentron canadum","Colombian Exclusive Economic Zone (Serrana)",0,0,0.000568192966601828,0.000829114728947732
"Rachycentron canadum","Colombian Exclusive Economic Zone (Serranilla)",0,0,0.000326032974009895,0.00035924038925868
"Rachycentron canadum","Comoran Exclusive Economic Zone",0,0,5.12263053568806e-05,0.000283076074383871
"Rachycentron canadum","Congolese Exclusive Economic Zone",0,0,0.0126824693902481,0.0236339288031828
"Rachycentron canadum","Costa Rican Exclusive Economic Zone",0,0,0.000499142031221241,0.00494973304025299
"Rachycentron canadum","Cuban Exclusive Economic Zone",0,0,0.000484484200500325,0.0297127907665649
"Rachycentron canadum","Curaçaoan Exclusive Economic Zone",0,0,1.6086630487574e-05,3.86946449469138e-05
"Rachycentron canadum","Democratic Republic of the Congo Exclusive Economic Zone",0,0,0.0933030416506468,0.236921743064508
"Rachycentron canadum","Djiboutian Exclusive Economic Zone",0,0,0.00591186174566796,0.0366151918636064
"Rachycentron canadum","Dominican Exclusive Economic Zone",0,0,6.62711493953732e-06,3.92473403898156e-05
"Rachycentron canadum","Dominican Republic Exclusive Economic Zone",0,0,0.000250716262473042,0.00305512379386752
"Rachycentron canadum","East Timorian Exclusive Economic Zone",0,0,0.00316204576177049,0.0222295376468174
"Rachycentron canadum","Equatorial Guinean Exclusive Economic Zone",0,0,0.00506878192171111,0.257297115839472
"Rachycentron canadum","Eritrean Exclusive Economic Zone",0,0,0.0549303941335019,0.346928594545815
"Rachycentron canadum","French Guiana Exclusive Economic Zone",0,0,0.000891090756351653,0.0108263243210262
"Rachycentron canadum","Gabonese Exclusive Economic Zone",0,0,0.00351547463678725,0.0859726141124527
