"x","y","sigmaNovelty","cell","EEZ"
21.875,71.125,0.0167378362841663,3079,"Norwegian Exclusive Economic Zone"
22.125,71.125,0.0177657979733577,3079,"Norwegian Exclusive Economic Zone"
22.375,71.125,0.00520379679215904,3079,"Norwegian Exclusive Economic Zone"
22.625,71.125,0.0010773763282805,3078,"Norwegian Exclusive Economic Zone"
22.875,71.125,0.000499038945542346,3078,"Norwegian Exclusive Economic Zone"
23.125,71.125,0.000282667723724579,3078,"Norwegian Exclusive Economic Zone"
23.375,71.125,0.000136528058196972,3078,"Norwegian Exclusive Economic Zone"
23.625,71.125,0.00222351863649497,3078,"Norwegian Exclusive Economic Zone"
23.875,71.125,0.00131510676253403,3078,"Norwegian Exclusive Economic Zone"
24.125,71.125,0.00317805245459725,3078,"Norwegian Exclusive Economic Zone"
24.375,71.125,0.00534107528126361,3078,"Norwegian Exclusive Economic Zone"
24.625,71.125,0.00150619257400871,3078,"Norwegian Exclusive Economic Zone"
25.875,71.125,0.00714168076117914,3078,"Norwegian Exclusive Economic Zone"
26.125,71.125,0.00887906099675273,3078,"Norwegian Exclusive Economic Zone"
28.375,71.125,0.00131431587248608,3078,"Norwegian Exclusive Economic Zone"
28.625,71.125,0.000965239833104229,3078,"Norwegian Exclusive Economic Zone"
28.875,71.125,0.00101901289342174,3078,"Norwegian Exclusive Economic Zone"
29.125,71.125,0.00247764656640896,3078,"Norwegian Exclusive Economic Zone"
29.375,71.125,0.00993199544606254,3078,"Norwegian Exclusive Economic Zone"
29.625,71.125,0.0774266880789639,3078,"Norwegian Exclusive Economic Zone"
21.625,70.875,0.00428398988846037,3079,"Norwegian Exclusive Economic Zone"
21.875,70.875,0.000422379665605907,3079,"Norwegian Exclusive Economic Zone"
22.125,70.875,0.00233249883945583,3079,"Norwegian Exclusive Economic Zone"
22.375,70.875,0.0185109903035649,3079,"Norwegian Exclusive Economic Zone"
22.625,70.875,0.0269193423481603,3079,"Norwegian Exclusive Economic Zone"
22.875,70.875,0.00793474157928764,3078,"Norwegian Exclusive Economic Zone"
23.125,70.875,0.000621217708427064,3078,"Norwegian Exclusive Economic Zone"
23.375,70.875,0.000567808023442833,3078,"Norwegian Exclusive Economic Zone"
23.625,70.875,0.00534266239581754,3078,"Norwegian Exclusive Economic Zone"
23.875,70.875,0.0128553549874588,3078,"Norwegian Exclusive Economic Zone"
24.125,70.875,0.00868117327197514,3078,"Norwegian Exclusive Economic Zone"
24.375,70.875,0.0230009312536688,3078,"Norwegian Exclusive Economic Zone"
24.625,70.875,0.0507491952455435,3078,"Norwegian Exclusive Economic Zone"
25.875,70.875,0.0819271395835475,3078,"Norwegian Exclusive Economic Zone"
26.125,70.875,0.0746532147164431,3078,"Norwegian Exclusive Economic Zone"
27.125,70.875,0.0894933282491141,3078,"Norwegian Exclusive Economic Zone"
27.375,70.875,0.0600344164137448,3078,"Norwegian Exclusive Economic Zone"
28.625,70.875,9.72956984305553e-05,3078,"Norwegian Exclusive Economic Zone"
29.125,70.875,3.80964694836927e-05,3078,"Norwegian Exclusive Economic Zone"
29.375,70.875,0.00219858105189044,3078,"Norwegian Exclusive Economic Zone"
29.625,70.875,0.0104295199304439,3078,"Norwegian Exclusive Economic Zone"
29.875,70.875,0.0174670380292262,3078,"Norwegian Exclusive Economic Zone"
30.625,70.875,0.0431606168138129,3078,"Norwegian Exclusive Economic Zone"
30.875,70.875,0.0491480828233114,3078,"Norwegian Exclusive Economic Zone"
18.375,70.625,0.0207825832353899,3079,"Norwegian Exclusive Economic Zone"
18.625,70.625,0.0193282224554643,3079,"Norwegian Exclusive Economic Zone"
18.875,70.625,0.0261262093957557,3079,"Norwegian Exclusive Economic Zone"
19.125,70.625,0.015133333544524,3079,"Norwegian Exclusive Economic Zone"
19.375,70.625,0.00801883509081317,3079,"Norwegian Exclusive Economic Zone"
19.625,70.625,0.00871047208409365,3079,"Norwegian Exclusive Economic Zone"
19.875,70.625,0.0101559010103322,3079,"Norwegian Exclusive Economic Zone"
20.125,70.625,0.0197696592477327,3079,"Norwegian Exclusive Economic Zone"
20.375,70.625,0.0303247608591128,3079,"Norwegian Exclusive Economic Zone"
20.625,70.625,0.0216821574261212,3079,"Norwegian Exclusive Economic Zone"
20.875,70.625,0.00912806042448936,3079,"Norwegian Exclusive Economic Zone"
21.125,70.625,0.00418230935166685,3079,"Norwegian Exclusive Economic Zone"
21.375,70.625,0.00945398446342124,3079,"Norwegian Exclusive Economic Zone"
21.625,70.625,0.00800480867244749,3079,"Norwegian Exclusive Economic Zone"
21.875,70.625,0.00623234118007121,3079,"Norwegian Exclusive Economic Zone"
23.125,70.625,0.0323007141330313,3079,"Norwegian Exclusive Economic Zone"
23.375,70.625,0.0181448726988414,3078,"Norwegian Exclusive Economic Zone"
23.625,70.625,0.0132341879498804,3078,"Norwegian Exclusive Economic Zone"
24.125,70.625,0.0200403630382504,3078,"Norwegian Exclusive Economic Zone"
24.625,70.625,0.0290818152786428,3078,"Norwegian Exclusive Economic Zone"
25.375,70.625,0.00100317354722655,3078,"Norwegian Exclusive Economic Zone"
25.625,70.625,0.00729981486003533,3078,"Norwegian Exclusive Economic Zone"
25.875,70.625,0.00764494192031199,3078,"Norwegian Exclusive Economic Zone"
26.625,70.625,0.0973555947089497,3078,"Norwegian Exclusive Economic Zone"
26.875,70.625,0.107308687900347,3078,"Norwegian Exclusive Economic Zone"
27.125,70.625,0.125879598362246,3078,"Norwegian Exclusive Economic Zone"
28.375,70.625,0.00039348110511333,3078,"Norwegian Exclusive Economic Zone"
30.625,70.625,0.0293936109442528,3050,"Norwegian Exclusive Economic Zone"
30.875,70.625,0.0370603420426793,3050,"Norwegian Exclusive Economic Zone"
31.125,70.625,0.0406435786382469,3050,"Norwegian Exclusive Economic Zone"
18.125,70.375,0.0127606739681882,3079,"Norwegian Exclusive Economic Zone"
18.375,70.375,0.0122016308120821,3079,"Norwegian Exclusive Economic Zone"
18.625,70.375,0.0121411397522067,3079,"Norwegian Exclusive Economic Zone"
18.875,70.375,0.0106333524308422,3079,"Norwegian Exclusive Economic Zone"
19.125,70.375,0.0128001067429334,3079,"Norwegian Exclusive Economic Zone"
19.375,70.375,0.0227513706699064,3079,"Norwegian Exclusive Economic Zone"
19.625,70.375,0.0196810059047778,3079,"Norwegian Exclusive Economic Zone"
