"Species","EEZ","p2","p4","Average","Max"
"Schedophilus ovalis","Albanian Exclusive Economic Zone",0,0,0.014815465636861,0.0754355685887881
"Schedophilus ovalis","Algerian Exclusive Economic Zone",0,0,0.00164547761265794,0.0244887270514475
"Schedophilus ovalis","Angolan Exclusive Economic Zone",0,0,0.180719991294277,0.606725347473828
"Schedophilus ovalis","Bahamas Exclusive Economic Zone",0,0,0.0208990032575476,0.0353600998714609
"Schedophilus ovalis","Bermudian Exclusive Economic Zone",0,0,0.0173495614768129,0.0385831224246414
"Schedophilus ovalis","Brazilian Exclusive Economic Zone",0,0,0.0462293417528524,0.729496284654748
"Schedophilus ovalis","Canadian Exclusive Economic Zone",0,0,0.0265149078974779,0.0399340030069966
"Schedophilus ovalis","Cape Verdean Exclusive Economic Zone",0,0,0.0238292599794612,0.201206526611638
"Schedophilus ovalis","Croatian Exclusive Economic Zone",0,0,0.0594795940076661,0.890044696379928
"Schedophilus ovalis","Cypriote Exclusive Economic Zone",0,0,0.0167794247686522,0.0302757882320572
"Schedophilus ovalis","Egyptian Exclusive Economic Zone",0,0,0.0153110946414603,0.0955017169955756
"Schedophilus ovalis","French Exclusive Economic Zone",0,0,0.0264683482775748,1.26224631903483
"Schedophilus ovalis","Greek Exclusive Economic Zone",0,0,0.0315942483159105,0.982980781774062
"Schedophilus ovalis","Italian Exclusive Economic Zone",0,0,0.0204204844775048,1.33427824999071
"Schedophilus ovalis","Joint regime area Croatia / Slovenia",0,0,0.609237332183951,0.609237332183951
"Schedophilus ovalis","Joint regime area Italy / France",0,0,1.45264698955475e-05,1.45264698955475e-05
"Schedophilus ovalis","Libyan Exclusive Economic Zone",0,0,0.0169170751792468,0.271487475564131
"Schedophilus ovalis","Maltese Exclusive Economic Zone",0,0,0.00126410934686059,0.0128520342141971
"Schedophilus ovalis","Monégasque Exclusive Economic Zone",0,0,0.00709254330435091,0.00944236591495853
"Schedophilus ovalis","Montenegrin Exclusive economic Zone",0,0,0.0137594326297965,0.0654068238676842
"Schedophilus ovalis","Moroccan Exclusive Economic Zone",0,0,0.011005534489117,0.188047013827203
"Schedophilus ovalis","Namibian Exclusive Economic Zone",0,0,0.160569111720421,0.929158274440918
"Schedophilus ovalis","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.000987788492606043,0.000987788492606043
"Schedophilus ovalis","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.00803403588986954,0.0120912986392789
"Schedophilus ovalis","Overlapping claim Melilla: Spain / Morocco",0,0,6.92352566130222e-05,6.92352566130222e-05
"Schedophilus ovalis","Overlapping claim Western Saharan Exclusive Economic Zone",0,0,0.0306295132485471,0.13377692475441
"Schedophilus ovalis","Portuguese Exclusive Economic Zone",0,0,0.0505623676436537,0.343391800451636
"Schedophilus ovalis","Portuguese Exclusive Economic Zone (Azores)",0,0,0.0108714182298798,0.106243664232276
"Schedophilus ovalis","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.00207299531192999,0.0138309622971776
"Schedophilus ovalis","Senegalese Exclusive Economic Zone",0,0,0.21099476479502,0.56533800648241
"Schedophilus ovalis","Slovenian Exclusive Economic Zone",0,0,0.123443005461169,0.123443005461169
"Schedophilus ovalis","South African Exclusive Economic Zone",0,0,0.0430266166087008,0.642582869118931
"Schedophilus ovalis","Spanish Exclusive Economic Zone",0,0,0.0235156837783181,1.26224631903483
"Schedophilus ovalis","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.0149674106562022,0.13377692475441
"Schedophilus ovalis","St. Helena Exclusive Economic Zone",0,0,0.0160140723937165,0.152232340850789
"Schedophilus ovalis","Tunisian Exclusive Economic Zone",0,0,0.00598003129388666,0.206917853963528
"Schedophilus ovalis","Turkish Exclusive Economic Zone",0,0,0.0515755156290819,0.225826973905478
"Schedophilus ovalis","United States Exclusive Economic Zone",0,0,0.0291154415900498,0.359810923017789
