"x","y","sigmaNovelty","cell","EEZ"
-3.625,46.125,0.000184055062836556,919,"French Exclusive Economic Zone"
-3.375,46.125,0.00232015990030213,919,"French Exclusive Economic Zone"
-3.125,46.125,0.00856468909195453,919,"French Exclusive Economic Zone"
-2.875,46.125,0.00919054475513381,919,"French Exclusive Economic Zone"
-2.625,46.125,0.0105695849407247,919,"French Exclusive Economic Zone"
-2.375,46.125,0.00416028551546778,919,"French Exclusive Economic Zone"
-2.125,46.125,0.0231126879638745,1481,"French Exclusive Economic Zone"
-1.875,46.125,0.0633162979536059,1481,"French Exclusive Economic Zone"
-3.875,45.875,0.00326936669308886,919,"French Exclusive Economic Zone"
-3.625,45.875,0.000181182381539565,919,"French Exclusive Economic Zone"
-3.375,45.875,0.000856983899860069,919,"French Exclusive Economic Zone"
-3.125,45.875,0.00527849981142491,919,"French Exclusive Economic Zone"
-2.875,45.875,0.00475006975354587,919,"French Exclusive Economic Zone"
-2.625,45.875,0.00338660780165991,919,"French Exclusive Economic Zone"
-2.375,45.875,0.00545482078511532,919,"French Exclusive Economic Zone"
-2.125,45.875,0.00371647504616874,1481,"French Exclusive Economic Zone"
-1.875,45.875,0.0040706587349866,1481,"French Exclusive Economic Zone"
-1.625,45.875,0.048151849551968,1481,"French Exclusive Economic Zone"
-3.875,45.625,0.00437512087892422,919,"French Exclusive Economic Zone"
-3.625,45.625,0.00228983429179335,919,"French Exclusive Economic Zone"
-3.375,45.625,0.000234639183044054,919,"French Exclusive Economic Zone"
-3.125,45.625,0.00180525187013499,919,"French Exclusive Economic Zone"
-2.875,45.625,0.00341226923886693,919,"French Exclusive Economic Zone"
-2.625,45.625,0.00230353951551399,919,"French Exclusive Economic Zone"
-2.375,45.625,0.00174641990876223,1480,"French Exclusive Economic Zone"
-2.125,45.625,0.0135430079178918,1480,"French Exclusive Economic Zone"
-1.875,45.625,0.0120816865557352,1481,"French Exclusive Economic Zone"
-1.625,45.625,0.00355550704306112,1481,"French Exclusive Economic Zone"
-1.375,45.625,0.0588712680551187,1481,"French Exclusive Economic Zone"
13.125,45.625,0.643915623477459,1565,"Italian Exclusive Economic Zone"
13.375,45.625,0.414258451919334,1593,"Italian Exclusive Economic Zone"
13.625,45.625,0.123443005461169,1593,"Slovenian Exclusive Economic Zone"
-3.625,45.375,0.00273324837386197,919,"French Exclusive Economic Zone"
-3.375,45.375,0.00106160283045963,919,"French Exclusive Economic Zone"
-3.125,45.375,0.00124493343669289,1480,"French Exclusive Economic Zone"
-2.875,45.375,0.00302420172261067,1480,"French Exclusive Economic Zone"
-2.625,45.375,0.00422613521740779,1480,"French Exclusive Economic Zone"
-2.375,45.375,0.00302073184571579,1480,"French Exclusive Economic Zone"
-2.125,45.375,0.00183060103490756,1480,"French Exclusive Economic Zone"
-1.875,45.375,0.00524212202578629,1480,"French Exclusive Economic Zone"
-1.625,45.375,0.00739191552342326,1480,"French Exclusive Economic Zone"
-1.375,45.375,0.031100340949006,1480,"French Exclusive Economic Zone"
12.625,45.375,1.1039919726567,1565,"Italian Exclusive Economic Zone"
12.875,45.375,0.918891479175327,1565,"Italian Exclusive Economic Zone"
13.125,45.375,0.524689469333828,1565,"Italian Exclusive Economic Zone"
13.375,45.375,0.609237332183951,1593,"Croatian Exclusive Economic Zone"
-3.375,45.125,0.00334608412247064,1480,"French Exclusive Economic Zone"
-3.125,45.125,0.00100784894755712,1480,"French Exclusive Economic Zone"
-2.875,45.125,0.00242127201411926,1480,"French Exclusive Economic Zone"
-2.625,45.125,0.00405132298025013,1480,"French Exclusive Economic Zone"
-2.375,45.125,0.00432185815214456,1480,"French Exclusive Economic Zone"
-2.125,45.125,0.00627676200104656,1480,"French Exclusive Economic Zone"
-1.875,45.125,0.00632573935226348,1480,"French Exclusive Economic Zone"
-1.625,45.125,0.00998374725190299,1480,"French Exclusive Economic Zone"
-1.375,45.125,0.0533987557982207,1480,"French Exclusive Economic Zone"
12.625,45.125,1.33427824999071,1565,"Italian Exclusive Economic Zone"
12.875,45.125,1.3202053783541,1565,"Italian Exclusive Economic Zone"
13.125,45.125,0.488959333101213,1592,"Croatian Exclusive Economic Zone"
13.375,45.125,0.684887757563575,1593,"Croatian Exclusive Economic Zone"
14.375,45.125,0.00829050099703501,1593,"Croatian Exclusive Economic Zone"
-3.125,44.875,0.00352491360939195,1480,"French Exclusive Economic Zone"
-2.875,44.875,0.00638167989972647,1480,"French Exclusive Economic Zone"
-2.625,44.875,0.00384204231171769,1480,"French Exclusive Economic Zone"
-2.375,44.875,0.00175331024415198,1480,"French Exclusive Economic Zone"
