"x","y","sigmaNovelty","cell","EEZ"
2.625,51.375,0.109922590850383,1483,"Belgian Exclusive Economic Zone"
2.875,51.375,0.391692019646607,1483,"Belgian Exclusive Economic Zone"
2.625,51.125,0.292220135856686,1483,"Belgian Exclusive Economic Zone"
1.625,50.875,0.0201141227201412,1483,NA
-10.625,50.125,0.00881498650716547,863,"Irish Exclusive Economic Zone"
-10.375,50.125,0.0147253205936232,863,"Irish Exclusive Economic Zone"
-10.125,50.125,0.0107752196053601,863,"Irish Exclusive Economic Zone"
-9.875,50.125,0.0107013596121327,863,"Irish Exclusive Economic Zone"
-9.625,50.125,0.0134548979878808,863,"Irish Exclusive Economic Zone"
-9.375,50.125,0.0263167780389891,863,"Irish Exclusive Economic Zone"
-10.875,49.875,0.0148427254776373,863,"Irish Exclusive Economic Zone"
-10.625,49.875,0.00882224878970499,863,"Irish Exclusive Economic Zone"
-10.375,49.875,0.00559075168229008,863,"Irish Exclusive Economic Zone"
-10.125,49.875,0.00464860392102537,863,"Irish Exclusive Economic Zone"
-9.875,49.875,0.00447891343241729,863,"Irish Exclusive Economic Zone"
-9.625,49.875,0.00961904756492231,863,"Irish Exclusive Economic Zone"
-9.375,49.875,0.01311378341216,863,"Irish Exclusive Economic Zone"
-9.125,49.875,0.00600050380881093,863,"Irish Exclusive Economic Zone"
-11.125,49.625,0.00692444020688915,863,"Irish Exclusive Economic Zone"
-10.875,49.625,0.00558937692082601,863,"Irish Exclusive Economic Zone"
-10.625,49.625,0.00481031584034059,863,"Irish Exclusive Economic Zone"
-10.375,49.625,0.00484483842740767,863,"Irish Exclusive Economic Zone"
-10.125,49.625,0.00292098076643172,863,"Irish Exclusive Economic Zone"
-9.875,49.625,0.0067538972379748,863,"Irish Exclusive Economic Zone"
-9.625,49.625,0.00841382337202796,863,"Irish Exclusive Economic Zone"
-9.375,49.625,0.0163829929101969,863,"Irish Exclusive Economic Zone"
-9.125,49.625,0.0142102754968315,863,"Irish Exclusive Economic Zone"
-8.875,49.625,0.0166768213289215,863,"Irish Exclusive Economic Zone"
-11.125,49.375,0.0050747501887404,890,"Irish Exclusive Economic Zone"
-10.875,49.375,0.0108077234549058,890,"Irish Exclusive Economic Zone"
-10.625,49.375,0.00476667894076508,890,"Irish Exclusive Economic Zone"
-10.375,49.375,0.00485939129525856,863,"Irish Exclusive Economic Zone"
-10.125,49.375,0.0028967603625135,863,"Irish Exclusive Economic Zone"
-9.875,49.375,0.00463318151536388,863,"Irish Exclusive Economic Zone"
-9.625,49.375,0.00652572394731954,863,"Irish Exclusive Economic Zone"
-9.375,49.375,0.00771977957636119,863,"Irish Exclusive Economic Zone"
-9.125,49.375,0.00891794246878726,863,"Irish Exclusive Economic Zone"
-8.875,49.375,0.0111495000432398,863,"United Kingdom Exclusive Economic Zone"
-2.375,49.375,0.0839203839746642,892,"Guernsey Exclusive Economic Zone"
-2.125,49.375,0.0778101379170267,892,"Jersey Exclusive Economic Zone"
-10.875,49.125,0.0133433133714213,890,"Irish Exclusive Economic Zone"
-10.625,49.125,0.0110770217161642,890,"Irish Exclusive Economic Zone"
-10.375,49.125,0.00402745849097848,890,"Irish Exclusive Economic Zone"
-10.125,49.125,0.00362411332597558,890,"Irish Exclusive Economic Zone"
-9.875,49.125,0.00162815033939371,890,"Irish Exclusive Economic Zone"
-9.625,49.125,0.00161351185313108,890,"Irish Exclusive Economic Zone"
-9.375,49.125,0.00047929389559044,863,"Irish Exclusive Economic Zone"
-9.125,49.125,0.000100642467707543,891,"United Kingdom Exclusive Economic Zone"
-8.875,49.125,9.42790714794694e-05,891,"United Kingdom Exclusive Economic Zone"
-8.625,49.125,0.000305365993365798,891,"United Kingdom Exclusive Economic Zone"
-8.375,49.125,0.00251895851537448,891,"United Kingdom Exclusive Economic Zone"
-8.125,49.125,0.011139114148663,891,"United Kingdom Exclusive Economic Zone"
-7.875,49.125,0.016772179942547,891,"United Kingdom Exclusive Economic Zone"
-7.625,49.125,0.00985522681229671,891,"United Kingdom Exclusive Economic Zone"
-7.375,49.125,0.00756596539564365,891,"United Kingdom Exclusive Economic Zone"
-7.125,49.125,0.00807369537633504,891,"United Kingdom Exclusive Economic Zone"
-6.875,49.125,0.00931665821018562,891,"United Kingdom Exclusive Economic Zone"
-6.625,49.125,0.00935293916715077,891,"United Kingdom Exclusive Economic Zone"
-6.375,49.125,0.00587223742816751,891,"United Kingdom Exclusive Economic Zone"
-6.125,49.125,0.00434173598054797,891,"United Kingdom Exclusive Economic Zone"
-5.875,49.125,0.00396070459163303,891,"French Exclusive Economic Zone"
-5.625,49.125,0.00380255116513272,891,"French Exclusive Economic Zone"
-5.375,49.125,0.00202056116165412,891,"French Exclusive Economic Zone"
-5.125,49.125,0.0062454145222971,892,"French Exclusive Economic Zone"
-4.875,49.125,0.00111182814309507,892,"French Exclusive Economic Zone"
-4.625,49.125,0.000299114523499708,892,"French Exclusive Economic Zone"
-4.375,49.125,0.00135524652564412,892,"French Exclusive Economic Zone"
-4.125,49.125,0.0158453263540936,892,"French Exclusive Economic Zone"
-3.875,49.125,0.0561774748787929,892,"French Exclusive Economic Zone"
-2.375,49.125,0.0974442695093429,892,"Jersey Exclusive Economic Zone"
-2.125,49.125,0.0814126359895308,892,"Jersey Exclusive Economic Zone"
-10.625,48.875,0.0237251424077535,890,"Irish Exclusive Economic Zone"
-10.375,48.875,0.0117258164469401,890,"Irish Exclusive Economic Zone"
-10.125,48.875,0.00752905563667858,890,"Irish Exclusive Economic Zone"
-9.875,48.875,0.00361557007949151,890,"Irish Exclusive Economic Zone"
-9.625,48.875,0.00136201885868102,890,"Irish Exclusive Economic Zone"
-9.375,48.875,8.23181908496448e-05,890,"United Kingdom Exclusive Economic Zone"
-9.125,48.875,0.000330816529899946,891,"United Kingdom Exclusive Economic Zone"
-8.875,48.875,0.000367740386056127,891,"United Kingdom Exclusive Economic Zone"
-8.625,48.875,0.000172643255430591,891,"United Kingdom Exclusive Economic Zone"
-8.375,48.875,0.000119226605734288,891,"United Kingdom Exclusive Economic Zone"
-8.125,48.875,0.000556178665983296,891,"United Kingdom Exclusive Economic Zone"
-7.875,48.875,0.00158048360303495,891,"United Kingdom Exclusive Economic Zone"
-7.625,48.875,0.00440574722903103,891,"United Kingdom Exclusive Economic Zone"
-7.375,48.875,0.0148846304708187,891,"United Kingdom Exclusive Economic Zone"
-7.125,48.875,0.0170956726548185,891,"United Kingdom Exclusive Economic Zone"
-6.875,48.875,0.0150157180911737,891,"United Kingdom Exclusive Economic Zone"
-6.625,48.875,0.011831501138465,891,"French Exclusive Economic Zone"
-6.375,48.875,0.011756169347438,891,"French Exclusive Economic Zone"
-6.125,48.875,0.00644290008309867,891,"French Exclusive Economic Zone"
-5.875,48.875,0.00547691728436949,891,"French Exclusive Economic Zone"
-5.625,48.875,0.00330361772736043,891,"French Exclusive Economic Zone"
-5.375,48.875,0.00996531658522918,891,"French Exclusive Economic Zone"
-5.125,48.875,0.00315944652705129,891,"French Exclusive Economic Zone"
-4.875,48.875,7.94828428246892e-05,892,"French Exclusive Economic Zone"
-4.625,48.875,0.000238113659663663,892,"French Exclusive Economic Zone"
-4.375,48.875,0.00628714974897397,892,"French Exclusive Economic Zone"
-4.125,48.875,0.0234652942863011,892,"French Exclusive Economic Zone"
-3.875,48.875,0.0432096818808839,892,"French Exclusive Economic Zone"
-3.625,48.875,0.0236224904422819,892,"French Exclusive Economic Zone"
-9.375,48.625,0.00143498516734087,890,"United Kingdom Exclusive Economic Zone"
-9.125,48.625,0.00152200705310433,890,"United Kingdom Exclusive Economic Zone"
-8.875,48.625,0.00121794754992268,891,"United Kingdom Exclusive Economic Zone"
-8.625,48.625,0.000884613603082594,891,"United Kingdom Exclusive Economic Zone"
-8.375,48.625,0.00330691109017141,891,"United Kingdom Exclusive Economic Zone"
-8.125,48.625,0.000364014671568499,891,"United Kingdom Exclusive Economic Zone"
-7.875,48.625,0.000440071162948438,891,"United Kingdom Exclusive Economic Zone"
-7.625,48.625,0.0011187081773454,891,"French Exclusive Economic Zone"
-7.375,48.625,0.00325500490847814,891,"French Exclusive Economic Zone"
-7.125,48.625,0.00626191934080874,891,"French Exclusive Economic Zone"
-6.875,48.625,0.00766674951951714,891,"French Exclusive Economic Zone"
-6.625,48.625,0.00397828875502134,891,"French Exclusive Economic Zone"
-6.375,48.625,0.00526170876342218,891,"French Exclusive Economic Zone"
-6.125,48.625,0.00621825415417257,891,"French Exclusive Economic Zone"
-5.875,48.625,0.00656580348466253,891,"French Exclusive Economic Zone"
-5.625,48.625,0.00357485153458369,891,"French Exclusive Economic Zone"
-5.375,48.625,0.00211241938570501,891,"French Exclusive Economic Zone"
-5.125,48.625,0.00014312643777907,891,"French Exclusive Economic Zone"
-4.875,48.625,0.000270908112960357,892,"French Exclusive Economic Zone"
-4.625,48.625,0.0121352679305984,892,"French Exclusive Economic Zone"
-9.125,48.375,0.0113706770315395,890,"United Kingdom Exclusive Economic Zone"
-8.875,48.375,0.00659848787227654,891,"United Kingdom Exclusive Economic Zone"
-8.625,48.375,0.00496141578010573,891,"French Exclusive Economic Zone"
-8.375,48.375,0.00782394530536209,891,"French Exclusive Economic Zone"
-8.125,48.375,0.00429396876924888,891,"French Exclusive Economic Zone"
-7.875,48.375,0.00407180674421529,891,"French Exclusive Economic Zone"
-7.625,48.375,0.00536621940175528,891,"French Exclusive Economic Zone"
-7.375,48.375,0.00566628198804254,891,"French Exclusive Economic Zone"
-7.125,48.375,0.0064985907751889,891,"French Exclusive Economic Zone"
-6.875,48.375,0.00720602384478257,891,"French Exclusive Economic Zone"
-6.625,48.375,0.00977935394245921,891,"French Exclusive Economic Zone"
-6.375,48.375,0.00547061882251678,891,"French Exclusive Economic Zone"
-6.125,48.375,0.00648440663574747,891,"French Exclusive Economic Zone"
-5.875,48.375,0.00683113479999203,891,"French Exclusive Economic Zone"
-5.625,48.375,0.00371197702452362,891,"French Exclusive Economic Zone"
-5.375,48.375,0.000472055360907134,891,"French Exclusive Economic Zone"
-5.125,48.375,0.000202377778833867,891,"French Exclusive Economic Zone"
-4.875,48.375,0.0116998336930117,892,"French Exclusive Economic Zone"
-7.625,48.125,0.00781921305691857,891,"French Exclusive Economic Zone"
-7.375,48.125,0.00522849833397677,891,"French Exclusive Economic Zone"
-7.125,48.125,0.00443973468874475,891,"French Exclusive Economic Zone"
-6.875,48.125,0.00586478427391217,891,"French Exclusive Economic Zone"
-6.625,48.125,0.00643581986201609,891,"French Exclusive Economic Zone"
-6.375,48.125,0.00398038001418373,891,"French Exclusive Economic Zone"
-6.125,48.125,0.00459836841070651,891,"French Exclusive Economic Zone"
-5.875,48.125,0.00641857114716632,891,"French Exclusive Economic Zone"
-5.625,48.125,0.00539292038489746,891,"French Exclusive Economic Zone"
-5.375,48.125,0.00123418192161446,891,"French Exclusive Economic Zone"
-5.125,48.125,1.95505551375463e-05,891,"French Exclusive Economic Zone"
-4.875,48.125,0.0110405034616803,891,"French Exclusive Economic Zone"
-4.625,48.125,0.0173008777207942,892,"French Exclusive Economic Zone"
-4.375,48.125,0.0260682027936844,892,"French Exclusive Economic Zone"
-7.625,47.875,0.00234222310808902,891,"French Exclusive Economic Zone"
-7.375,47.875,0.00205732198045877,891,"French Exclusive Economic Zone"
-7.125,47.875,0.00226070748316354,891,"French Exclusive Economic Zone"
-6.875,47.875,0.00551345399930063,891,"French Exclusive Economic Zone"
-6.625,47.875,0.00376090913273239,891,"French Exclusive Economic Zone"
-6.375,47.875,0.00701416583238086,891,"French Exclusive Economic Zone"
-6.125,47.875,0.00415176003039179,891,"French Exclusive Economic Zone"
-5.875,47.875,0.00644584211651952,891,"French Exclusive Economic Zone"
-5.625,47.875,0.00333514417838381,891,"French Exclusive Economic Zone"
-5.375,47.875,0.00297396867459792,891,"French Exclusive Economic Zone"
-5.125,47.875,0.00356868148486227,891,"French Exclusive Economic Zone"
-4.875,47.875,0.0150545482372398,891,"French Exclusive Economic Zone"
-4.625,47.875,0.0107041295653636,892,"French Exclusive Economic Zone"
-4.375,47.875,0.0191932845513842,892,"French Exclusive Economic Zone"
-7.375,47.625,0.00387870430602047,891,"French Exclusive Economic Zone"
-7.125,47.625,0.00154913879359663,891,"French Exclusive Economic Zone"
-6.625,47.625,0.00961165043289636,891,"French Exclusive Economic Zone"
-6.375,47.625,0.0301600056016612,891,"French Exclusive Economic Zone"
-6.125,47.625,0.0285881602964722,891,"French Exclusive Economic Zone"
-5.875,47.625,0.00622127118903424,891,"French Exclusive Economic Zone"
-5.625,47.625,0.00631453080775073,891,"French Exclusive Economic Zone"
-5.375,47.625,0.0201632666075711,891,"French Exclusive Economic Zone"
-5.125,47.625,0.0238285001869054,919,"French Exclusive Economic Zone"
-4.875,47.625,0.0312887584138574,919,"French Exclusive Economic Zone"
-4.625,47.625,0.0327091388250751,919,"French Exclusive Economic Zone"
-4.375,47.625,0.0171154328716812,919,"French Exclusive Economic Zone"
-4.125,47.625,0.0239384538931066,919,"French Exclusive Economic Zone"
-3.875,47.625,0.0246938814705245,892,"French Exclusive Economic Zone"
-3.625,47.625,0.0240152008388597,892,"French Exclusive Economic Zone"
-3.375,47.625,0.0272892448369458,892,"French Exclusive Economic Zone"
-6.625,47.375,0.000161822201141659,891,"French Exclusive Economic Zone"
-6.375,47.375,0.00374166702881092,891,"French Exclusive Economic Zone"
-6.125,47.375,0.0236657437557825,891,"French Exclusive Economic Zone"
-5.875,47.375,0.0286976803463726,891,"French Exclusive Economic Zone"
-5.625,47.375,0.00545760351757195,919,"French Exclusive Economic Zone"
-5.375,47.375,0.00125366156439283,919,"French Exclusive Economic Zone"
-5.125,47.375,0.00818908948170033,919,"French Exclusive Economic Zone"
-4.875,47.375,0.0187724317641352,919,"French Exclusive Economic Zone"
-4.625,47.375,0.0222119340161962,919,"French Exclusive Economic Zone"
-4.375,47.375,0.0220880011594862,919,"French Exclusive Economic Zone"
-4.125,47.375,0.0109725314241273,919,"French Exclusive Economic Zone"
-3.875,47.375,0.0136526159403041,919,"French Exclusive Economic Zone"
-3.625,47.375,0.0173773650847966,919,"French Exclusive Economic Zone"
-3.375,47.375,0.0274477458030433,919,"French Exclusive Economic Zone"
-3.125,47.375,0.0453794051736429,892,"French Exclusive Economic Zone"
-2.875,47.375,0.0557759241123613,892,"French Exclusive Economic Zone"
-2.625,47.375,0.0545722295580808,892,"French Exclusive Economic Zone"
-6.375,47.125,0.000103809320802871,919,"French Exclusive Economic Zone"
-6.125,47.125,0.000411764529741038,919,"French Exclusive Economic Zone"
-5.875,47.125,0.000731792671084025,919,"French Exclusive Economic Zone"
-5.625,47.125,0.00166140933401659,919,"French Exclusive Economic Zone"
-5.375,47.125,0.00397127142041704,919,"French Exclusive Economic Zone"
-5.125,47.125,0.00082614855420635,919,"French Exclusive Economic Zone"
-4.875,47.125,0.00116613714408324,919,"French Exclusive Economic Zone"
-4.625,47.125,0.0044049444707666,919,"French Exclusive Economic Zone"
-4.375,47.125,0.0126198807132662,919,"French Exclusive Economic Zone"
-4.125,47.125,0.0112183329723713,919,"French Exclusive Economic Zone"
-3.875,47.125,0.0122186102156677,919,"French Exclusive Economic Zone"
-3.625,47.125,0.00859563164735505,919,"French Exclusive Economic Zone"
-3.375,47.125,0.000629693230970695,919,"French Exclusive Economic Zone"
-3.125,47.125,0.0438405849553038,919,"French Exclusive Economic Zone"
-2.875,47.125,0.0527933931986219,919,"French Exclusive Economic Zone"
-2.625,47.125,0.0514681565473605,919,"French Exclusive Economic Zone"
-2.375,47.125,0.0476305934434645,1481,"French Exclusive Economic Zone"
-6.125,46.875,0.000631354902028666,919,"French Exclusive Economic Zone"
-5.875,46.875,0.00364997334102272,919,"French Exclusive Economic Zone"
-5.625,46.875,0.0118251718921736,919,"French Exclusive Economic Zone"
-5.375,46.875,0.0191349977440531,919,"French Exclusive Economic Zone"
-5.125,46.875,0.0010676265184005,919,"French Exclusive Economic Zone"
-4.875,46.875,0.00502114782525029,919,"French Exclusive Economic Zone"
-4.625,46.875,0.00361344752934148,919,"French Exclusive Economic Zone"
-4.375,46.875,0.0100039150584878,919,"French Exclusive Economic Zone"
-4.125,46.875,0.0212313979485479,919,"French Exclusive Economic Zone"
-3.875,46.875,0.00753164618716402,919,"French Exclusive Economic Zone"
-3.625,46.875,0.021492935025194,919,"French Exclusive Economic Zone"
-3.375,46.875,0.0142731146230232,919,"French Exclusive Economic Zone"
-3.125,46.875,0.00578037589599505,919,"French Exclusive Economic Zone"
-2.875,46.875,0.0422296443481589,919,"French Exclusive Economic Zone"
-2.625,46.875,0.0237993768011854,919,"French Exclusive Economic Zone"
-2.375,46.875,0.0547814229200354,1481,"French Exclusive Economic Zone"
-5.875,46.625,0.00141396077200438,919,"French Exclusive Economic Zone"
-5.625,46.625,0.00244315614242819,919,"French Exclusive Economic Zone"
-5.125,46.625,0.00981516195030183,919,"French Exclusive Economic Zone"
-4.875,46.625,0.00402418289981225,919,"French Exclusive Economic Zone"
-4.625,46.625,0.00192696034757332,919,"French Exclusive Economic Zone"
-4.375,46.625,0.00150506949153884,919,"French Exclusive Economic Zone"
-4.125,46.625,0.00059053723718034,919,"French Exclusive Economic Zone"
-3.875,46.625,0.0160571976800905,919,"French Exclusive Economic Zone"
-3.625,46.625,0.00540440302284414,919,"French Exclusive Economic Zone"
-3.375,46.625,0.0288796398902375,919,"French Exclusive Economic Zone"
-3.125,46.625,0.0105481632689883,919,"French Exclusive Economic Zone"
-2.875,46.625,0.0287305335799955,919,"French Exclusive Economic Zone"
-2.625,46.625,0.00418107642148185,919,"French Exclusive Economic Zone"
-2.375,46.625,0.0466026199980299,1481,"French Exclusive Economic Zone"
-2.125,46.625,0.0695780977054422,1481,"French Exclusive Economic Zone"
-1.875,46.625,0.0731127409091701,1481,"French Exclusive Economic Zone"
-5.125,46.375,0.0214582530399939,919,"French Exclusive Economic Zone"
-4.875,46.375,0.0227854126851398,919,"French Exclusive Economic Zone"
-4.625,46.375,0.00639075234088044,919,"French Exclusive Economic Zone"
-4.375,46.375,6.56814756394132e-05,919,"French Exclusive Economic Zone"
