"x","y","sigmaNovelty","cell","EEZ"
13.125,68.375,0.311513633296439,25,"Norwegian Exclusive Economic Zone"
13.375,68.375,0.339066674480105,25,"Norwegian Exclusive Economic Zone"
13.125,68.125,0.427067566916916,25,"Norwegian Exclusive Economic Zone"
13.875,67.625,0.0314496207857923,25,"Norwegian Exclusive Economic Zone"
14.125,67.625,0.0556537803003316,25,"Norwegian Exclusive Economic Zone"
13.625,67.375,0.0581567796904888,25,"Norwegian Exclusive Economic Zone"
13.875,67.375,0.0319112839208641,25,"Norwegian Exclusive Economic Zone"
14.125,67.375,0.00572948349522509,25,"Norwegian Exclusive Economic Zone"
14.375,67.375,0.038482439929774,25,"Norwegian Exclusive Economic Zone"
13.625,67.125,0.0445157528507393,25,"Norwegian Exclusive Economic Zone"
13.875,67.125,0.0832809728421626,25,"Norwegian Exclusive Economic Zone"
12.125,66.375,0.00875708336796607,25,"Norwegian Exclusive Economic Zone"
12.375,66.375,0.0142750937278108,25,"Norwegian Exclusive Economic Zone"
11.375,66.125,0.0296663209004143,26,"Norwegian Exclusive Economic Zone"
11.625,66.125,0.0460301312770264,26,"Norwegian Exclusive Economic Zone"
11.875,66.125,0.00901001328679058,26,"Norwegian Exclusive Economic Zone"
12.125,66.125,0.027799362332282,26,"Norwegian Exclusive Economic Zone"
12.375,66.125,0.0294900671723561,26,"Norwegian Exclusive Economic Zone"
11.125,65.875,0.0392078484172336,26,"Norwegian Exclusive Economic Zone"
11.375,65.875,0.0594088454508647,26,"Norwegian Exclusive Economic Zone"
11.625,65.875,0.00593985827285524,26,"Norwegian Exclusive Economic Zone"
11.875,65.875,0.0384893899428008,26,"Norwegian Exclusive Economic Zone"
12.125,65.875,0.04549173093712,26,"Norwegian Exclusive Economic Zone"
10.875,65.625,0.0498742628224001,26,"Norwegian Exclusive Economic Zone"
11.125,65.625,0.0646660932711985,26,"Norwegian Exclusive Economic Zone"
11.375,65.625,0.00924701502427243,26,"Norwegian Exclusive Economic Zone"
11.625,65.625,0.027278918461156,26,"Norwegian Exclusive Economic Zone"
12.125,65.625,0.465980552972878,26,"Norwegian Exclusive Economic Zone"
10.625,65.375,0.0667421008875862,26,"Norwegian Exclusive Economic Zone"
10.875,65.375,0.115209606138621,26,"Norwegian Exclusive Economic Zone"
11.125,65.375,0.0201851936848167,26,"Norwegian Exclusive Economic Zone"
11.375,65.375,0.0186364683428879,26,"Norwegian Exclusive Economic Zone"
11.625,65.375,0.160923027227315,26,"Norwegian Exclusive Economic Zone"
11.875,65.375,0.343645507351399,26,"Norwegian Exclusive Economic Zone"
12.125,65.375,0.128494333168509,26,"Norwegian Exclusive Economic Zone"
10.375,65.125,0.0953745523655599,26,"Norwegian Exclusive Economic Zone"
10.625,65.125,0.107306914515381,26,"Norwegian Exclusive Economic Zone"
10.875,65.125,0.02582244863955,26,"Norwegian Exclusive Economic Zone"
11.125,65.125,0.00536222704821565,26,"Norwegian Exclusive Economic Zone"
11.375,65.125,0.0319470361610615,26,"Norwegian Exclusive Economic Zone"
11.625,65.125,0.238171704832879,26,"Norwegian Exclusive Economic Zone"
11.875,65.125,0.385228566668696,26,NA
10.125,64.875,0.0905995457213715,26,"Norwegian Exclusive Economic Zone"
10.375,64.875,0.112216078430504,26,"Norwegian Exclusive Economic Zone"
10.625,64.875,0.0208319959029964,26,"Norwegian Exclusive Economic Zone"
8.875,64.625,0.0459344281180507,26,"Norwegian Exclusive Economic Zone"
9.125,64.625,0.00924963765693366,26,"Norwegian Exclusive Economic Zone"
9.375,64.625,0.00528863894983358,26,"Norwegian Exclusive Economic Zone"
9.625,64.625,0.0142671527411915,26,"Norwegian Exclusive Economic Zone"
9.875,64.625,0.0439738807212926,26,"Norwegian Exclusive Economic Zone"
10.125,64.625,0.128671881932082,26,"Norwegian Exclusive Economic Zone"
10.375,64.625,0.142645833721192,26,"Norwegian Exclusive Economic Zone"
10.625,64.625,0.0325935487079227,26,"Norwegian Exclusive Economic Zone"
10.875,64.625,0.00439870619148275,26,"Norwegian Exclusive Economic Zone"
8.625,64.375,0.0674605248380426,26,"Norwegian Exclusive Economic Zone"
8.875,64.375,0.101905194751897,26,"Norwegian Exclusive Economic Zone"
9.125,64.375,0.103597829756931,26,"Norwegian Exclusive Economic Zone"
9.375,64.375,0.101763774499207,26,"Norwegian Exclusive Economic Zone"
9.625,64.375,0.116668301592033,26,"Norwegian Exclusive Economic Zone"
9.875,64.375,0.149022693790266,26,"Norwegian Exclusive Economic Zone"
10.125,64.375,0.181474687322674,26,"Norwegian Exclusive Economic Zone"
10.375,64.375,0.158047536808724,26,"Norwegian Exclusive Economic Zone"
-22.625,64.125,0.0228292313869558,189,"Icelandic Exclusive Economic Zone"
-22.375,64.125,1.29489553624665,189,"Icelandic Exclusive Economic Zone"
7.875,64.125,0.0134235882052796,54,"Norwegian Exclusive Economic Zone"
8.125,64.125,0.0793048313014708,54,"Norwegian Exclusive Economic Zone"
8.375,64.125,0.113909411180943,54,"Norwegian Exclusive Economic Zone"
8.625,64.125,0.16542511619152,54,"Norwegian Exclusive Economic Zone"
8.875,64.125,0.187735610971233,54,"Norwegian Exclusive Economic Zone"
9.125,64.125,0.21042161353544,26,"Norwegian Exclusive Economic Zone"
9.375,64.125,0.168786041321523,26,"Norwegian Exclusive Economic Zone"
9.625,64.125,0.0563631352439617,26,"Norwegian Exclusive Economic Zone"
9.875,64.125,0.0341662121022475,26,"Norwegian Exclusive Economic Zone"
-22.875,63.875,0.389267220826666,189,"Icelandic Exclusive Economic Zone"
7.625,63.875,0.00876682560919627,54,"Norwegian Exclusive Economic Zone"
7.875,63.875,0.056483688578229,54,"Norwegian Exclusive Economic Zone"
8.125,63.875,0.174048479734985,54,"Norwegian Exclusive Economic Zone"
8.375,63.875,0.128295490981981,54,"Norwegian Exclusive Economic Zone"
8.625,63.875,0.0861812398814579,54,"Norwegian Exclusive Economic Zone"
8.875,63.875,0.115787121983875,54,"Norwegian Exclusive Economic Zone"
9.125,63.875,0.114989925873242,54,"Norwegian Exclusive Economic Zone"
9.375,63.875,0.0359325595233924,27,"Norwegian Exclusive Economic Zone"
9.625,63.875,0.0273844221974061,27,"Norwegian Exclusive Economic Zone"
-22.875,63.625,0.908450425528609,189,"Icelandic Exclusive Economic Zone"
-22.625,63.625,0.611110714766984,189,"Icelandic Exclusive Economic Zone"
-22.375,63.625,0.516029251837963,189,"Icelandic Exclusive Economic Zone"
-22.125,63.625,0.41299089782634,189,"Icelandic Exclusive Economic Zone"
-21.125,63.625,0.2820272662022,189,"Icelandic Exclusive Economic Zone"
-20.875,63.625,0.462862715199297,189,"Icelandic Exclusive Economic Zone"
-20.625,63.625,0.13812637161794,189,"Icelandic Exclusive Economic Zone"
-17.625,63.625,0.779793079751315,162,"Icelandic Exclusive Economic Zone"
-17.375,63.625,0.605275376790667,162,"Icelandic Exclusive Economic Zone"
-17.125,63.625,0.111344229158301,162,"Icelandic Exclusive Economic Zone"
-16.875,63.625,0.0700756334714189,162,"Icelandic Exclusive Economic Zone"
-16.625,63.625,0.154859884759536,162,"Icelandic Exclusive Economic Zone"
6.875,63.625,0.00195298779708583,54,"Norwegian Exclusive Economic Zone"
7.125,63.625,0.00557241925735758,54,"Norwegian Exclusive Economic Zone"
7.375,63.625,0.0375416479441718,54,"Norwegian Exclusive Economic Zone"
7.625,63.625,0.0846560671723882,54,"Norwegian Exclusive Economic Zone"
7.875,63.625,0.0774896589888013,54,"Norwegian Exclusive Economic Zone"
8.125,63.625,0.114721391053151,54,"Norwegian Exclusive Economic Zone"
8.375,63.625,0.090591001273234,54,"Norwegian Exclusive Economic Zone"
8.875,63.625,0.0748831335489967,27,NA
9.125,63.625,0.048633474658015,27,"Norwegian Exclusive Economic Zone"
9.375,63.625,0.0164131048648443,27,"Norwegian Exclusive Economic Zone"
9.625,63.625,0.0443337969120198,27,"Norwegian Exclusive Economic Zone"
-22.625,63.375,0.702919588891289,189,"Icelandic Exclusive Economic Zone"
-22.375,63.375,0.577013133397904,189,"Icelandic Exclusive Economic Zone"
-21.125,63.375,0.188987670886899,189,"Icelandic Exclusive Economic Zone"
-20.875,63.375,0.813927583464639,189,"Icelandic Exclusive Economic Zone"
