"Species","EEZ","p2","p4","Average","Max"
"Sepia officinalis","Albanian Exclusive Economic Zone",0,0,0.0708438222183785,0.55296044634067
"Sepia officinalis","Algerian Exclusive Economic Zone",0,0,0.00183796845119023,0.0244704672037961
"Sepia officinalis","Angolan Exclusive Economic Zone",0,0,0.19657849731268,0.373653411171911
"Sepia officinalis","Belgian Exclusive Economic Zone",0,0,0.142409302941682,0.458234098220777
"Sepia officinalis","Croatian Exclusive Economic Zone",0,0,0.06697106153383,0.787278094458841
"Sepia officinalis","Cypriote Exclusive Economic Zone",0,0,0.0785025758883621,0.27434595420408
"Sepia officinalis","Danish Exclusive Economic Zone",0,0,0.0338375839999277,0.373335537569572
"Sepia officinalis","Dutch Exclusive Economic Zone",0,0,0.0602170778667891,0.998051309875154
"Sepia officinalis","Egyptian Exclusive Economic Zone",0,0,0.0507676524085554,0.225356523483606
"Sepia officinalis","Faeroe Exclusive Economic Zone",0,0,0.0305139234494634,0.38877949067293
"Sepia officinalis","French Exclusive Economic Zone",0,0,0.0281047621278192,1.26226666754272
"Sepia officinalis","Gambian Exclusive Economic Zone",0,0,1.14987082112032,1.9268531978427
"Sepia officinalis","German Exclusive Economic Zone",0,0,0.0464410149720736,0.564608141771174
"Sepia officinalis","Greek Exclusive Economic Zone",0,0,0.0579271031328292,1.09145838494557
"Sepia officinalis","Guernsey Exclusive Economic Zone",0,0,0.0270810854738624,0.0887565612555391
"Sepia officinalis","Guinean Exclusive Economic Zone",0,0,0.646434777559322,0.993670135379975
"Sepia officinalis","Irish Exclusive Economic Zone",0,0,0.0159935103139054,0.151523092371222
"Sepia officinalis","Israeli Exclusive Economic Zone",0,0,0.0454534318976205,0.225356523483606
"Sepia officinalis","Italian Exclusive Economic Zone",0,0,0.0344328766113549,1.40352391885714
"Sepia officinalis","Jersey Exclusive Economic Zone",0,0,0.0769749616025369,0.0974720027902136
"Sepia officinalis","Joint regime area Croatia / Slovenia",0,0,0.609261969891991,0.609261969891991
"Sepia officinalis","Joint regime area Italy / France",0,0,1.45502705015548e-05,1.45502705015548e-05
"Sepia officinalis","Joint regime area Spain / France",0,0,0.00179013912809277,0.00245585951271596
"Sepia officinalis","Joint regime area Sweden / Norway",0,0,0.101788337725896,0.166692601161802
"Sepia officinalis","Joint regime area United Kingdom / Denmark (Faeroe Islands)",0,0,0.026660546600605,0.0436794746633417
"Sepia officinalis","Lebanese Exclusive Economic Zone",0,0,0.105448655048067,0.27434595420408
"Sepia officinalis","Libyan Exclusive Economic Zone",0,0,0.0293438617211098,0.467907131557064
"Sepia officinalis","Maltese Exclusive Economic Zone",0,0,0.000896099119117121,0.00365684119110711
"Sepia officinalis","Mauritanian Exclusive Economic Zone",0,0,0.582011032041416,1.80580815535272
"Sepia officinalis","Monégasque Exclusive Economic Zone",0,0,0.00709148570083009,0.00943311665912932
"Sepia officinalis","Montenegrin Exclusive economic Zone",0,0,0.0467200312645178,0.501857543066608
"Sepia officinalis","Moroccan Exclusive Economic Zone",0,0,0.017423767029358,0.31308997164954
"Sepia officinalis","Norwegian Exclusive Economic Zone",0,0,0.0257434322486334,0.656236160485058
"Sepia officinalis","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.000990641618729517,0.000990641618729517
"Sepia officinalis","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.00804076961039092,0.0120989158389535
"Sepia officinalis","Overlapping claim Melilla: Spain / Morocco",0,0,6.94484566336883e-05,6.94484566336883e-05
"Sepia officinalis","Overlapping claim Western Saharan Exclusive Economic Zone",0,0,0.122691945542297,1.14140747555638
"Sepia officinalis","Polish Exclusive Economic Zone",0,0,0.72586094454487,1.03226766140162
"Sepia officinalis","Portuguese Exclusive Economic Zone",0,0,0.062590359324443,0.343401110838712
"Sepia officinalis","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.00284212686679324,0.018265570117348
"Sepia officinalis","Senegalese Exclusive Economic Zone",0,0,1.14987082112032,1.9268531978427
"Sepia officinalis","Sierra Leonian Exclusive Economic Zone",0,0,0.721611420471765,0.993670135379975
"Sepia officinalis","Slovenian Exclusive Economic Zone",0,0,0.123501592733477,0.123501592733477
"Sepia officinalis","Spanish Exclusive Economic Zone",0,0,0.0261027492410495,1.26226666754272
"Sepia officinalis","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.0239639516050216,0.399874185402574
"Sepia officinalis","Swedish Exclusive Economic Zone",0,0,0.135739276018921,1.11988245759836
"Sepia officinalis","Syrian Exclusive Economic Zone",0,0,0.463829368697753,0.956205462916583
"Sepia officinalis","Tunisian Exclusive Economic Zone",0,0,0.0325336656408231,0.798211509988887
"Sepia officinalis","Turkish Exclusive Economic Zone",0,0,0.180357123747621,1.09145838494557
"Sepia officinalis","United Kingdom Exclusive Economic Zone",0,0,0.0223901577782888,0.458234098220777
