"x","y","sigmaNovelty","cell","EEZ"
4.875,62.125,0.0118028719735333,55,"Norwegian Exclusive Economic Zone"
5.375,62.125,0.00359520218431037,55,"Norwegian Exclusive Economic Zone"
-6.375,61.875,0.38877949067293,136,"Faeroe Exclusive Economic Zone"
-6.125,61.875,0.0512451433004817,136,"Faeroe Exclusive Economic Zone"
4.625,61.875,0.00956431964178797,55,"Norwegian Exclusive Economic Zone"
4.875,61.875,0.0160422153086318,55,"Norwegian Exclusive Economic Zone"
-8.625,61.625,0.0124304230137972,136,"Faeroe Exclusive Economic Zone"
-8.375,61.625,0.00498268639045379,136,"Faeroe Exclusive Economic Zone"
-7.125,61.625,0.0440316687958855,136,"Faeroe Exclusive Economic Zone"
-6.875,61.625,0.0280025856927045,136,"Faeroe Exclusive Economic Zone"
-6.625,61.625,0.0100144279433647,136,"Faeroe Exclusive Economic Zone"
-6.375,61.625,0.0182285437479995,136,"Faeroe Exclusive Economic Zone"
-6.125,61.625,0.00367878916478778,136,"Faeroe Exclusive Economic Zone"
-5.875,61.625,0.0140775289362504,109,"Faeroe Exclusive Economic Zone"
-1.125,61.625,0.00418257016826457,82,"United Kingdom Exclusive Economic Zone"
-0.875,61.625,0.00906066205073821,82,"United Kingdom Exclusive Economic Zone"
-0.625,61.625,0.00742418964620232,82,"United Kingdom Exclusive Economic Zone"
-0.375,61.625,0.00665028353333586,82,"United Kingdom Exclusive Economic Zone"
-0.125,61.625,0.0110933061068964,82,"United Kingdom Exclusive Economic Zone"
0.125,61.625,0.00478104235804251,82,"United Kingdom Exclusive Economic Zone"
4.375,61.625,0.00786120920885481,55,"Norwegian Exclusive Economic Zone"
4.625,61.625,0.00625595913841185,55,"Norwegian Exclusive Economic Zone"
4.875,61.625,0.0122538188289256,55,NA
5.125,61.625,0.0201437936457036,55,"Norwegian Exclusive Economic Zone"
-8.875,61.375,0.033105223884741,136,"Faeroe Exclusive Economic Zone"
-8.625,61.375,0.0185377611425817,136,"Faeroe Exclusive Economic Zone"
-8.375,61.375,0.00127996377023983,136,"Faeroe Exclusive Economic Zone"
-8.125,61.375,0.000918941574705826,136,"Faeroe Exclusive Economic Zone"
-7.375,61.375,0.0552457660408324,136,"Faeroe Exclusive Economic Zone"
-7.125,61.375,0.0667395522960875,136,"Faeroe Exclusive Economic Zone"
-6.875,61.375,0.174603676969678,136,"Faeroe Exclusive Economic Zone"
-6.625,61.375,0.0177541180261139,754,"Faeroe Exclusive Economic Zone"
-6.375,61.375,0.00545086029475086,754,"Faeroe Exclusive Economic Zone"
-6.125,61.375,0.0160383031928227,754,"Faeroe Exclusive Economic Zone"
-5.875,61.375,0.0071802344389465,754,"Faeroe Exclusive Economic Zone"
-1.375,61.375,0.00214977039829317,755,"United Kingdom Exclusive Economic Zone"
-1.125,61.375,0.00866442784696076,82,"United Kingdom Exclusive Economic Zone"
-0.875,61.375,0.00320602850377354,82,"United Kingdom Exclusive Economic Zone"
-0.625,61.375,0.0081968787220598,82,"United Kingdom Exclusive Economic Zone"
-0.375,61.375,0.0147933817099534,82,"United Kingdom Exclusive Economic Zone"
-0.125,61.375,0.00679856956560432,82,"United Kingdom Exclusive Economic Zone"
0.125,61.375,0.00553854638245318,82,"United Kingdom Exclusive Economic Zone"
0.375,61.375,0.00706243525926213,82,"United Kingdom Exclusive Economic Zone"
4.375,61.375,0.00107489683873535,55,"Norwegian Exclusive Economic Zone"
4.625,61.375,0.00497075749439839,55,"Norwegian Exclusive Economic Zone"
4.875,61.375,0.0315296653073096,55,"Norwegian Exclusive Economic Zone"
-9.125,61.125,0.0164473184141131,136,"Faeroe Exclusive Economic Zone"
-8.875,61.125,0.00548270853746436,136,"Faeroe Exclusive Economic Zone"
-8.625,61.125,0.0120004438052573,136,"Faeroe Exclusive Economic Zone"
-8.375,61.125,0.00990123371896869,136,"Faeroe Exclusive Economic Zone"
-8.125,61.125,0.003372108329697,136,"Faeroe Exclusive Economic Zone"
-7.875,61.125,0.0100591685718831,136,"Faeroe Exclusive Economic Zone"
