"Species","EEZ","p2","p4","Average","Max"
"Seriola dumerili","Albanian Exclusive Economic Zone",0,0,0.0210630438950098,0.190372867642977
"Seriola dumerili","Algerian Exclusive Economic Zone",0,0,0.00156801055622932,0.0244798593435832
"Seriola dumerili","American Samoa Exclusive Economic Zone",0,0,0.00544445884751126,0.0281500195646316
"Seriola dumerili","Angolan Exclusive Economic Zone",0,0,0.0513761725016545,0.535579125960618
"Seriola dumerili","Anguilla Exclusive Economic Zone",0,0,6.177708227565e-05,0.00027019435799517
"Seriola dumerili","Antigua and Barbuda Exclusive Economic Zone",0,0,2.54719808445157e-05,0.000170123912527867
"Seriola dumerili","Aruban Exclusive Economic Zone",0,0,3.16525631106472e-05,0.000325970649847115
"Seriola dumerili","Ascension Exclusive Economic Zone",0,0,0.00017945233018974,0.000569050942828654
"Seriola dumerili","Australian Exclusive Economic Zone",0,0,0.00335839148772887,0.121816915682675
"Seriola dumerili","Bahamas Exclusive Economic Zone",0,0,0.000472855722986532,0.0303311930682565
"Seriola dumerili","Bahraini Exclusive Economic Zone",0,0,0.0759199259384288,0.128894165487595
"Seriola dumerili","Barbados Exclusive Economic Zone",0,0,3.04064171019669e-05,0.000314368136291455
"Seriola dumerili","Bassas da India Exclusive Economic Zone",0,0,8.99050108535399e-05,0.000439704344582921
"Seriola dumerili","Belizean Exclusive Economic Zone",0,0,0.000783288816571928,0.0270216250203168
"Seriola dumerili","Beninese Exclusive Economic Zone",0,0,0.00428475876160789,0.0189185210485888
"Seriola dumerili","Bermudian Exclusive Economic Zone",0,0,0.00734788140360444,0.0159295382376954
"Seriola dumerili","Bonaire Exclusive Economic Zone",0,0,2.58544280691323e-05,7.72692062466026e-05
"Seriola dumerili","Brazilian Exclusive Economic Zone",0,0,0.0108310868104571,0.368624280035627
"Seriola dumerili","Brazilian Exclusive Economic Zone (Trindade)",0,0,0.000114605886053878,0.0002539059588901
"Seriola dumerili","British Virgin Islands Exclusive Economic Zone",0,0,0.000132657412437696,0.0009959336069031
"Seriola dumerili","Bruneian Exclusive Economic Zone",0,0,0.000380216964554018,0.00872235710715553
"Seriola dumerili","Cambodian Exclusive Economic Zone",0,0,0.00115036483177813,0.0138381817592978
"Seriola dumerili","Cameroonian Exclusive Economic Zone",0,0,0.0333544249150901,0.257289835793843
"Seriola dumerili","Canadian Exclusive Economic Zone",0.0609756097560976,0,0.335442860517446,3.97729661069368
"Seriola dumerili","Cape Verdean Exclusive Economic Zone",0,0,0.00366082671981997,0.0254782129695309
"Seriola dumerili","Cayman Islands Exclusive Economic Zone",0,0,2.58298438420342e-05,0.000200664637022027
"Seriola dumerili","Chagos Archipelago Exclusive Economic Zone",0,0,3.40570505080377e-05,0.000207936953951864
"Seriola dumerili","Chilean Exclusive Economic Zone",0,0,0.285978187294518,1.34671364601919
"Seriola dumerili","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)",0,0,0.0622273688986946,0.174416758761779
"Seriola dumerili","Chinese Exclusive Economic Zone",0,0,0.0261120968230304,1.58779071028628
"Seriola dumerili","Christmas Island Exclusive Economic Zone",0,0,4.41022447026089e-05,0.000308723832433713
"Seriola dumerili","Clipperton Exclusive Economic Zone",0,0,3.59486643442327e-05,6.11846525156337e-05
"Seriola dumerili","Cocos Islands Exclusive Economic Zone",0,0,0.000187177747246606,0.000636681035110204
"Seriola dumerili","Colombian Exclusive Economic Zone",0,0,0.00833895587314178,0.496348139359445
"Seriola dumerili","Colombian Exclusive Economic Zone (Bajo Nuevo)",0,0,0.000119977532444543,0.000119977532444543
"Seriola dumerili","Colombian Exclusive Economic Zone (Quitasueño)",0,0,6.55408699792419e-05,0.000117574793610562
"Seriola dumerili","Colombian Exclusive Economic Zone (Serrana)",0,0,8.2186069968729e-05,0.000123691123636775
"Seriola dumerili","Colombian Exclusive Economic Zone (Serranilla)",0,0,0.00013550284429289,0.000182418900792349
"Seriola dumerili","Comoran Exclusive Economic Zone",0,0,5.92232159984961e-05,0.000307949826723582
"Seriola dumerili","Congolese Exclusive Economic Zone",0,0,0.0184006074712194,0.0184414200689991
"Seriola dumerili","Cook Islands Exclusive Economic Zone",0,0,0.00235103859871244,0.0149884995303834
"Seriola dumerili","Costa Rican Exclusive Economic Zone",0,0,0.0014475169965632,0.017244231170917
"Seriola dumerili","Croatian Exclusive Economic Zone",0,0,0.021933663637341,0.481211436557107
"Seriola dumerili","Cuban Exclusive Economic Zone",0,0,0.000409381181964281,0.0297153151815551
"Seriola dumerili","Curaçaoan Exclusive Economic Zone",0,0,1.68461797336184e-05,5.97644610347601e-05
"Seriola dumerili","Cypriote Exclusive Economic Zone",0,0,0.0060191056784932,0.0251114540464853
"Seriola dumerili","Democratic Republic of the Congo Exclusive Economic Zone",0,0,0.0496187106917919,0.0878471642829416
"Seriola dumerili","Djiboutian Exclusive Economic Zone",0,0,0.00591242705232517,0.0366175294844339
"Seriola dumerili","Dominican Exclusive Economic Zone",0,0,7.36082919254217e-06,3.11037816218846e-05
"Seriola dumerili","Dominican Republic Exclusive Economic Zone",0,0,0.000199532733889309,0.00305514683824095
"Seriola dumerili","East Timorian Exclusive Economic Zone",0,0,0.00381956031558415,0.0222254908986891
"Seriola dumerili","Ecuadorian Exclusive Economic Zone",0,0,0.0405678594900242,0.448781434996273
"Seriola dumerili","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.0528571783112154,0.74912973882101
"Seriola dumerili","Egyptian Exclusive Economic Zone",0,0,0.00411463110036735,0.01218599476554
"Seriola dumerili","El Salvador Exclusive Economic Zone",0,0,0.00559434203245615,0.0722862517563258
"Seriola dumerili","Equatorial Guinean Exclusive Economic Zone",0,0,0.00650390913544267,0.257289835793843
"Seriola dumerili","Eritrean Exclusive Economic Zone",0,0,0.0115430281851462,0.280132555531685
"Seriola dumerili","Fijian Exclusive Economic Zone",0,0,0.0169418724843996,1.733940085486
"Seriola dumerili","French Exclusive Economic Zone",0,0,0.025262890331368,0.911307929382573
"Seriola dumerili","French Guiana Exclusive Economic Zone",0,0,0.000774227895664921,0.0116113687424973
"Seriola dumerili","French Polynesian Exclusive Economic Zone",0,0,0.000372080105424523,0.00684937073956241
"Seriola dumerili","Gabonese Exclusive Economic Zone",0,0,0.00290981705929188,0.0859904315329603
"Seriola dumerili","Gambian Exclusive Economic Zone",0,0,0.0161307517216013,0.086337446411962
"Seriola dumerili","Ghanaian Exclusive Economic Zone",0,0,0.015755587313777,0.0857841400489955
"Seriola dumerili","Greek Exclusive Economic Zone",0,0,0.0153722447580197,0.204708081501846
