"Species","EEZ","p2","p4","Average","Max"
"Seriola lalandi","American Samoa Exclusive Economic Zone",0,0,4.47556941864403e-05,7.24833430394646e-05
"Seriola lalandi","Amsterdam Island & St. Paul Island Exclusive Economic Zone",0,0,0.00472463634344001,0.0374382523783088
"Seriola lalandi","Angolan Exclusive Economic Zone",0,0,0.0515858191918498,0.535587531013274
"Seriola lalandi","Anguilla Exclusive Economic Zone",0,0,3.61683355460005e-05,0.000124383252704057
"Seriola lalandi","Antigua and Barbuda Exclusive Economic Zone",0,0,1.62197336774203e-05,0.000124383252704057
"Seriola lalandi","Argentinean Exclusive Economic Zone",0,0,0.0297609436427926,0.868421004249812
"Seriola lalandi","Aruban Exclusive Economic Zone",0,0,2.91331338450487e-05,0.000325775311056455
"Seriola lalandi","Ascension Exclusive Economic Zone",0,0,0.00254953238534344,0.00573290063737451
"Seriola lalandi","Australian Exclusive Economic Zone",0,0,0.00404179295174654,0.184657628093538
"Seriola lalandi","Bahamas Exclusive Economic Zone",0,0,0.000501488413464316,0.0297137478304292
"Seriola lalandi","Barbados Exclusive Economic Zone",0,0,3.15340441641337e-05,0.000314029964145497
"Seriola lalandi","Bassas da India Exclusive Economic Zone",0,0,7.97997759368416e-05,0.000352660560617304
"Seriola lalandi","Belizean Exclusive Economic Zone",0,0,0.00073307020492189,0.0270224486105023
"Seriola lalandi","Bermudian Exclusive Economic Zone",0,0,0.00685292807234413,0.0107634884858023
"Seriola lalandi","Bonaire Exclusive Economic Zone",0,0,1.95147716037813e-05,7.72356672016538e-05
"Seriola lalandi","Brazilian Exclusive Economic Zone",0,0,0.0154982383374148,0.596000961635279
"Seriola lalandi","Brazilian Exclusive Economic Zone (Trindade)",0,0,0.000161799401866593,0.000253965647638522
"Seriola lalandi","British Virgin Islands Exclusive Economic Zone",0,0,0.000122573287709217,0.000995932235943193
"Seriola lalandi","Bruneian Exclusive Economic Zone",0,0,0.000872413263583375,0.0542985640437452
"Seriola lalandi","Canadian Exclusive Economic Zone",0.0170454545454545,0,0.13242953922922,3.38884085272497
"Seriola lalandi","Cayman Islands Exclusive Economic Zone",0,0,2.85866246730412e-05,0.000200946725119499
"Seriola lalandi","Chagos Archipelago Exclusive Economic Zone",0,0,3.3795097309306e-05,0.000207773000431095
"Seriola lalandi","Chilean Exclusive Economic Zone",0,0,0.143526854984985,1.55327087870306
"Seriola lalandi","Chilean Exclusive Economic Zone (Easter Island)",0,0,0.000722669407105829,0.00108026026274059
"Seriola lalandi","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)",0,0,0.000855568284439391,0.00617900560828138
"Seriola lalandi","Chinese Exclusive Economic Zone",0,0,0.0239785788658141,1.73857807057493
"Seriola lalandi","Christmas Island Exclusive Economic Zone",0,0,2.87764751870129e-05,6.37915027645835e-05
"Seriola lalandi","Clipperton Exclusive Economic Zone",0,0,3.5819091635197e-05,6.10402320480768e-05
"Seriola lalandi","Cocos Islands Exclusive Economic Zone",0,0,0.000146931118319644,0.000578955888940981
"Seriola lalandi","Colombian Exclusive Economic Zone",0,0,0.0105535093309783,0.496336338487016
"Seriola lalandi","Colombian Exclusive Economic Zone (Bajo Nuevo)",0,0,0.000119946682853326,0.000119946682853326
"Seriola lalandi","Colombian Exclusive Economic Zone (Quitasueño)",0,0,6.55252862976734e-05,0.00011756994551494
"Seriola lalandi","Colombian Exclusive Economic Zone (Serrana)",0,0,8.21274668040638e-05,0.000123608333204007
"Seriola lalandi","Colombian Exclusive Economic Zone (Serranilla)",0,0,0.000135492660433228,0.000182448280536466
"Seriola lalandi","Comoran Exclusive Economic Zone",0,0,5.99430250308501e-05,0.000283121122577548
"Seriola lalandi","Cook Islands Exclusive Economic Zone",0,0,0.00134417621280833,0.0104291497389285
"Seriola lalandi","Costa Rican Exclusive Economic Zone",0,0,0.00184752894945014,0.0172509295516588
"Seriola lalandi","Cuban Exclusive Economic Zone",0,0,0.000531728047820663,0.0297137478304292
"Seriola lalandi","Curaçaoan Exclusive Economic Zone",0,0,1.27683400064469e-05,2.89431489628799e-05
"Seriola lalandi","Democratic Republic of the Congo Exclusive Economic Zone",0,0,0.106312641634663,0.237027342390489
"Seriola lalandi","Djiboutian Exclusive Economic Zone",0,0,0.0207329118325762,0.153843803398923
"Seriola lalandi","Dominican Exclusive Economic Zone",0,0,5.20587373831643e-06,1.98921306904451e-05
"Seriola lalandi","Dominican Republic Exclusive Economic Zone",0,0,0.000191662888586346,0.00294893255938429
"Seriola lalandi","East Timorian Exclusive Economic Zone",0,0,0.00360216516640432,0.0222280063418879
"Seriola lalandi","Ecuadorian Exclusive Economic Zone",0,0,0.0337480000456829,0.448781767968564
"Seriola lalandi","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.0397500968107632,0.749128851951215
"Seriola lalandi","Egyptian Exclusive Economic Zone",0,0,2.38760902974187e-05,5.6904006745511e-05
"Seriola lalandi","El Salvador Exclusive Economic Zone",0,0,0.0055752222310021,0.0825696332692894
"Seriola lalandi","Eritrean Exclusive Economic Zone",0,0,0.378534355784268,0.378534355784268
"Seriola lalandi","Fijian Exclusive Economic Zone",0,0,0.0188913427859627,1.73394195218548
"Seriola lalandi","French Guiana Exclusive Economic Zone",0,0,0.000529101174508673,0.0112749482977448
"Seriola lalandi","French Polynesian Exclusive Economic Zone",0,0,0.000508954722437333,0.0104291497389285
"Seriola lalandi","Grenadian Exclusive Economic Zone",0,0,0.000292503011156821,0.0039352728259107
"Seriola lalandi","Guadeloupean Exclusive Economic Zone",0,0,9.24098286782819e-06,6.6164587269143e-05
"Seriola lalandi","Guatemalan Exclusive Economic Zone",0,0,0.0052102263559594,0.0695254437691588
"Seriola lalandi","Guyanese Exclusive Economic Zone",0,0,0.00133785439534795,0.021424349513315
"Seriola lalandi","Haitian Exclusive Economic Zone",0,0,2.68826853269947e-05,0.000280445193697476
"Seriola lalandi","Honduran Exclusive Economic Zone",0,0,0.000652808528382043,0.0825696332692894
"Seriola lalandi","Howland and Baker Islands Exclusive Economic Zone",0,0,0.0132448942721483,0.0255399157852918
"Seriola lalandi","Ile Europa Exclusive Economic Zone",0,0,8.15779684913118e-05,0.000352660560617304
"Seriola lalandi","Indian Exclusive Economic Zone",0,0,0.00944559098161932,0.410834164962169
"Seriola lalandi","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.000420018525213095,0.00548184311418522
"Seriola lalandi","Indonesian Exclusive Economic Zone",0,0,0.00366624992618478,0.562065509723271
"Seriola lalandi","Iranian Exclusive Economic Zone",0,0,0.090266243523416,0.385940479570952
"Seriola lalandi","Jamaican Exclusive Economic Zone",0,0,5.57579069416044e-05,0.000347808939321579
"Seriola lalandi","Japanese Exclusive Economic Zone",0,0,0.0263410451990914,1.73857807057493
"Seriola lalandi","Jarvis Island Exclusive Economic Zone",0,0,0.00129606476448869,0.0055884664926776
"Seriola lalandi","Johnston Atoll Exclusive Economic Zone",0,0,0.00564392046653514,0.00706591611889894
"Seriola lalandi","Joint regime area Argentina / Uruguay",0,0,0.0945647106936569,0.570691826238084
"Seriola lalandi","Joint regime area Australia / Papua New Guinea",0,0,0.000653185287742176,0.00126699012480828
"Seriola lalandi","Joint regime area Colombia / Jamaica",0,0,0.000133466411881492,0.000185193805349255
"Seriola lalandi","Joint regime area Ecuador / Colombia",0,0,0.00237306943487911,0.0115990959801293
"Seriola lalandi","Joint regime area Honduras / Cayman Islands",0,0,6.86230829864449e-05,7.73490610255978e-05
"Seriola lalandi","Joint regime area Japan / Korea",0,0,0.00310421420273746,0.0324879119770932
"Seriola lalandi","Joint regime area Peru / Ecuador",0,0,0.148691124025312,0.305123102953078
"Seriola lalandi","Juan de Nova Exclusive Economic Zone",0,0,6.48163233378509e-05,0.000228780733004394
"Seriola lalandi","Kenyan Exclusive Economic Zone",0,0,0.000139341329962426,0.000890502780194306
"Seriola lalandi","Kiribati Exclusive Economic Zone (Gilbert Islands)",0,0,0.0071403227245382,0.749128851951215
"Seriola lalandi","Kiribati Exclusive Economic Zone (Line Islands)",0,0,0.000222443080730242,0.0055884664926776
"Seriola lalandi","Kiribati Exclusive Economic Zone (Phoenix Islands)",0,0,0.00276383222851136,0.0255399157852918
"Seriola lalandi","Madagascan Exclusive Economic Zone",0,0,0.000919298650669649,0.113700565833534
"Seriola lalandi","Malaysian Exclusive Economic Zone",0,0,0.0010933623105253,0.119878472933197
"Seriola lalandi","Maldives Exclusive Economic Zone",0,0,0.000502564291732702,0.00257620152835444
"Seriola lalandi","Marshall Islands Exclusive Economic Zone",0,0,0.000437025711124365,0.0149004484077898
"Seriola lalandi","Martinican Exclusive Economic Zone",0,0,5.16235485482031e-06,1.98921306904451e-05
"Seriola lalandi","Mauritian Exclusive Economic Zone",0,0,0.000200669075447379,0.00139045234207089
"Seriola lalandi","Mexican Exclusive Economic Zone",0,0,0.0172675486061385,1.10022422504931
"Seriola lalandi","Micronesian Exclusive Economic Zone",0,0,0.00674370641145857,0.0743092869394637
"Seriola lalandi","Montserrat Exclusive Economic Zone",0,0,7.09437724687749e-06,1.76110688170436e-05
"Seriola lalandi","Mozambican Exclusive Economic Zone",0,0,0.00260699310203968,0.150497389886001
"Seriola lalandi","Myanmar Exclusive Economic Zone",0,0,0.000358160277813922,0.00548184311418522
"Seriola lalandi","Namibian Exclusive Economic Zone",0,0,0.186821696774404,1.84732910706246
"Seriola lalandi","Nauruan Exclusive Economic Zone",0,0,0.00180400733043506,0.00786588556566346
"Seriola lalandi","New Caledonian Exclusive Economic Zone",0,0,0.000148296181834475,0.00271981050971171
"Seriola lalandi","New Zealand Exclusive Economic Zone",0,0,0.0331124737896883,1.84732910706246
"Seriola lalandi","Nicaraguan Exclusive Economic Zone",0,0,0.00172309767579189,0.0825696332692894
"Seriola lalandi","Niue Exclusive Economic Zone",0,0,0.002860298866791,0.00325215756397916
"Seriola lalandi","Norfolk Island Exclusive Economic Zone",0,0,0.00240253333575557,0.0339787187273543
"Seriola lalandi","North Korean Exclusive Economic Zone",0,0,0.045109963588152,0.244769742435696
"Seriola lalandi","Northern Mariana Exclusive Economic Zone",0,0,0.000287430497666688,0.00101754003896441
"Seriola lalandi","Oecussi Ambeno Exclusive Economic Zone",0,0,0.000264931367027923,0.000511093053896292
"Seriola lalandi","Omani Exclusive Economic Zone",0,0,0.0559329883415482,0.657156612077577
"Seriola lalandi","Overlapping claim Glorioso Islands: France / Madagascar",0,0,3.97534404612618e-05,0.000280229103130158
"Seriola lalandi","Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",0,0,0.00021827233787047,0.000293019425309567
"Seriola lalandi","Overlapping claim Liancourt Rocks: Japan / South Korea",0,0,0.00974042459018822,0.0215515450585292
"Seriola lalandi","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,6.89165496374509e-05,0.000263492404537277
"Seriola lalandi","Overlapping claim Mayotte: France / Comoros",0,0,6.79742157112826e-05,0.000283121122577548
"Seriola lalandi","Overlapping claim Navassa Island: USA / Haiti / Jamaica",0,0,1.49432540781542e-05,7.80776158256902e-05
"Seriola lalandi","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.002144957758977,0.0331363202547567
"Seriola lalandi","Overlapping claim South China Sea",0,0,0.000844982943733396,0.00798886892011782
"Seriola lalandi","Overlapping claim: Kenya / Somalia",0,0,7.41999311628932e-05,0.000174213744481098
"Seriola lalandi","Overlapping claim: Puerto Rico / Dominican Republic",0,0,0.000129908843045935,0.000229090336221445
"Seriola lalandi","Pakistani Exclusive Economic Zone",0,0,0.00229297233962685,0.0777307312427757
"Seriola lalandi","Palau Exclusive Economic Zone",0,0,0.00126165517480991,0.00278943786239928
"Seriola lalandi","Palmyra Atoll Exclusive Economic Zone",0,0,8.93481386353124e-05,0.000942218117469672
"Seriola lalandi","Panamanian Exclusive Economic Zone",0,0,0.00432516402640117,0.125841992353748
"Seriola lalandi","Papua New Guinean Exclusive Economic Zone",0,0,0.000883627484525996,0.315357492442807
"Seriola lalandi","Peruvian Exclusive Economic Zone",0,0,0.254750549968665,1.73394195218548
"Seriola lalandi","Philippines Exclusive Economic Zone",0,0,0.00399088742730442,1.41728801861731
