"Species","EEZ","p2","p4","Average","Max"
"Seriola rivoliana","American Samoa Exclusive Economic Zone",0,0,0.00116894707977254,0.0130109355024655
"Seriola rivoliana","Angolan Exclusive Economic Zone",0,0,0.0330475396831761,0.274914230958643
"Seriola rivoliana","Anguilla Exclusive Economic Zone",0,0,6.17680171189915e-05,0.000270093881776992
"Seriola rivoliana","Antigua and Barbuda Exclusive Economic Zone",0,0,2.54684051528536e-05,0.00017011956275024
"Seriola rivoliana","Argentinean Exclusive Economic Zone",0,0,0.735400002265904,1.13303441506903
"Seriola rivoliana","Aruban Exclusive Economic Zone",0,0,3.15177975424326e-05,0.00032551856433965
"Seriola rivoliana","Ascension Exclusive Economic Zone",0,0,0.000143922335064282,0.000284890539066922
"Seriola rivoliana","Australian Exclusive Economic Zone",0,0,0.00443327840112433,0.317421933455811
"Seriola rivoliana","Bahamas Exclusive Economic Zone",0,0,0.000450176377590818,0.0302411919164148
"Seriola rivoliana","Bangladeshi Exclusive Economic Zone",0.333333333333333,0,0.812096271388797,2.46400625163978
"Seriola rivoliana","Barbados Exclusive Economic Zone",0,0,3.13657764820102e-05,0.000313607128276681
"Seriola rivoliana","Bassas da India Exclusive Economic Zone",0,0,3.51411695638581e-05,0.000133423568576037
"Seriola rivoliana","Belizean Exclusive Economic Zone",0,0,0.000779323420757568,0.0270228271215569
"Seriola rivoliana","Beninese Exclusive Economic Zone",0,0,0.00428412440578109,0.0189143950280782
"Seriola rivoliana","Bermudian Exclusive Economic Zone",0,0,0.00638466701112484,0.0161603185541311
"Seriola rivoliana","Bonaire Exclusive Economic Zone",0,0,2.39413283387717e-05,5.93197383176905e-05
"Seriola rivoliana","Brazilian Exclusive Economic Zone",0,0,0.0163467999959937,1.13303441506903
"Seriola rivoliana","Brazilian Exclusive Economic Zone (Trindade)",0,0,0.000457571223368299,0.00171002154885131
"Seriola rivoliana","British Virgin Islands Exclusive Economic Zone",0,0,0.000131135025813325,0.000995930846258694
"Seriola rivoliana","Bruneian Exclusive Economic Zone",0,0,0.000306788725755807,0.00590635331335157
"Seriola rivoliana","Cambodian Exclusive Economic Zone",0,0,0.00129072381864274,0.013851610347805
"Seriola rivoliana","Cape Verdean Exclusive Economic Zone",0,0,0.00313002971403279,0.0254905754571683
"Seriola rivoliana","Cayman Islands Exclusive Economic Zone",0,0,1.43470536553316e-05,0.000116803181145768
"Seriola rivoliana","Chagos Archipelago Exclusive Economic Zone",0,0,3.75374774798132e-05,0.000144200497261118
"Seriola rivoliana","Chilean Exclusive Economic Zone",0.0101010101010101,0,0.256808148777068,2.0095152548136
"Seriola rivoliana","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)",0,0,0.00289795899751188,0.00617586253421776
"Seriola rivoliana","Chinese Exclusive Economic Zone",0,0,0.0167272347115552,1.58778918265656
"Seriola rivoliana","Christmas Island Exclusive Economic Zone",0,0,3.26729474660079e-05,0.000105232584199522
"Seriola rivoliana","Clipperton Exclusive Economic Zone",0,0,3.57093417501159e-05,6.08518473980795e-05
"Seriola rivoliana","Cocos Islands Exclusive Economic Zone",0,0,0.000143493846340476,0.000636233028632102
"Seriola rivoliana","Colombian Exclusive Economic Zone",0,0,0.00819129691112571,0.496329967434794
"Seriola rivoliana","Colombian Exclusive Economic Zone (Bajo Nuevo)",0,0,3.05240637644537e-05,3.05240637644537e-05
"Seriola rivoliana","Colombian Exclusive Economic Zone (Quitasueño)",0,0,5.50143480044997e-05,0.000110763187935372
"Seriola rivoliana","Colombian Exclusive Economic Zone (Serrana)",0,0,7.00026208863607e-05,8.82496529500208e-05
"Seriola rivoliana","Colombian Exclusive Economic Zone (Serranilla)",0,0,2.12243662915507e-05,2.2812937782144e-05
"Seriola rivoliana","Comoran Exclusive Economic Zone",0,0,5.17981487134369e-05,0.000262944977321342
"Seriola rivoliana","Cook Islands Exclusive Economic Zone",0,0,0.00106055922014933,0.00559524365238631
"Seriola rivoliana","Costa Rican Exclusive Economic Zone",0,0,0.00139486185919973,0.0172557688583499
"Seriola rivoliana","Cuban Exclusive Economic Zone",0,0,0.000394199679903692,0.0297133166179011
"Seriola rivoliana","Curaçaoan Exclusive Economic Zone",0,0,1.68342871217684e-05,5.93197383176905e-05
"Seriola rivoliana","Djiboutian Exclusive Economic Zone",0,0,0.00591185416748625,0.036620529147723
"Seriola rivoliana","Dominican Exclusive Economic Zone",0,0,7.46677434785424e-06,3.11033361517762e-05
"Seriola rivoliana","Dominican Republic Exclusive Economic Zone",0,0,0.000182094583750246,0.00305500067908769
"Seriola rivoliana","East Timorian Exclusive Economic Zone",0,0,0.00349937367123423,0.0222312877691766
"Seriola rivoliana","Ecuadorian Exclusive Economic Zone",0,0,0.0381030591221236,0.448796344215097
"Seriola rivoliana","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.0475506775017684,0.805981259088726
"Seriola rivoliana","El Salvador Exclusive Economic Zone",0,0,0.00578201938820828,0.072299513575814
"Seriola rivoliana","Equatorial Guinean Exclusive Economic Zone",0,0,0.00256008066157754,0.085960893060432
"Seriola rivoliana","Eritrean Exclusive Economic Zone",0,0,0.0216501673762026,0.337670547146541
"Seriola rivoliana","Fijian Exclusive Economic Zone",0.000146498681511866,0,0.011173185784394,2.0095152548136
