"x","y","sigmaNovelty","cell","EEZ"
129.875,32.125,0.0192730354365775,3247,"Japanese Exclusive Economic Zone"
131.625,32.125,0.0121715099918558,3274,"Japanese Exclusive Economic Zone"
129.625,31.875,0.0209335893015258,3219,"Japanese Exclusive Economic Zone"
129.875,31.875,0.0503263271370235,3247,"Japanese Exclusive Economic Zone"
130.125,31.875,0.224741415770971,3247,"Japanese Exclusive Economic Zone"
131.625,31.875,0.0378059673835622,3274,"Japanese Exclusive Economic Zone"
131.875,31.875,0.00792985080095821,3274,"Japanese Exclusive Economic Zone"
129.375,31.625,0.00665932667984327,3219,"Japanese Exclusive Economic Zone"
129.625,31.625,0.00854547322523835,3246,"Japanese Exclusive Economic Zone"
129.875,31.625,0.0363051923477602,3246,"Japanese Exclusive Economic Zone"
130.125,31.625,0.055857418458394,3246,"Japanese Exclusive Economic Zone"
130.625,31.625,0.0479418809012079,3246,"Japanese Exclusive Economic Zone"
131.625,31.625,0.0554704368798958,3274,"Japanese Exclusive Economic Zone"
131.875,31.625,0.00282642131439224,3274,"Japanese Exclusive Economic Zone"
129.125,31.375,0.00210830278815873,3219,"Japanese Exclusive Economic Zone"
129.375,31.375,0.00795607061961403,3246,"Japanese Exclusive Economic Zone"
129.625,31.375,0.00814998552399563,3246,"Japanese Exclusive Economic Zone"
129.875,31.375,0.0102044494948555,3246,"Japanese Exclusive Economic Zone"
130.125,31.375,0.0450823778366504,3246,"Japanese Exclusive Economic Zone"
130.625,31.375,0.00078093656654787,3246,"Japanese Exclusive Economic Zone"
131.125,31.375,0.0756150448769474,3246,"Japanese Exclusive Economic Zone"
131.375,31.375,0.114216070294566,3246,"Japanese Exclusive Economic Zone"
131.625,31.375,0.00666077110336351,3274,"Japanese Exclusive Economic Zone"
128.875,31.125,0.00304800728901623,3219,"Joint regime area Japan / Korea"
129.125,31.125,0.00165262208344666,3219,"Japanese Exclusive Economic Zone"
129.375,31.125,0.00568803277341706,3246,"Japanese Exclusive Economic Zone"
129.625,31.125,0.0104610932849087,3246,"Japanese Exclusive Economic Zone"
129.875,31.125,0.00383728189813019,3246,"Japanese Exclusive Economic Zone"
130.125,31.125,0.00270537179619864,3246,"Japanese Exclusive Economic Zone"
130.375,31.125,0.001887475612405,3246,"Japanese Exclusive Economic Zone"
130.625,31.125,0.000757874599237634,3246,"Japanese Exclusive Economic Zone"
131.125,31.125,0.101786944487048,3246,"Japanese Exclusive Economic Zone"
131.375,31.125,0.00292180710313979,3246,"Japanese Exclusive Economic Zone"
131.625,31.125,0.0245836400361712,3246,"Japanese Exclusive Economic Zone"
128.875,30.875,0.00433948255179354,3219,"Joint regime area Japan / Korea"
129.125,30.875,0.00309931008815489,3246,"Japanese Exclusive Economic Zone"
129.375,30.875,0.00136758585900166,3246,"Japanese Exclusive Economic Zone"
129.625,30.875,0.000650435617301004,3246,"Japanese Exclusive Economic Zone"
129.875,30.875,0.00277709834414129,3246,"Japanese Exclusive Economic Zone"
130.125,30.875,0.0027359828622503,3246,"Japanese Exclusive Economic Zone"
130.375,30.875,0.00292878000664094,3246,"Japanese Exclusive Economic Zone"
130.625,30.875,0.00919343181800691,3246,"Japanese Exclusive Economic Zone"
130.875,30.875,0.00912029987525651,3246,"Japanese Exclusive Economic Zone"
131.125,30.875,0.0010806424987519,3246,"Japanese Exclusive Economic Zone"
131.375,30.875,0.0170118474395604,3246,"Japanese Exclusive Economic Zone"
131.625,30.875,0.0490446201563237,3246,"Japanese Exclusive Economic Zone"
140.125,30.875,0.00278754597285478,3356,"Japanese Exclusive Economic Zone"
140.375,30.875,0.0102335034051988,3356,"Japanese Exclusive Economic Zone"
129.125,30.625,0.00155768985530849,3246,"Japanese Exclusive Economic Zone"
129.375,30.625,0.00128591602717009,3246,"Japanese Exclusive Economic Zone"
129.625,30.625,0.00197974833947848,3246,"Japanese Exclusive Economic Zone"
129.875,30.625,0.00556773631593829,3246,"Japanese Exclusive Economic Zone"
130.125,30.625,0.00412297033941372,3246,"Japanese Exclusive Economic Zone"
130.375,30.625,0.00104656667137255,3246,"Japanese Exclusive Economic Zone"
130.625,30.625,0.00378675679077861,3246,"Japanese Exclusive Economic Zone"
130.875,30.625,0.0218376798054832,3246,"Japanese Exclusive Economic Zone"
131.125,30.625,0.0073243090927537,3246,"Japanese Exclusive Economic Zone"
131.375,30.625,0.0342011189688107,3246,"Japanese Exclusive Economic Zone"
131.625,30.625,0.00895707354955271,3246,"Japanese Exclusive Economic Zone"
140.125,30.625,0.0052045187476415,3356,"Japanese Exclusive Economic Zone"
140.375,30.625,0.0178840859280053,3356,"Japanese Exclusive Economic Zone"
129.375,30.375,0.000370007871242342,3246,"Japanese Exclusive Economic Zone"
129.625,30.375,0.000682170995990185,3246,"Japanese Exclusive Economic Zone"
129.875,30.375,0.00142788110029913,3246,"Japanese Exclusive Economic Zone"
130.125,30.375,0.00238172609705724,3246,"Japanese Exclusive Economic Zone"
130.375,30.375,0.00110704635400525,3246,"Japanese Exclusive Economic Zone"
131.125,30.375,0.00373254265571599,3246,"Japanese Exclusive Economic Zone"
131.375,30.375,0.000311794692298633,3246,"Japanese Exclusive Economic Zone"
131.625,30.375,0.00140028622018704,3246,"Japanese Exclusive Economic Zone"
129.375,30.125,7.15037896708978e-05,3246,"Japanese Exclusive Economic Zone"
129.625,30.125,0.000178488708936129,3246,"Japanese Exclusive Economic Zone"
129.875,30.125,5.45790903497835e-05,3246,"Japanese Exclusive Economic Zone"
130.125,30.125,0.000198161971422506,3246,"Japanese Exclusive Economic Zone"
130.375,30.125,0.000627316092008711,3246,"Japanese Exclusive Economic Zone"
130.625,30.125,0.00319452181945116,3246,"Japanese Exclusive Economic Zone"
130.875,30.125,0.00126856968616465,3246,"Japanese Exclusive Economic Zone"
131.125,30.125,0.000739391560569918,3246,"Japanese Exclusive Economic Zone"
131.375,30.125,0.00245995754446126,3246,"Japanese Exclusive Economic Zone"
129.375,29.875,0.00019759119798675,3246,"Japanese Exclusive Economic Zone"
129.625,29.875,0.000197131148461779,3246,"Japanese Exclusive Economic Zone"
129.875,29.875,0.000195437001698997,3246,NA
130.125,29.875,0.000317321993300718,3246,"Japanese Exclusive Economic Zone"
130.375,29.875,0.000228428396811807,3246,"Japanese Exclusive Economic Zone"
130.625,29.875,0.00126663448135874,3246,"Japanese Exclusive Economic Zone"
130.875,29.875,0.00181140279661963,3246,"Japanese Exclusive Economic Zone"
131.125,29.875,0.000931093722955098,3246,"Japanese Exclusive Economic Zone"
129.375,29.625,0.0012091639639672,3246,"Japanese Exclusive Economic Zone"
129.625,29.625,0.000462882749086024,3246,"Japanese Exclusive Economic Zone"
129.875,29.625,0.000307901802323945,3246,"Japanese Exclusive Economic Zone"
130.125,29.625,0.000116097987233801,3246,"Japanese Exclusive Economic Zone"
129.125,29.375,0.00113176411501668,3218,"Japanese Exclusive Economic Zone"
129.375,29.375,0.000905890598328645,3246,"Japanese Exclusive Economic Zone"
129.625,29.375,0.000519925760189957,3246,"Japanese Exclusive Economic Zone"
129.875,29.375,0.000325476047757519,3246,"Japanese Exclusive Economic Zone"
130.125,29.375,0.000343329767311221,3246,"Japanese Exclusive Economic Zone"
128.875,29.125,0.000483923689315578,3218,"Japanese Exclusive Economic Zone"
129.125,29.125,0.000996213941267596,3218,"Japanese Exclusive Economic Zone"
129.375,29.125,0.000565684610477479,3218,"Japanese Exclusive Economic Zone"
129.625,29.125,0.000569657726246381,3245,"Japanese Exclusive Economic Zone"
129.875,29.125,0.000332640479156972,3245,"Japanese Exclusive Economic Zone"
130.125,29.125,0.000783522759991752,3245,"Japanese Exclusive Economic Zone"
128.875,28.875,0.000753694520753644,3218,"Japanese Exclusive Economic Zone"
129.125,28.875,0.000971730860987568,3218,"Japanese Exclusive Economic Zone"
129.375,28.875,0.000898594969964173,3245,"Japanese Exclusive Economic Zone"
129.625,28.875,0.000745377831946596,3245,"Japanese Exclusive Economic Zone"
129.875,28.875,0.000226687500451321,3245,"Japanese Exclusive Economic Zone"
130.125,28.875,0.000353749706926128,3245,"Japanese Exclusive Economic Zone"
128.875,28.625,0.00125476514411464,3218,"Japanese Exclusive Economic Zone"
129.125,28.625,0.00105361996032635,3218,"Japanese Exclusive Economic Zone"
129.375,28.625,0.000882013189336019,3245,"Japanese Exclusive Economic Zone"
129.625,28.625,0.00091411085842902,3245,"Japanese Exclusive Economic Zone"
129.875,28.625,0.000734890751106687,3245,"Japanese Exclusive Economic Zone"
130.125,28.625,0.000741599191937747,3245,"Japanese Exclusive Economic Zone"
128.875,28.375,0.00076538688196806,3218,"Japanese Exclusive Economic Zone"
129.125,28.375,0.000851950136735668,3245,"Japanese Exclusive Economic Zone"
129.375,28.375,0.000329856704081934,3245,"Japanese Exclusive Economic Zone"
129.625,28.375,0.0016577897770585,3245,"Japanese Exclusive Economic Zone"
129.875,28.375,0.00209911675483603,3245,"Japanese Exclusive Economic Zone"
130.125,28.375,0.000787389043394404,3245,"Japanese Exclusive Economic Zone"
130.375,28.375,0.00112195485451496,3245,"Japanese Exclusive Economic Zone"
125.375,28.125,0.0338191241320345,3190,"Japanese Exclusive Economic Zone"
125.625,28.125,0.00923744269167489,3190,"Japanese Exclusive Economic Zone"
128.375,28.125,0.000337933675115779,3218,"Japanese Exclusive Economic Zone"
128.625,28.125,0.000511195184184953,3218,"Japanese Exclusive Economic Zone"
128.875,28.125,0.000903775766476955,3245,"Japanese Exclusive Economic Zone"
129.125,28.125,0.00111563576398581,3245,"Japanese Exclusive Economic Zone"
129.625,28.125,0.0025850019470548,3245,"Japanese Exclusive Economic Zone"
129.875,28.125,0.00191056020169308,3245,"Japanese Exclusive Economic Zone"
130.125,28.125,0.00143743611201769,3245,"Japanese Exclusive Economic Zone"
130.375,28.125,0.000437333729602367,3245,"Japanese Exclusive Economic Zone"
125.125,27.875,0.0163883960450413,3190,"Japanese Exclusive Economic Zone"
125.375,27.875,0.00432968677277153,3190,"Japanese Exclusive Economic Zone"
125.625,27.875,0.00236148324683593,3190,"Japanese Exclusive Economic Zone"
125.875,27.875,0.00040880745622625,3190,"Japanese Exclusive Economic Zone"
128.125,27.875,7.77880714426924e-05,3218,"Japanese Exclusive Economic Zone"
128.375,27.875,0.00177840358724313,3218,"Japanese Exclusive Economic Zone"
128.625,27.875,0.000698588536783501,3218,"Japanese Exclusive Economic Zone"
128.875,27.875,0.000662346211161481,3245,"Japanese Exclusive Economic Zone"
129.125,27.875,0.0014362117153229,3245,"Japanese Exclusive Economic Zone"
129.375,27.875,0.000541181723110034,3245,"Japanese Exclusive Economic Zone"
129.625,27.875,0.000331296288834032,3245,"Japanese Exclusive Economic Zone"
129.875,27.875,0.000959634086736473,3245,"Japanese Exclusive Economic Zone"
130.125,27.875,0.0005303310681688,3245,"Japanese Exclusive Economic Zone"
142.125,27.875,0.000285594756542226,3383,"Japanese Exclusive Economic Zone"
142.375,27.875,0.000180769380519451,3383,"Japanese Exclusive Economic Zone"
124.875,27.625,0.00153195032097089,3190,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
125.125,27.625,0.00294102736402756,3190,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
125.375,27.625,0.00162763038205085,3190,"Japanese Exclusive Economic Zone"
125.625,27.625,0.000175373602544034,3190,"Japanese Exclusive Economic Zone"
125.875,27.625,0.000362785444249057,3190,"Japanese Exclusive Economic Zone"
127.875,27.625,0.000510132663619235,3217,"Japanese Exclusive Economic Zone"
128.125,27.625,0.000625747513843131,3217,"Japanese Exclusive Economic Zone"
128.375,27.625,0.00211391212591614,3217,"Japanese Exclusive Economic Zone"
128.625,27.625,0.00107764300344848,3217,"Japanese Exclusive Economic Zone"
128.875,27.625,0.000742599184173612,3245,"Japanese Exclusive Economic Zone"
129.125,27.625,0.000673837430670002,3245,"Japanese Exclusive Economic Zone"
129.375,27.625,0.000724343405102154,3245,"Japanese Exclusive Economic Zone"
141.875,27.625,0.000830513094925347,3382,"Japanese Exclusive Economic Zone"
142.125,27.625,0.00226809388642702,3382,"Japanese Exclusive Economic Zone"
142.375,27.625,0.00174571638626616,3382,"Japanese Exclusive Economic Zone"
142.625,27.625,0.00416580566629723,3382,"Japanese Exclusive Economic Zone"
124.875,27.375,0.00471375427402795,3190,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
125.125,27.375,0.00632905123919603,3190,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
125.375,27.375,0.000335897735960334,3190,"Japanese Exclusive Economic Zone"
125.625,27.375,0.000322213862942274,3190,"Japanese Exclusive Economic Zone"
127.625,27.375,0.000196745883798783,3217,"Japanese Exclusive Economic Zone"
127.875,27.375,0.00034412702649143,3217,"Japanese Exclusive Economic Zone"
128.125,27.375,0.000396564461843416,3217,"Japanese Exclusive Economic Zone"
128.375,27.375,0.00142747437974164,3217,"Japanese Exclusive Economic Zone"
128.875,27.375,0.000687218072063645,3245,"Japanese Exclusive Economic Zone"
129.125,27.375,0.00097372015647533,3245,"Japanese Exclusive Economic Zone"
140.625,27.375,1.60655554683783e-05,3355,"Japanese Exclusive Economic Zone"
140.875,27.375,5.36810213191198e-05,3355,"Japanese Exclusive Economic Zone"
141.875,27.375,0.00385098540984431,3382,"Japanese Exclusive Economic Zone"
142.125,27.375,0.00330678946521624,3382,"Japanese Exclusive Economic Zone"
142.375,27.375,0.000393705920216739,3382,"Japanese Exclusive Economic Zone"
142.625,27.375,0.00084861133164615,3382,"Japanese Exclusive Economic Zone"
125.125,27.125,1.04290815415749e-05,3190,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
125.375,27.125,0.000203262817408369,3190,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
126.875,27.125,8.69336282470336e-05,3217,"Japanese Exclusive Economic Zone"
127.125,27.125,0.0021333045055955,3217,"Japanese Exclusive Economic Zone"
127.375,27.125,0.00134290280175784,3217,"Japanese Exclusive Economic Zone"
127.625,27.125,0.000181871026821673,3217,"Japanese Exclusive Economic Zone"
127.875,27.125,9.20727783191682e-05,3217,"Japanese Exclusive Economic Zone"
128.125,27.125,0.000336047362233012,3217,"Japanese Exclusive Economic Zone"
128.375,27.125,0.00108102456487242,3217,"Japanese Exclusive Economic Zone"
128.625,27.125,0.000365548870474102,3217,"Japanese Exclusive Economic Zone"
