"x","y","sigmaNovelty","cell","EEZ"
120.375,25.125,0.00283419877851601,3134,"Taiwanese Exclusive Economic Zone"
120.625,25.125,6.17799703651427e-06,3134,"Taiwanese Exclusive Economic Zone"
124.375,25.125,0.00184959483724421,3189,"Japanese Exclusive Economic Zone"
124.625,25.125,0.00408623101942379,3189,"Japanese Exclusive Economic Zone"
124.875,25.125,0.00378560652030042,3189,"Japanese Exclusive Economic Zone"
125.125,25.125,0.00309988323630456,3189,"Japanese Exclusive Economic Zone"
125.375,25.125,0.00115558176249235,3189,"Japanese Exclusive Economic Zone"
125.625,25.125,0.0039433747681427,3189,"Japanese Exclusive Economic Zone"
120.125,24.875,0.00367026001562731,3134,"Taiwanese Exclusive Economic Zone"
120.375,24.875,0.00188188594677934,3134,"Taiwanese Exclusive Economic Zone"
120.625,24.875,0.0107501405815013,3134,"Taiwanese Exclusive Economic Zone"
120.875,24.875,0.00488474665530728,3134,"Taiwanese Exclusive Economic Zone"
121.875,24.875,0.00575287137743322,3134,"Taiwanese Exclusive Economic Zone"
123.125,24.875,0.000227266604206405,3162,"Japanese Exclusive Economic Zone"
123.375,24.875,0.000315264172353633,3162,"Japanese Exclusive Economic Zone"
124.125,24.875,0.00175630031942669,3189,"Japanese Exclusive Economic Zone"
124.375,24.875,0.00272343712803228,3189,"Japanese Exclusive Economic Zone"
124.625,24.875,0.00150952615435622,3189,"Japanese Exclusive Economic Zone"
124.875,24.875,0.00175938863246794,3189,"Japanese Exclusive Economic Zone"
125.125,24.875,0.00264440019707134,3189,"Japanese Exclusive Economic Zone"
125.375,24.875,0.00282076549947171,3189,"Japanese Exclusive Economic Zone"
125.625,24.875,0.00249518214155586,3189,"Japanese Exclusive Economic Zone"
125.875,24.875,0.00422718684552143,3189,"Japanese Exclusive Economic Zone"
131.125,24.875,0.00293282569319868,3244,"Japanese Exclusive Economic Zone"
131.375,24.875,0.00222374410072317,3271,"Japanese Exclusive Economic Zone"
141.125,24.875,0.00808592466501272,3381,"Japanese Exclusive Economic Zone"
141.375,24.875,0.00529860034612077,3381,"Japanese Exclusive Economic Zone"
119.875,24.625,0.0276472278051183,3134,"Taiwanese Exclusive Economic Zone"
120.125,24.625,0.00674607778290367,3134,"Taiwanese Exclusive Economic Zone"
120.375,24.625,0.000102561706144716,3134,"Taiwanese Exclusive Economic Zone"
120.625,24.625,0.00701219958793096,3134,"Taiwanese Exclusive Economic Zone"
121.875,24.625,0.000819070485750263,3134,"Taiwanese Exclusive Economic Zone"
122.125,24.625,0.00029827715645557,3134,"Taiwanese Exclusive Economic Zone"
122.875,24.625,0.000179419659479637,3161,"Japanese Exclusive Economic Zone"
123.125,24.625,4.71089827965966e-06,3161,"Japanese Exclusive Economic Zone"
123.375,24.625,0.00319462959599737,3161,"Japanese Exclusive Economic Zone"
123.625,24.625,0.00280652022556474,3161,"Japanese Exclusive Economic Zone"
123.875,24.625,0.00182968787502445,3189,"Japanese Exclusive Economic Zone"
124.125,24.625,0.000907474116197297,3189,"Japanese Exclusive Economic Zone"
124.375,24.625,0.00474524467896595,3189,"Japanese Exclusive Economic Zone"
124.625,24.625,0.00269022044374431,3189,"Japanese Exclusive Economic Zone"
124.875,24.625,0.000334716525399249,3189,"Japanese Exclusive Economic Zone"
125.125,24.625,0.000680005003866873,3189,"Japanese Exclusive Economic Zone"
125.375,24.625,0.0045431345305012,3189,"Japanese Exclusive Economic Zone"
125.625,24.625,0.00333592812787253,3189,"Japanese Exclusive Economic Zone"
125.875,24.625,0.00275829760526429,3189,"Japanese Exclusive Economic Zone"
131.125,24.625,0.00434515735573489,3244,"Japanese Exclusive Economic Zone"
131.375,24.625,0.00654139191895609,3271,"Japanese Exclusive Economic Zone"
141.125,24.625,0.0116848423284154,3381,"Japanese Exclusive Economic Zone"
141.375,24.625,0.00811741927688144,3381,"Japanese Exclusive Economic Zone"
141.625,24.625,0.00438825630916662,3381,"Japanese Exclusive Economic Zone"
119.875,24.375,0.00603051598715845,3134,"Taiwanese Exclusive Economic Zone"
120.125,24.375,0.000531221722664305,3134,"Taiwanese Exclusive Economic Zone"
120.375,24.375,0.0150564941479569,3134,"Taiwanese Exclusive Economic Zone"
121.875,24.375,0.00471794049020254,3134,"Taiwanese Exclusive Economic Zone"
122.125,24.375,0.00318689207531152,3161,"Taiwanese Exclusive Economic Zone"
122.875,24.375,0.000534703997389023,3161,"Japanese Exclusive Economic Zone"
123.125,24.375,0.000594623202832178,3161,"Japanese Exclusive Economic Zone"
123.375,24.375,0.0035469855028674,3161,"Japanese Exclusive Economic Zone"
123.625,24.375,0.00323713321292453,3161,"Japanese Exclusive Economic Zone"
124.375,24.375,0.00197995776984198,3189,"Japanese Exclusive Economic Zone"
124.625,24.375,0.00290948519117099,3189,"Japanese Exclusive Economic Zone"
124.875,24.375,0.00147022201196087,3189,"Japanese Exclusive Economic Zone"
125.125,24.375,0.00144803618426999,3189,"Japanese Exclusive Economic Zone"
125.375,24.375,0.00226240840464818,3189,"Japanese Exclusive Economic Zone"
125.625,24.375,0.00275414196997183,3189,"Japanese Exclusive Economic Zone"
141.375,24.375,0.00388240856708014,3381,"Japanese Exclusive Economic Zone"
141.625,24.375,0.0031886135327167,3381,"Japanese Exclusive Economic Zone"
141.875,24.375,0.00354194398463687,3381,"Japanese Exclusive Economic Zone"
154.125,24.375,0.00340907668410939,3519,"Japanese Exclusive Economic Zone"
154.375,24.375,0.00402237428849186,3519,"Japanese Exclusive Economic Zone"
118.875,24.125,0.0583576013499224,6049,"Chinese Exclusive Economic Zone"
119.125,24.125,0.0232400643120797,6049,"Chinese Exclusive Economic Zone"
119.375,24.125,0.00019777492581259,3134,"Taiwanese Exclusive Economic Zone"
119.625,24.125,0.00124968160492807,3134,"Taiwanese Exclusive Economic Zone"
119.875,24.125,0.000989122363095409,3134,"Taiwanese Exclusive Economic Zone"
120.125,24.125,0.00989171106702071,3134,"Taiwanese Exclusive Economic Zone"
120.375,24.125,0.017741117679864,3134,"Taiwanese Exclusive Economic Zone"
121.875,24.125,0.00481642797335145,3134,"Taiwanese Exclusive Economic Zone"
122.125,24.125,0.00174862194963872,3161,"Taiwanese Exclusive Economic Zone"
123.125,24.125,0.00150855972357085,3161,"Japanese Exclusive Economic Zone"
123.375,24.125,0.00340287668489579,3161,"Japanese Exclusive Economic Zone"
123.625,24.125,0.00605734804351504,3161,"Japanese Exclusive Economic Zone"
123.875,24.125,0.00100093929741451,3161,"Japanese Exclusive Economic Zone"
124.125,24.125,0.00613555175230399,3161,"Japanese Exclusive Economic Zone"
124.375,24.125,0.00366615808455874,3189,"Japanese Exclusive Economic Zone"
141.625,24.125,0.00306009165641763,3381,"Japanese Exclusive Economic Zone"
141.875,24.125,0.0032300506054357,3381,"Japanese Exclusive Economic Zone"
154.125,24.125,0.00302364312370531,3519,"Japanese Exclusive Economic Zone"
154.375,24.125,0.00359473939308598,3519,"Japanese Exclusive Economic Zone"
118.625,23.875,0.00123633989076492,6049,"Chinese Exclusive Economic Zone"
118.875,23.875,0.0225610478359501,6049,"Chinese Exclusive Economic Zone"
119.125,23.875,0.00410168185396559,6049,"Taiwanese Exclusive Economic Zone"
119.375,23.875,0.0617749795734364,3134,"Taiwanese Exclusive Economic Zone"
119.625,23.875,0.00537295407306369,3134,"Taiwanese Exclusive Economic Zone"
119.875,23.875,0.00740904571025942,3134,"Taiwanese Exclusive Economic Zone"
120.125,23.875,0.0157662107776042,3134,"Taiwanese Exclusive Economic Zone"
121.625,23.875,0.00200841841862525,3134,"Taiwanese Exclusive Economic Zone"
121.875,23.875,0.000461632858340335,3161,"Taiwanese Exclusive Economic Zone"
122.125,23.875,0.000711255933336219,3161,"Taiwanese Exclusive Economic Zone"
123.375,23.875,0.00238131032339952,3161,"Japanese Exclusive Economic Zone"
123.625,23.875,0.00233390635075483,3161,"Japanese Exclusive Economic Zone"
123.875,23.875,0.00303008492853141,3161,"Japanese Exclusive Economic Zone"
124.125,23.875,0.00148533067906036,3161,"Japanese Exclusive Economic Zone"
157.125,23.875,0.00259090463809397,3547,"Japanese Exclusive Economic Zone"
157.375,23.875,0.00267122885332366,3547,"Japanese Exclusive Economic Zone"
117.625,23.625,0.124403808856506,6049,"Chinese Exclusive Economic Zone"
117.875,23.625,0.0357998054953639,6049,"Chinese Exclusive Economic Zone"
118.125,23.625,0.0320323040392217,6049,"Chinese Exclusive Economic Zone"
118.375,23.625,0.0718081445585393,6049,"Chinese Exclusive Economic Zone"
118.625,23.625,0.00480147944905404,6049,"Chinese Exclusive Economic Zone"
118.875,23.625,0.00600310533563074,6049,"Taiwanese Exclusive Economic Zone"
119.125,23.625,0.00534765086762119,6049,"Taiwanese Exclusive Economic Zone"
119.375,23.625,0.0321796621369719,6049,"Taiwanese Exclusive Economic Zone"
