"Species","EEZ","p2","p4","Average","Max"
"Solea senegalensis","French Exclusive Economic Zone",0,0,0.0203361273655829,0.0836881543764676
"Solea senegalensis","Mauritanian Exclusive Economic Zone",0.0128205128205128,0,0.488349073986759,2.32437079337835
"Solea senegalensis","Moroccan Exclusive Economic Zone",0,0,0.0242133158429567,0.313092907140931
"Solea senegalensis","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.00398594881109115,0.00398594881109115
"Solea senegalensis","Overlapping claim Western Saharan Exclusive Economic Zone",0,0,0.168109449990537,1.21952511053688
"Solea senegalensis","Portuguese Exclusive Economic Zone",0,0,0.0731440311463998,0.343386556917427
"Solea senegalensis","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.0378897056317675,0.0583803726524548
"Solea senegalensis","Senegalese Exclusive Economic Zone",0.0476190476190476,0,0.425834708762571,2.02193535660224
"Solea senegalensis","Spanish Exclusive Economic Zone",0,0,0.0341300048653141,0.343386556917427
"Solea senegalensis","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.0273928274945379,0.133750018657699
