"x","y","sigmaNovelty","cell","EEZ"
-2.625,47.125,0.0514975092045717,919,"French Exclusive Economic Zone"
-2.375,47.125,0.0476597154721334,1481,"French Exclusive Economic Zone"
-4.875,46.875,0.00749699803624508,919,"French Exclusive Economic Zone"
-4.625,46.875,0.0181404975706904,919,"French Exclusive Economic Zone"
-2.875,46.875,0.0422611482878041,919,"French Exclusive Economic Zone"
-2.625,46.875,0.0238013287335178,919,"French Exclusive Economic Zone"
-2.375,46.875,0.0548169259851782,1481,"French Exclusive Economic Zone"
-4.875,46.625,0.0227085457076084,919,"French Exclusive Economic Zone"
-4.625,46.625,0.00452119879700251,919,"French Exclusive Economic Zone"
-4.375,46.625,0.0186979768508886,919,"French Exclusive Economic Zone"
-4.125,46.625,0.00970032229329753,919,"French Exclusive Economic Zone"
-3.875,46.625,0.0193736506622362,919,"French Exclusive Economic Zone"
-3.125,46.625,0.0105513099199347,919,"French Exclusive Economic Zone"
-2.875,46.625,0.0304765135966249,919,"French Exclusive Economic Zone"
-2.625,46.625,0.00418236349225268,919,"French Exclusive Economic Zone"
-2.375,46.625,0.0466039329786558,1481,"French Exclusive Economic Zone"
-2.125,46.625,0.0696217661749457,1481,"French Exclusive Economic Zone"
-1.875,46.625,0.0731586220534212,1481,"French Exclusive Economic Zone"
-4.625,46.375,0.0252255095796286,919,"French Exclusive Economic Zone"
-4.375,46.375,0.00595281824523723,919,"French Exclusive Economic Zone"
-4.125,46.375,0.000541263062179539,919,"French Exclusive Economic Zone"
-3.875,46.375,0.00339969341009543,919,"French Exclusive Economic Zone"
-3.625,46.375,0.00230401276971067,919,"French Exclusive Economic Zone"
-3.125,46.375,0.0278689413348018,919,"French Exclusive Economic Zone"
-2.875,46.375,0.0107819301852205,919,"French Exclusive Economic Zone"
-2.625,46.375,0.0240962645280354,919,"French Exclusive Economic Zone"
-2.375,46.375,0.00485757519855651,1481,"French Exclusive Economic Zone"
-2.125,46.375,0.0377513758557731,1481,"French Exclusive Economic Zone"
-1.875,46.375,0.0714483471912701,1481,"French Exclusive Economic Zone"
-1.625,46.375,0.0702725453260527,1481,"French Exclusive Economic Zone"
-4.375,46.125,0.0284146342758335,919,"French Exclusive Economic Zone"
-4.125,46.125,0.000458002497030778,919,"French Exclusive Economic Zone"
-3.875,46.125,0.00193848750008721,919,"French Exclusive Economic Zone"
-3.625,46.125,0.00018486657655653,919,"French Exclusive Economic Zone"
-3.375,46.125,0.00232162652328667,919,"French Exclusive Economic Zone"
-3.125,46.125,0.00857228640731361,919,"French Exclusive Economic Zone"
-2.875,46.125,0.00919890191281244,919,"French Exclusive Economic Zone"
-2.625,46.125,0.0105834106792052,919,"French Exclusive Economic Zone"
-2.375,46.125,0.00416791384007916,919,"French Exclusive Economic Zone"
-2.125,46.125,0.0231230863685329,1481,"French Exclusive Economic Zone"
-1.875,46.125,0.063355005172847,1481,"French Exclusive Economic Zone"
-1.625,46.125,0.0704330374254008,1481,"French Exclusive Economic Zone"
-1.375,46.125,0.0780813611300499,1481,"French Exclusive Economic Zone"
-4.125,45.875,0.00189947585217578,919,"French Exclusive Economic Zone"
-3.875,45.875,0.00327406443055664,919,"French Exclusive Economic Zone"
-3.625,45.875,0.000180443359868793,919,"French Exclusive Economic Zone"
-3.375,45.875,0.000859982433789062,919,"French Exclusive Economic Zone"
-3.125,45.875,0.00528601371875954,919,"French Exclusive Economic Zone"
-2.875,45.875,0.00485238196331462,919,"French Exclusive Economic Zone"
-2.625,45.875,0.00338892902807087,919,"French Exclusive Economic Zone"
-2.375,45.875,0.0117196979308043,919,"French Exclusive Economic Zone"
-2.125,45.875,0.00372073226658554,1481,"French Exclusive Economic Zone"
-1.875,45.875,0.00407321991369983,1481,"French Exclusive Economic Zone"
-1.625,45.875,0.0481667640348222,1481,"French Exclusive Economic Zone"
-1.375,45.875,0.0330244585836086,1481,"French Exclusive Economic Zone"
-1.125,45.875,0.0836881543764676,1481,"French Exclusive Economic Zone"
-3.875,45.625,0.00437689585205732,919,"French Exclusive Economic Zone"
-3.625,45.625,0.00228771809086288,919,"French Exclusive Economic Zone"
-3.375,45.625,0.000235625351573378,919,"French Exclusive Economic Zone"
-3.125,45.625,0.002774229043987,919,"French Exclusive Economic Zone"
-2.875,45.625,0.00341098403918299,919,"French Exclusive Economic Zone"
-2.625,45.625,0.00230517426754702,919,"French Exclusive Economic Zone"
-2.375,45.625,0.00328643376483379,1480,"French Exclusive Economic Zone"
-2.125,45.625,0.0135395212887673,1480,"French Exclusive Economic Zone"
-1.875,45.625,0.0120790280531757,1481,"French Exclusive Economic Zone"
-1.625,45.625,0.00355865206668674,1481,"French Exclusive Economic Zone"
-1.375,45.625,0.0589064520952314,1481,"French Exclusive Economic Zone"
-1.125,45.625,0.0802951698797564,1481,"French Exclusive Economic Zone"
-3.625,45.375,0.00273405022796945,919,"French Exclusive Economic Zone"
-3.375,45.375,0.00106211886412919,919,"French Exclusive Economic Zone"
-3.125,45.375,0.0012431202349231,1480,"French Exclusive Economic Zone"
-2.875,45.375,0.00302295324593733,1480,"French Exclusive Economic Zone"
-2.625,45.375,0.00422841264050425,1480,"French Exclusive Economic Zone"
-2.375,45.375,0.00359273950927848,1480,"French Exclusive Economic Zone"
-2.125,45.375,0.00226151449232555,1480,"French Exclusive Economic Zone"
-1.875,45.375,0.00524766102123202,1480,"French Exclusive Economic Zone"
-1.625,45.375,0.007400534210449,1480,"French Exclusive Economic Zone"
-1.375,45.375,0.0311345256438736,1480,"French Exclusive Economic Zone"
-2.875,45.125,0.00353000783900086,1480,"French Exclusive Economic Zone"
-2.625,45.125,0.00540928233799349,1480,"French Exclusive Economic Zone"
-2.375,45.125,0.00432009785423281,1480,"French Exclusive Economic Zone"
-2.125,45.125,0.0090565636638592,1480,"French Exclusive Economic Zone"
-1.875,45.125,0.00633667635883803,1480,"French Exclusive Economic Zone"
-1.625,45.125,0.0099983948496051,1480,"French Exclusive Economic Zone"
-1.375,45.125,0.0534260882350839,1480,"French Exclusive Economic Zone"
-2.625,44.875,0.00536297329173388,1480,"French Exclusive Economic Zone"
-2.375,44.875,0.00605706160295908,1480,"French Exclusive Economic Zone"
-2.125,44.875,0.00857073344429383,1480,"French Exclusive Economic Zone"
-1.875,44.875,0.00800187252228989,1480,"French Exclusive Economic Zone"
-1.625,44.875,0.015599942267165,1480,"French Exclusive Economic Zone"
-1.375,44.875,0.0567429789226758,1480,"French Exclusive Economic Zone"
-2.375,44.625,0.0110361609665664,1480,"French Exclusive Economic Zone"
-2.125,44.625,0.0136337384276778,1480,"French Exclusive Economic Zone"
-1.875,44.625,0.0101838735907266,1480,"French Exclusive Economic Zone"
-1.625,44.625,0.00622994635934286,1480,"French Exclusive Economic Zone"
-1.375,44.625,0.0613530492122342,1480,"French Exclusive Economic Zone"
-2.125,44.375,0.00332237808774281,1480,"French Exclusive Economic Zone"
-1.875,44.375,0.0110071792093314,1480,"French Exclusive Economic Zone"
-1.625,44.375,0.0120487796060859,1480,"French Exclusive Economic Zone"
-1.375,44.375,0.0097707373028493,1480,"French Exclusive Economic Zone"
-8.125,44.125,0.0237443262146128,945,"Spanish Exclusive Economic Zone"
-7.875,44.125,0.0069304790471454,945,"Spanish Exclusive Economic Zone"
-7.625,44.125,0.012670462798547,945,"Spanish Exclusive Economic Zone"
-7.375,44.125,0.01176814753165,946,"Spanish Exclusive Economic Zone"
-7.125,44.125,0.0131173934404169,946,"Spanish Exclusive Economic Zone"
-6.875,44.125,0.00198706374897415,946,"Spanish Exclusive Economic Zone"
-6.625,44.125,0.00871793615217783,946,"Spanish Exclusive Economic Zone"
-6.375,44.125,0.00352750115227273,946,"Spanish Exclusive Economic Zone"
-6.125,44.125,0.000733694490325062,946,"Spanish Exclusive Economic Zone"
-5.875,44.125,0.00423762991737989,946,"Spanish Exclusive Economic Zone"
-5.625,44.125,0.00220941711419736,946,"Spanish Exclusive Economic Zone"
-5.375,44.125,0.00393955140481763,946,"Spanish Exclusive Economic Zone"
-5.125,44.125,0.00200494560336323,946,"Spanish Exclusive Economic Zone"
-4.875,44.125,0.000666235649893873,946,"Spanish Exclusive Economic Zone"
-4.625,44.125,0.00320310449324164,946,"Spanish Exclusive Economic Zone"
-4.375,44.125,0.0224732245125837,946,"Spanish Exclusive Economic Zone"
-4.125,44.125,0.0485524911282097,946,"Spanish Exclusive Economic Zone"
-3.875,44.125,0.0613135399912749,946,"Spanish Exclusive Economic Zone"
-3.625,44.125,0.0467063230378335,1480,"Spanish Exclusive Economic Zone"
-3.375,44.125,0.0389740208263258,1480,"Spanish Exclusive Economic Zone"
-3.125,44.125,0.0186746394064178,1480,"Spanish Exclusive Economic Zone"
-2.875,44.125,0.0238067977406852,1480,"Spanish Exclusive Economic Zone"
-1.625,44.125,0.00567959102821647,1480,"French Exclusive Economic Zone"
-1.375,44.125,0.0440266742413784,1480,"French Exclusive Economic Zone"
