"Species","EEZ","p2","p4","Average","Max"
"Solea solea","Albanian Exclusive Economic Zone",0,0,1.18216279783852,1.20828504073089
"Solea solea","Algerian Exclusive Economic Zone",0,0,0.00538610434421067,0.0315654470218334
"Solea solea","Belgian Exclusive Economic Zone",0,0,0.14242095393415,0.458258683323101
"Solea solea","Croatian Exclusive Economic Zone",0,0,0.157330285891502,0.787293457637869
"Solea solea","Danish Exclusive Economic Zone",0,0,0.0863681426080011,0.804498993432885
"Solea solea","Dutch Exclusive Economic Zone",0,0,0.0664456719859658,0.99807851072978
"Solea solea","Egyptian Exclusive Economic Zone",0,0,0.531184024799764,0.935715241003144
"Solea solea","Faeroe Exclusive Economic Zone",0,0,0.0102300119260269,0.053007620376068
"Solea solea","French Exclusive Economic Zone",0,0,0.0299612967044271,1.2621345524859
"Solea solea","German Exclusive Economic Zone",0,0,0.0696523170307441,0.804498993432885
"Solea solea","Greek Exclusive Economic Zone",0,0,0.205644400771417,1.03140483291052
"Solea solea","Guernsey Exclusive Economic Zone",0,0,0.0270901124171521,0.0887753816987004
"Solea solea","Guinea Bissau Exclusive Economic Zone",0,0,1.6405773116821,1.78708890071904
"Solea solea","Icelandic Exclusive Economic Zone",0,0,0.153769308766994,0.796324684322804
"Solea solea","Irish Exclusive Economic Zone",0,0,0.0150096409114122,0.166690629251731
"Solea solea","Israeli Exclusive Economic Zone",0,0,0.562251964082486,0.935715241003144
"Solea solea","Italian Exclusive Economic Zone",0,0,0.103292030494266,1.40352542589637
"Solea solea","Jersey Exclusive Economic Zone",0,0,0.0769921142183462,0.0974914454694876
"Solea solea","Joint regime area Croatia / Slovenia",0,0,0.609237623106009,0.609237623106009
"Solea solea","Joint regime area Senegal / Guinea Bissau",0,0,1.5669479290918,1.7611921627738
"Solea solea","Joint regime area United Kingdom / Denmark (Faeroe Islands)",0,0,0.00908685930908984,0.00908685930908984
"Solea solea","Libyan Exclusive Economic Zone",0,0,0.153741392826445,0.680996361258783
"Solea solea","Maltese Exclusive Economic Zone",0,0,0.00233510882887122,0.00576177143702083
"Solea solea","Monégasque Exclusive Economic Zone",0,0,0.010567283307048,0.0117114953054789
"Solea solea","Montenegrin Exclusive economic Zone",0,0,1.15604055494615,1.15604055494615
"Solea solea","Moroccan Exclusive Economic Zone",0,0,0.0195793066110479,0.313114814474821
"Solea solea","Norwegian Exclusive Economic Zone",0,0,0.101964631942425,0.743467992555701
"Solea solea","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.000992159578662967,0.000992159578662967
"Solea solea","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.00803789396706857,0.0120938433063926
"Solea solea","Overlapping claim Melilla: Spain / Morocco",0,0,6.96600424816438e-05,6.96600424816438e-05
"Solea solea","Overlapping claim Western Saharan Exclusive Economic Zone",0,0,0.0414401240098587,0.13376277129882
"Solea solea","Polish Exclusive Economic Zone",0,0,0.280381895548421,0.714604969203719
"Solea solea","Portuguese Exclusive Economic Zone",0,0,0.0648498689820374,0.343411969364917
"Solea solea","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.00400481975984566,0.00556487677195659
"Solea solea","Senegalese Exclusive Economic Zone",0,0,1.6405773116821,1.78708890071904
"Solea solea","Slovenian Exclusive Economic Zone",0,0,0.123504775464698,0.123504775464698
"Solea solea","Spanish Exclusive Economic Zone",0,0,0.0382739819682645,1.2621345524859
"Solea solea","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.0288338267780661,0.13376277129882
"Solea solea","Swedish Exclusive Economic Zone",0,0,0.272245462624271,0.804498993432885
"Solea solea","Tunisian Exclusive Economic Zone",0,0,0.0907880703998869,0.798212786449361
"Solea solea","United Kingdom Exclusive Economic Zone",0,0,0.0245564728767802,0.458258683323101
