"x","y","sigmaNovelty","cell","EEZ"
12.125,65.625,0.466074626668325,26,"Norwegian Exclusive Economic Zone"
11.625,65.375,0.160964228855485,26,"Norwegian Exclusive Economic Zone"
11.875,65.375,0.343792107003739,26,"Norwegian Exclusive Economic Zone"
12.125,65.375,0.128592923424401,26,"Norwegian Exclusive Economic Zone"
-22.625,65.125,0.00891194892120734,189,"Icelandic Exclusive Economic Zone"
-22.375,65.125,0.0340098776584263,189,"Icelandic Exclusive Economic Zone"
11.375,65.125,0.0319575003212762,26,"Norwegian Exclusive Economic Zone"
11.625,65.125,0.238330150192811,26,"Norwegian Exclusive Economic Zone"
11.875,65.125,0.630228068604553,26,NA
-23.125,64.625,0.010683489302919,189,"Icelandic Exclusive Economic Zone"
-22.875,64.625,0.059360561057185,189,"Icelandic Exclusive Economic Zone"
-22.625,64.625,0.0460190108886851,189,"Icelandic Exclusive Economic Zone"
-22.375,64.625,0.317726534480091,189,"Icelandic Exclusive Economic Zone"
-23.125,64.375,0.107546006887974,189,"Icelandic Exclusive Economic Zone"
-22.875,64.375,0.00485660911812762,189,"Icelandic Exclusive Economic Zone"
-22.625,64.375,0.0313115462874244,189,"Icelandic Exclusive Economic Zone"
-22.375,64.375,0.107061885890539,189,"Icelandic Exclusive Economic Zone"
-22.125,64.375,0.0992293527752027,189,"Icelandic Exclusive Economic Zone"
-21.875,64.375,0.00998636475163048,189,"Icelandic Exclusive Economic Zone"
-21.625,64.375,0.0535001125210678,189,"Icelandic Exclusive Economic Zone"
-22.875,64.125,0.0348188973944224,189,"Icelandic Exclusive Economic Zone"
-22.625,64.125,0.00317079001079079,189,"Icelandic Exclusive Economic Zone"
-22.375,64.125,0.0520955684061827,189,"Icelandic Exclusive Economic Zone"
-22.125,64.125,0.00359017380832779,189,"Icelandic Exclusive Economic Zone"
-15.875,64.125,0.796324684322804,162,"Icelandic Exclusive Economic Zone"
-15.625,64.125,0.649156726028778,162,"Icelandic Exclusive Economic Zone"
-15.375,64.125,0.0784569322054497,162,"Icelandic Exclusive Economic Zone"
-15.125,64.125,0.585320864491437,162,"Icelandic Exclusive Economic Zone"
-16.375,63.875,0.332533650681833,162,"Icelandic Exclusive Economic Zone"
-16.125,63.875,0.387887583917926,162,"Icelandic Exclusive Economic Zone"
-15.875,63.875,0.199984539540092,162,"Icelandic Exclusive Economic Zone"
-15.625,63.875,0.200137947052553,162,"Icelandic Exclusive Economic Zone"
-15.375,63.875,0.180967974803817,162,"Icelandic Exclusive Economic Zone"
8.625,63.875,0.322079619487272,54,"Norwegian Exclusive Economic Zone"
8.875,63.875,0.474099262529118,54,"Norwegian Exclusive Economic Zone"
-20.875,63.625,0.00605262734466168,189,"Icelandic Exclusive Economic Zone"
-20.625,63.625,0.228291683422769,189,"Icelandic Exclusive Economic Zone"
-17.625,63.625,0.0114691581109259,162,"Icelandic Exclusive Economic Zone"
-16.875,63.625,0.0700950574319172,162,"Icelandic Exclusive Economic Zone"
-16.625,63.625,0.154861950310362,162,"Icelandic Exclusive Economic Zone"
-16.375,63.625,0.00294667887832612,162,"Icelandic Exclusive Economic Zone"
-16.125,63.625,0.0388243219077708,162,"Icelandic Exclusive Economic Zone"
-15.875,63.625,0.154101391919186,162,"Icelandic Exclusive Economic Zone"
-15.625,63.625,0.19811125148257,162,"Icelandic Exclusive Economic Zone"
8.375,63.625,0.149232434992854,54,"Norwegian Exclusive Economic Zone"
8.875,63.625,0.222455467997873,27,NA
9.125,63.625,0.22482227495599,27,"Norwegian Exclusive Economic Zone"
-20.625,63.375,0.654740981088971,189,"Icelandic Exclusive Economic Zone"
-20.375,63.375,0.624021699676691,189,"Icelandic Exclusive Economic Zone"
-18.125,63.375,0.114234645067008,190,"Icelandic Exclusive Economic Zone"
-17.875,63.375,0.0475203127808815,190,"Icelandic Exclusive Economic Zone"
-16.625,63.375,0.0609368158631143,162,"Icelandic Exclusive Economic Zone"
-16.375,63.375,0.0551982344399873,162,"Icelandic Exclusive Economic Zone"
