"Species","EEZ","p2","p4","Average","Max"
"Sparidentex hasta","Bahraini Exclusive Economic Zone",0,0,0.024283315301983,0.130008487010933
"Sparidentex hasta","Indian Exclusive Economic Zone",0,0,0.0756357490287711,0.612335574784224
"Sparidentex hasta","Iranian Exclusive Economic Zone",0,0,0.102221609584718,1.30512622160836
"Sparidentex hasta","Iraqi Exclusive Economic Zone",0,0,0.0995026245312311,0.122357590564681
"Sparidentex hasta","Kuwaiti Exclusive Economic Zone",0,0,0.0590003980507817,0.294283748282835
"Sparidentex hasta","Omani Exclusive Economic Zone",0,0,0.141291544224172,1.30512622160836
"Sparidentex hasta","Overlapping claim Qatar / Saudi Arabia / United Arab Emirates",0,0,0.0547768346517786,0.0547768346517786
"Sparidentex hasta","Overlapping claim: Iran / United Arab Emirates",0,0,0.557445823781241,1.30512622160836
"Sparidentex hasta","Pakistani Exclusive Economic Zone",0,0,0.0156255809352546,0.233230518556041
"Sparidentex hasta","Qatari Exclusive Economic Zone",0,0,0.0121225847855593,0.0873403802535445
"Sparidentex hasta","Saudi Arabian Exclusive Economic Zone",0,0,0.0101146159856647,0.130008487010933
"Sparidentex hasta","Somali Exclusive Economic Zone",0,0,0.0273714564820905,0.326769814439687
"Sparidentex hasta","United Arab Emirates Exclusive Economic Zone",0,0,0.155454888638529,1.30512622160836
"Sparidentex hasta","Yemeni Exclusive Economic Zone",0,0,0.0245373953472632,0.326769814439687
