"x","y","sigmaNovelty","cell","EEZ"
49.125,30.125,0.453578973599743,2366,"Iranian Exclusive Economic Zone"
49.375,30.125,0.158969245702737,2366,"Iranian Exclusive Economic Zone"
49.875,30.125,0.0242342282893354,2366,"Iranian Exclusive Economic Zone"
50.125,30.125,0.0141639457171939,2366,NA
48.625,29.875,0.122357590564681,2366,"Iraqi Exclusive Economic Zone"
48.875,29.875,0.235445874738013,2366,"Iranian Exclusive Economic Zone"
49.125,29.875,0.294283748282835,2366,"Iranian Exclusive Economic Zone"
49.375,29.875,0.125902622204131,2366,"Iranian Exclusive Economic Zone"
49.625,29.875,0.022024432217764,2366,"Iranian Exclusive Economic Zone"
49.875,29.875,0.0234486011924077,2366,"Iranian Exclusive Economic Zone"
50.125,29.875,0.0166707940264852,2366,"Iranian Exclusive Economic Zone"
48.375,29.625,0.100817999470412,2366,"Kuwaiti Exclusive Economic Zone"
48.625,29.625,0.0753322835586008,2366,"Iraqi Exclusive Economic Zone"
48.875,29.625,0.0892962861791229,2366,"Iranian Exclusive Economic Zone"
49.125,29.625,0.140469404789102,2366,"Iranian Exclusive Economic Zone"
49.375,29.625,0.00880865398643232,2366,"Iranian Exclusive Economic Zone"
49.625,29.625,0.017097659707551,2366,"Iranian Exclusive Economic Zone"
49.875,29.625,0.0234962738491964,2366,"Iranian Exclusive Economic Zone"
50.125,29.625,0.0181380402550348,2366,"Iranian Exclusive Economic Zone"
50.375,29.625,0.00611072932638793,2393,"Iranian Exclusive Economic Zone"
48.125,29.375,0.0362855669689419,2338,"Kuwaiti Exclusive Economic Zone"
48.375,29.375,0.0773978186441793,2366,"Kuwaiti Exclusive Economic Zone"
48.625,29.375,0.219520197530559,2366,"Kuwaiti Exclusive Economic Zone"
48.875,29.375,0.0416850830028845,2366,"Kuwaiti Exclusive Economic Zone"
49.125,29.375,0.0120119203445301,2366,"Iranian Exclusive Economic Zone"
49.375,29.375,0.00390996416960442,2366,"Iranian Exclusive Economic Zone"
49.625,29.375,0.00376298697989185,2365,"Iranian Exclusive Economic Zone"
49.875,29.375,0.00270330258881259,2365,"Iranian Exclusive Economic Zone"
50.125,29.375,0.00421298092266145,2365,"Iranian Exclusive Economic Zone"
50.375,29.375,0.005449243627084,2393,"Iranian Exclusive Economic Zone"
50.625,29.375,0.000921386140122318,2393,"Iranian Exclusive Economic Zone"
48.375,29.125,0.0085415960901184,2338,"Kuwaiti Exclusive Economic Zone"
48.625,29.125,0.0249735310643414,2365,"Kuwaiti Exclusive Economic Zone"
48.875,29.125,0.00372620855446364,2365,"Kuwaiti Exclusive Economic Zone"
49.125,29.125,0.00140613444962991,2365,"Kuwaiti Exclusive Economic Zone"
49.375,29.125,0.000857249530455795,2365,"Kuwaiti Exclusive Economic Zone"
49.625,29.125,0.000130924725116165,2365,"Iranian Exclusive Economic Zone"
49.875,29.125,3.33376810498608e-05,2365,"Iranian Exclusive Economic Zone"
50.125,29.125,0.000129668950478673,2365,"Iranian Exclusive Economic Zone"
50.375,29.125,0.000919825094486242,2365,"Iranian Exclusive Economic Zone"
50.625,29.125,0.000116405414444497,2365,"Iranian Exclusive Economic Zone"
48.375,28.875,0.06872720464239,2365,"Kuwaiti Exclusive Economic Zone"
