"x","y","sigmaNovelty","cell","EEZ"
139.375,42.625,0.14861885205028,3333,"Japanese Exclusive Economic Zone"
139.625,42.625,0.160461896471992,3333,"Japanese Exclusive Economic Zone"
139.125,42.375,0.0193070793061388,3333,"Japanese Exclusive Economic Zone"
139.375,42.375,0.0136117080665864,3333,"Japanese Exclusive Economic Zone"
139.625,42.375,0.0318666659240421,3333,"Japanese Exclusive Economic Zone"
138.875,42.125,0.0302119765714579,3333,"Japanese Exclusive Economic Zone"
139.125,42.125,0.0319208926219071,3333,"Japanese Exclusive Economic Zone"
139.375,42.125,0.00589946365521197,3333,"Japanese Exclusive Economic Zone"
139.625,42.125,0.00233531657256593,3333,"Japanese Exclusive Economic Zone"
139.875,42.125,0.0470620005946178,3333,"Japanese Exclusive Economic Zone"
140.875,42.125,0.173359167551592,3360,"Japanese Exclusive Economic Zone"
141.125,42.125,0.213872961840831,3360,"Japanese Exclusive Economic Zone"
130.125,41.875,0.482857844701023,3250,"North Korean Exclusive Economic Zone"
130.375,41.875,0.909158375807061,3250,"North Korean Exclusive Economic Zone"
138.625,41.875,0.0314365857058894,3333,"Japanese Exclusive Economic Zone"
138.875,41.875,0.00383214233896397,3333,"Japanese Exclusive Economic Zone"
139.125,41.875,0.0209950450989932,3333,"Japanese Exclusive Economic Zone"
139.375,41.875,0.0266897278434717,3333,"Japanese Exclusive Economic Zone"
139.625,41.875,0.0869584278324425,3333,"Japanese Exclusive Economic Zone"
139.875,41.875,0.178446981783802,3360,"Japanese Exclusive Economic Zone"
140.125,41.875,0.0830751524380711,3360,NA
141.125,41.875,0.224745939423746,3360,"Japanese Exclusive Economic Zone"
141.375,41.875,0.0920290043826668,3360,"Japanese Exclusive Economic Zone"
129.875,41.625,0.586048984111285,3250,"North Korean Exclusive Economic Zone"
130.125,41.625,0.318947391297529,3250,"North Korean Exclusive Economic Zone"
130.375,41.625,0.668261997284271,3250,"North Korean Exclusive Economic Zone"
130.625,41.625,0.444899379603747,3250,"North Korean Exclusive Economic Zone"
138.375,41.625,0.0125374058077952,3333,"Japanese Exclusive Economic Zone"
138.625,41.625,0.0129298912960706,3333,"Japanese Exclusive Economic Zone"
138.875,41.625,0.00559724736957438,3333,"Japanese Exclusive Economic Zone"
139.125,41.625,0.00544563870051791,3333,"Japanese Exclusive Economic Zone"
139.375,41.625,7.7331274292837e-05,3333,"Japanese Exclusive Economic Zone"
