"x","y","sigmaNovelty","cell","EEZ"
134.125,35.875,0.016336594428224,3275,"Japanese Exclusive Economic Zone"
134.375,35.875,0.0315989991207889,3275,"Japanese Exclusive Economic Zone"
134.125,35.625,0.0595400019236709,3275,"Japanese Exclusive Economic Zone"
134.375,35.625,0.0338925840358895,3275,"Japanese Exclusive Economic Zone"
139.875,35.375,0.701008893223387,3358,"Japanese Exclusive Economic Zone"
139.125,35.125,1.01941120918974,3330,"Japanese Exclusive Economic Zone"
139.375,35.125,0.267354144992118,3330,"Japanese Exclusive Economic Zone"
139.625,35.125,0.265357668769057,3330,"Japanese Exclusive Economic Zone"
138.375,34.875,0.00163632900533883,3330,"Japanese Exclusive Economic Zone"
138.625,34.875,0.00201147025817873,3330,"Japanese Exclusive Economic Zone"
139.125,34.875,0.529845485131271,3330,"Japanese Exclusive Economic Zone"
139.375,34.875,0.629527722793598,3330,"Japanese Exclusive Economic Zone"
139.625,34.875,0.116495496916898,3330,"Japanese Exclusive Economic Zone"
139.875,34.875,0.110071782533983,3358,"Japanese Exclusive Economic Zone"
140.125,34.875,0.00346207775580238,3358,"Japanese Exclusive Economic Zone"
140.375,34.875,0.00478135445582323,3358,"Japanese Exclusive Economic Zone"
134.375,34.625,0.109785904374023,3275,"Japanese Exclusive Economic Zone"
134.625,34.625,0.113184584002427,3275,"Japanese Exclusive Economic Zone"
134.875,34.625,0.309040545691054,3275,"Japanese Exclusive Economic Zone"
135.125,34.625,0.684166521081769,3303,"Japanese Exclusive Economic Zone"
135.375,34.625,0.486958702044792,3303,"Japanese Exclusive Economic Zone"
136.625,34.625,0.295447836153715,3303,"Japanese Exclusive Economic Zone"
136.875,34.625,0.641638163755408,3330,"Japanese Exclusive Economic Zone"
137.375,34.625,0.487976574276929,3330,"Japanese Exclusive Economic Zone"
137.625,34.625,0.00721459521171409,3330,"Japanese Exclusive Economic Zone"
137.875,34.625,0.04439157143346,3330,"Japanese Exclusive Economic Zone"
138.125,34.625,0.067628582674434,3330,"Japanese Exclusive Economic Zone"
138.375,34.625,0.0313552814272243,3330,"Japanese Exclusive Economic Zone"
138.625,34.625,0.0209884272284044,3330,"Japanese Exclusive Economic Zone"
139.125,34.625,0.0332449414849797,3330,"Japanese Exclusive Economic Zone"
139.375,34.625,0.132962804675069,3330,"Japanese Exclusive Economic Zone"
139.625,34.625,0.0218183215125425,3330,"Japanese Exclusive Economic Zone"
139.875,34.625,0.00737577060424715,3330,"Japanese Exclusive Economic Zone"
140.125,34.625,0.0161779269474494,3358,"Japanese Exclusive Economic Zone"
140.375,34.625,0.0301175055249254,3358,"Japanese Exclusive Economic Zone"
134.375,34.375,0.130804132124357,3275,"Japanese Exclusive Economic Zone"
134.625,34.375,0.219447340430515,3275,"Japanese Exclusive Economic Zone"
135.125,34.375,0.60888271590628,3302,"Japanese Exclusive Economic Zone"
137.125,34.375,0.00986174230822388,3330,"Japanese Exclusive Economic Zone"
137.375,34.375,0.0236641987380065,3330,"Japanese Exclusive Economic Zone"
137.625,34.375,0.0123018429818619,3330,"Japanese Exclusive Economic Zone"
137.875,34.375,0.0210706416115466,3330,"Japanese Exclusive Economic Zone"
138.125,34.375,0.02106948726703,3330,"Japanese Exclusive Economic Zone"
138.375,34.375,0.0191635847250423,3330,"Japanese Exclusive Economic Zone"
138.625,34.375,0.0253735845496282,3330,"Japanese Exclusive Economic Zone"
138.875,34.375,0.0214969260108372,3330,"Japanese Exclusive Economic Zone"
139.125,34.375,0.0410048511780473,3330,"Japanese Exclusive Economic Zone"
139.375,34.375,0.016434138035436,3330,"Japanese Exclusive Economic Zone"
139.625,34.375,0.0260330060123877,3330,"Japanese Exclusive Economic Zone"
139.875,34.375,0.0188689945440669,3330,"Japanese Exclusive Economic Zone"
140.125,34.375,0.0146005405863495,3357,"Japanese Exclusive Economic Zone"
132.875,34.125,0.16646261175172,3275,"Japanese Exclusive Economic Zone"
133.125,34.125,0.439943277555305,3275,"Japanese Exclusive Economic Zone"
133.375,34.125,0.511720548561434,3275,"Japanese Exclusive Economic Zone"
133.625,34.125,0.616091117609236,3275,"Japanese Exclusive Economic Zone"
134.625,34.125,0.393327053109076,3275,"Japanese Exclusive Economic Zone"
134.875,34.125,1.04502489171162,3302,"Japanese Exclusive Economic Zone"
135.125,34.125,0.414073302475638,3302,"Japanese Exclusive Economic Zone"
