"Species","EEZ","p2","p4","Average","Max"
"Thunnus maccoyii","Amsterdam Island & St. Paul Island Exclusive Economic Zone",0,0,0.000214017255061168,0.00286413913448834
"Thunnus maccoyii","Argentinean Exclusive Economic Zone",0,0,0.0253181824281379,1.13178328896497
"Thunnus maccoyii","Australian Exclusive Economic Zone",0,0,0.00219127567913903,0.36669022358464
"Thunnus maccoyii","Australian Exclusive Economic Zone (Macquarie Island)",0,0,0.000161606671317222,0.0019895372040631
"Thunnus maccoyii","Brazilian Exclusive Economic Zone",0,0,0.0131776461750837,0.973966003038193
"Thunnus maccoyii","Chilean Exclusive Economic Zone",0.00083600390135154,0,0.0188068118809302,3.42970335372967
"Thunnus maccoyii","Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands)",0,0,4.09635899498411e-05,0.00041453688482785
"Thunnus maccoyii","Christmas Island Exclusive Economic Zone",0,0,0.000145296480232003,0.000567987866132567
"Thunnus maccoyii","Cocos Islands Exclusive Economic Zone",0,0,0.000402063080702682,0.00258988650835241
"Thunnus maccoyii","Cook Islands Exclusive Economic Zone",0,0,0.00194570639323348,0.00354777604456107
"Thunnus maccoyii","Crozet Islands Exclusive Economic Zone",0,0,0.000521613608075989,0.0358031161033917
"Thunnus maccoyii","East Timorian Exclusive Economic Zone",0,0,0.00921445046471546,0.0414361418465349
"Thunnus maccoyii","Fijian Exclusive Economic Zone",0.000352692217258406,0,0.0103087604773035,2.82744392556923
"Thunnus maccoyii","French Polynesian Exclusive Economic Zone",0,0,0.00156474267102351,0.00716801312661077
"Thunnus maccoyii","Heard and McDonald Islands Exclusive Economic Zone",0,0,0.00446292572685384,0.0931606206650495
"Thunnus maccoyii","Ile Europa Exclusive Economic Zone",0,0,0.00168384117622207,0.00566878913690319
"Thunnus maccoyii","Indonesian Exclusive Economic Zone",0,0,0.00755044350387279,0.32115070845253
"Thunnus maccoyii","Joint regime area Argentina / Uruguay",0,0,0.0643167323085542,0.451460595672394
"Thunnus maccoyii","Kerguelen Exclusive Economic Zone",0.000909918107370337,0,0.0152938695543466,2.02021352095363
"Thunnus maccoyii","Kiribati Exclusive Economic Zone (Gilbert Islands)",0,0,0.0195680191539883,0.080491415332705
"Thunnus maccoyii","Madagascan Exclusive Economic Zone",0,0,0.000538390402249712,0.0113437057007882
"Thunnus maccoyii","Mauritian Exclusive Economic Zone",0,0,0.000973117231862784,0.00168697493796281
"Thunnus maccoyii","Mozambican Exclusive Economic Zone",0,0,0.00039546296898751,0.0062224143554525
"Thunnus maccoyii","Namibian Exclusive Economic Zone",0,0,0.0632486011082585,1.50144790457286
"Thunnus maccoyii","New Caledonian Exclusive Economic Zone",0,0,5.70056674380278e-05,0.000270345289066922
"Thunnus maccoyii","New Zealand Exclusive Economic Zone",3.19705870599049e-05,0,0.00268948266916361,3.42970335372967
"Thunnus maccoyii","Norfolk Island Exclusive Economic Zone",0,0,0.000131918299000163,0.000954461554324734
"Thunnus maccoyii","Overlapping claim Falkland / Malvinas Islands: UK / Argentina",0,0,0.0184505659470286,1.13178328896497
"Thunnus maccoyii","Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",0,0,0.000317791596695027,0.000361770716272874
"Thunnus maccoyii","Overlapping claim South Georgia and South Sandwich Islands: UK / Argentina",0,0,0.00105232010874377,0.0117461607588329
"Thunnus maccoyii","Papua New Guinean Exclusive Economic Zone",0,0,0.00386082213660227,0.0242024230875464
"Thunnus maccoyii","Peruvian Exclusive Economic Zone",0,0,0.115495861664325,1.53902578808275
"Thunnus maccoyii","Réunion Exclusive Economic Zone",0,0,0.000201794206961271,0.000261756773548952
"Thunnus maccoyii","Seychellois Exclusive Economic Zone",0,0,6.71666810121087e-05,0.000186045095892987
"Thunnus maccoyii","Solomon Islands Exclusive Economic Zone",0,0,0.00234956177693148,0.00447519313993681
"Thunnus maccoyii","South African Exclusive Economic Zone",0,0,0.0196287743840962,1.50144790457286
"Thunnus maccoyii","South African Exclusive Economic Zone (Prince Edward Islands)",0,0,0.000154773494425775,0.00289411437691796
"Thunnus maccoyii","Tokelau Exclusive Economic Zone",0,0,0.0140488823566058,0.0197332120570375
"Thunnus maccoyii","Tongan Exclusive Economic Zone",0,0,0.000125577192167729,0.000294151903923593
"Thunnus maccoyii","Tristan Da Cunha Exclusive Economic Zone",0,0,0.00170738593469763,0.192640200822426
"Thunnus maccoyii","Tuvaluan Exclusive Economic Zone",0,0,0.00712006287234073,0.32115070845253
"Thunnus maccoyii","Uruguayan Exclusive Economic Zone",0,0,0.0694487533003434,0.729827520885271
"Thunnus maccoyii","Vanuatu Exclusive Economic Zone",0,0,0.000788287299685191,0.00167342507399635
"Thunnus maccoyii","Wallis and Futuna Exclusive Economic Zone",0,0,0.0102403905306384,1.53902578808275
