"Species","EEZ","p2","p4","Average","Max"
"Trachinotus carolinus","Anguilla Exclusive Economic Zone",0,0,5.60202048996094e-05,0.000261770832886424
"Trachinotus carolinus","Antigua and Barbuda Exclusive Economic Zone",0,0,3.63768699757486e-05,0.000261770832886424
"Trachinotus carolinus","Aruban Exclusive Economic Zone",0,0,8.6909201296068e-05,0.000738302226760266
"Trachinotus carolinus","Bahamas Exclusive Economic Zone",0,0,0.00569352342952658,0.163722457510781
"Trachinotus carolinus","Barbados Exclusive Economic Zone",0,0,0.000290565204735281,0.00165649681406217
"Trachinotus carolinus","Belizean Exclusive Economic Zone",0,0,0.0110080859620431,0.1060310062753
"Trachinotus carolinus","Bermudian Exclusive Economic Zone",0,0,0.0173474527771226,0.0415039884468195
"Trachinotus carolinus","Bonaire Exclusive Economic Zone",0,0,6.55996152059213e-05,0.000199258861895829
"Trachinotus carolinus","Brazilian Exclusive Economic Zone",0,0,0.0120420835054082,0.229466762965223
"Trachinotus carolinus","British Virgin Islands Exclusive Economic Zone",0,0,0.000244024845323428,0.00121991458077558
"Trachinotus carolinus","Canadian Exclusive Economic Zone",0,0,0.23994951180706,0.384578003773621
"Trachinotus carolinus","Cayman Islands Exclusive Economic Zone",0,0,0.00986572720994298,0.0123806084671098
"Trachinotus carolinus","Colombian Exclusive Economic Zone",0,0,0.0257357296293484,0.496354004709765
"Trachinotus carolinus","Colombian Exclusive Economic Zone (Bajo Nuevo)",0,0,0.000210047408988274,0.000210047408988274
"Trachinotus carolinus","Colombian Exclusive Economic Zone (Quitasueño)",0,0,0.00135074012768465,0.0016095517992611
"Trachinotus carolinus","Colombian Exclusive Economic Zone (Serrana)",0,0,0.00056822666987778,0.000829144943475051
"Trachinotus carolinus","Colombian Exclusive Economic Zone (Serranilla)",0,0,0.000329767501740162,0.000366671754341358
"Trachinotus carolinus","Costa Rican Exclusive Economic Zone",0,0,0.0029545408375251,0.0546364889781557
"Trachinotus carolinus","Cuban Exclusive Economic Zone",0,0,0.011111175619143,0.278602698479711
"Trachinotus carolinus","Curaçaoan Exclusive Economic Zone",0,0,4.08574024105917e-05,9.63565616828931e-05
"Trachinotus carolinus","Dominican Exclusive Economic Zone",0,0,3.37033625370126e-05,0.000287205410456085
"Trachinotus carolinus","Dominican Republic Exclusive Economic Zone",0,0,0.000324747560660156,0.00305471930357337
"Trachinotus carolinus","French Guiana Exclusive Economic Zone",0,0,0.00330036789139393,0.1159124071769
"Trachinotus carolinus","Grenadian Exclusive Economic Zone",0,0,0.0018111116076519,0.0347708396089677
"Trachinotus carolinus","Guadeloupean Exclusive Economic Zone",0,0,3.5592023975525e-05,0.000287205410456085
"Trachinotus carolinus","Guatemalan Exclusive Economic Zone",0,0,0.188944091796605,0.333508272584484
"Trachinotus carolinus","Guyanese Exclusive Economic Zone",0,0,0.00606898267858682,0.173820331050528
"Trachinotus carolinus","Haitian Exclusive Economic Zone",0,0,0.000161714143868718,0.00140790757408221
"Trachinotus carolinus","Honduran Exclusive Economic Zone",0,0,0.016339567099046,0.100199280876034
"Trachinotus carolinus","Jamaican Exclusive Economic Zone",0,0,0.00143447136485967,0.0108704392402837
"Trachinotus carolinus","Joint regime area Colombia / Jamaica",0,0,0.000266000728651534,0.00039295025567141
"Trachinotus carolinus","Martinican Exclusive Economic Zone",0,0,3.07619824568312e-05,0.000287205410456085
"Trachinotus carolinus","Mexican Exclusive Economic Zone",0,0,0.0067217386366197,0.333508272584484
"Trachinotus carolinus","Montserrat Exclusive Economic Zone",0,0,2.25919379804387e-05,7.32434346190884e-05
"Trachinotus carolinus","Nicaraguan Exclusive Economic Zone",0,0,0.0162483104632922,0.333508272584484
"Trachinotus carolinus","Overlapping claim: Puerto Rico / Dominican Republic",0,0,0.000134231657404074,0.000336363547242856
"Trachinotus carolinus","Panamanian Exclusive Economic Zone",0,0,0.00949401761656382,0.259352024745887
"Trachinotus carolinus","Puerto Rican Exclusive Economic Zone",0,0,0.000138348042499808,0.00114139562468916
"Trachinotus carolinus","Saba Exclusive Economic Zone",0,0,4.42076467598934e-05,0.000128975520027579
"Trachinotus carolinus","Saint Kitts and Nevis Exclusive Economic Zone",0,0,2.72506210919891e-05,9.58350842171543e-05
"Trachinotus carolinus","Saint Lucia Exclusive Economic Zone",0,0,0.00055636497739429,0.00142307879270354
"Trachinotus carolinus","Saint Vincent and the Grenadines Exclusive Economic Zone",0,0,0.000537893719166589,0.00142307879270354
"Trachinotus carolinus","Saint-Barthélemy Exclusive Economic Zone",0,0,8.83998258805559e-05,0.000261770832886424
"Trachinotus carolinus","Saint-Martin Exclusive Economic Zone",0,0,1.56347749350239e-05,3.5784352341682e-05
"Trachinotus carolinus","Sint-Eustatius Exclusive Economic Zone",0,0,2.78581068457305e-05,8.85702191635715e-05
"Trachinotus carolinus","Sint-Maarten Exclusive Economic Zone",0,0,3.1765272368296e-06,3.1765272368296e-06
"Trachinotus carolinus","Surinamese Exclusive Economic Zone",0,0,0.00291231962278077,0.1159124071769
"Trachinotus carolinus","Trinidad and Tobago Exclusive Economic Zone",0,0,0.00535518505303746,0.0342232397718321
"Trachinotus carolinus","Turks and Caicos Exclusive Economic Zone",0,0,0.000752709490547167,0.00235758552003979
"Trachinotus carolinus","United States Exclusive Economic Zone",0.00680851063829787,0,0.0707681507541266,2.64452936941882
"Trachinotus carolinus","Venezuelan Exclusive Economic Zone",0,0,0.0105772475938444,0.68944494116801
"Trachinotus carolinus","Virgin Islander Exclusive Economic Zone",0,0,0.000206819973836226,0.00121991458077558
