"x","y","sigmaNovelty","cell","EEZ"
18.625,62.375,0.222610478572557,2971,"Swedish Exclusive Economic Zone"
18.875,62.375,0.358255616732095,2970,"Swedish Exclusive Economic Zone"
18.625,62.125,0.52462536610994,2971,"Swedish Exclusive Economic Zone"
18.875,62.125,0.158509194151192,2970,"Swedish Exclusive Economic Zone"
17.625,60.875,0.545552123287206,2971,"Swedish Exclusive Economic Zone"
17.875,60.875,0.562018894811222,2971,"Swedish Exclusive Economic Zone"
17.875,60.625,1.11988542460341,2971,"Swedish Exclusive Economic Zone"
10.625,59.375,0.0799813662215551,1,"Norwegian Exclusive Economic Zone"
10.625,59.125,0.742902840573066,1,"Norwegian Exclusive Economic Zone"
10.875,59.125,0.872016078630361,1,"Norwegian Exclusive Economic Zone"
9.125,57.875,0.458809356835847,1,"Norwegian Exclusive Economic Zone"
9.375,57.875,0.593095019534454,1,"Danish Exclusive Economic Zone"
9.125,57.625,0.601762009687183,1486,"Danish Exclusive Economic Zone"
9.375,57.625,0.500404439437965,1,"Danish Exclusive Economic Zone"
10.625,57.375,0.693430784075272,1,"Danish Exclusive Economic Zone"
10.875,57.375,0.231251160698658,1,"Danish Exclusive Economic Zone"
-8.625,57.125,0.023334304881207,781,"United Kingdom Exclusive Economic Zone"
-8.375,57.125,0.325476004262196,781,"United Kingdom Exclusive Economic Zone"
10.625,57.125,0.542946972543222,1,"Danish Exclusive Economic Zone"
10.875,57.125,0.435738368313268,1,"Danish Exclusive Economic Zone"
-8.875,56.875,0.0691457201814196,781,"United Kingdom Exclusive Economic Zone"
-8.625,56.875,0.0155435846740818,781,"United Kingdom Exclusive Economic Zone"
-8.375,56.875,0.226913357219061,781,"United Kingdom Exclusive Economic Zone"
-8.125,56.875,0.729764850826915,781,"United Kingdom Exclusive Economic Zone"
-9.125,56.625,0.202645665275898,781,"United Kingdom Exclusive Economic Zone"
-8.875,56.625,0.0868809380850697,781,"United Kingdom Exclusive Economic Zone"
-8.625,56.625,0.0253955752584033,781,"United Kingdom Exclusive Economic Zone"
-8.375,56.625,0.0467699339067961,781,"United Kingdom Exclusive Economic Zone"
-8.125,56.625,0.471558885757904,781,"United Kingdom Exclusive Economic Zone"
-7.875,56.625,0.49467672631354,781,"United Kingdom Exclusive Economic Zone"
-9.125,56.375,0.111972963767932,781,"United Kingdom Exclusive Economic Zone"
-8.875,56.375,0.040231592670742,781,"United Kingdom Exclusive Economic Zone"
-8.625,56.375,0.0344982232101564,781,"United Kingdom Exclusive Economic Zone"
-8.375,56.375,0.0101671911501129,781,"United Kingdom Exclusive Economic Zone"
-8.125,56.375,0.0532983030017546,781,"United Kingdom Exclusive Economic Zone"
-7.875,56.375,0.0873762269953865,781,"United Kingdom Exclusive Economic Zone"
-9.125,56.125,0.0470850345051155,781,"Irish Exclusive Economic Zone"
-8.875,56.125,0.0776277767817843,781,"Irish Exclusive Economic Zone"
-8.625,56.125,0.0291593266634007,781,"United Kingdom Exclusive Economic Zone"
-8.375,56.125,0.00962498718281522,781,"United Kingdom Exclusive Economic Zone"
-8.125,56.125,0.0188766278364121,809,"United Kingdom Exclusive Economic Zone"
-7.875,56.125,0.0297914890388167,809,"United Kingdom Exclusive Economic Zone"
-9.375,55.875,0.128187980034485,808,"Irish Exclusive Economic Zone"
-9.125,55.875,0.0592293544802715,808,"Irish Exclusive Economic Zone"
-8.875,55.875,0.0366458439809315,808,"Irish Exclusive Economic Zone"
-8.625,55.875,0.0178096595106279,809,"Irish Exclusive Economic Zone"
-8.375,55.875,0.0065716907970695,809,"Irish Exclusive Economic Zone"
-8.125,55.875,0.0152186263719908,809,"Irish Exclusive Economic Zone"
-7.875,55.875,0.0248386262078046,809,"Irish Exclusive Economic Zone"
-10.125,55.625,0.0473674673100704,808,"Irish Exclusive Economic Zone"
-9.875,55.625,0.0401958045380856,808,"Irish Exclusive Economic Zone"
-9.625,55.625,0.16105377630135,808,"Irish Exclusive Economic Zone"
-9.375,55.625,0.0482197724414717,808,"Irish Exclusive Economic Zone"
-9.125,55.625,0.0419641310841879,808,"Irish Exclusive Economic Zone"
-8.875,55.625,0.0501722755984823,808,"Irish Exclusive Economic Zone"
-8.625,55.625,0.0109621449918625,809,"Irish Exclusive Economic Zone"
-8.375,55.625,0.0224384062897425,809,"Irish Exclusive Economic Zone"
-8.125,55.625,0.0379007224624295,809,"Irish Exclusive Economic Zone"
-7.875,55.625,0.078407597497746,809,"Irish Exclusive Economic Zone"
-10.375,55.375,0.0864997356166886,808,"Irish Exclusive Economic Zone"
-10.125,55.375,0.0388054401116433,808,"Irish Exclusive Economic Zone"
-9.875,55.375,0.114635249744814,808,"Irish Exclusive Economic Zone"
-9.625,55.375,0.0403312690334524,808,"Irish Exclusive Economic Zone"
-9.375,55.375,0.0590222268352519,808,"Irish Exclusive Economic Zone"
-9.125,55.375,0.0272984573806664,808,"Irish Exclusive Economic Zone"
-8.875,55.375,0.0227215110760281,808,"Irish Exclusive Economic Zone"
-8.625,55.375,0.0526246668820026,809,"Irish Exclusive Economic Zone"
-8.375,55.375,0.125472908429113,809,"Irish Exclusive Economic Zone"
-8.125,55.375,0.13299630444703,809,"Irish Exclusive Economic Zone"
-7.875,55.375,0.14556052712507,809,"Irish Exclusive Economic Zone"
-10.625,55.125,0.0314211841798386,808,"Irish Exclusive Economic Zone"
-10.375,55.125,0.0327652222560725,808,"Irish Exclusive Economic Zone"
-10.125,55.125,0.0408509597648794,808,"Irish Exclusive Economic Zone"
-9.875,55.125,0.0339964809358334,808,"Irish Exclusive Economic Zone"
-9.625,55.125,0.039809275327393,808,"Irish Exclusive Economic Zone"
-9.375,55.125,0.0478810904866033,808,"Irish Exclusive Economic Zone"
-9.125,55.125,0.0390574183424724,808,"Irish Exclusive Economic Zone"
-8.875,55.125,0.113802153257971,808,"Irish Exclusive Economic Zone"
-8.625,55.125,0.0860719729044791,809,"Irish Exclusive Economic Zone"
-8.375,55.125,0.0479064333002562,809,"Irish Exclusive Economic Zone"
-11.375,54.875,0.048798875021727,808,"Irish Exclusive Economic Zone"
-11.125,54.875,0.0400679687035945,808,"Irish Exclusive Economic Zone"
-10.625,54.875,0.0273055188174455,808,"Irish Exclusive Economic Zone"
-10.375,54.875,0.0859108128964584,808,"Irish Exclusive Economic Zone"
-10.125,54.875,0.0345964185173907,808,"Irish Exclusive Economic Zone"
-9.875,54.875,0.0623774638502583,808,"Irish Exclusive Economic Zone"
-9.625,54.875,0.0434207566136187,808,"Irish Exclusive Economic Zone"
-9.375,54.875,0.0177084068832522,808,"Irish Exclusive Economic Zone"
-9.125,54.875,0.0356440670251393,808,"Irish Exclusive Economic Zone"
-8.875,54.875,0.0296169952271934,808,"Irish Exclusive Economic Zone"
-8.625,54.875,0.0225513857893117,809,"Irish Exclusive Economic Zone"
-11.375,54.625,0.0472725613556719,808,"Irish Exclusive Economic Zone"
-11.125,54.625,0.0378910445840512,808,"Irish Exclusive Economic Zone"
-10.875,54.625,0.0276078520214483,808,"Irish Exclusive Economic Zone"
-10.625,54.625,0.0654328386388778,808,"Irish Exclusive Economic Zone"
-10.375,54.625,0.0335099317255026,808,"Irish Exclusive Economic Zone"
-10.125,54.625,0.0170260617782147,808,"Irish Exclusive Economic Zone"
-9.875,54.625,0.0253992257827468,808,"Irish Exclusive Economic Zone"
-9.625,54.625,0.0126563225889084,808,"Irish Exclusive Economic Zone"
-9.375,54.625,0.0246978520879917,808,"Irish Exclusive Economic Zone"
-9.125,54.625,0.0210129472963497,808,"Irish Exclusive Economic Zone"
-8.875,54.625,0.00272973139408148,808,"Irish Exclusive Economic Zone"
-11.125,54.375,0.0458397196790634,808,"Irish Exclusive Economic Zone"
-10.875,54.375,0.0616716651536017,808,"Irish Exclusive Economic Zone"
-10.625,54.375,0.0549815235280859,808,"Irish Exclusive Economic Zone"
-10.375,54.375,0.0358772837666892,808,"Irish Exclusive Economic Zone"
-10.125,54.375,0.00249541374933255,808,"Irish Exclusive Economic Zone"
-9.875,54.375,0.000695076805395061,808,"Irish Exclusive Economic Zone"
-9.625,54.375,0.00546666966979135,808,"Irish Exclusive Economic Zone"
-9.375,54.375,0.00747302548119805,808,"Irish Exclusive Economic Zone"
-9.125,54.375,0.00535105594636543,808,"Irish Exclusive Economic Zone"
-8.875,54.375,0.000781732358345224,808,"Irish Exclusive Economic Zone"
-8.625,54.375,0.00451206950221053,809,"Irish Exclusive Economic Zone"
-4.875,54.375,0.0133565166943061,810,"United Kingdom Exclusive Economic Zone"
-4.625,54.375,0.0179827708798437,810,"United Kingdom Exclusive Economic Zone"
-11.125,54.125,0.0485808789303715,808,"Irish Exclusive Economic Zone"
-10.875,54.125,0.0246549153575559,808,"Irish Exclusive Economic Zone"
-10.625,54.125,0.0337466553491954,808,"Irish Exclusive Economic Zone"
-10.375,54.125,0.0021879611537234,808,"Irish Exclusive Economic Zone"
-5.875,54.125,0.00040038312448321,809,"United Kingdom Exclusive Economic Zone"
-5.625,54.125,0.00527425600286426,809,"United Kingdom Exclusive Economic Zone"
-5.375,54.125,0.00116813900027119,809,"United Kingdom Exclusive Economic Zone"
-5.125,54.125,0.00678317259657319,809,"United Kingdom Exclusive Economic Zone"
-4.875,54.125,0.0177959253866238,810,"United Kingdom Exclusive Economic Zone"
-13.375,53.875,0.0481959601068741,835,"Irish Exclusive Economic Zone"
-13.125,53.875,0.0521439804031482,835,"Irish Exclusive Economic Zone"
-11.375,53.875,0.0339969223277603,808,"Irish Exclusive Economic Zone"
-11.125,53.875,0.0350174228514001,808,"Irish Exclusive Economic Zone"
-10.875,53.875,0.0248482595791209,808,"Irish Exclusive Economic Zone"
-10.625,53.875,0.0296261706974844,808,"Irish Exclusive Economic Zone"
-10.375,53.875,0.0134507203667631,808,"Irish Exclusive Economic Zone"
-10.125,53.875,0.00870481916610716,808,"Irish Exclusive Economic Zone"
-9.625,53.875,0.0504047268200624,836,"Irish Exclusive Economic Zone"
-6.125,53.875,0.000495608423958019,809,"Irish Exclusive Economic Zone"
-5.875,53.875,0.00174749841692393,809,"Irish Exclusive Economic Zone"
-5.625,53.875,0.00342259149248263,809,"United Kingdom Exclusive Economic Zone"
-5.375,53.875,0.00247463970775567,837,"United Kingdom Exclusive Economic Zone"
-5.125,53.875,0.00849724237566564,837,"United Kingdom Exclusive Economic Zone"
-4.875,53.875,0.0230358476224568,837,"United Kingdom Exclusive Economic Zone"
8.125,53.875,0.211464467623707,1485,"German Exclusive Economic Zone"
8.375,53.875,0.213236113281913,1485,"German Exclusive Economic Zone"
-14.125,53.625,0.0291004005767884,807,"Irish Exclusive Economic Zone"
-13.875,53.625,0.0390358831219665,835,"Irish Exclusive Economic Zone"
-13.625,53.625,0.0342454813386892,835,"Irish Exclusive Economic Zone"
-13.375,53.625,0.0395379746064825,835,"Irish Exclusive Economic Zone"
-13.125,53.625,0.0532535422867976,835,"Irish Exclusive Economic Zone"
-12.875,53.625,0.0455064752832304,835,"Irish Exclusive Economic Zone"
-11.625,53.625,0.0324852059558561,835,"Irish Exclusive Economic Zone"
-11.375,53.625,0.0301371087163659,835,"Irish Exclusive Economic Zone"
-11.125,53.625,0.0215771373834925,835,"Irish Exclusive Economic Zone"
-10.875,53.625,0.0361005190878532,808,"Irish Exclusive Economic Zone"
-10.625,53.625,0.0778524852652166,808,"Irish Exclusive Economic Zone"
-10.375,53.625,0.0260110724311237,808,"Irish Exclusive Economic Zone"
-10.125,53.625,0.000349104105852321,836,"Irish Exclusive Economic Zone"
-9.875,53.625,0.00127407607115548,836,"Irish Exclusive Economic Zone"
-6.125,53.625,0.00720424370631475,837,"Irish Exclusive Economic Zone"
-5.875,53.625,0.0031460990649515,837,"Irish Exclusive Economic Zone"
-5.625,53.625,7.53935625022368e-05,837,"Irish Exclusive Economic Zone"
-5.375,53.625,0.00359437944738696,837,"Irish Exclusive Economic Zone"
-5.125,53.625,0.0144051805230525,837,"United Kingdom Exclusive Economic Zone"
-4.875,53.625,0.0112375586486324,837,"United Kingdom Exclusive Economic Zone"
8.125,53.625,0.352767232006051,1485,"German Exclusive Economic Zone"
8.375,53.625,0.309950602738114,1485,"German Exclusive Economic Zone"
-14.375,53.375,0.0236900023026598,835,"Irish Exclusive Economic Zone"
-14.125,53.375,0.0200968673307888,835,"Irish Exclusive Economic Zone"
-13.875,53.375,0.0269159620885786,835,"Irish Exclusive Economic Zone"
-13.625,53.375,0.0340921238888061,835,"Irish Exclusive Economic Zone"
-13.375,53.375,0.0429501419552232,835,"Irish Exclusive Economic Zone"
-13.125,53.375,0.0452945370216769,835,"Irish Exclusive Economic Zone"
-12.875,53.375,0.0306656464849461,835,"Irish Exclusive Economic Zone"
-11.875,53.375,0.0352201029833255,835,"Irish Exclusive Economic Zone"
-11.625,53.375,0.0330879756375503,835,"Irish Exclusive Economic Zone"
-11.375,53.375,0.0281677047748256,835,"Irish Exclusive Economic Zone"
-11.125,53.375,0.0192515330697815,835,"Irish Exclusive Economic Zone"
-10.875,53.375,0.031760571837666,835,"Irish Exclusive Economic Zone"
-10.625,53.375,0.0743668076070663,836,"Irish Exclusive Economic Zone"
-10.375,53.375,0.0387989182651372,836,"Irish Exclusive Economic Zone"
-10.125,53.375,0.00111080214201186,836,"Irish Exclusive Economic Zone"
-9.875,53.375,0.00110582567423572,836,"Irish Exclusive Economic Zone"
-6.125,53.375,0.0101210675989697,837,"Irish Exclusive Economic Zone"
-5.875,53.375,0.0131927702796331,837,"Irish Exclusive Economic Zone"
-5.625,53.375,0.00140401678366192,837,"Irish Exclusive Economic Zone"
-5.375,53.375,0.0147470469540578,837,"Irish Exclusive Economic Zone"
-5.125,53.375,0.0275114764685768,837,"United Kingdom Exclusive Economic Zone"
-4.875,53.375,0.028179453026033,837,"United Kingdom Exclusive Economic Zone"
4.625,53.375,0.477838516704268,1484,"Dutch Exclusive Economic Zone"
4.875,53.375,0.689178532840841,1484,"Dutch Exclusive Economic Zone"
-14.375,53.125,0.019086461531859,835,"Irish Exclusive Economic Zone"
-14.125,53.125,0.0259500906682763,835,"Irish Exclusive Economic Zone"
-13.875,53.125,0.0291443020979528,835,"Irish Exclusive Economic Zone"
-13.625,53.125,0.0401357233599659,835,"Irish Exclusive Economic Zone"
-13.375,53.125,0.0413464335880753,835,"Irish Exclusive Economic Zone"
-13.125,53.125,0.0266650931685745,835,"Irish Exclusive Economic Zone"
-12.125,53.125,0.0541062383513427,835,"Irish Exclusive Economic Zone"
-11.875,53.125,0.0447218312326646,835,"Irish Exclusive Economic Zone"
-11.625,53.125,0.0251121037142059,835,"Irish Exclusive Economic Zone"
-11.375,53.125,0.0165750613537174,835,"Irish Exclusive Economic Zone"
-11.125,53.125,0.0293427065219993,835,"Irish Exclusive Economic Zone"
-10.875,53.125,0.0410796956402518,835,"Irish Exclusive Economic Zone"
-10.625,53.125,0.0534414655145842,836,"Irish Exclusive Economic Zone"
-10.375,53.125,0.058608522237756,836,"Irish Exclusive Economic Zone"
-10.125,53.125,0.0152228165984258,836,"Irish Exclusive Economic Zone"
-9.875,53.125,0.00271225160432174,836,"Irish Exclusive Economic Zone"
-9.625,53.125,0.0668079584235123,836,"Irish Exclusive Economic Zone"
-9.375,53.125,0.100128107511597,836,"Irish Exclusive Economic Zone"
-5.875,53.125,0.00965484220256084,837,"Irish Exclusive Economic Zone"
-5.625,53.125,0.00604570677148899,837,"Irish Exclusive Economic Zone"
-5.375,53.125,0.0111322662030348,837,"Irish Exclusive Economic Zone"
-5.125,53.125,0.0299408601964014,837,"United Kingdom Exclusive Economic Zone"
-4.875,53.125,0.0170162684277811,837,"United Kingdom Exclusive Economic Zone"
-4.625,53.125,0.00234573099342541,837,"United Kingdom Exclusive Economic Zone"
