"x","y","sigmaNovelty","cell","EEZ"
-141.375,60.125,0.212786437341249,170,"United States Exclusive Economic Zone (Alaska)"
-147.375,59.875,0.0668475859614507,142,"United States Exclusive Economic Zone (Alaska)"
-147.125,59.875,0.260477454966063,142,"United States Exclusive Economic Zone (Alaska)"
-146.375,59.875,0.18825824911016,142,"United States Exclusive Economic Zone (Alaska)"
-146.125,59.875,0.235438156420186,142,"United States Exclusive Economic Zone (Alaska)"
-144.875,59.875,0.283439731294063,142,"United States Exclusive Economic Zone (Alaska)"
-144.625,59.875,0.164712246801207,142,"United States Exclusive Economic Zone (Alaska)"
-147.375,59.625,0.2641211197779,142,"United States Exclusive Economic Zone (Alaska)"
-147.125,59.625,0.16546240034453,142,"United States Exclusive Economic Zone (Alaska)"
-146.625,59.625,0.212250107979022,142,"United States Exclusive Economic Zone (Alaska)"
-146.375,59.625,0.214120772108547,142,"United States Exclusive Economic Zone (Alaska)"
-146.125,59.625,0.214810268652906,142,"United States Exclusive Economic Zone (Alaska)"
-145.875,59.625,0.23571161442254,142,"United States Exclusive Economic Zone (Alaska)"
-144.875,59.625,0.250780741298556,142,"United States Exclusive Economic Zone (Alaska)"
-144.625,59.625,0.264941534500655,142,"United States Exclusive Economic Zone (Alaska)"
-140.875,59.625,0.181595587074974,170,"United States Exclusive Economic Zone (Alaska)"
-140.625,59.625,0.0886260981143271,170,"United States Exclusive Economic Zone (Alaska)"
-146.625,59.375,0.160062305939861,142,"United States Exclusive Economic Zone (Alaska)"
-146.375,59.375,0.181919250012693,142,"United States Exclusive Economic Zone (Alaska)"
-146.125,59.375,0.266860777673069,142,"United States Exclusive Economic Zone (Alaska)"
-145.875,59.375,0.291734737386108,142,"United States Exclusive Economic Zone (Alaska)"
-146.375,59.125,0.212265105932116,142,"United States Exclusive Economic Zone (Alaska)"
-146.125,59.125,0.253284798895351,142,"United States Exclusive Economic Zone (Alaska)"
-152.375,58.875,0.0341350429917526,114,"United States Exclusive Economic Zone (Alaska)"
-152.125,58.875,0.0504645536838393,114,"United States Exclusive Economic Zone (Alaska)"
-138.125,58.875,0.0288986648296589,198,"United States Exclusive Economic Zone (Alaska)"
-152.125,58.625,0.0330206743650964,113,"United States Exclusive Economic Zone (Alaska)"
-137.875,58.625,0.0945943002182789,198,"United States Exclusive Economic Zone (Alaska)"
-137.625,58.625,0.097782832883226,198,"United States Exclusive Economic Zone (Alaska)"
-137.625,58.375,0.038773148882946,198,"United States Exclusive Economic Zone (Alaska)"
-137.375,58.375,0.0743520881841675,198,"United States Exclusive Economic Zone (Alaska)"
-137.125,58.375,0.0559796786729015,198,"United States Exclusive Economic Zone (Alaska)"
-136.875,58.125,0.0422726865150704,225,"United States Exclusive Economic Zone (Alaska)"
-136.625,58.125,0.130605429601306,225,"United States Exclusive Economic Zone (Alaska)"
-136.625,57.875,0.05684074770198,225,"United States Exclusive Economic Zone (Alaska)"
-136.375,57.625,0.0264741444331722,225,"United States Exclusive Economic Zone (Alaska)"
-151.875,56.875,0.175192857560878,113,"United States Exclusive Economic Zone (Alaska)"
-151.625,56.875,0.196504072023261,113,"United States Exclusive Economic Zone (Alaska)"
-151.875,56.625,0.165190538320506,113,"United States Exclusive Economic Zone (Alaska)"
