"Species","EEZ","p2","p4","Average","Max"
"Tridacna gigas","American Samoa Exclusive Economic Zone",0,0,0.00163151088550934,0.0130111427786068
"Tridacna gigas","Australian Exclusive Economic Zone",0,0,0.00469027628357333,0.76822281780762
"Tridacna gigas","Bruneian Exclusive Economic Zone",0,0,0.00182497671673627,0.056636489306652
"Tridacna gigas","Cambodian Exclusive Economic Zone",0,0,0.00134514456535488,0.0138686435557844
"Tridacna gigas","Chinese Exclusive Economic Zone",0,0,0.0340300640351704,1.58778286062338
"Tridacna gigas","Christmas Island Exclusive Economic Zone",0,0,0.000247245700514303,0.000735851773066023
"Tridacna gigas","Cocos Islands Exclusive Economic Zone",0,0,0.00193525625988738,0.00783278861561728
"Tridacna gigas","East Timorian Exclusive Economic Zone",0,0,0.00295345196822334,0.0173767103450883
"Tridacna gigas","Fijian Exclusive Economic Zone",0,0,0.00285238811121301,0.115764360554575
"Tridacna gigas","Guam Exclusive Economic Zone",0,0,2.32438041573699e-05,5.04822387739714e-05
"Tridacna gigas","Howland and Baker Islands Exclusive Economic Zone",0,0,0.00167111429316483,0.00239174469656763
"Tridacna gigas","Indian Exclusive Economic Zone",0,0,0.0299984966981522,0.611052528927567
"Tridacna gigas","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.00230442463520512,0.113358375304137
"Tridacna gigas","Indonesian Exclusive Economic Zone",0,0,0.00285308159873416,0.562084693885643
"Tridacna gigas","Japanese Exclusive Economic Zone",0,0,0.0233396515732505,1.086743570405
"Tridacna gigas","Joint regime area Australia / Papua New Guinea",0,0,0.000833350725659391,0.00136886737231891
"Tridacna gigas","Joint regime area Japan / Korea",0,0,0.00187942848737654,0.00433986251305847
"Tridacna gigas","Kiribati Exclusive Economic Zone (Gilbert Islands)",0,0,0.00284027824615879,0.562084693885643
"Tridacna gigas","Kiribati Exclusive Economic Zone (Phoenix Islands)",0,0,0.000262005139798651,0.00235910938427117
"Tridacna gigas","Malaysian Exclusive Economic Zone",0,0,0.00246560322947211,0.368228491664238
"Tridacna gigas","Marshall Islands Exclusive Economic Zone",0,0,0.00033802119904912,0.00488729710146701
"Tridacna gigas","Micronesian Exclusive Economic Zone",0,0,0.00121460259328088,0.00638056961085977
"Tridacna gigas","Myanmar Exclusive Economic Zone",0,0,0.00478343177878016,0.113358375304137
"Tridacna gigas","Nauruan Exclusive Economic Zone",0,0,0.00178265830208712,0.00785752300595133
"Tridacna gigas","New Caledonian Exclusive Economic Zone",0,0,0.000266937209786811,0.0091522673545086
"Tridacna gigas","New Zealand Exclusive Economic Zone",0,0,0.034155896504805,0.76822281780762
"Tridacna gigas","Northern Mariana Exclusive Economic Zone",0,0,0.000268882587205441,0.000737456165952383
"Tridacna gigas","Oecussi Ambeno Exclusive Economic Zone",0,0,4.77643837723551e-05,7.72599386006883e-05
"Tridacna gigas","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,0.000125708567400929,0.000303205282459747
"Tridacna gigas","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.0035620824665399,0.0338190815866972
"Tridacna gigas","Overlapping claim South China Sea",0,0,0.00059428513603524,0.00564300622741403
"Tridacna gigas","Palau Exclusive Economic Zone",0,0,0.00126473545530211,0.0032040027931441
"Tridacna gigas","Papua New Guinean Exclusive Economic Zone",0,0,0.000640143287597905,0.129636659626662
"Tridacna gigas","Philippines Exclusive Economic Zone",0,0,0.00644274307557117,1.41728036857191
"Tridacna gigas","Samoan Exclusive Economic Zone",0,0,0.00163151088550934,0.0130111427786068
"Tridacna gigas","Solomon Islands Exclusive Economic Zone",0,0,0.000651678973692808,0.0037358930350043
"Tridacna gigas","South Korean Exclusive Economic Zone",0,0,0.0684865469351135,1.086743570405
"Tridacna gigas","Sri Lankan Exclusive Economic Zone",0,0,0.0398158335703168,0.611052528927567
"Tridacna gigas","Taiwanese Exclusive Economic Zone",0,0,0.0271384283471114,1.0980401178171
"Tridacna gigas","Thailand Exclusive Economic Zone",0,0,0.00341188102769993,0.0555496677851247
"Tridacna gigas","Tokelau Exclusive Economic Zone",0,0,0.00270418663466175,0.00797825689231193
"Tridacna gigas","Tongan Exclusive Economic Zone",0,0,0.000273069949394687,0.00459636994163325
"Tridacna gigas","Tuvaluan Exclusive Economic Zone",0,0,0.00202804419272607,0.19638683248373
"Tridacna gigas","United States Exclusive Economic Zone (Hawaii)",0,0,0.0308492289915715,1.58778286062338
"Tridacna gigas","Vanuatu Exclusive Economic Zone",0,0,0.000152081858356391,0.00168221162165702
"Tridacna gigas","Vietnamese Exclusive Economic Zone",0,0,0.0209372726525672,0.742314404623563
"Tridacna gigas","Wallis and Futuna Exclusive Economic Zone",0,0,0.00430491513268372,0.115764360554575
