"Species","EEZ","p2","p4","Average","Max"
"Tridacna squamosa","American Samoa Exclusive Economic Zone",0,0,0.00140825422231025,0.0130111667250474
"Tridacna squamosa","Australian Exclusive Economic Zone",0,0,0.0033096244422217,0.115759607221288
"Tridacna squamosa","Bassas da India Exclusive Economic Zone",0,0,0.000898131285226485,0.00208612944085765
"Tridacna squamosa","Bruneian Exclusive Economic Zone",0,0,0.000596815765618238,0.00759173312558088
"Tridacna squamosa","Cambodian Exclusive Economic Zone",0,0,0.00129799204311953,0.0138636047898739
"Tridacna squamosa","Chagos Archipelago Exclusive Economic Zone",0,0,7.30366877500696e-05,0.000455340230005849
"Tridacna squamosa","Chinese Exclusive Economic Zone",0,0,0.0331950598333439,1.587786215587
"Tridacna squamosa","Christmas Island Exclusive Economic Zone",0,0,4.72366541864925e-05,6.36692515793999e-05
"Tridacna squamosa","Cocos Islands Exclusive Economic Zone",0,0,0.000385353896251457,0.00134930127394777
"Tridacna squamosa","Comoran Exclusive Economic Zone",0,0,0.000103740518473372,0.000460214544407787
"Tridacna squamosa","Cook Islands Exclusive Economic Zone",0,0,0.00191510190392526,0.0144511241963655
"Tridacna squamosa","Djiboutian Exclusive Economic Zone",0,0,0.0306271828587498,0.0547957385187589
"Tridacna squamosa","East Timorian Exclusive Economic Zone",0,0,0.00258991305466831,0.0173737983401564
"Tridacna squamosa","Egyptian Exclusive Economic Zone",0,0,0.00880368066391243,0.0178813161461646
"Tridacna squamosa","Eritrean Exclusive Economic Zone",0,0,0.0285494525237545,0.337677985111855
"Tridacna squamosa","Fijian Exclusive Economic Zone",0,0,0.00212255015369945,0.150520795868924
"Tridacna squamosa","French Polynesian Exclusive Economic Zone",0,0,0.00096518157443842,0.0118767406312971
"Tridacna squamosa","Guam Exclusive Economic Zone",0,0,7.99944671366987e-05,9.20849009688984e-05
"Tridacna squamosa","Howland and Baker Islands Exclusive Economic Zone",0,0,0.00159140084786572,0.0021528129641457
"Tridacna squamosa","Ile Europa Exclusive Economic Zone",0,0,0.000898131285226485,0.00208612944085765
"Tridacna squamosa","Indian Exclusive Economic Zone",0,0,0.0123952673374236,0.28884905950431
"Tridacna squamosa","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0,0,0.00238254290772888,0.113356697614998
"Tridacna squamosa","Indonesian Exclusive Economic Zone",0,0,0.00240292240779094,0.368227601538605
"Tridacna squamosa","Iranian Exclusive Economic Zone",0,0,0.232973401530797,0.589327771378497
"Tridacna squamosa","Japanese Exclusive Economic Zone",0,0,0.00206437040088029,0.110799134271901
"Tridacna squamosa","Jarvis Island Exclusive Economic Zone",0,0,0.00155272908591457,0.0055831191764425
"Tridacna squamosa","Johnston Atoll Exclusive Economic Zone",0,0,0.00553710209194681,0.00576012128895356
"Tridacna squamosa","Joint regime area Australia / Papua New Guinea",0,0,0.000833335233380263,0.00136813081388349
"Tridacna squamosa","Joint regime area Japan / Korea",0,0,0.000987313416146694,0.0013965831241793
"Tridacna squamosa","Juan de Nova Exclusive Economic Zone",0,0,0.00010702574948299,0.000139166590089416
"Tridacna squamosa","Kenyan Exclusive Economic Zone",0,0,0.00064136004921376,0.00384907231211786
"Tridacna squamosa","Kiribati Exclusive Economic Zone (Gilbert Islands)",0,0,0.002055652783393,0.368227601538605
"Tridacna squamosa","Kiribati Exclusive Economic Zone (Line Islands)",0,0,0.000316392127655492,0.0055831191764425
"Tridacna squamosa","Kiribati Exclusive Economic Zone (Phoenix Islands)",0,0,0.000230267648193715,0.0021528129641457
"Tridacna squamosa","Madagascan Exclusive Economic Zone",0,0,0.000689459046850835,0.0239639237872563
"Tridacna squamosa","Malaysian Exclusive Economic Zone",0,0,0.00227389613863735,0.368227601538605
"Tridacna squamosa","Maldives Exclusive Economic Zone",0,0,0.000475369446257524,0.00218229782184054
"Tridacna squamosa","Marshall Islands Exclusive Economic Zone",0,0,0.000290883674599466,0.0048874219587671
"Tridacna squamosa","Mauritian Exclusive Economic Zone",0,0,0.000267141084275267,0.002396048230513
"Tridacna squamosa","Micronesian Exclusive Economic Zone",0,0,0.00113214304671017,0.00638133758968595
"Tridacna squamosa","Mozambican Exclusive Economic Zone",0,0,0.00492652340651597,0.150520795868924
"Tridacna squamosa","Myanmar Exclusive Economic Zone",0,0,0.00500458275498154,0.113356697614998
"Tridacna squamosa","Nauruan Exclusive Economic Zone",0,0,0.00178127570320111,0.00785858820696379
"Tridacna squamosa","New Caledonian Exclusive Economic Zone",0,0,0.000284586938271871,0.00678695714235252
"Tridacna squamosa","New Zealand Exclusive Economic Zone",0,0,0.0114495915779235,0.0674955804989828
"Tridacna squamosa","Niue Exclusive Economic Zone",0,0,0.001222619549334,0.00147468804918008
"Tridacna squamosa","Northern Mariana Exclusive Economic Zone",0,0,0.000379162862798324,0.000981798544996201
"Tridacna squamosa","Oecussi Ambeno Exclusive Economic Zone",0,0,4.77681267129211e-05,7.73044856072483e-05
"Tridacna squamosa","Omani Exclusive Economic Zone",0,0,0.168701359148931,0.589327771378497
"Tridacna squamosa","Overlapping claim Glorioso Islands: France / Madagascar",0,0,8.5328401605416e-05,0.000484949995287445
"Tridacna squamosa","Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",0,0,0.000248996130679451,0.000293889135373637
"Tridacna squamosa","Overlapping claim Matthew and Hunter Islands: New Caledonia / Vanuatu",0,0,0.000125452665798126,0.000303194051281891
"Tridacna squamosa","Overlapping claim Mayotte: France / Comoros",0,0,0.000110943508343611,0.000460214544407787
"Tridacna squamosa","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.0014628644117627,0.00583174939580724
"Tridacna squamosa","Overlapping claim South China Sea",0,0,0.000627440007374509,0.00564124077878416
"Tridacna squamosa","Overlapping claim: Kenya / Somalia",0,0,0.000587216777932909,0.000882777989914426
"Tridacna squamosa","Pakistani Exclusive Economic Zone",0,0,2.89091393217335e-05,8.71052102343808e-05
"Tridacna squamosa","Palau Exclusive Economic Zone",0,0,0.00126489033142856,0.00320482049307718
"Tridacna squamosa","Palmyra Atoll Exclusive Economic Zone",0,0,7.5650179241066e-05,0.000397669082008778
"Tridacna squamosa","Papua New Guinean Exclusive Economic Zone",0,0,0.000624441049452688,0.129598827056065
"Tridacna squamosa","Philippines Exclusive Economic Zone",0,0,0.00502999931518465,1.41728370804652
"Tridacna squamosa","Pitcairn Islands Exclusive Economic Zone",0,0,0.0035215059507185,0.00417328774495709
"Tridacna squamosa","Réunion Exclusive Economic Zone",0,0,0.000218536305065871,0.00110426907387936
"Tridacna squamosa","Samoan Exclusive Economic Zone",0,0,0.00103142335023787,0.0130111667250474
"Tridacna squamosa","Saudi Arabian Exclusive Economic Zone",0,0,0.0478891198642699,0.237224297062058
"Tridacna squamosa","Seychellois Exclusive Economic Zone",0,0,5.0420129557632e-05,0.000520524959943168
"Tridacna squamosa","Solomon Islands Exclusive Economic Zone",0,0,0.000641651138039883,0.00373594892740908
"Tridacna squamosa","Somali Exclusive Economic Zone",0,0,0.00669854813314942,0.0940500432654917
"Tridacna squamosa","South African Exclusive Economic Zone",0,0,0.0145482324600085,0.0561610929251133
"Tridacna squamosa","Sri Lankan Exclusive Economic Zone",0,0,0.0122251422281875,0.181876998570131
"Tridacna squamosa","Sudanese Exclusive Economic Zone",0,0,0.0857185115352566,0.237224297062058
"Tridacna squamosa","Taiwanese Exclusive Economic Zone",0,0,0.0252835811481009,1.09804208196505
