"x","y","sigmaNovelty","cell","EEZ"
127.875,39.875,0.54003711910552,3222,"North Korean Exclusive Economic Zone"
127.625,39.625,0.245391446064215,3222,"North Korean Exclusive Economic Zone"
127.875,39.625,0.183644904368119,3222,"North Korean Exclusive Economic Zone"
141.875,38.875,0.0351446138652769,3359,"Japanese Exclusive Economic Zone"
141.625,38.625,0.044815377942729,3359,"Japanese Exclusive Economic Zone"
141.875,38.625,0.0616940392597376,3359,"Japanese Exclusive Economic Zone"
142.125,38.625,0.095929469153141,3359,"Japanese Exclusive Economic Zone"
141.125,38.375,0.23300761732663,3359,"Japanese Exclusive Economic Zone"
141.375,38.375,0.0973890618140599,3359,"Japanese Exclusive Economic Zone"
141.625,38.375,0.140415079839224,3359,"Japanese Exclusive Economic Zone"
141.875,38.375,0.0410755351410122,3359,"Japanese Exclusive Economic Zone"
142.125,38.375,0.0506082020044302,3359,"Japanese Exclusive Economic Zone"
136.875,38.125,0.0126441164798068,3304,"Japanese Exclusive Economic Zone"
137.125,38.125,0.0126494240069155,3304,"Japanese Exclusive Economic Zone"
138.625,38.125,0.0441297646302353,3331,"Japanese Exclusive Economic Zone"
138.875,38.125,0.120956170267413,3331,"Japanese Exclusive Economic Zone"
139.125,38.125,0.199660460745781,3331,"Japanese Exclusive Economic Zone"
141.125,38.125,0.130063219618451,3359,"Japanese Exclusive Economic Zone"
141.375,38.125,0.0425222042004989,3359,"Japanese Exclusive Economic Zone"
141.625,38.125,0.0987937402163283,3359,"Japanese Exclusive Economic Zone"
141.875,38.125,0.0761864381723546,3359,"Japanese Exclusive Economic Zone"
129.125,37.875,0.413227568786889,3221,"South Korean Exclusive Economic Zone"
129.375,37.875,0.365424212341692,3221,"South Korean Exclusive Economic Zone"
130.625,37.875,0.198410508006265,3249,"South Korean Exclusive Economic Zone"
130.875,37.875,0.221007958736791,3249,"South Korean Exclusive Economic Zone"
136.625,37.875,0.130235177817499,3304,"Japanese Exclusive Economic Zone"
136.875,37.875,0.14402318878455,3304,"Japanese Exclusive Economic Zone"
137.125,37.875,0.154648538394264,3304,"Japanese Exclusive Economic Zone"
137.375,37.875,0.0845756116533169,3331,"Japanese Exclusive Economic Zone"
138.125,37.875,0.164659225615138,3331,"Japanese Exclusive Economic Zone"
138.625,37.875,0.110757650911948,3331,"Japanese Exclusive Economic Zone"
138.875,37.875,0.103076220606588,3331,"Japanese Exclusive Economic Zone"
141.125,37.875,0.0664548798159766,3359,"Japanese Exclusive Economic Zone"
141.375,37.875,0.0691238287694031,3359,"Japanese Exclusive Economic Zone"
141.625,37.875,0.0834261706396199,3359,"Japanese Exclusive Economic Zone"
129.125,37.625,0.544680147802606,3221,"South Korean Exclusive Economic Zone"
129.375,37.625,0.903353376730384,3221,"South Korean Exclusive Economic Zone"
129.625,37.625,0.728049166104361,3221,"South Korean Exclusive Economic Zone"
130.375,37.625,0.0228356145309983,3249,"South Korean Exclusive Economic Zone"
130.625,37.625,0.0154338495536944,3249,"South Korean Exclusive Economic Zone"
130.875,37.625,0.000461466602484767,3249,"South Korean Exclusive Economic Zone"
131.125,37.625,0.0123861198761063,3249,"South Korean Exclusive Economic Zone"
136.375,37.625,0.157489526111149,3304,"Japanese Exclusive Economic Zone"
136.625,37.625,0.200515234023826,3304,"Japanese Exclusive Economic Zone"
136.875,37.625,0.230297143524479,3304,"Japanese Exclusive Economic Zone"
137.125,37.625,0.26590366622009,3331,"Japanese Exclusive Economic Zone"
137.375,37.625,0.256303845146012,3331,"Japanese Exclusive Economic Zone"
137.625,37.625,0.196393836275261,3331,"Japanese Exclusive Economic Zone"
137.875,37.625,0.164786301042553,3331,"Japanese Exclusive Economic Zone"
138.125,37.625,0.179577702041955,3331,"Japanese Exclusive Economic Zone"
138.375,37.625,0.151212690021232,3331,"Japanese Exclusive Economic Zone"
138.625,37.625,0.188090520463128,3331,"Japanese Exclusive Economic Zone"
141.125,37.625,0.0625070251522024,3359,"Japanese Exclusive Economic Zone"
141.375,37.625,0.0915330612990585,3359,"Japanese Exclusive Economic Zone"
141.625,37.625,0.0729307836091999,3359,"Japanese Exclusive Economic Zone"
129.375,37.375,0.963028502953429,3221,"South Korean Exclusive Economic Zone"
129.625,37.375,0.791059925095958,3221,"South Korean Exclusive Economic Zone"
130.375,37.375,0.0159381865350632,3249,"South Korean Exclusive Economic Zone"
130.625,37.375,0.00225779931439758,3249,"South Korean Exclusive Economic Zone"
130.875,37.375,0.0215226307757488,3249,"South Korean Exclusive Economic Zone"
131.125,37.375,0.036423580483518,3249,"South Korean Exclusive Economic Zone"
136.375,37.375,0.190584884247519,3304,"Japanese Exclusive Economic Zone"
136.625,37.375,0.252144540450173,3304,"Japanese Exclusive Economic Zone"
137.375,37.375,0.32157321906768,3331,"Japanese Exclusive Economic Zone"
137.625,37.375,0.23033171175078,3331,"Japanese Exclusive Economic Zone"
137.875,37.375,0.335288819538423,3331,"Japanese Exclusive Economic Zone"
138.125,37.375,0.305047504702326,3331,"Japanese Exclusive Economic Zone"
138.375,37.375,0.260090340154662,3331,"Japanese Exclusive Economic Zone"
141.125,37.375,0.0289655720613523,3359,"Japanese Exclusive Economic Zone"
141.375,37.375,0.051131817630088,3359,"Japanese Exclusive Economic Zone"
141.625,37.375,0.00909605871018942,3359,"Japanese Exclusive Economic Zone"
129.375,37.125,0.675019072570159,3221,NA
129.625,37.125,0.611338462183037,3221,"South Korean Exclusive Economic Zone"
130.625,37.125,0.0204868349000342,3248,"South Korean Exclusive Economic Zone"
130.875,37.125,0.0118581995448958,3248,"South Korean Exclusive Economic Zone"
136.375,37.125,0.196972106612535,3303,"Japanese Exclusive Economic Zone"
136.625,37.125,0.30714345765774,3303,"Japanese Exclusive Economic Zone"
137.125,37.125,0.204222830483853,3331,"Japanese Exclusive Economic Zone"
137.375,37.125,0.26209934214836,3331,"Japanese Exclusive Economic Zone"
137.625,37.125,0.389065370845075,3331,"Japanese Exclusive Economic Zone"
