"Species","EEZ","p2","p4","Average","Max"
"Umbrina cirrosa","Albanian Exclusive Economic Zone",0,0,0.057582402812651,0.552760017682559
"Umbrina cirrosa","Algerian Exclusive Economic Zone",0,0,0.0020483366149131,0.0245059396244531
"Umbrina cirrosa","Bulgarian Exclusive Economic Zone",0,0,0.0834160422357817,0.446339414525859
"Umbrina cirrosa","Croatian Exclusive Economic Zone",0,0,0.068572502414086,0.7872724328169
"Umbrina cirrosa","Cypriote Exclusive Economic Zone",0,0,0.0204119579774187,0.224889859515466
"Umbrina cirrosa","Egyptian Exclusive Economic Zone",0,0,0.0469747418121204,0.329399804203398
"Umbrina cirrosa","French Exclusive Economic Zone",0,0,0.0316168562492392,1.2619677598242
"Umbrina cirrosa","Georgian Exclusive Economic Zone",0.0606060606060606,0,0.349407914516673,2.66715990827194
"Umbrina cirrosa","Greek Exclusive Economic Zone",0,0,0.0505566074005328,0.982867908419224
"Umbrina cirrosa","Israeli Exclusive Economic Zone",0,0,0.0389616951320624,0.0785683420119482
"Umbrina cirrosa","Italian Exclusive Economic Zone",0,0,0.036254226104482,1.40350730682133
"Umbrina cirrosa","Joint regime area Croatia / Slovenia",0,0,0.609116935875556,0.609116935875556
"Umbrina cirrosa","Joint regime area Italy / France",0,0,1.44570953259961e-05,1.44570953259961e-05
"Umbrina cirrosa","Lebanese Exclusive Economic Zone",0,0,0.24373811721585,0.626965857450507
"Umbrina cirrosa","Libyan Exclusive Economic Zone",0,0,0.0115139750921636,0.467803875826742
"Umbrina cirrosa","Maltese Exclusive Economic Zone",0,0,0.00125224062959609,0.00364580120655747
"Umbrina cirrosa","Monégasque Exclusive Economic Zone",0,0,0.00709702091561162,0.00943849526970585
"Umbrina cirrosa","Montenegrin Exclusive economic Zone",0,0,0.0477456188705352,0.501739409324631
"Umbrina cirrosa","Moroccan Exclusive Economic Zone",0,0,0.0249841422244555,0.31636888855153
"Umbrina cirrosa","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.000986846456209352,0.000986846456209352
"Umbrina cirrosa","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.00802050239686185,0.0120728302658786
"Umbrina cirrosa","Overlapping claim Melilla: Spain / Morocco",0,0,6.93300253840299e-05,6.93300253840299e-05
"Umbrina cirrosa","Overlapping claim Ukrainian Exclusive Economic Zone",0.05,0,0.518310600842932,2.23306334399754
"Umbrina cirrosa","Portuguese Exclusive Economic Zone",0,0,0.0624073765829742,0.343397647970169
"Umbrina cirrosa","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.0880083935459875,0.349030897748995
"Umbrina cirrosa","Romanian Exclusive economic Zone",0.285714285714286,0,0.80207263158917,3.11837801495626
"Umbrina cirrosa","Russian Exclusive economic Zone",0,0,0.288465354404196,1.37859495466619
"Umbrina cirrosa","Slovenian Exclusive Economic Zone",0,0,0.123366184449784,0.123366184449784
"Umbrina cirrosa","Spanish Exclusive Economic Zone",0,0,0.0285763360490521,1.2619677598242
"Umbrina cirrosa","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.14247116623267,0.349030897748995
"Umbrina cirrosa","Syrian Exclusive Economic Zone",0,0,0.619517758981161,0.956204694219468
"Umbrina cirrosa","Tunisian Exclusive Economic Zone",0,0,0.0367697872265333,0.7982013766239
"Umbrina cirrosa","Turkish Exclusive Economic Zone",0.0257731958762887,0,0.191801679752208,3.13867620578885
