"x","y","sigmaNovelty","cell","EEZ"
-3.625,46.125,0.000184081059038871,919,"French Exclusive Economic Zone"
-3.375,46.125,0.0133182244597938,919,"French Exclusive Economic Zone"
-2.125,46.125,0.0231053583356354,1481,"French Exclusive Economic Zone"
-1.875,46.125,0.0633025232019385,1481,"French Exclusive Economic Zone"
-3.875,45.875,0.00326486099986319,919,"French Exclusive Economic Zone"
-3.625,45.875,0.000327406117863364,919,"French Exclusive Economic Zone"
-3.375,45.875,0.000855941491579985,919,"French Exclusive Economic Zone"
-3.125,45.875,0.00749039302160952,919,"French Exclusive Economic Zone"
-2.375,45.875,0.0054474251302794,919,"French Exclusive Economic Zone"
-2.125,45.875,0.00371556920670319,1481,"French Exclusive Economic Zone"
-1.875,45.875,0.00407301279788452,1481,"French Exclusive Economic Zone"
-1.625,45.875,0.0481293177764682,1481,"French Exclusive Economic Zone"
32.625,45.875,0.026036707209101,2291,"Overlapping claim Ukrainian Exclusive Economic Zone"
32.875,45.875,0.0441242097176321,2291,"Overlapping claim Ukrainian Exclusive Economic Zone"
-3.875,45.625,0.0180613810330223,919,"French Exclusive Economic Zone"
-3.625,45.625,0.00229350036445376,919,"French Exclusive Economic Zone"
-3.375,45.625,0.00193866980712943,919,"French Exclusive Economic Zone"
-3.125,45.625,0.00180842704146075,919,"French Exclusive Economic Zone"
-2.875,45.625,0.00341617286815451,919,"French Exclusive Economic Zone"
-2.625,45.625,0.00230623747876317,919,"French Exclusive Economic Zone"
-2.375,45.625,0.00175051008038394,1480,"French Exclusive Economic Zone"
-2.125,45.625,0.013551345951149,1480,"French Exclusive Economic Zone"
-1.875,45.625,0.0120874428812148,1481,"French Exclusive Economic Zone"
-1.625,45.625,0.00355229330300267,1481,"French Exclusive Economic Zone"
-1.375,45.625,0.0588559895418201,1481,"French Exclusive Economic Zone"
-1.125,45.625,0.0802320564250216,1481,"French Exclusive Economic Zone"
13.125,45.625,0.643796290789566,1565,"Italian Exclusive Economic Zone"
13.375,45.625,0.41413099362418,1593,"Italian Exclusive Economic Zone"
13.625,45.625,0.123366184449784,1593,"Slovenian Exclusive Economic Zone"
32.625,45.625,2.23306334399754,2291,"Overlapping claim Ukrainian Exclusive Economic Zone"
32.875,45.625,0.467019138807646,2291,"Overlapping claim Ukrainian Exclusive Economic Zone"
-3.625,45.375,0.00273317091858549,919,"French Exclusive Economic Zone"
-3.375,45.375,0.00106158502286021,919,"French Exclusive Economic Zone"
-3.125,45.375,0.00124682955960621,1480,"French Exclusive Economic Zone"
-2.875,45.375,0.00302865137949576,1480,"French Exclusive Economic Zone"
-2.625,45.375,0.0042302116829919,1480,"French Exclusive Economic Zone"
-2.375,45.375,0.00302379069409368,1480,"French Exclusive Economic Zone"
-2.125,45.375,0.00182878659559188,1480,"French Exclusive Economic Zone"
-1.875,45.375,0.00523888384037488,1480,"French Exclusive Economic Zone"
-1.625,45.375,0.00738556148350702,1480,"French Exclusive Economic Zone"
-1.375,45.375,0.0310849269023791,1480,"French Exclusive Economic Zone"
12.375,45.375,1.40350730682133,1565,"Italian Exclusive Economic Zone"
12.625,45.375,1.10397391804734,1565,"Italian Exclusive Economic Zone"
12.875,45.375,0.919028239131674,1565,"Italian Exclusive Economic Zone"
13.125,45.375,0.524865855938413,1565,"Italian Exclusive Economic Zone"
13.375,45.375,0.609116935875556,1593,"Croatian Exclusive Economic Zone"
-3.375,45.125,0.00334516503206497,1480,"French Exclusive Economic Zone"
-3.125,45.125,0.00100818881294709,1480,"French Exclusive Economic Zone"
-2.875,45.125,0.00353427343432113,1480,"French Exclusive Economic Zone"
-2.625,45.125,0.00541681384994493,1480,"French Exclusive Economic Zone"
-2.375,45.125,0.00432607422825472,1480,"French Exclusive Economic Zone"
-2.125,45.125,0.00626774865771067,1480,"French Exclusive Economic Zone"
-1.875,45.125,0.00632105105463562,1480,"French Exclusive Economic Zone"
-1.625,45.125,0.00997243913030598,1480,"French Exclusive Economic Zone"
-1.375,45.125,0.0533883860708296,1480,"French Exclusive Economic Zone"
12.375,45.125,0.35413054788254,1565,"Italian Exclusive Economic Zone"
12.625,45.125,0.559259002576785,1565,"Italian Exclusive Economic Zone"
12.875,45.125,1.32020072035883,1565,"Italian Exclusive Economic Zone"
13.125,45.125,0.48904153801024,1592,"Croatian Exclusive Economic Zone"
13.375,45.125,0.684974243890297,1593,"Croatian Exclusive Economic Zone"
14.375,45.125,0.00827023708141157,1593,"Croatian Exclusive Economic Zone"
-3.125,44.875,0.0079169181041851,1480,"French Exclusive Economic Zone"
-2.875,44.875,0.0076255049942512,1480,"French Exclusive Economic Zone"
-2.625,44.875,0.00535094814309203,1480,"French Exclusive Economic Zone"
-2.375,44.875,0.00604205865481807,1480,"French Exclusive Economic Zone"
-2.125,44.875,0.00855092061625205,1480,"French Exclusive Economic Zone"
-1.875,44.875,0.00798103033526885,1480,"French Exclusive Economic Zone"
-1.625,44.875,0.0155672290913778,1480,"French Exclusive Economic Zone"
-1.375,44.875,0.0567036896489221,1480,"French Exclusive Economic Zone"
12.625,44.875,0.779146149396299,1592,"Italian Exclusive Economic Zone"
12.875,44.875,0.568552185565534,1592,"Italian Exclusive Economic Zone"
13.125,44.875,0.232211398502335,1592,"Croatian Exclusive Economic Zone"
13.375,44.875,0.581815377080404,1592,"Croatian Exclusive Economic Zone"
13.625,44.875,0.143010313777179,1592,"Croatian Exclusive Economic Zone"
14.125,44.875,0.123197180334116,1592,"Croatian Exclusive Economic Zone"
14.625,44.875,0.0911404462522013,1593,"Croatian Exclusive Economic Zone"
14.875,44.875,0.0911412231417336,1593,"Croatian Exclusive Economic Zone"
37.125,44.875,1.34079759052047,2318,"Russian Exclusive economic Zone"
-2.375,44.625,0.0110268676146567,1480,"French Exclusive Economic Zone"
-2.125,44.625,0.0136119608520006,1480,"French Exclusive Economic Zone"
-1.875,44.625,0.0101681038798963,1480,"French Exclusive Economic Zone"
-1.625,44.625,0.00621790475691258,1480,"French Exclusive Economic Zone"
-1.375,44.625,0.0613159673244646,1480,"French Exclusive Economic Zone"
12.375,44.625,0.70184196418033,1592,"Italian Exclusive Economic Zone"
12.625,44.625,0.560128154699651,1592,"Italian Exclusive Economic Zone"
12.875,44.625,1.15791931483564,1592,"Italian Exclusive Economic Zone"
13.125,44.625,0.402400750407073,1592,"Croatian Exclusive Economic Zone"
13.375,44.625,0.0966050347104412,1592,"Croatian Exclusive Economic Zone"
13.625,44.625,0.0349762059881917,1592,"Croatian Exclusive Economic Zone"
13.875,44.625,0.0652238085433225,1592,"Croatian Exclusive Economic Zone"
14.125,44.625,0.199433666434124,1592,"Croatian Exclusive Economic Zone"
14.375,44.625,0.183930562758694,1592,NA
14.625,44.625,0.240517451431527,1592,"Croatian Exclusive Economic Zone"
14.875,44.625,0.087214185276479,1592,"Croatian Exclusive Economic Zone"
37.125,44.625,0.84583912945938,2318,"Russian Exclusive economic Zone"
37.375,44.625,1.37859495466619,2318,"Russian Exclusive economic Zone"
37.625,44.625,1.17492918412241,2318,"Russian Exclusive economic Zone"
37.875,44.625,1.31995166290064,2318,"Russian Exclusive economic Zone"
-2.125,44.375,0.00332124894211088,1480,"French Exclusive Economic Zone"
-1.875,44.375,0.0110181527109345,1480,"French Exclusive Economic Zone"
-1.625,44.375,0.0120397487536693,1480,"French Exclusive Economic Zone"
-1.375,44.375,0.00976718094817336,1480,"French Exclusive Economic Zone"
8.875,44.375,0.00920719119744791,1564,"Italian Exclusive Economic Zone"
12.375,44.375,1.33382252503027,1592,"Italian Exclusive Economic Zone"
12.625,44.375,0.402742077739299,1592,"Italian Exclusive Economic Zone"
12.875,44.375,0.856927245545113,1592,"Italian Exclusive Economic Zone"
13.125,44.375,0.285995536681767,1592,"Italian Exclusive Economic Zone"
13.375,44.375,0.0241999821170001,1592,"Croatian Exclusive Economic Zone"
13.625,44.375,0.0411651525036562,1592,"Croatian Exclusive Economic Zone"
13.875,44.375,0.0250136170415979,1592,"Croatian Exclusive Economic Zone"
14.125,44.375,0.0602996060012759,1592,"Croatian Exclusive Economic Zone"
14.375,44.375,0.150869940053133,1592,"Croatian Exclusive Economic Zone"
14.625,44.375,0.297817211017057,1592,"Croatian Exclusive Economic Zone"
14.875,44.375,0.435351453924096,1592,"Croatian Exclusive Economic Zone"
28.875,44.375,3.11837801495626,2236,"Romanian Exclusive economic Zone"
37.375,44.375,0.29136551939291,2290,"Russian Exclusive economic Zone"
37.625,44.375,0.465440833421897,2318,"Russian Exclusive economic Zone"
37.875,44.375,0.342894059017151,2318,"Russian Exclusive economic Zone"
38.125,44.375,0.183521366307972,2317,"Russian Exclusive economic Zone"
-8.125,44.125,0.0237667154787334,945,"Spanish Exclusive Economic Zone"
-7.875,44.125,0.00693328873520931,945,"Spanish Exclusive Economic Zone"
-7.625,44.125,0.0126516801969843,945,"Spanish Exclusive Economic Zone"
-7.375,44.125,0.0117379375320209,946,"Spanish Exclusive Economic Zone"
-7.125,44.125,0.0131304298428442,946,"Spanish Exclusive Economic Zone"
-6.875,44.125,0.00198268537349294,946,"Spanish Exclusive Economic Zone"
-6.625,44.125,0.00873635088519367,946,"Spanish Exclusive Economic Zone"
-6.375,44.125,0.00354027983227505,946,"Spanish Exclusive Economic Zone"
-6.125,44.125,0.000738522919171229,946,"Spanish Exclusive Economic Zone"
-5.875,44.125,0.00423727960188644,946,"Spanish Exclusive Economic Zone"
-5.625,44.125,0.00219956817729265,946,"Spanish Exclusive Economic Zone"
-5.375,44.125,0.0039364504210499,946,"Spanish Exclusive Economic Zone"
-5.125,44.125,0.00200267718897846,946,"Spanish Exclusive Economic Zone"
-4.875,44.125,0.000667767433507815,946,"Spanish Exclusive Economic Zone"
-4.625,44.125,0.0032049910995363,946,"Spanish Exclusive Economic Zone"
-4.375,44.125,0.0224753179600361,946,"Spanish Exclusive Economic Zone"
-4.125,44.125,0.0485640748158882,946,"Spanish Exclusive Economic Zone"
-3.875,44.125,0.0613252761277196,946,"Spanish Exclusive Economic Zone"
-3.625,44.125,0.0467153836742734,1480,"Spanish Exclusive Economic Zone"
-3.375,44.125,0.0389776509602801,1480,"Spanish Exclusive Economic Zone"
-3.125,44.125,0.0186727464091413,1480,"Spanish Exclusive Economic Zone"
-2.875,44.125,0.0238017790502913,1480,"Spanish Exclusive Economic Zone"
-1.625,44.125,0.00567208759273417,1480,"French Exclusive Economic Zone"
-1.375,44.125,0.0439763398321297,1480,"French Exclusive Economic Zone"
