"x","y","sigmaNovelty","cell","EEZ"
17.625,70.375,0.0361340607112655,3079,"Norwegian Exclusive Economic Zone"
17.875,70.375,0.0734465728790842,3079,"Norwegian Exclusive Economic Zone"
17.625,70.125,0.0451418252939238,3079,"Norwegian Exclusive Economic Zone"
17.875,70.125,0.0523817683420899,3079,"Norwegian Exclusive Economic Zone"
11.875,68.125,0.0167033599689244,25,"Norwegian Exclusive Economic Zone"
12.125,68.125,0.0114358501874072,25,"Norwegian Exclusive Economic Zone"
12.375,68.125,0.00728390133774072,25,"Norwegian Exclusive Economic Zone"
12.625,68.125,0.00737967028521416,25,"Norwegian Exclusive Economic Zone"
11.625,67.875,0.0538870523072946,25,"Norwegian Exclusive Economic Zone"
11.875,67.875,0.0535301958005434,25,"Norwegian Exclusive Economic Zone"
12.125,67.875,0.053207700258738,25,"Norwegian Exclusive Economic Zone"
12.375,67.875,0.069417662538264,25,"Norwegian Exclusive Economic Zone"
12.625,67.875,0.101602303298916,25,"Norwegian Exclusive Economic Zone"
11.375,67.625,0.0490400983861614,25,"Norwegian Exclusive Economic Zone"
11.625,67.625,0.075214577886864,25,"Norwegian Exclusive Economic Zone"
11.875,67.625,0.149215395423894,25,"Norwegian Exclusive Economic Zone"
12.125,67.625,0.178547203107741,25,"Norwegian Exclusive Economic Zone"
12.375,67.625,0.177054646954474,25,"Norwegian Exclusive Economic Zone"
12.625,67.625,0.22482818306024,25,"Norwegian Exclusive Economic Zone"
12.875,67.625,0.143467322214803,25,"Norwegian Exclusive Economic Zone"
11.375,67.375,0.097817193009912,25,"Norwegian Exclusive Economic Zone"
11.625,67.375,0.101773517863103,25,"Norwegian Exclusive Economic Zone"
11.875,67.375,0.102245438695139,25,"Norwegian Exclusive Economic Zone"
12.125,67.375,0.0747009944517376,25,"Norwegian Exclusive Economic Zone"
12.375,67.375,0.0637988778838085,25,"Norwegian Exclusive Economic Zone"
12.625,67.375,0.0660053085694289,25,"Norwegian Exclusive Economic Zone"
11.625,67.125,0.290143039633529,25,"Norwegian Exclusive Economic Zone"
11.875,67.125,0.21567752172513,25,"Norwegian Exclusive Economic Zone"
8.875,64.625,0.10497983354122,26,"Norwegian Exclusive Economic Zone"
9.125,64.625,0.130971727613576,26,"Norwegian Exclusive Economic Zone"
9.375,64.625,0.112728634383259,26,"Norwegian Exclusive Economic Zone"
9.625,64.625,0.112600827932671,26,"Norwegian Exclusive Economic Zone"
9.875,64.625,0.143157250088203,26,"Norwegian Exclusive Economic Zone"
10.125,64.625,0.187302009353054,26,"Norwegian Exclusive Economic Zone"
8.625,64.375,0.087359385932635,26,"Norwegian Exclusive Economic Zone"
8.875,64.375,0.132668914240701,26,"Norwegian Exclusive Economic Zone"
9.125,64.375,0.151025409653687,26,"Norwegian Exclusive Economic Zone"
9.375,64.375,0.154320866898628,26,"Norwegian Exclusive Economic Zone"
9.625,64.375,0.178285475595836,26,"Norwegian Exclusive Economic Zone"
9.875,64.375,0.185853288856346,26,"Norwegian Exclusive Economic Zone"
10.125,64.375,0.214526610854014,26,"Norwegian Exclusive Economic Zone"
10.375,64.375,0.174956867134999,26,"Norwegian Exclusive Economic Zone"
-23.125,64.125,0.0143676353288124,189,"Icelandic Exclusive Economic Zone"
-22.875,64.125,0.0348189355921708,189,"Icelandic Exclusive Economic Zone"
-22.625,64.125,0.0228437489937014,189,"Icelandic Exclusive Economic Zone"
-22.375,64.125,1.2948881254103,189,"Icelandic Exclusive Economic Zone"
-15.875,64.125,0.796354425951722,162,"Icelandic Exclusive Economic Zone"
8.375,64.125,0.141372869555064,54,"Norwegian Exclusive Economic Zone"
8.625,64.125,0.176083834440264,54,"Norwegian Exclusive Economic Zone"
8.875,64.125,0.18934912510819,54,"Norwegian Exclusive Economic Zone"
9.125,64.125,0.23824882042837,26,"Norwegian Exclusive Economic Zone"
9.375,64.125,0.171630671279327,26,"Norwegian Exclusive Economic Zone"
9.625,64.125,0.0564296876591774,26,"Norwegian Exclusive Economic Zone"
9.875,64.125,0.0342158813960024,26,"Norwegian Exclusive Economic Zone"
-23.375,63.875,0.00432237172000376,189,"Icelandic Exclusive Economic Zone"
-23.125,63.875,0.0450580465655769,189,"Icelandic Exclusive Economic Zone"
-22.875,63.875,0.0785538333231207,189,"Icelandic Exclusive Economic Zone"
-16.375,63.875,0.0983450809736171,162,"Icelandic Exclusive Economic Zone"
-16.125,63.875,0.046514884829998,162,"Icelandic Exclusive Economic Zone"
-15.875,63.875,0.0682666079251416,162,"Icelandic Exclusive Economic Zone"
8.125,63.875,0.207650036754245,54,"Norwegian Exclusive Economic Zone"
8.375,63.875,0.128388872746107,54,"Norwegian Exclusive Economic Zone"
8.625,63.875,0.086267897914228,54,"Norwegian Exclusive Economic Zone"
8.875,63.875,0.11587640634286,54,"Norwegian Exclusive Economic Zone"
9.125,63.875,0.115108052579108,54,"Norwegian Exclusive Economic Zone"
9.375,63.875,0.0359919420982544,27,"Norwegian Exclusive Economic Zone"
9.625,63.875,0.0274109461580315,27,"Norwegian Exclusive Economic Zone"
-23.375,63.625,0.00560003943384473,189,"Icelandic Exclusive Economic Zone"
-23.125,63.625,0.013959271355031,189,"Icelandic Exclusive Economic Zone"
-22.875,63.625,5.51142779589572e-05,189,"Icelandic Exclusive Economic Zone"
-22.625,63.625,0.000184174067833921,189,"Icelandic Exclusive Economic Zone"
-22.375,63.625,0.00042878608913497,189,"Icelandic Exclusive Economic Zone"
-22.125,63.625,9.6449950768627e-05,189,"Icelandic Exclusive Economic Zone"
-21.375,63.625,0.0432802660939543,189,"Icelandic Exclusive Economic Zone"
-21.125,63.625,0.150050454287981,189,"Icelandic Exclusive Economic Zone"
-20.875,63.625,0.0190601245638049,189,"Icelandic Exclusive Economic Zone"
-20.625,63.625,0.0187451806825804,189,"Icelandic Exclusive Economic Zone"
-17.625,63.625,0.0500988065204149,162,"Icelandic Exclusive Economic Zone"
-17.375,63.625,0.0237896076457712,162,"Icelandic Exclusive Economic Zone"
-17.125,63.625,0.111356292266532,162,"Icelandic Exclusive Economic Zone"
-16.875,63.625,0.0700946921731837,162,"Icelandic Exclusive Economic Zone"
-16.625,63.625,0.154862543505669,162,"Icelandic Exclusive Economic Zone"
-16.375,63.625,0.039786628961419,162,"Icelandic Exclusive Economic Zone"
-16.125,63.625,0.0526887531837926,162,"Icelandic Exclusive Economic Zone"
6.375,63.625,0.069729705733538,54,"Norwegian Exclusive Economic Zone"
6.625,63.625,0.0984638105568516,54,"Norwegian Exclusive Economic Zone"
7.875,63.625,0.0775580590096927,54,"Norwegian Exclusive Economic Zone"
8.125,63.625,0.114819149113615,54,"Norwegian Exclusive Economic Zone"
8.375,63.625,0.0906658348674439,54,"Norwegian Exclusive Economic Zone"
8.875,63.625,0.0749672305328133,27,NA
9.125,63.625,0.0487109358692048,27,"Norwegian Exclusive Economic Zone"
9.375,63.625,0.0164352429624087,27,"Norwegian Exclusive Economic Zone"
9.625,63.625,0.0443014145328393,27,"Norwegian Exclusive Economic Zone"
-23.125,63.375,0.187704245388769,189,"Icelandic Exclusive Economic Zone"
-22.875,63.375,0.117260360650362,189,"Icelandic Exclusive Economic Zone"
-22.625,63.375,0.0292531334515797,189,"Icelandic Exclusive Economic Zone"
-22.375,63.375,0.010613990562601,189,"Icelandic Exclusive Economic Zone"
-21.125,63.375,0.00649774086376784,189,"Icelandic Exclusive Economic Zone"
-20.875,63.375,0.0146964953980367,189,"Icelandic Exclusive Economic Zone"
-20.625,63.375,0.0669130741188287,189,"Icelandic Exclusive Economic Zone"
-20.375,63.375,0.16626623018996,189,"Icelandic Exclusive Economic Zone"
-20.125,63.375,0.17621465578855,189,"Icelandic Exclusive Economic Zone"
-19.875,63.375,0.0729119432217272,189,"Icelandic Exclusive Economic Zone"
-19.625,63.375,0.212190294652573,190,"Icelandic Exclusive Economic Zone"
-19.375,63.375,0.10482134927914,190,"Icelandic Exclusive Economic Zone"
-19.125,63.375,0.0295621061246327,190,"Icelandic Exclusive Economic Zone"
-18.875,63.375,0.0450487184009068,190,"Icelandic Exclusive Economic Zone"
-18.625,63.375,0.0205257198242202,190,"Icelandic Exclusive Economic Zone"
-18.375,63.375,0.0713445631897774,190,"Icelandic Exclusive Economic Zone"
-18.125,63.375,0.114232640336523,190,"Icelandic Exclusive Economic Zone"
-17.875,63.375,0.0475179602473718,190,"Icelandic Exclusive Economic Zone"
-17.625,63.375,0.0375251742265942,190,"Icelandic Exclusive Economic Zone"
-17.375,63.375,0.0301338388186143,162,"Icelandic Exclusive Economic Zone"
-17.125,63.375,0.0193760113172843,162,"Icelandic Exclusive Economic Zone"
-16.875,63.375,0.0416632193502414,162,"Icelandic Exclusive Economic Zone"
-16.625,63.375,0.135213878584942,162,"Icelandic Exclusive Economic Zone"
-16.375,63.375,0.0509632597596619,162,"Icelandic Exclusive Economic Zone"
6.125,63.375,0.0416987630696906,54,"Norwegian Exclusive Economic Zone"
6.375,63.375,0.0459899812821377,54,"Norwegian Exclusive Economic Zone"
6.625,63.375,0.0717951219750202,54,"Norwegian Exclusive Economic Zone"
6.875,63.375,0.0690438503743871,54,"Norwegian Exclusive Economic Zone"
8.375,63.375,0.0740684786809191,54,"Norwegian Exclusive Economic Zone"
9.375,63.375,0.0234896447655082,27,"Norwegian Exclusive Economic Zone"
-20.875,63.125,0.00827859078521945,189,"Icelandic Exclusive Economic Zone"
-20.625,63.125,0.00155786970420875,189,"Icelandic Exclusive Economic Zone"
-20.375,63.125,0.02832758318669,189,"Icelandic Exclusive Economic Zone"
-20.125,63.125,0.0170778414634412,190,"Icelandic Exclusive Economic Zone"
-19.375,63.125,0.00853654034577177,190,"Icelandic Exclusive Economic Zone"
-19.125,63.125,0.00319761274046701,190,"Icelandic Exclusive Economic Zone"
-18.875,63.125,0.0319234197754267,190,"Icelandic Exclusive Economic Zone"
-18.625,63.125,0.103590963421569,190,"Icelandic Exclusive Economic Zone"
-18.375,63.125,0.0991089967110241,190,"Icelandic Exclusive Economic Zone"
-18.125,63.125,0.0546194186749696,190,"Icelandic Exclusive Economic Zone"
-17.875,63.125,0.059142601745837,190,"Icelandic Exclusive Economic Zone"
-17.625,63.125,0.102896020160171,190,"Icelandic Exclusive Economic Zone"
-17.375,63.125,0.144981335028746,190,"Icelandic Exclusive Economic Zone"
-17.125,63.125,0.0818454305080257,190,"Icelandic Exclusive Economic Zone"
-16.875,63.125,0.025196725651799,190,"Icelandic Exclusive Economic Zone"
-16.625,63.125,0.136434268973748,190,"Icelandic Exclusive Economic Zone"
5.375,63.125,0.0512606744669453,54,"Norwegian Exclusive Economic Zone"
5.625,63.125,0.046139522667064,54,"Norwegian Exclusive Economic Zone"
5.875,63.125,0.0231000131908358,54,"Norwegian Exclusive Economic Zone"
6.125,63.125,0.0353972348787751,54,"Norwegian Exclusive Economic Zone"
6.375,63.125,0.0489647137079498,54,"Norwegian Exclusive Economic Zone"
6.625,63.125,0.0569997032275567,54,"Norwegian Exclusive Economic Zone"
6.875,63.125,0.054788748576868,54,"Norwegian Exclusive Economic Zone"
