"Species","EEZ","p2","p4","Average","Max"
"Acanthopagrus bifasciatus","Bahraini Exclusive Economic Zone",1,0.368421052631579,3.73268798946626,4.73941106939382
"Acanthopagrus bifasciatus","Djiboutian Exclusive Economic Zone",1,0.909090909090909,4.98521888332978,5.93841296529526
"Acanthopagrus bifasciatus","Egyptian Exclusive Economic Zone",0.56547619047619,0.119047619047619,2.24830700255308,4.87121658795382
"Acanthopagrus bifasciatus","Eritrean Exclusive Economic Zone",1,1,7.89974970603537,8.2923610758136
"Acanthopagrus bifasciatus","Iranian Exclusive Economic Zone",0.911111111111111,0.56969696969697,4.5032285271193,8.2923610758136
"Acanthopagrus bifasciatus","Iraqi Exclusive Economic Zone",1,0.2,3.28339264747765,4.1067875130483
"Acanthopagrus bifasciatus","Kuwaiti Exclusive Economic Zone",0.625,0.03125,2.24351386888858,4.1067875130483
"Acanthopagrus bifasciatus","Omani Exclusive Economic Zone",0.468164794007491,0.352059925093633,2.72631443584722,8.2923610758136
"Acanthopagrus bifasciatus","Overlapping claim Qatar / Saudi Arabia / United Arab Emirates",1,1,6.23394121318221,6.23394121318221
"Acanthopagrus bifasciatus","Overlapping claim: Iran / United Arab Emirates",1,1,7.69439179780542,8.2923610758136
"Acanthopagrus bifasciatus","Overlapping claim: Sudan / Egypt",1,1,5.31477315971707,6.40603698012818
"Acanthopagrus bifasciatus","Pakistani Exclusive Economic Zone",0,0,0.701442004228804,1.46495291227372
"Acanthopagrus bifasciatus","Qatari Exclusive Economic Zone",1,0.825,4.94787822692793,6.91337557997956
"Acanthopagrus bifasciatus","Saudi Arabian Exclusive Economic Zone",0.911111111111111,0.593650793650794,5.17065125997866,8.2923610758136
"Acanthopagrus bifasciatus","Somali Exclusive Economic Zone",0.637540453074434,0.236245954692557,2.57007868295229,6.01776613084474
"Acanthopagrus bifasciatus","Sudanese Exclusive Economic Zone",1,1,7.15981103125871,8.2923610758136
"Acanthopagrus bifasciatus","United Arab Emirates Exclusive Economic Zone",1,1,6.32124339583888,8.2923610758136
"Acanthopagrus bifasciatus","Yemeni Exclusive Economic Zone",0.530797101449275,0.304347826086957,2.8130223909599,8.2923610758136
