"x","y","sigmaNovelty","cell","EEZ"
-108.375,24.875,6.87591818658489,692,"Mexican Exclusive Economic Zone"
-108.375,24.625,6.94131084625062,692,"Mexican Exclusive Economic Zone"
-108.125,24.625,7.06821335694272,692,"Mexican Exclusive Economic Zone"
-107.875,24.625,6.92442860449841,692,NA
-108.125,24.375,7.01994488209172,692,"Mexican Exclusive Economic Zone"
-107.875,24.375,6.81926255874691,692,"Mexican Exclusive Economic Zone"
-107.625,24.375,6.57641589420816,692,"Mexican Exclusive Economic Zone"
-107.875,24.125,6.92416313421248,692,"Mexican Exclusive Economic Zone"
-107.625,24.125,6.77967178016785,692,"Mexican Exclusive Economic Zone"
-107.375,24.125,6.71783036896678,692,"Mexican Exclusive Economic Zone"
-107.625,23.875,7.06394810059035,692,"Mexican Exclusive Economic Zone"
-107.375,23.875,6.89830165802913,692,"Mexican Exclusive Economic Zone"
-107.125,23.875,6.85582491504798,692,"Mexican Exclusive Economic Zone"
-107.375,23.625,7.06064282896014,719,"Mexican Exclusive Economic Zone"
-107.125,23.625,6.98379876491088,719,"Mexican Exclusive Economic Zone"
-106.875,23.625,7.35780308828454,719,"Mexican Exclusive Economic Zone"
-107.125,23.375,7.3064830431419,719,"Mexican Exclusive Economic Zone"
-106.875,23.375,7.63150042064696,719,"Mexican Exclusive Economic Zone"
-106.625,23.375,7.93473668831316,719,"Mexican Exclusive Economic Zone"
-106.875,23.125,7.53825940264301,719,"Mexican Exclusive Economic Zone"
-106.625,23.125,7.80880749691819,719,"Mexican Exclusive Economic Zone"
-106.375,23.125,7.97255166443149,719,"Mexican Exclusive Economic Zone"
-106.625,22.875,7.63977336887537,719,"Mexican Exclusive Economic Zone"
-106.375,22.875,7.62547420983562,719,"Mexican Exclusive Economic Zone"
-106.125,22.875,7.4013754283044,719,"Mexican Exclusive Economic Zone"
-106.625,22.625,7.61859005471155,719,"Mexican Exclusive Economic Zone"
-106.375,22.625,7.58178281817496,719,"Mexican Exclusive Economic Zone"
-106.125,22.625,7.0953202128244,719,"Mexican Exclusive Economic Zone"
-105.875,22.625,6.57842191845245,720,"Mexican Exclusive Economic Zone"
-106.625,22.375,7.74513655271157,719,"Mexican Exclusive Economic Zone"
-106.375,22.375,7.87784823655733,719,"Mexican Exclusive Economic Zone"
-106.125,22.375,7.28859934162766,719,"Mexican Exclusive Economic Zone"
-105.875,22.375,6.29117315677069,719,"Mexican Exclusive Economic Zone"
-106.625,22.125,7.92836794287071,719,"Mexican Exclusive Economic Zone"
-106.375,22.125,8.20953615160139,719,"Mexican Exclusive Economic Zone"
-106.125,22.125,7.80880749691819,719,"Mexican Exclusive Economic Zone"
-105.875,22.125,6.9002662958385,3663,"Mexican Exclusive Economic Zone"
-106.875,21.875,7.67848367579634,719,"Mexican Exclusive Economic Zone"
-106.625,21.875,8.07657100413013,719,"Mexican Exclusive Economic Zone"
-106.375,21.875,8.2923610758136,719,"Mexican Exclusive Economic Zone"
-106.125,21.875,8.12589066470191,3663,"Mexican Exclusive Economic Zone"
-105.875,21.875,7.94852981812439,3663,"Mexican Exclusive Economic Zone"
-105.625,21.875,8.20953615160139,3663,"Mexican Exclusive Economic Zone"
-106.875,21.625,7.79722626842912,719,"Mexican Exclusive Economic Zone"
-106.375,21.625,8.2923610758136,719,"Mexican Exclusive Economic Zone"
-106.125,21.625,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.875,21.625,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.625,21.625,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-106.625,21.375,8.0987842043543,719,"Mexican Exclusive Economic Zone"
-106.375,21.375,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-106.125,21.375,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.875,21.375,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.625,21.375,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.375,21.375,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-106.375,21.125,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-106.125,21.125,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.875,21.125,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.625,21.125,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.375,21.125,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-106.125,20.875,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.875,20.875,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.625,20.875,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-106.125,20.625,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.875,20.625,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.625,20.625,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.375,20.625,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-106.125,20.375,8.2923610758136,3662,"Mexican Exclusive Economic Zone"
-105.875,20.375,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.875,20.125,8.2923610758136,3662,"Mexican Exclusive Economic Zone"
-105.625,20.125,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.625,19.875,8.2923610758136,3663,"Mexican Exclusive Economic Zone"
-105.375,19.625,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-105.125,19.375,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-104.875,19.125,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-104.625,19.125,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-104.625,18.875,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-104.375,18.875,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-104.125,18.875,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-104.375,18.625,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-104.125,18.625,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-103.875,18.625,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-104.125,18.375,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-103.875,18.375,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-103.625,18.375,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-103.875,18.125,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-103.625,18.125,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-103.375,18.125,8.2923610758136,3718,"Mexican Exclusive Economic Zone"
-103.125,18.125,8.2923610758136,3718,"Mexican Exclusive Economic Zone"
-103.625,17.875,8.2923610758136,3690,"Mexican Exclusive Economic Zone"
-103.375,17.875,8.2923610758136,3718,"Mexican Exclusive Economic Zone"
-103.125,17.875,8.16070784085858,3718,"Mexican Exclusive Economic Zone"
-102.875,17.875,8.2923610758136,3718,"Mexican Exclusive Economic Zone"
-102.625,17.875,6.84623413810165,3718,"Mexican Exclusive Economic Zone"
-102.375,17.875,5.5922206743171,3718,"Mexican Exclusive Economic Zone"
-102.125,17.875,4.88257399002541,3718,"Mexican Exclusive Economic Zone"
-101.875,17.875,4.30534471389434,3718,"Mexican Exclusive Economic Zone"
-102.375,17.625,7.19651099559082,3718,"Mexican Exclusive Economic Zone"
-102.125,17.625,5.88377678623099,3718,"Mexican Exclusive Economic Zone"
-101.875,17.625,5.0119898676799,3718,"Mexican Exclusive Economic Zone"
-101.625,17.625,5.46343757092084,3718,"Mexican Exclusive Economic Zone"
-102.125,17.375,8.2923610758136,3718,"Mexican Exclusive Economic Zone"
-101.875,17.375,7.83871193598297,3718,"Mexican Exclusive Economic Zone"
-101.625,17.375,8.2923610758136,3718,"Mexican Exclusive Economic Zone"
-101.375,17.375,8.2923610758136,3718,"Mexican Exclusive Economic Zone"
-101.375,17.125,8.2923610758136,3718,"Mexican Exclusive Economic Zone"
-101.125,17.125,8.2923610758136,3718,"Mexican Exclusive Economic Zone"
-100.875,17.125,8.2923610758136,3719,"Mexican Exclusive Economic Zone"
-101.125,16.875,8.2923610758136,3718,"Mexican Exclusive Economic Zone"
-100.875,16.875,8.2923610758136,3746,"Mexican Exclusive Economic Zone"
-100.625,16.875,8.2923610758136,3746,"Mexican Exclusive Economic Zone"
-100.375,16.875,8.2923610758136,3719,"Mexican Exclusive Economic Zone"
-100.125,16.875,8.2923610758136,3719,"Mexican Exclusive Economic Zone"
-99.875,16.625,8.2923610758136,3746,"Mexican Exclusive Economic Zone"
-99.625,16.625,8.2923610758136,3746,"Mexican Exclusive Economic Zone"
-99.375,16.625,8.2923610758136,3746,"Mexican Exclusive Economic Zone"
-99.625,16.375,8.2923610758136,3746,"Mexican Exclusive Economic Zone"
-99.375,16.375,8.2923610758136,3746,"Mexican Exclusive Economic Zone"
-99.125,16.375,8.2923610758136,3747,"Mexican Exclusive Economic Zone"
-98.875,16.375,8.2923610758136,3747,"Mexican Exclusive Economic Zone"
-95.125,16.125,8.20953615160139,3775,"Mexican Exclusive Economic Zone"
-94.875,16.125,8.20953615160139,3776,"Mexican Exclusive Economic Zone"
-94.625,16.125,8.2923610758136,3776,"Mexican Exclusive Economic Zone"
-94.375,16.125,8.2923610758136,3776,"Mexican Exclusive Economic Zone"
-94.125,16.125,8.2923610758136,3776,"Mexican Exclusive Economic Zone"
-97.875,15.875,8.07657100413013,3747,"Mexican Exclusive Economic Zone"
-97.625,15.875,7.97255166443149,3747,"Mexican Exclusive Economic Zone"
