"x","y","sigmaNovelty","cell","EEZ"
11.375,74.125,0.0155273034743788,22,"Svalbard Exclusive Economic Zone"
11.625,74.125,0.0170044631668593,22,"Svalbard Exclusive Economic Zone"
11.875,74.125,0.0265726990543463,22,"Svalbard Exclusive Economic Zone"
12.125,74.125,0.0249332900008692,22,"Svalbard Exclusive Economic Zone"
12.375,74.125,0.018202590872357,22,"Svalbard Exclusive Economic Zone"
12.625,74.125,0.0257741372552778,22,"Svalbard Exclusive Economic Zone"
12.875,74.125,0.0189461403314283,22,"Svalbard Exclusive Economic Zone"
13.125,74.125,0.0161596708003464,22,"Svalbard Exclusive Economic Zone"
13.375,74.125,0.0162549720783187,22,"Svalbard Exclusive Economic Zone"
13.625,74.125,0.0164206690906443,22,"Svalbard Exclusive Economic Zone"
13.875,74.125,0.0163438223505846,22,"Svalbard Exclusive Economic Zone"
14.125,74.125,0.0147933102927128,22,"Svalbard Exclusive Economic Zone"
14.375,74.125,0.0141237622262527,22,"Svalbard Exclusive Economic Zone"
14.625,74.125,0.026693825129469,22,"Svalbard Exclusive Economic Zone"
11.125,73.875,0.0169001469931378,22,"Svalbard Exclusive Economic Zone"
11.375,73.875,0.0223540521088402,22,"Svalbard Exclusive Economic Zone"
11.625,73.875,0.0197110207992982,22,"Svalbard Exclusive Economic Zone"
11.875,73.875,0.0141491398345924,22,"Svalbard Exclusive Economic Zone"
12.125,73.875,0.0124282048423808,22,"Svalbard Exclusive Economic Zone"
12.375,73.875,0.0216144479557589,22,"Svalbard Exclusive Economic Zone"
12.625,73.875,0.0131626475905388,22,"Svalbard Exclusive Economic Zone"
12.875,73.875,0.0134696679937878,22,"Svalbard Exclusive Economic Zone"
13.125,73.875,0.0155595014164027,22,"Svalbard Exclusive Economic Zone"
13.375,73.875,0.0167367150908257,22,"Svalbard Exclusive Economic Zone"
13.625,73.875,0.0182630065041754,22,"Svalbard Exclusive Economic Zone"
13.875,73.875,0.0156059069562989,22,"Svalbard Exclusive Economic Zone"
14.125,73.875,0.0156314834782978,22,"Svalbard Exclusive Economic Zone"
14.375,73.875,0.0382158826206503,22,"Svalbard Exclusive Economic Zone"
14.625,73.875,0.0197313759256964,22,"Svalbard Exclusive Economic Zone"
14.875,73.875,0.0336345704202392,22,"Svalbard Exclusive Economic Zone"
10.875,73.625,0.0133949781498646,22,"Svalbard Exclusive Economic Zone"
11.125,73.625,0.010750518886926,22,"Svalbard Exclusive Economic Zone"
11.375,73.625,0.0189131975597405,22,"Svalbard Exclusive Economic Zone"
11.625,73.625,0.0134389017659952,22,"Svalbard Exclusive Economic Zone"
11.875,73.625,0.0131088172302757,22,"Svalbard Exclusive Economic Zone"
12.125,73.625,0.0121665676985518,22,"Svalbard Exclusive Economic Zone"
12.375,73.625,0.0122122684162525,22,"Svalbard Exclusive Economic Zone"
12.625,73.625,0.0129239606144494,22,"Svalbard Exclusive Economic Zone"
12.875,73.625,0.010448237080495,22,"Svalbard Exclusive Economic Zone"
13.125,73.625,0.0163013492996351,22,"Svalbard Exclusive Economic Zone"
13.375,73.625,0.019350513361548,22,"Svalbard Exclusive Economic Zone"
13.625,73.625,0.0156732684904025,22,"Svalbard Exclusive Economic Zone"
13.875,73.625,0.0443684043114571,22,"Svalbard Exclusive Economic Zone"
14.125,73.625,0.0279894885553817,22,"Svalbard Exclusive Economic Zone"
14.375,73.625,0.0566665321704822,22,"Svalbard Exclusive Economic Zone"
14.625,73.625,0.0416194889200904,22,"Svalbard Exclusive Economic Zone"
14.875,73.625,0.0424114933899913,22,"Svalbard Exclusive Economic Zone"
15.125,73.625,0.0539985530722561,3106,"Svalbard Exclusive Economic Zone"
10.875,73.375,0.0105079054823116,22,"Svalbard Exclusive Economic Zone"
11.125,73.375,0.00773396875264532,22,"Svalbard Exclusive Economic Zone"
11.375,73.375,0.0100142525963043,22,"Svalbard Exclusive Economic Zone"
11.625,73.375,0.00823388174433866,22,"Svalbard Exclusive Economic Zone"
11.875,73.375,0.0109263531355119,22,"Svalbard Exclusive Economic Zone"
12.125,73.375,0.00670619075356066,22,"Svalbard Exclusive Economic Zone"
12.375,73.375,0.0115709457896523,22,"Svalbard Exclusive Economic Zone"
12.625,73.375,0.015522428057016,22,"Svalbard Exclusive Economic Zone"
12.875,73.375,0.0118909625098992,22,"Svalbard Exclusive Economic Zone"
13.125,73.375,0.0135999596676816,22,"Svalbard Exclusive Economic Zone"
13.375,73.375,0.0227343571931878,22,"Svalbard Exclusive Economic Zone"
13.625,73.375,0.0411164572702497,22,"Svalbard Exclusive Economic Zone"
13.875,73.375,0.0439942114661104,22,"Svalbard Exclusive Economic Zone"
14.125,73.375,0.0718859560513151,22,"Svalbard Exclusive Economic Zone"
14.375,73.375,0.0547691739263782,22,"Svalbard Exclusive Economic Zone"
14.625,73.375,0.0423057701494364,3106,"Svalbard Exclusive Economic Zone"
14.875,73.375,0.0254879416864313,3106,"Svalbard Exclusive Economic Zone"
15.125,73.375,0.0333737084769827,3106,"Norwegian Exclusive Economic Zone"
6.375,73.125,0.00812164048908251,50,NA
6.625,73.125,0.0086310881636176,50,NA
6.875,73.125,0.00564156086422333,50,NA
7.125,73.125,0.00747491419389202,50,NA
7.375,73.125,0.00676519060680559,50,NA
7.625,73.125,0.00540712612950814,50,NA
7.875,73.125,0.0061972321767474,50,"Svalbard Exclusive Economic Zone"
8.125,73.125,0.00421901852141147,50,"Svalbard Exclusive Economic Zone"
8.375,73.125,0.00279650754006907,23,"Svalbard Exclusive Economic Zone"
8.625,73.125,0.0029570388711048,23,"Svalbard Exclusive Economic Zone"
