"x","y","sigmaNovelty","cell","EEZ"
149.375,-21.125,8.20953615160139,6417,"Australian Exclusive Economic Zone"
149.375,-21.375,8.2923610758136,6389,"Australian Exclusive Economic Zone"
152.875,-24.875,5.67135611061561,6415,"Australian Exclusive Economic Zone"
153.125,-24.875,6.71513347763578,6443,"Australian Exclusive Economic Zone"
152.625,-25.125,5.13333217236309,6415,"Australian Exclusive Economic Zone"
152.875,-25.125,5.09551955232385,6415,"Australian Exclusive Economic Zone"
153.375,-25.125,8.2923610758136,6443,"Australian Exclusive Economic Zone"
153.375,-25.375,8.20953615160139,6415,"Australian Exclusive Economic Zone"
153.125,-25.625,7.82154121214145,6415,"Australian Exclusive Economic Zone"
153.125,-26.125,7.36272807163406,6415,"Australian Exclusive Economic Zone"
153.375,-26.125,7.91652071247119,6415,"Australian Exclusive Economic Zone"
154.125,-26.125,8.2923610758136,6442,"Australian Exclusive Economic Zone"
154.375,-26.125,8.2923610758136,6442,"Australian Exclusive Economic Zone"
153.125,-26.375,7.13469758435844,6415,"Australian Exclusive Economic Zone"
153.375,-26.375,7.90568999600589,6415,"Australian Exclusive Economic Zone"
153.625,-26.375,8.2923610758136,6442,"Australian Exclusive Economic Zone"
153.875,-26.375,8.20953615160139,6442,"Australian Exclusive Economic Zone"
154.125,-26.375,8.2923610758136,6442,"Australian Exclusive Economic Zone"
154.375,-26.375,8.2923610758136,6442,"Australian Exclusive Economic Zone"
153.375,-26.625,7.94144448741598,6415,"Australian Exclusive Economic Zone"
153.625,-26.625,8.2923610758136,6442,"Australian Exclusive Economic Zone"
153.875,-26.625,8.2923610758136,6442,"Australian Exclusive Economic Zone"
154.125,-26.625,8.2923610758136,6442,"Australian Exclusive Economic Zone"
153.375,-26.875,7.88208430074917,6442,"Australian Exclusive Economic Zone"
153.625,-26.875,8.2923610758136,6442,"Australian Exclusive Economic Zone"
153.875,-26.875,8.2923610758136,6442,"Australian Exclusive Economic Zone"
154.125,-26.875,8.2923610758136,6442,"Australian Exclusive Economic Zone"
153.125,-27.125,6.53830884267443,6414,"Australian Exclusive Economic Zone"
153.625,-27.125,8.2923610758136,6414,"Australian Exclusive Economic Zone"
153.875,-27.125,8.20953615160139,6442,"Australian Exclusive Economic Zone"
154.125,-27.125,8.2923610758136,6442,"Australian Exclusive Economic Zone"
154.375,-27.125,8.2923610758136,6442,"Australian Exclusive Economic Zone"
155.125,-27.125,4.78104409162603,6442,"Australian Exclusive Economic Zone"
155.375,-27.125,4.24414938092185,6442,"Australian Exclusive Economic Zone"
153.375,-27.375,7.28941379949796,6414,"Australian Exclusive Economic Zone"
153.625,-27.375,8.2923610758136,6414,"Australian Exclusive Economic Zone"
153.875,-27.375,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.125,-27.375,8.2923610758136,6442,"Australian Exclusive Economic Zone"
154.375,-27.375,8.2923610758136,6442,"Australian Exclusive Economic Zone"
154.625,-27.375,6.02072969922815,6442,"Australian Exclusive Economic Zone"
154.875,-27.375,5.04357534236831,6442,"Australian Exclusive Economic Zone"
155.125,-27.375,4.41510973940261,6442,"Australian Exclusive Economic Zone"
155.375,-27.375,3.91021659303426,6442,"Australian Exclusive Economic Zone"
155.625,-27.375,3.66938243510644,6442,"Australian Exclusive Economic Zone"
153.625,-27.625,8.2923610758136,6414,"Australian Exclusive Economic Zone"
153.875,-27.625,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.125,-27.625,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.375,-27.625,8.04139995909654,6442,"Australian Exclusive Economic Zone"
154.625,-27.625,5.65091580322759,6442,"Australian Exclusive Economic Zone"
154.875,-27.625,4.94483032602052,6442,"Australian Exclusive Economic Zone"
155.125,-27.625,4.24254668551871,6442,"Australian Exclusive Economic Zone"
155.375,-27.625,3.6641713144343,6442,"Australian Exclusive Economic Zone"
155.625,-27.625,3.44070828165074,6441,"Australian Exclusive Economic Zone"
155.875,-27.625,3.10502456086903,6441,"Australian Exclusive Economic Zone"
153.625,-27.875,8.2923610758136,6414,"Australian Exclusive Economic Zone"
153.875,-27.875,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.125,-27.875,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.375,-27.875,7.910989389603,6414,"Australian Exclusive Economic Zone"
154.625,-27.875,5.7172199925301,6441,"Australian Exclusive Economic Zone"
155.125,-27.875,4.0432590463671,6441,"Australian Exclusive Economic Zone"
155.375,-27.875,3.54292000155195,6441,"Australian Exclusive Economic Zone"
155.625,-27.875,3.17918636570047,6441,"Australian Exclusive Economic Zone"
155.875,-27.875,2.84314145386243,6441,"Australian Exclusive Economic Zone"
156.125,-27.875,2.63263714000303,6441,"Australian Exclusive Economic Zone"
153.625,-28.125,8.2923610758136,6414,"Australian Exclusive Economic Zone"
153.875,-28.125,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.125,-28.125,8.20953615160139,6414,"Australian Exclusive Economic Zone"
154.375,-28.125,7.76768101511643,6414,"Australian Exclusive Economic Zone"
154.625,-28.125,5.67720838897841,6441,"Australian Exclusive Economic Zone"
155.375,-28.125,3.39007298330888,6441,"Australian Exclusive Economic Zone"
155.625,-28.125,3.08414190213969,6441,"Australian Exclusive Economic Zone"
155.875,-28.125,2.78638000351901,6441,"Australian Exclusive Economic Zone"
156.125,-28.125,2.56957604740258,6441,"Australian Exclusive Economic Zone"
153.625,-28.375,8.2923610758136,6414,"Australian Exclusive Economic Zone"
153.875,-28.375,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.125,-28.375,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.375,-28.375,7.83568496402193,6441,"Australian Exclusive Economic Zone"
154.625,-28.375,5.62433767702466,6441,"Australian Exclusive Economic Zone"
155.375,-28.375,3.38784423335317,6441,"Australian Exclusive Economic Zone"
155.625,-28.375,3.11250782911601,6441,"Australian Exclusive Economic Zone"
155.875,-28.375,2.82231145337385,6441,"Australian Exclusive Economic Zone"
156.125,-28.375,2.59807322203875,6441,"Australian Exclusive Economic Zone"
153.625,-28.625,8.2923610758136,6414,"Australian Exclusive Economic Zone"
153.875,-28.625,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.125,-28.625,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.375,-28.625,7.83568496402193,6441,"Australian Exclusive Economic Zone"
154.625,-28.625,5.48825410050277,6441,"Australian Exclusive Economic Zone"
155.125,-28.625,3.61555775291262,6441,"Australian Exclusive Economic Zone"
155.375,-28.625,3.36889502707418,6441,"Australian Exclusive Economic Zone"
155.625,-28.625,3.07336565978918,6441,"Australian Exclusive Economic Zone"
155.875,-28.625,2.84125623056373,6441,"Australian Exclusive Economic Zone"
156.125,-28.625,2.69781476328091,6441,"Australian Exclusive Economic Zone"
153.625,-28.875,8.2923610758136,6414,"Australian Exclusive Economic Zone"
153.875,-28.875,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.125,-28.875,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.375,-28.875,8.05774360301322,6441,"Australian Exclusive Economic Zone"
154.625,-28.875,5.29745078424304,6441,"Australian Exclusive Economic Zone"
155.125,-28.875,3.57136952600103,6441,"Australian Exclusive Economic Zone"
155.375,-28.875,3.30019223670097,6441,"Australian Exclusive Economic Zone"
155.625,-28.875,3.07359810752181,6441,"Australian Exclusive Economic Zone"
155.875,-28.875,2.9431401164579,6441,"Australian Exclusive Economic Zone"
156.125,-28.875,2.85148370894955,6441,"Australian Exclusive Economic Zone"
153.625,-29.125,8.2923610758136,6414,"Australian Exclusive Economic Zone"
153.875,-29.125,8.2923610758136,6414,"Australian Exclusive Economic Zone"
154.125,-29.125,8.20953615160139,6441,"Australian Exclusive Economic Zone"
154.375,-29.125,8.12589066470191,6441,"Australian Exclusive Economic Zone"
154.625,-29.125,5.20651158599687,6441,"Australian Exclusive Economic Zone"
155.375,-29.125,3.22294029237784,6441,"Australian Exclusive Economic Zone"
155.625,-29.125,3.08616998423401,6441,"Australian Exclusive Economic Zone"
155.875,-29.125,3.01074236130357,6441,"Australian Exclusive Economic Zone"
156.125,-29.125,2.96732313281359,6441,"Australian Exclusive Economic Zone"
167.625,-29.125,0.526675380533158,6550,"Norfolk Island Exclusive Economic Zone"
167.875,-29.125,0.271410946557017,6550,"Norfolk Island Exclusive Economic Zone"
153.375,-29.375,7.7185249201846,6413,NA
153.625,-29.375,8.20953615160139,6413,"Australian Exclusive Economic Zone"
153.875,-29.375,8.2923610758136,6413,"Australian Exclusive Economic Zone"
154.125,-29.375,8.2923610758136,6413,"Australian Exclusive Economic Zone"
154.375,-29.375,7.96402361512231,6441,"Australian Exclusive Economic Zone"
154.625,-29.375,5.04979572474959,6441,"Australian Exclusive Economic Zone"
155.625,-29.375,3.11706814792708,6441,"Australian Exclusive Economic Zone"
155.875,-29.375,3.06167832501383,6441,"Australian Exclusive Economic Zone"
156.125,-29.375,3.04689182889294,6441,"Australian Exclusive Economic Zone"
167.625,-29.375,0.328019707769583,6550,"Norfolk Island Exclusive Economic Zone"
167.875,-29.375,0.246761097402337,6550,"Norfolk Island Exclusive Economic Zone"
153.375,-29.625,7.81889105576306,6413,"Australian Exclusive Economic Zone"
153.625,-29.625,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.875,-29.625,8.2923610758136,6413,"Australian Exclusive Economic Zone"
154.125,-29.625,8.2923610758136,6413,"Australian Exclusive Economic Zone"
154.375,-29.625,7.82701226669615,6413,"Australian Exclusive Economic Zone"
154.625,-29.625,4.8202998582263,6413,"Australian Exclusive Economic Zone"
155.875,-29.625,3.06808473794879,6441,"Australian Exclusive Economic Zone"
156.125,-29.625,3.12287010955548,6441,"Australian Exclusive Economic Zone"
156.375,-29.625,3.18221627692677,6441,"Australian Exclusive Economic Zone"
153.375,-29.875,7.26166266555378,6413,"Australian Exclusive Economic Zone"
153.625,-29.875,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.875,-29.875,8.2923610758136,6413,"Australian Exclusive Economic Zone"
154.125,-29.875,8.2923610758136,6413,"Australian Exclusive Economic Zone"
154.375,-29.875,7.3997448471259,6413,"Australian Exclusive Economic Zone"
156.125,-29.875,3.15156794718886,6441,"Australian Exclusive Economic Zone"
156.375,-29.875,3.19058466209829,6441,"Australian Exclusive Economic Zone"
153.375,-30.125,7.2612705592991,6413,"Australian Exclusive Economic Zone"
153.625,-30.125,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.875,-30.125,8.2923610758136,6413,"Australian Exclusive Economic Zone"
154.125,-30.125,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.125,-30.375,6.68626378750886,6413,"Australian Exclusive Economic Zone"
153.375,-30.375,7.9915739504939,6413,"Australian Exclusive Economic Zone"
153.625,-30.375,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.875,-30.375,8.2923610758136,6413,"Australian Exclusive Economic Zone"
154.125,-30.375,8.04139995909654,6413,"Australian Exclusive Economic Zone"
156.375,-30.375,3.24700226560564,6440,"Australian Exclusive Economic Zone"
156.625,-30.375,3.15164696591306,6440,"Australian Exclusive Economic Zone"
153.125,-30.625,7.66828944029381,6413,"Australian Exclusive Economic Zone"
153.375,-30.625,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.625,-30.625,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.875,-30.625,8.2923610758136,6413,"Australian Exclusive Economic Zone"
154.125,-30.625,6.85780340790805,6413,"Australian Exclusive Economic Zone"
156.125,-30.625,3.45542116120078,6440,"Australian Exclusive Economic Zone"
156.375,-30.625,3.42015778450848,6440,"Australian Exclusive Economic Zone"
156.625,-30.625,3.28587588574873,6440,"Australian Exclusive Economic Zone"
156.875,-30.625,2.99205219686158,6440,"Australian Exclusive Economic Zone"
153.125,-30.875,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.375,-30.875,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.625,-30.875,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.875,-30.875,7.73935718271684,6413,"Australian Exclusive Economic Zone"
154.125,-30.875,6.34640318816595,6413,"Australian Exclusive Economic Zone"
156.125,-30.875,3.31174114458381,6440,"Australian Exclusive Economic Zone"
156.375,-30.875,3.17970516352277,6440,"Australian Exclusive Economic Zone"
156.625,-30.875,2.98862992053282,6440,"Australian Exclusive Economic Zone"
156.875,-30.875,2.73789246982368,6440,"Australian Exclusive Economic Zone"
153.125,-31.125,8.16070784085858,6413,"Australian Exclusive Economic Zone"
153.375,-31.125,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.625,-31.125,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.875,-31.125,7.19769284707743,6413,"Australian Exclusive Economic Zone"
154.125,-31.125,5.81829521067784,6413,"Australian Exclusive Economic Zone"
156.375,-31.125,2.75325868295573,6440,"Australian Exclusive Economic Zone"
156.625,-31.125,2.53998152270173,6440,"Australian Exclusive Economic Zone"
153.125,-31.375,8.04139995909654,6413,"Australian Exclusive Economic Zone"
153.375,-31.375,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.625,-31.375,7.85502880389408,6413,"Australian Exclusive Economic Zone"
153.875,-31.375,6.45168790923314,6413,"Australian Exclusive Economic Zone"
166.875,-31.375,0.125446196709978,6549,"Norfolk Island Exclusive Economic Zone"
167.125,-31.375,0.0967264008343427,6549,"Norfolk Island Exclusive Economic Zone"
167.375,-31.375,0.0884971744003319,6549,"Norfolk Island Exclusive Economic Zone"
167.625,-31.375,0.0777803288375604,6549,"Norfolk Island Exclusive Economic Zone"
152.875,-31.625,7.07092968192252,6413,"Australian Exclusive Economic Zone"
153.125,-31.625,8.0987842043543,6413,"Australian Exclusive Economic Zone"
153.375,-31.625,8.2923610758136,6413,"Australian Exclusive Economic Zone"
153.625,-31.625,7.42061990257014,6413,"Australian Exclusive Economic Zone"
159.125,-31.625,0.120839293675717,6467,"Australian Exclusive Economic Zone"
159.375,-31.625,0.141373875054939,6467,"Australian Exclusive Economic Zone"
166.625,-31.625,0.115845774904596,6549,"Norfolk Island Exclusive Economic Zone"
166.875,-31.625,0.102842922631227,6549,"Norfolk Island Exclusive Economic Zone"
167.125,-31.625,0.0762707278275498,6549,"Norfolk Island Exclusive Economic Zone"
167.375,-31.625,0.0476779504360102,6549,"Norfolk Island Exclusive Economic Zone"
167.625,-31.625,0.0278817656408776,6549,"Norfolk Island Exclusive Economic Zone"
167.875,-31.625,0.039012959098097,6549,"Norfolk Island Exclusive Economic Zone"
152.875,-31.875,5.85009205967416,6385,"Australian Exclusive Economic Zone"
153.125,-31.875,7.82154121214145,6412,"Australian Exclusive Economic Zone"
153.375,-31.875,7.94144448741598,6412,"Australian Exclusive Economic Zone"
153.625,-31.875,6.76455484176383,6412,"Australian Exclusive Economic Zone"
159.125,-31.875,0.130560542798313,6467,"Australian Exclusive Economic Zone"
159.375,-31.875,0.142021324676516,6467,"Australian Exclusive Economic Zone"
166.375,-31.875,0.106836854192746,6521,"Norfolk Island Exclusive Economic Zone"
166.625,-31.875,0.077050462101753,6521,"Norfolk Island Exclusive Economic Zone"
166.875,-31.875,0.0600530654544745,6521,"Norfolk Island Exclusive Economic Zone"
167.125,-31.875,0.0437130779113282,6549,"Norfolk Island Exclusive Economic Zone"
167.375,-31.875,0.033100806815678,6549,"Norfolk Island Exclusive Economic Zone"
167.625,-31.875,0.0268651387658883,6549,"Norfolk Island Exclusive Economic Zone"
167.875,-31.875,0.0340780612889455,6549,"Norfolk Island Exclusive Economic Zone"
168.125,-31.875,0.0156460922912667,6549,"Norfolk Island Exclusive Economic Zone"
152.625,-32.125,4.26796182346281,6385,"Australian Exclusive Economic Zone"
152.875,-32.125,5.20122595802472,6412,"Australian Exclusive Economic Zone"
153.125,-32.125,7.32221222097595,6412,"Australian Exclusive Economic Zone"
153.375,-32.125,7.26879443234293,6412,"Australian Exclusive Economic Zone"
153.625,-32.125,6.14518663914454,6412,"Australian Exclusive Economic Zone"
166.375,-32.125,0.0537265015948435,6521,"Norfolk Island Exclusive Economic Zone"
166.625,-32.125,0.0468238790154879,6521,"Norfolk Island Exclusive Economic Zone"
166.875,-32.125,0.0301776818256852,6521,"Norfolk Island Exclusive Economic Zone"
167.125,-32.125,0.0187193350099088,6521,"Norfolk Island Exclusive Economic Zone"
167.375,-32.125,0.0116017043167653,6549,"Norfolk Island Exclusive Economic Zone"
167.625,-32.125,0.0104681780057669,6549,"Norfolk Island Exclusive Economic Zone"
167.875,-32.125,0.00886474970333124,6548,"Norfolk Island Exclusive Economic Zone"
168.125,-32.125,0.0109735088491603,6548,"Norfolk Island Exclusive Economic Zone"
152.625,-32.375,3.96960390383384,6385,"Australian Exclusive Economic Zone"
152.875,-32.375,5.31999262794683,6412,"Australian Exclusive Economic Zone"
153.125,-32.375,6.76401486658491,6412,"Australian Exclusive Economic Zone"
153.375,-32.375,6.59369738659989,6412,"Australian Exclusive Economic Zone"
153.625,-32.375,5.64081243429922,6412,"Australian Exclusive Economic Zone"
166.375,-32.375,0.0342860160197419,6521,NA
166.625,-32.375,0.0254059273847584,6521,NA
166.875,-32.375,0.0199432192760685,6521,NA
167.125,-32.375,0.0192285283154065,6521,"Norfolk Island Exclusive Economic Zone"
167.375,-32.375,0.0154263709850739,6548,"Norfolk Island Exclusive Economic Zone"
167.625,-32.375,0.00873846202020398,6548,"Norfolk Island Exclusive Economic Zone"
167.875,-32.375,0.00654098337802088,6548,"Norfolk Island Exclusive Economic Zone"
168.125,-32.375,0.00811860518138779,6548,"Norfolk Island Exclusive Economic Zone"
152.375,-32.625,1.95635781304839,6385,"Australian Exclusive Economic Zone"
152.625,-32.625,3.36300847415022,6385,"Australian Exclusive Economic Zone"
152.875,-32.625,5.00865636763431,6412,"Australian Exclusive Economic Zone"
153.125,-32.625,5.94864015274508,6412,"Australian Exclusive Economic Zone"
153.375,-32.625,5.88084312268743,6412,"Australian Exclusive Economic Zone"
153.625,-32.625,5.11277474931204,6412,"Australian Exclusive Economic Zone"
153.875,-32.625,4.17476141776125,6412,"Australian Exclusive Economic Zone"
166.375,-32.625,0.0263011299111358,6521,NA
166.625,-32.625,0.0183183939936515,6521,NA
166.875,-32.625,0.0182115414020865,6521,NA
167.125,-32.625,0.0206651831802593,6521,NA
167.375,-32.625,0.0138720131215123,6548,NA
167.625,-32.625,0.00633595432743056,6548,NA
167.875,-32.625,0.00297343951675873,6548,NA
168.125,-32.625,0.00352701042594356,6548,NA
151.875,-32.875,0.00637086947411451,6385,"Australian Exclusive Economic Zone"
152.125,-32.875,0.340037022141387,6385,"Australian Exclusive Economic Zone"
152.375,-32.875,1.91008969250372,6385,"Australian Exclusive Economic Zone"
152.625,-32.875,3.5655605849603,6412,"Australian Exclusive Economic Zone"
152.875,-32.875,4.36364914382933,6412,"Australian Exclusive Economic Zone"
153.125,-32.875,5.2075134515574,6412,"Australian Exclusive Economic Zone"
153.375,-32.875,5.22409661066675,6412,"Australian Exclusive Economic Zone"
153.625,-32.875,4.8488939580868,6412,"Australian Exclusive Economic Zone"
153.875,-32.875,3.9890884679289,6412,"Australian Exclusive Economic Zone"
154.125,-32.875,3.42034059503884,6412,"Australian Exclusive Economic Zone"
160.375,-32.875,0.0769679320106276,6466,"Australian Exclusive Economic Zone"
160.625,-32.875,0.0493015590263218,6466,"Australian Exclusive Economic Zone"
160.875,-32.875,0.04698281757287,6466,"Australian Exclusive Economic Zone"
161.125,-32.875,0.0403262344785467,6494,"Australian Exclusive Economic Zone"
