"x","y","sigmaNovelty","cell","EEZ"
-46.375,60.625,1.88250765825004,324,"Greenlandic Exclusive Economic Zone"
-46.125,60.375,1.77933717097824,324,"Greenlandic Exclusive Economic Zone"
-45.875,60.375,1.91166230127458,324,"Greenlandic Exclusive Economic Zone"
-55.625,52.625,0.00107596994284138,433,"Canadian Exclusive Economic Zone"
-55.375,52.625,0.0463519540635762,433,"Canadian Exclusive Economic Zone"
-55.625,52.375,0.0276863305763764,433,"Canadian Exclusive Economic Zone"
-55.375,52.375,0.0191112002522473,433,"Canadian Exclusive Economic Zone"
-55.125,52.375,0.0228139196901154,433,"Canadian Exclusive Economic Zone"
-55.625,52.125,0.00573728002382325,433,"Canadian Exclusive Economic Zone"
-55.375,52.125,0.0225640251655732,433,"Canadian Exclusive Economic Zone"
-55.125,52.125,0.0189588017955483,433,"Canadian Exclusive Economic Zone"
-55.875,51.875,0.0374305496888416,433,"Canadian Exclusive Economic Zone"
-55.625,51.875,0.0202964708824561,433,"Canadian Exclusive Economic Zone"
-55.375,51.875,0.0587317067006048,433,"Canadian Exclusive Economic Zone"
-58.375,51.125,0.0794221889545544,460,"Canadian Exclusive Economic Zone"
-58.125,51.125,0.430118924852225,460,"Canadian Exclusive Economic Zone"
-57.875,51.125,0.800814111766921,460,"Canadian Exclusive Economic Zone"
-58.625,50.875,0.287968366114929,460,"Canadian Exclusive Economic Zone"
-58.375,50.875,0.681004084843564,460,"Canadian Exclusive Economic Zone"
-58.125,50.875,1.04432262127325,460,"Canadian Exclusive Economic Zone"
-57.875,50.875,1.23412599159319,460,"Canadian Exclusive Economic Zone"
-59.125,50.625,0.253152047584097,460,"Canadian Exclusive Economic Zone"
-58.875,50.625,0.643139407185814,460,"Canadian Exclusive Economic Zone"
-58.625,50.625,1.11612118347372,460,"Canadian Exclusive Economic Zone"
-58.375,50.625,1.53077583176964,460,"Canadian Exclusive Economic Zone"
-58.125,50.625,1.51243584672173,460,"Canadian Exclusive Economic Zone"
