"Species","EEZ","p2","p4","Average","Max"
"Argyrosomus regius","Albanian Exclusive Economic Zone",0,0,0.590653818874509,1.44083059787846
"Argyrosomus regius","Algerian Exclusive Economic Zone",0,0,0.502056605611556,1.50682917501851
"Argyrosomus regius","Angolan Exclusive Economic Zone",0.6875,0.625,4.75005749805288,8.2923610758136
"Argyrosomus regius","Beninese Exclusive Economic Zone",1,0,3.01050351895312,3.01050351895312
"Argyrosomus regius","Cameroonian Exclusive Economic Zone",0.545454545454545,0,2.1721856359894,3.65725441994566
"Argyrosomus regius","Congolese Exclusive Economic Zone",0.333333333333333,0.285714285714286,2.73068903710833,8.2923610758136
"Argyrosomus regius","Croatian Exclusive Economic Zone",0.0483870967741935,0.00806451612903226,0.837028167091548,4.10332795119452
"Argyrosomus regius","Cypriote Exclusive Economic Zone",1,0,2.43472785299438,2.86187941133261
"Argyrosomus regius","Democratic Republic of the Congo Exclusive Economic Zone",0.888888888888889,0.888888888888889,6.39626754718697,8.2923610758136
"Argyrosomus regius","Egyptian Exclusive Economic Zone",0.48,0,1.98894310706373,3.07402965673596
"Argyrosomus regius","Equatorial Guinean Exclusive Economic Zone",0.470588235294118,0,2.12073126380695,3.79889765349663
"Argyrosomus regius","French Exclusive Economic Zone",0.0136612021857923,0,0.384232609368161,3.15080814007158
"Argyrosomus regius","Gabonese Exclusive Economic Zone",0.245283018867925,0,1.69312171359038,3.79889765349663
"Argyrosomus regius","Gambian Exclusive Economic Zone",1,0,2.87539894493918,3.44854653515994
"Argyrosomus regius","Ghanaian Exclusive Economic Zone",1,0.103448275862069,3.48307718259226,4.48653170060003
"Argyrosomus regius","Greek Exclusive Economic Zone",0.00555555555555556,0,0.398007873292186,2.26261106525034
"Argyrosomus regius","Guernsey Exclusive Economic Zone",0,0,0.206158408552996,0.701314807344599
"Argyrosomus regius","Guinea Bissau Exclusive Economic Zone",0.313131313131313,0,1.43074788223707,3.3317796479414
"Argyrosomus regius","Guinean Exclusive Economic Zone",0.186991869918699,0,0.984962687435983,3.3774817777014
"Argyrosomus regius","Irish Exclusive Economic Zone",0,0,0.0844076254468801,0.120855615369867
"Argyrosomus regius","Israeli Exclusive Economic Zone",0.782608695652174,0,2.41549288473214,3.07402965673596
"Argyrosomus regius","Italian Exclusive Economic Zone",0.0429252782193959,0.027027027027027,0.919633416758146,8.2923610758136
