"x","y","sigmaNovelty","cell","EEZ"
129.625,29.875,0.170006165589116,3246,"Japanese Exclusive Economic Zone"
129.875,29.875,0.186933536971398,3246,NA
129.375,29.625,0.13356061446451,3246,"Japanese Exclusive Economic Zone"
129.625,29.625,0.150705238178717,3246,"Japanese Exclusive Economic Zone"
129.875,29.625,0.181924869163446,3246,"Japanese Exclusive Economic Zone"
130.125,29.625,0.190669765602865,3246,"Japanese Exclusive Economic Zone"
32.625,29.375,0.0103673331771415,2202,"Egyptian Exclusive Economic Zone"
129.125,29.375,0.0668546283787448,3218,"Japanese Exclusive Economic Zone"
129.375,29.375,0.0885129204454296,3246,"Japanese Exclusive Economic Zone"
129.625,29.375,0.0832758117061248,3246,"Japanese Exclusive Economic Zone"
129.875,29.375,0.0651975917250296,3246,"Japanese Exclusive Economic Zone"
130.125,29.375,0.0801304736370259,3246,"Japanese Exclusive Economic Zone"
32.875,29.125,0.00527385114883745,2202,"Egyptian Exclusive Economic Zone"
128.875,29.125,0.0596834282548937,3218,"Japanese Exclusive Economic Zone"
129.125,29.125,0.104574592265479,3218,"Japanese Exclusive Economic Zone"
129.375,29.125,0.242420963351237,3218,"Japanese Exclusive Economic Zone"
129.625,29.125,0.145787267570766,3245,"Japanese Exclusive Economic Zone"
129.875,29.125,0.0605445520341656,3245,"Japanese Exclusive Economic Zone"
130.125,29.125,0.0522398764150863,3245,"Japanese Exclusive Economic Zone"
128.875,28.875,0.426677934562901,3218,"Japanese Exclusive Economic Zone"
129.125,28.875,0.515446092648795,3218,"Japanese Exclusive Economic Zone"
129.375,28.875,0.479012579996549,3245,"Japanese Exclusive Economic Zone"
129.625,28.875,0.476999688005085,3245,"Japanese Exclusive Economic Zone"
129.875,28.875,0.514452640784375,3245,"Japanese Exclusive Economic Zone"
130.125,28.875,0.409072539451849,3245,"Japanese Exclusive Economic Zone"
128.875,28.625,0.508326222613602,3218,"Japanese Exclusive Economic Zone"
129.125,28.625,0.4900929702151,3218,"Japanese Exclusive Economic Zone"
129.375,28.625,0.429507172009638,3245,"Japanese Exclusive Economic Zone"
129.625,28.625,0.411690528785898,3245,"Japanese Exclusive Economic Zone"
129.875,28.625,0.424631140575628,3245,"Japanese Exclusive Economic Zone"
130.125,28.625,0.505481935346099,3245,"Japanese Exclusive Economic Zone"
33.125,28.375,0.000123850518353332,2202,"Egyptian Exclusive Economic Zone"
33.375,28.375,0.00110346410941939,2202,"Egyptian Exclusive Economic Zone"
128.875,28.375,0.494006865198072,3218,"Japanese Exclusive Economic Zone"
129.125,28.375,0.437017017059268,3245,"Japanese Exclusive Economic Zone"
129.375,28.375,0.406025934907927,3245,"Japanese Exclusive Economic Zone"
129.625,28.375,0.427046364607876,3245,"Japanese Exclusive Economic Zone"
129.875,28.375,0.444048909423212,3245,"Japanese Exclusive Economic Zone"
130.125,28.375,0.462758174060252,3245,"Japanese Exclusive Economic Zone"
130.375,28.375,0.482153761265701,3245,"Japanese Exclusive Economic Zone"
33.375,28.125,0.00517199924817555,2202,"Egyptian Exclusive Economic Zone"
33.625,28.125,0.00849817881551671,2202,"Egyptian Exclusive Economic Zone"
128.375,28.125,0.483722261178906,3218,"Japanese Exclusive Economic Zone"
128.625,28.125,0.494531247905991,3218,"Japanese Exclusive Economic Zone"
128.875,28.125,0.446003552716242,3245,"Japanese Exclusive Economic Zone"
129.125,28.125,0.435028450224414,3245,"Japanese Exclusive Economic Zone"
129.625,28.125,0.463687430437288,3245,"Japanese Exclusive Economic Zone"
129.875,28.125,0.448746711415801,3245,"Japanese Exclusive Economic Zone"
130.125,28.125,0.489104821266008,3245,"Japanese Exclusive Economic Zone"
130.375,28.125,0.549260137958761,3245,"Japanese Exclusive Economic Zone"
33.625,27.875,0.0149585997362275,2201,"Egyptian Exclusive Economic Zone"
