"Species","EEZ","p2","p4","Average","Max"
"Bolinus brandaris","Albanian Exclusive Economic Zone",0.805555555555556,0.472222222222222,3.58779245647525,5.97627894963532
"Bolinus brandaris","Algerian Exclusive Economic Zone",0,0,0.406397778818299,1.26083911309858
"Bolinus brandaris","Croatian Exclusive Economic Zone",0.235294117647059,0.00735294117647059,1.48355292688832,4.09958484222114
"Bolinus brandaris","Cypriote Exclusive Economic Zone",1,1,7.96423707173637,8.2923610758136
"Bolinus brandaris","Egyptian Exclusive Economic Zone",1,1,8.22653730824865,8.2923610758136
"Bolinus brandaris","French Exclusive Economic Zone",0.0381679389312977,0.0152671755725191,0.554445578942214,4.22846379574403
"Bolinus brandaris","Greek Exclusive Economic Zone",0.782894736842105,0.598684210526316,4.41374968576149,8.2923610758136
"Bolinus brandaris","Israeli Exclusive Economic Zone",1,1,8.28644500979844,8.2923610758136
"Bolinus brandaris","Italian Exclusive Economic Zone",0.251057827926657,0.124118476727786,1.62620684061758,8.2923610758136
"Bolinus brandaris","Joint regime area Croatia / Slovenia",0,0,1.56298358928629,1.56298358928629
"Bolinus brandaris","Joint regime area Italy / France",0,0,0.396415520650334,0.396415520650334
"Bolinus brandaris","Lebanese Exclusive Economic Zone",1,1,8.25773793971709,8.2923610758136
"Bolinus brandaris","Libyan Exclusive Economic Zone",0.991735537190083,0.884297520661157,6.26806294700483,8.2923610758136
"Bolinus brandaris","Maltese Exclusive Economic Zone",0.75,0,2.20610520557608,3.14931673688985
"Bolinus brandaris","Monégasque Exclusive Economic Zone",0,0,0.274822364447472,0.531213465744944
"Bolinus brandaris","Montenegrin Exclusive economic Zone",0.538461538461538,0,2.24860135648638,3.81356882662307
"Bolinus brandaris","Moroccan Exclusive Economic Zone",0.0212765957446809,0,0.19659853298801,2.829784120013
"Bolinus brandaris","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.419067723288428,0.419067723288428
"Bolinus brandaris","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.066506588493959,0.066506588493959
"Bolinus brandaris","Overlapping claim Melilla: Spain / Morocco",0,0,0.246037291605903,0.246037291605903
"Bolinus brandaris","Overlapping claim Western Saharan Exclusive Economic Zone",0.318181818181818,0.0909090909090909,1.52553888028974,4.336754886148
"Bolinus brandaris","Palestinian Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Bolinus brandaris","Portuguese Exclusive Economic Zone",0,0,1.02217422577366,1.38405720993775
"Bolinus brandaris","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.330692841852769,0.586839094150942
"Bolinus brandaris","Slovenian Exclusive Economic Zone",1,0,3.59405082351744,3.59405082351744
"Bolinus brandaris","Spanish Exclusive Economic Zone",0.0185185185185185,0.00740740740740741,0.536239031937731,4.22846379574403
"Bolinus brandaris","Spanish Exclusive Economic Zone (Canary Islands)",0.0560747663551402,0.0186915887850467,0.67498607628991,4.336754886148
"Bolinus brandaris","Syrian Exclusive Economic Zone",1,1,8.28748902144817,8.2923610758136
"Bolinus brandaris","Tunisian Exclusive Economic Zone",0.366834170854271,0.246231155778894,2.13947506273789,6.75976694358809
"Bolinus brandaris","Turkish Exclusive Economic Zone",0.923611111111111,0.913194444444444,6.76534205891834,8.2923610758136
