"x","y","sigmaNovelty","cell","EEZ"
140.875,36.375,0.477403133376783,3358,"Japanese Exclusive Economic Zone"
140.625,36.125,0.553385180717898,3358,"Japanese Exclusive Economic Zone"
140.875,36.125,0.627143525385387,3358,"Japanese Exclusive Economic Zone"
141.125,36.125,0.0770816314077844,3358,"Japanese Exclusive Economic Zone"
140.875,35.875,0.676315321864801,3358,"Japanese Exclusive Economic Zone"
141.125,35.875,0.169740692541422,3358,"Japanese Exclusive Economic Zone"
141.375,35.875,0.0204627871571947,3358,"Japanese Exclusive Economic Zone"
140.625,35.625,0.27359611232894,3358,"Japanese Exclusive Economic Zone"
140.875,35.625,0.409077447971758,3358,"Japanese Exclusive Economic Zone"
141.125,35.625,0.0326132055865798,3358,"Japanese Exclusive Economic Zone"
141.375,35.625,0.0309442913884287,3358,"Japanese Exclusive Economic Zone"
139.875,35.375,0.488867259536568,3358,"Japanese Exclusive Economic Zone"
140.625,35.375,0.381308986563622,3358,"Japanese Exclusive Economic Zone"
140.875,35.375,0.0166635523616767,3358,"Japanese Exclusive Economic Zone"
141.125,35.375,0.155601917747062,3358,"Japanese Exclusive Economic Zone"
139.125,35.125,0.766427303919901,3330,"Japanese Exclusive Economic Zone"
139.375,35.125,0.401973215512849,3330,"Japanese Exclusive Economic Zone"
139.625,35.125,0.552033763684107,3330,"Japanese Exclusive Economic Zone"
140.375,35.125,0.0531658460293017,3358,"Japanese Exclusive Economic Zone"
140.625,35.125,0.240365933363449,3358,"Japanese Exclusive Economic Zone"
140.875,35.125,0.254935327007402,3358,"Japanese Exclusive Economic Zone"
138.375,34.875,0.0629696840125955,3330,"Japanese Exclusive Economic Zone"
138.625,34.875,0.126685548328858,3330,"Japanese Exclusive Economic Zone"
139.125,34.875,0.615963598824987,3330,"Japanese Exclusive Economic Zone"
139.375,34.875,0.712612928034691,3330,"Japanese Exclusive Economic Zone"
139.625,34.875,0.139110325469504,3330,"Japanese Exclusive Economic Zone"
139.875,34.875,0.0990137207518559,3358,"Japanese Exclusive Economic Zone"
140.125,34.875,0.120233430493821,3358,"Japanese Exclusive Economic Zone"
140.375,34.875,0.167979532328581,3358,"Japanese Exclusive Economic Zone"
140.625,34.875,0.0927315057391381,3358,"Japanese Exclusive Economic Zone"
134.375,34.625,2.22713287386218,3275,"Japanese Exclusive Economic Zone"
134.625,34.625,2.44676535503551,3275,"Japanese Exclusive Economic Zone"
134.875,34.625,2.37156710159365,3275,"Japanese Exclusive Economic Zone"
135.125,34.625,2.31118851705355,3303,"Japanese Exclusive Economic Zone"
135.375,34.625,2.69345115021087,3303,"Japanese Exclusive Economic Zone"
136.625,34.625,1.23031529174823,3303,"Japanese Exclusive Economic Zone"
136.875,34.625,1.32140385977181,3330,"Japanese Exclusive Economic Zone"
137.375,34.625,0.695559517861829,3330,"Japanese Exclusive Economic Zone"
137.625,34.625,0.0440156434924261,3330,"Japanese Exclusive Economic Zone"
137.875,34.625,0.0124464925170986,3330,"Japanese Exclusive Economic Zone"
138.125,34.625,0.00614484858861665,3330,"Japanese Exclusive Economic Zone"
138.375,34.625,0.0756500138365746,3330,"Japanese Exclusive Economic Zone"
138.625,34.625,0.0846722479285794,3330,"Japanese Exclusive Economic Zone"
139.125,34.625,0.538196969609516,3330,"Japanese Exclusive Economic Zone"
139.375,34.625,0.536764352399694,3330,"Japanese Exclusive Economic Zone"
139.625,34.625,0.226189851880195,3330,"Japanese Exclusive Economic Zone"
