"Species","EEZ","p2","p4","Average","Max"
"Caranx hippos","Algerian Exclusive Economic Zone",0,0,0.0752783248862547,0.29956209489571
"Caranx hippos","Angolan Exclusive Economic Zone",0.153846153846154,0.108974358974359,1.29883832536539,8.2923610758136
"Caranx hippos","Anguilla Exclusive Economic Zone",1,0,3.36914535464854,3.61708870555284
"Caranx hippos","Antigua and Barbuda Exclusive Economic Zone",1,0,3.01034854117681,3.34899334225512
"Caranx hippos","Aruban Exclusive Economic Zone",1,0.285714285714286,3.46582821102491,4.52631304731574
"Caranx hippos","Ascension Exclusive Economic Zone",0,0,1.22651794151708,1.53038270846043
"Caranx hippos","Bahamas Exclusive Economic Zone",0.950995405819296,0.819295558958652,4.90299370498498,8.2923610758136
"Caranx hippos","Barbados Exclusive Economic Zone",1,0.0540540540540541,3.53291112730632,4.12441463759343
"Caranx hippos","Belizean Exclusive Economic Zone",1,1,7.53814975910056,8.2923610758136
"Caranx hippos","Beninese Exclusive Economic Zone",0,0,1.03534185398623,1.36880592159023
"Caranx hippos","Bermudian Exclusive Economic Zone",0,0,0.235362505671264,0.355080545967307
"Caranx hippos","Bonaire Exclusive Economic Zone",1,0.75,4.27490841395285,4.75795701696708
"Caranx hippos","Brazilian Exclusive Economic Zone",0.433848220282068,0.344526527871054,2.4329050275914,8.2923610758136
"Caranx hippos","British Virgin Islands Exclusive Economic Zone",1,0.476190476190476,3.90057608532615,4.3369638746148
"Caranx hippos","Cameroonian Exclusive Economic Zone",0.115384615384615,0,1.22060645709838,2.72437592933431
"Caranx hippos","Canadian Exclusive Economic Zone",0.21875,0.09375,0.942553761382109,4.17079695752287
"Caranx hippos","Cape Verdean Exclusive Economic Zone",0,0,0.0135748464137261,0.135827004838691
"Caranx hippos","Cayman Islands Exclusive Economic Zone",1,1,7.65201614172746,8.12589066470191
"Caranx hippos","Colombian Exclusive Economic Zone",0.957104557640751,0.847184986595174,5.71501801814119,7.94852981812439
"Caranx hippos","Colombian Exclusive Economic Zone (Bajo Nuevo)",1,1,6.71491135628359,6.71491135628359
"Caranx hippos","Colombian Exclusive Economic Zone (Quitasueño)",1,1,6.36718481907699,6.40150825987612
"Caranx hippos","Colombian Exclusive Economic Zone (Serrana)",1,1,6.41666042928381,6.44475461089084
"Caranx hippos","Colombian Exclusive Economic Zone (Serranilla)",1,1,6.61434020658418,6.64568358022848
"Caranx hippos","Congolese Exclusive Economic Zone",0.260869565217391,0.217391304347826,2.49154334038206,8.2923610758136
"Caranx hippos","Costa Rican Exclusive Economic Zone",1,0.964285714285714,5.89978006948005,7.05076605130392
"Caranx hippos","Cuban Exclusive Economic Zone",1,0.920749279538905,5.63755130027607,8.2923610758136
"Caranx hippos","Curaçaoan Exclusive Economic Zone",1,0.4,3.68691485973454,4.68649044508342
"Caranx hippos","Democratic Republic of the Congo Exclusive Economic Zone",0.772727272727273,0.681818181818182,5.50461774600946,8.2923610758136
"Caranx hippos","Dominican Exclusive Economic Zone",1,0,3.01759321430814,3.50578674837581
"Caranx hippos","Dominican Republic Exclusive Economic Zone",1,0.992537313432836,5.15222053617738,7.15956195926298
"Caranx hippos","Equatorial Guinean Exclusive Economic Zone",0.0280898876404494,0,0.986963839293313,2.72437592933431
"Caranx hippos","French Exclusive Economic Zone",0,0,0.394416736994053,0.970792835841798
"Caranx hippos","French Guiana Exclusive Economic Zone",0.385964912280702,0.105263157894737,1.65249497255109,5.14592004054269
"Caranx hippos","Gabonese Exclusive Economic Zone",0,0,0.586631326359987,1.88805732213305
"Caranx hippos","Gambian Exclusive Economic Zone",0.125,0,0.981661250670101,2.2790609979236
"Caranx hippos","Ghanaian Exclusive Economic Zone",0.0987654320987654,0,1.24345386597149,2.59551812194574
"Caranx hippos","Grenadian Exclusive Economic Zone",0.781818181818182,0,2.7532891390094,3.85951695592939
"Caranx hippos","Guadeloupean Exclusive Economic Zone",1,0,2.98124333662784,3.34899334225512
"Caranx hippos","Guatemalan Exclusive Economic Zone",1,1,8.2923610758136,8.2923610758136
"Caranx hippos","Guinea Bissau Exclusive Economic Zone",0.322834645669291,0.165354330708661,2.00108654426889,6.81781768715798
"Caranx hippos","Guinean Exclusive Economic Zone",0.379084967320261,0.0784313725490196,1.86798311703927,5.83881389562278
"Caranx hippos","Guyanese Exclusive Economic Zone",0.810606060606061,0.0909090909090909,2.80753739777437,5.51103239266373
"Caranx hippos","Haitian Exclusive Economic Zone",1,1,6.50294162064157,7.46470132119809
"Caranx hippos","Honduran Exclusive Economic Zone",1,1,7.03076941431915,8.2923610758136
"Caranx hippos","Italian Exclusive Economic Zone",0,0,0.167005653662913,1.23410062693454
"Caranx hippos","Ivory Coast Exclusive Economic Zone",0.294117647058824,0,1.52045568276547,3.00876823087901
"Caranx hippos","Jamaican Exclusive Economic Zone",1,1,7.25723558140836,8.2923610758136
"Caranx hippos","Joint regime area Colombia / Jamaica",1,1,6.67729012156616,6.82015600552178
"Caranx hippos","Joint regime area Nigeria / Sao Tome and Principe",0,0,1.59366581912452,1.65832781689902
"Caranx hippos","Joint regime area Senegal / Guinea Bissau",0,0,0.799811774134534,1.44059816993874
"Caranx hippos","Liberian Exclusive Economic Zone",0.813333333333333,0.0133333333333333,2.62796129035241,4.1401819142555
"Caranx hippos","Libyan Exclusive Economic Zone",0,0,0.340070299627601,0.6951013991589
"Caranx hippos","Martinican Exclusive Economic Zone",1,0,3.1001956185348,3.75242352561828
"Caranx hippos","Mauritanian Exclusive Economic Zone",0.606060606060606,0.303030303030303,2.89451253068714,8.2923610758136
"Caranx hippos","Mexican Exclusive Economic Zone",0.952012383900929,0.591331269349845,4.78749093966919,8.2923610758136
"Caranx hippos","Montserrat Exclusive Economic Zone",1,0,3.24475510150806,3.44919756187955
"Caranx hippos","Moroccan Exclusive Economic Zone",0,0,0.130184730744981,0.454432443079983
"Caranx hippos","Namibian Exclusive Economic Zone",0.214285714285714,0.114285714285714,1.27154221310403,8.2923610758136
"Caranx hippos","Nicaraguan Exclusive Economic Zone",1,0.992857142857143,6.56020772919696,8.2923610758136
"Caranx hippos","Nigerian Exclusive Economic Zone",0.0161290322580645,0,1.24878327361877,2.4410598871526
"Caranx hippos","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.10100184009257,0.10100184009257
"Caranx hippos","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0573595082879593,0.067163330101691
"Caranx hippos","Overlapping claim Melilla: Spain / Morocco",0,0,0.143615670987579,0.143615670987579
"Caranx hippos","Overlapping claim Navassa Island: USA / Haiti / Jamaica",1,1,7.47180123269695,7.7407785771637
"Caranx hippos","Overlapping claim Western Saharan Exclusive Economic Zone",0.131868131868132,0.0549450549450549,0.874999748804491,8.2923610758136
"Caranx hippos","Overlapping claim: Puerto Rico / Dominican Republic",1,1,4.49280369080657,4.65557616503014
"Caranx hippos","Panamanian Exclusive Economic Zone",0.977272727272727,0.962121212121212,6.14168676122712,7.94852981812439
"Caranx hippos","Portuguese Exclusive Economic Zone",0,0,0.145362176684797,0.977755835530264
"Caranx hippos","Portuguese Exclusive Economic Zone (Azores)",0,0,0.334781338570147,0.56696299555023
"Caranx hippos","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.168068452263659,0.379032231408347
"Caranx hippos","Puerto Rican Exclusive Economic Zone",1,0.946808510638298,4.42035560213012,5.03370505245792
"Caranx hippos","Saba Exclusive Economic Zone",1,0,3.59793325028332,3.71819651847072
"Caranx hippos","Saint Kitts and Nevis Exclusive Economic Zone",1,0,3.38899728260558,3.63835082513225
"Caranx hippos","Saint Lucia Exclusive Economic Zone",1,0,3.62326117298777,3.87198156439975
"Caranx hippos","Saint Vincent and the Grenadines Exclusive Economic Zone",1,0,3.60838862355256,3.87198156439975
"Caranx hippos","Saint-Barthélemy Exclusive Economic Zone",1,0,3.24746069016194,3.4382865660245
"Caranx hippos","Saint-Martin Exclusive Economic Zone",1,0,3.51135425237733,3.61157278016883
"Caranx hippos","Sao Tome and Principe Exclusive Economic Zone",0,0,1.0942707395793,1.65832781689902
"Caranx hippos","Senegalese Exclusive Economic Zone",0.298507462686567,0.119402985074627,1.67196335739614,6.81781768715798
"Caranx hippos","Sierra Leonian Exclusive Economic Zone",0.527472527472527,0,2.00823311402782,3.52986453340904
"Caranx hippos","Sint-Eustatius Exclusive Economic Zone",1,0,3.49864998016641,3.63835082513225
"Caranx hippos","Sint-Maarten Exclusive Economic Zone",1,0,3.45050865511209,3.45050865511209
"Caranx hippos","South African Exclusive Economic Zone",0.00355871886120996,0,0.277281778092159,2.16243285096405
"Caranx hippos","Spanish Exclusive Economic Zone",0,0,0.196535735013948,0.977755835530264
"Caranx hippos","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.16587072744484,1.101387126843
"Caranx hippos","St. Helena Exclusive Economic Zone",0,0,0.00692360296206308,0.0495156642453158
"Caranx hippos","Surinamese Exclusive Economic Zone",0.351851851851852,0.00617283950617284,1.45900319604049,4.2783768832134
"Caranx hippos","Togolese Exclusive Economic Zone",0,0,1.16054487518483,1.51658919989349
"Caranx hippos","Trinidad and Tobago Exclusive Economic Zone",0.868421052631579,0.0921052631578947,3.10203595794727,4.13497112271693
"Caranx hippos","Tunisian Exclusive Economic Zone",0,0,0.476777960820271,1.50682568629905
"Caranx hippos","Turks and Caicos Exclusive Economic Zone",1,1,5.39954442391484,5.86619082679176
"Caranx hippos","United States Exclusive Economic Zone",0.479095270733379,0.195339273474983,2.2100758160323,6.3281437340675
"Caranx hippos","Uruguayan Exclusive Economic Zone",0,0,0.349936844956004,1.26477939042377
"Caranx hippos","Venezuelan Exclusive Economic Zone",0.73574144486692,0.106463878326996,2.70427892593471,6.67482948654335
"Caranx hippos","Virgin Islander Exclusive Economic Zone",1,0.524590163934426,3.9728181905398,4.3369638746148
