"x","y","sigmaNovelty","cell","EEZ"
-2.125,45.125,0.614913047813815,1480,"French Exclusive Economic Zone"
-1.875,45.125,0.672149592620651,1480,"French Exclusive Economic Zone"
-1.625,45.125,0.381703658037924,1480,"French Exclusive Economic Zone"
-1.375,45.125,0.0415313476563867,1480,"French Exclusive Economic Zone"
-2.375,44.875,0.813528215438217,1480,"French Exclusive Economic Zone"
-2.125,44.875,0.791309545794254,1480,"French Exclusive Economic Zone"
-1.875,44.875,0.803978926486958,1480,"French Exclusive Economic Zone"
-1.625,44.875,0.529655622972652,1480,"French Exclusive Economic Zone"
-1.375,44.875,0.0215014383507938,1480,"French Exclusive Economic Zone"
-63.375,44.625,4.0071425281231,739,"Canadian Exclusive Economic Zone"
-63.125,44.625,4.09730792890677,739,"Canadian Exclusive Economic Zone"
-7.625,44.625,0.178392547893407,946,"Spanish Exclusive Economic Zone"
-7.375,44.625,0.169281455654905,946,"Spanish Exclusive Economic Zone"
-7.125,44.625,0.185893515985217,946,"Spanish Exclusive Economic Zone"
-6.875,44.625,0.221841487682673,946,"Spanish Exclusive Economic Zone"
-2.375,44.625,0.945083855190913,1480,"French Exclusive Economic Zone"
-2.125,44.625,0.912292779676539,1480,"French Exclusive Economic Zone"
-1.875,44.625,0.8501173742359,1480,"French Exclusive Economic Zone"
-1.625,44.625,0.568271920834526,1480,"French Exclusive Economic Zone"
-1.375,44.625,0.0565903368658571,1480,"French Exclusive Economic Zone"
-63.625,44.375,3.14467316108816,766,"Canadian Exclusive Economic Zone"
-63.375,44.375,3.15491989979213,766,"Canadian Exclusive Economic Zone"
-7.875,44.375,0.0767774266356033,945,"Spanish Exclusive Economic Zone"
-7.625,44.375,0.0923030739888669,945,"Spanish Exclusive Economic Zone"
-7.375,44.375,0.080671118795727,946,"Spanish Exclusive Economic Zone"
-7.125,44.375,0.0990014338553886,946,"Spanish Exclusive Economic Zone"
-6.875,44.375,0.1620107849397,946,"Spanish Exclusive Economic Zone"
-6.625,44.375,0.264233219981869,946,"Spanish Exclusive Economic Zone"
-2.125,44.375,0.916096369018591,1480,"French Exclusive Economic Zone"
-1.875,44.375,0.784830636369385,1480,"French Exclusive Economic Zone"
-1.625,44.375,0.438670990899261,1480,"French Exclusive Economic Zone"
-1.375,44.375,0.20682324903172,1480,"French Exclusive Economic Zone"
-9.125,44.125,0.0945713829653373,945,"Spanish Exclusive Economic Zone"
-8.875,44.125,0.0924752131012871,945,"Spanish Exclusive Economic Zone"
-8.625,44.125,0.0984917468703578,945,"Spanish Exclusive Economic Zone"
-8.375,44.125,0.120584888803759,945,"Spanish Exclusive Economic Zone"
-8.125,44.125,0.0467357137426276,945,"Spanish Exclusive Economic Zone"
-7.875,44.125,0.00438317176327974,945,"Spanish Exclusive Economic Zone"
-7.625,44.125,0.000170446981083201,945,"Spanish Exclusive Economic Zone"
-7.375,44.125,0.0209114683564238,946,"Spanish Exclusive Economic Zone"
-7.125,44.125,0.0410053720068036,946,"Spanish Exclusive Economic Zone"
-6.875,44.125,0.0738695686544843,946,"Spanish Exclusive Economic Zone"
-6.625,44.125,0.181320942381386,946,"Spanish Exclusive Economic Zone"
-6.375,44.125,0.313281895565353,946,"Spanish Exclusive Economic Zone"
-6.125,44.125,0.39432270830333,946,"Spanish Exclusive Economic Zone"
-5.875,44.125,0.434684438063304,946,"Spanish Exclusive Economic Zone"
-5.625,44.125,0.523641681950167,946,"Spanish Exclusive Economic Zone"
-5.375,44.125,0.635893711809522,946,"Spanish Exclusive Economic Zone"
-5.125,44.125,0.900826210105612,946,"Spanish Exclusive Economic Zone"
-4.875,44.125,0.956086280688046,946,"Spanish Exclusive Economic Zone"
-4.625,44.125,0.970792835841798,946,"Spanish Exclusive Economic Zone"
-4.375,44.125,0.843106317161715,946,"Spanish Exclusive Economic Zone"
-4.125,44.125,0.738677744403867,946,"Spanish Exclusive Economic Zone"
-3.875,44.125,0.69468155603127,946,"Spanish Exclusive Economic Zone"
