"x","y","sigmaNovelty","cell","EEZ"
13.625,67.875,0.293929185849209,25,"Norwegian Exclusive Economic Zone"
13.875,67.875,0.226081305600811,25,"Norwegian Exclusive Economic Zone"
13.625,67.625,0.245335796110342,25,"Norwegian Exclusive Economic Zone"
13.875,67.625,0.145629822592009,25,"Norwegian Exclusive Economic Zone"
11.375,66.125,0.0933280192783004,26,"Norwegian Exclusive Economic Zone"
11.625,66.125,0.158574791488276,26,"Norwegian Exclusive Economic Zone"
11.875,66.125,0.166414037201076,26,"Norwegian Exclusive Economic Zone"
12.125,66.125,0.303322797876555,26,"Norwegian Exclusive Economic Zone"
12.375,66.125,0.382166945723093,26,"Norwegian Exclusive Economic Zone"
11.125,65.875,0.0954633601760279,26,"Norwegian Exclusive Economic Zone"
11.375,65.875,0.166493003934058,26,"Norwegian Exclusive Economic Zone"
11.625,65.875,0.215804912780693,26,"Norwegian Exclusive Economic Zone"
11.875,65.875,0.370307320456859,26,"Norwegian Exclusive Economic Zone"
12.125,65.875,0.769011949129206,26,"Norwegian Exclusive Economic Zone"
12.375,65.875,0.731396599598703,26,"Norwegian Exclusive Economic Zone"
12.625,65.875,0.623579030234588,26,"Norwegian Exclusive Economic Zone"
10.375,65.625,0.0218453584729255,26,"Norwegian Exclusive Economic Zone"
10.625,65.625,0.0428980842605894,26,"Norwegian Exclusive Economic Zone"
10.875,65.625,0.0855397425044026,26,"Norwegian Exclusive Economic Zone"
11.125,65.625,0.181977247204424,26,"Norwegian Exclusive Economic Zone"
11.375,65.625,0.248806550664857,26,"Norwegian Exclusive Economic Zone"
11.625,65.625,0.659255212796823,26,"Norwegian Exclusive Economic Zone"
12.125,65.625,0.641083509284831,26,"Norwegian Exclusive Economic Zone"
10.125,65.375,0.0294881104142632,26,"Norwegian Exclusive Economic Zone"
10.375,65.375,0.0444631765826061,26,"Norwegian Exclusive Economic Zone"
10.625,65.375,0.0976843924037472,26,"Norwegian Exclusive Economic Zone"
10.875,65.375,0.182058409017398,26,"Norwegian Exclusive Economic Zone"
11.125,65.375,0.26628262951165,26,"Norwegian Exclusive Economic Zone"
11.375,65.375,0.46610148871404,26,"Norwegian Exclusive Economic Zone"
11.625,65.375,0.908494841999529,26,"Norwegian Exclusive Economic Zone"
11.875,65.375,0.583443708966772,26,"Norwegian Exclusive Economic Zone"
12.125,65.375,0.806388780787079,26,"Norwegian Exclusive Economic Zone"
-13.625,65.125,0.0182930557829135,135,"Icelandic Exclusive Economic Zone"
-13.375,65.125,0.0258838709225845,135,"Icelandic Exclusive Economic Zone"
8.875,65.125,0.0215388090930157,26,"Norwegian Exclusive Economic Zone"
9.125,65.125,0.0225907038646052,26,"Norwegian Exclusive Economic Zone"
9.875,65.125,0.061248529053266,26,"Norwegian Exclusive Economic Zone"
10.125,65.125,0.101686379464334,26,"Norwegian Exclusive Economic Zone"
10.375,65.125,0.174367159184113,26,"Norwegian Exclusive Economic Zone"
10.625,65.125,0.223135550730969,26,"Norwegian Exclusive Economic Zone"
10.875,65.125,0.243730893901822,26,"Norwegian Exclusive Economic Zone"
11.125,65.125,0.4193101415818,26,"Norwegian Exclusive Economic Zone"
11.375,65.125,0.584952567234522,26,"Norwegian Exclusive Economic Zone"
11.625,65.125,0.547450513184981,26,"Norwegian Exclusive Economic Zone"
11.875,65.125,0.655426949246188,26,NA
