"Species","EEZ","p2","p4","Average","Max"
"Chaetodipterus faber","Anguilla Exclusive Economic Zone",1,0,3.46624537317846,3.61195036168102
"Chaetodipterus faber","Antigua and Barbuda Exclusive Economic Zone",1,0,2.99625243556928,3.34941149082792
"Chaetodipterus faber","Aruban Exclusive Economic Zone",1,0.285714285714286,3.4662648557783,4.5266902124688
"Chaetodipterus faber","Bahamas Exclusive Economic Zone",0.943760984182777,0.817223198594025,4.87453086564351,8.2923610758136
"Chaetodipterus faber","Barbados Exclusive Economic Zone",1,0.129032258064516,3.62440553167934,4.31589252089529
"Chaetodipterus faber","Belizean Exclusive Economic Zone",1,1,7.5732676655636,8.2923610758136
"Chaetodipterus faber","Bermudian Exclusive Economic Zone",0,0,0.199228793560628,0.283839151590264
"Chaetodipterus faber","Bonaire Exclusive Economic Zone",1,0.75,4.27529870090763,4.75831972874946
"Chaetodipterus faber","Brazilian Exclusive Economic Zone",0.496762257169288,0.371877890841813,2.83263640369019,8.2923610758136
"Chaetodipterus faber","British Virgin Islands Exclusive Economic Zone",1,0.451612903225806,3.90535440526363,4.33730886229589
"Chaetodipterus faber","Canadian Exclusive Economic Zone",0,0,0.00214616373405657,0.00427703855674694
"Chaetodipterus faber","Cayman Islands Exclusive Economic Zone",1,1,7.77930428987032,8.04139995909654
"Chaetodipterus faber","Colombian Exclusive Economic Zone",0.951515151515152,0.836363636363636,5.62192413996641,7.95603812548153
"Chaetodipterus faber","Colombian Exclusive Economic Zone (Bajo Nuevo)",1,1,6.71552860404354,6.71552860404354
"Chaetodipterus faber","Colombian Exclusive Economic Zone (Quitasueño)",1,1,6.36779701943526,6.4021247039194
"Chaetodipterus faber","Colombian Exclusive Economic Zone (Serrana)",1,1,6.41727589912863,6.44536559583989
"Chaetodipterus faber","Colombian Exclusive Economic Zone (Serranilla)",1,1,6.6149554108833,6.64629755476166
"Chaetodipterus faber","Costa Rican Exclusive Economic Zone",1,0.962264150943396,5.86729248314802,7.05106151746193
"Chaetodipterus faber","Cuban Exclusive Economic Zone",1,0.923913043478261,5.60624998296869,8.2923610758136
"Chaetodipterus faber","Curaçaoan Exclusive Economic Zone",1,0.4,3.6873506327683,4.68685538841105
"Chaetodipterus faber","Dominican Exclusive Economic Zone",1,0,3.02209445205863,3.45132554452426
"Chaetodipterus faber","Dominican Republic Exclusive Economic Zone",1,0.98974358974359,5.16843897930867,7.0574948424956
"Chaetodipterus faber","French Guiana Exclusive Economic Zone",0.26056338028169,0.0352112676056338,1.17620614343488,4.19103186410163
"Chaetodipterus faber","Grenadian Exclusive Economic Zone",0.875,0,3.05252838786729,3.85998222978303
"Chaetodipterus faber","Guadeloupean Exclusive Economic Zone",1,0,2.98453477111532,3.34941149082792
"Chaetodipterus faber","Guatemalan Exclusive Economic Zone",1,1,8.26475276774286,8.2923610758136
"Chaetodipterus faber","Guyanese Exclusive Economic Zone",0.807017543859649,0.0789473684210526,2.7362828389165,5.51122172341121
"Chaetodipterus faber","Haitian Exclusive Economic Zone",1,1,6.52902203613668,7.42975153307573
"Chaetodipterus faber","Honduran Exclusive Economic Zone",1,1,7.03808314820206,8.2923610758136
