"x","y","sigmaNovelty","cell","EEZ"
-78.625,27.125,3.6480394620838,785,"Bahamas Exclusive Economic Zone"
-78.375,27.125,3.65650975831586,785,"Bahamas Exclusive Economic Zone"
-79.875,26.875,4.06489904498958,785,"United States Exclusive Economic Zone"
-79.625,26.875,4.46635986557042,785,"United States Exclusive Economic Zone"
-78.875,26.875,3.55159048810154,785,"Bahamas Exclusive Economic Zone"
-78.625,26.875,3.54331124977391,785,"Bahamas Exclusive Economic Zone"
-78.375,26.875,3.56774684493389,785,"Bahamas Exclusive Economic Zone"
-78.125,26.875,3.43167054736674,785,"Bahamas Exclusive Economic Zone"
-79.875,26.625,4.13435026169359,785,"United States Exclusive Economic Zone"
-79.625,26.625,4.50573438744994,785,"United States Exclusive Economic Zone"
-79.375,26.625,4.82934300053401,785,"Bahamas Exclusive Economic Zone"
-79.125,26.625,4.74636568627664,785,"Bahamas Exclusive Economic Zone"
-78.625,26.625,4.4788600449897,785,"Bahamas Exclusive Economic Zone"
-78.125,26.625,3.73942918639968,785,"Bahamas Exclusive Economic Zone"
-79.625,26.375,4.44915806829812,785,"United States Exclusive Economic Zone"
-79.375,26.375,4.77194631646466,785,"Bahamas Exclusive Economic Zone"
-79.125,26.375,4.85547097917837,785,"Bahamas Exclusive Economic Zone"
-78.875,26.375,4.86565681400605,785,"Bahamas Exclusive Economic Zone"
-78.625,26.375,4.76661146748444,785,"Bahamas Exclusive Economic Zone"
-78.375,26.375,4.66186262736794,785,"Bahamas Exclusive Economic Zone"
-79.625,26.125,4.47574988028666,785,"United States Exclusive Economic Zone"
-79.375,26.125,4.77315639085988,785,"Bahamas Exclusive Economic Zone"
-79.125,26.125,4.96251938227,785,"Bahamas Exclusive Economic Zone"
-78.875,26.125,5.02254054012714,785,"Bahamas Exclusive Economic Zone"
-78.625,26.125,4.91184393043512,785,"Bahamas Exclusive Economic Zone"
-78.375,26.125,4.80663258215029,785,"Bahamas Exclusive Economic Zone"
-78.125,26.125,4.6475134829339,785,"Bahamas Exclusive Economic Zone"
-77.875,26.125,4.25967140093398,785,"Bahamas Exclusive Economic Zone"
-77.625,26.125,3.60820288928718,813,"Bahamas Exclusive Economic Zone"
-77.375,26.125,3.43176928463358,813,"Bahamas Exclusive Economic Zone"
-79.625,25.875,4.60444905834026,812,"Bahamas Exclusive Economic Zone"
-79.375,25.875,4.68826261650142,812,"Bahamas Exclusive Economic Zone"
-79.125,25.875,4.91973612902279,812,"Bahamas Exclusive Economic Zone"
-78.875,25.875,5.21227421298678,812,"Bahamas Exclusive Economic Zone"
-78.625,25.875,5.25406264212924,812,"Bahamas Exclusive Economic Zone"
-78.375,25.875,5.17929812579395,812,"Bahamas Exclusive Economic Zone"
-78.125,25.875,5.02155230913841,812,"Bahamas Exclusive Economic Zone"
-77.875,25.875,4.69818303575613,812,"Bahamas Exclusive Economic Zone"
-77.625,25.875,4.29149735104458,813,"Bahamas Exclusive Economic Zone"
-77.375,25.875,3.99798466153931,813,"Bahamas Exclusive Economic Zone"
-77.125,25.875,3.65599718107883,813,"Bahamas Exclusive Economic Zone"
-80.125,25.625,4.53400789148688,3727,"United States Exclusive Economic Zone"
-79.875,25.625,4.45267211978124,812,"United States Exclusive Economic Zone"
-79.625,25.625,4.7486166223191,812,"Bahamas Exclusive Economic Zone"
-79.375,25.625,4.615061263058,812,"Bahamas Exclusive Economic Zone"
-79.125,25.625,4.51114895410563,812,"Bahamas Exclusive Economic Zone"
-78.875,25.625,4.84318625021458,812,"Bahamas Exclusive Economic Zone"
-78.625,25.625,5.26026082828333,812,"Bahamas Exclusive Economic Zone"
-78.375,25.625,5.39881456653794,812,"Bahamas Exclusive Economic Zone"
-78.125,25.625,5.30947573974444,812,"Bahamas Exclusive Economic Zone"
-77.875,25.625,4.93750157125603,812,"Bahamas Exclusive Economic Zone"
-77.625,25.625,4.51808145362046,812,"Bahamas Exclusive Economic Zone"
-77.375,25.625,4.21483052085787,813,"Bahamas Exclusive Economic Zone"
-77.125,25.625,4.03223065866112,813,"Bahamas Exclusive Economic Zone"
-76.875,25.625,4.01297196541888,813,"Bahamas Exclusive Economic Zone"
-80.125,25.375,4.53490274370283,812,"United States Exclusive Economic Zone"
-79.875,25.375,4.62490871636702,812,"United States Exclusive Economic Zone"
-79.625,25.375,4.81294903275855,812,"Bahamas Exclusive Economic Zone"
-79.375,25.375,4.76117201574938,812,"Bahamas Exclusive Economic Zone"
-79.125,25.375,4.53267686572487,812,"Bahamas Exclusive Economic Zone"
-78.875,25.375,4.68481229179579,812,"Bahamas Exclusive Economic Zone"
-78.625,25.375,5.20778937837017,812,"Bahamas Exclusive Economic Zone"
-78.375,25.375,5.56547209403116,812,"Bahamas Exclusive Economic Zone"
-78.125,25.375,5.58052612963304,812,"Bahamas Exclusive Economic Zone"
-77.875,25.375,4.9801618611045,812,"Bahamas Exclusive Economic Zone"
-77.625,25.375,4.73316964652474,812,"Bahamas Exclusive Economic Zone"
-77.375,25.375,4.51768288555362,812,"Bahamas Exclusive Economic Zone"
-77.125,25.375,4.40207130969909,813,"Bahamas Exclusive Economic Zone"
-76.875,25.375,4.47211778889,813,"Bahamas Exclusive Economic Zone"
-83.125,25.125,2.18878807656141,3726,"United States Exclusive Economic Zone"
-82.875,25.125,2.35390050936683,3726,"United States Exclusive Economic Zone"
-82.625,25.125,2.58753693837938,3727,"United States Exclusive Economic Zone"
-82.375,25.125,2.75780121523738,3727,"United States Exclusive Economic Zone"
-82.125,25.125,2.81110272640653,3727,"United States Exclusive Economic Zone"
-81.875,25.125,3.08273346696849,3727,"United States Exclusive Economic Zone"
-81.625,25.125,3.81943117622403,3727,"United States Exclusive Economic Zone"
-81.375,25.125,4.5887044104172,3727,"United States Exclusive Economic Zone"
-81.125,25.125,4.8599182388497,3727,"United States Exclusive Economic Zone"
-80.875,25.125,5.10953130700216,3727,"United States Exclusive Economic Zone"
-80.625,25.125,5.59719530018274,3727,"United States Exclusive Economic Zone"
-80.375,25.125,5.33755062934015,812,"United States Exclusive Economic Zone"
-80.125,25.125,4.85037009348075,812,"United States Exclusive Economic Zone"
-79.375,25.125,5.04386059959556,812,"Bahamas Exclusive Economic Zone"
-79.125,25.125,4.82479644259453,812,"Bahamas Exclusive Economic Zone"
-78.875,25.125,4.87620908318342,812,"Bahamas Exclusive Economic Zone"
-78.625,25.125,5.20413909949319,812,"Bahamas Exclusive Economic Zone"
-78.375,25.125,5.49927689731685,812,"Bahamas Exclusive Economic Zone"
-77.875,25.125,5.18869792444418,812,"Bahamas Exclusive Economic Zone"
-77.625,25.125,5.00422911270543,812,"Bahamas Exclusive Economic Zone"
-77.375,25.125,4.95723752501049,812,"Bahamas Exclusive Economic Zone"
-77.125,25.125,5.01376595928064,812,"Bahamas Exclusive Economic Zone"
-76.875,25.125,4.90001285155854,813,"Bahamas Exclusive Economic Zone"
-83.375,24.875,2.32603962935534,3726,"United States Exclusive Economic Zone"
-83.125,24.875,2.35316388365951,3726,"United States Exclusive Economic Zone"
-82.875,24.875,2.62055229009239,3726,"United States Exclusive Economic Zone"
-82.625,24.875,2.89024310811627,3726,"United States Exclusive Economic Zone"
-82.375,24.875,3.01927713588494,3727,"United States Exclusive Economic Zone"
-82.125,24.875,2.96653941205734,3727,"United States Exclusive Economic Zone"
