"x","y","sigmaNovelty","cell","EEZ"
134.625,34.625,3.78891426480055,3275,"Japanese Exclusive Economic Zone"
134.875,34.625,4.96636353594264,3275,"Japanese Exclusive Economic Zone"
133.125,34.375,2.96252688092645,3275,"Japanese Exclusive Economic Zone"
133.375,34.375,2.82916006246897,3275,NA
132.375,34.125,2.26427093180691,3275,"Japanese Exclusive Economic Zone"
132.625,34.125,2.82465698919452,3275,"Japanese Exclusive Economic Zone"
133.125,34.125,3.03765628352522,3275,"Japanese Exclusive Economic Zone"
133.375,34.125,2.85880630297664,3275,"Japanese Exclusive Economic Zone"
131.125,33.875,3.64400262820793,3247,"Japanese Exclusive Economic Zone"
131.375,33.875,3.35614320637655,3247,"Japanese Exclusive Economic Zone"
131.625,33.875,2.10730488841907,3247,"Japanese Exclusive Economic Zone"
131.875,33.875,1.94410430596686,3247,"Japanese Exclusive Economic Zone"
132.375,33.875,1.84861297166938,3275,"Japanese Exclusive Economic Zone"
132.625,33.875,2.15983324093508,3275,"Japanese Exclusive Economic Zone"
134.875,33.875,1.3002340135801,3302,"Japanese Exclusive Economic Zone"
131.125,33.625,3.72518414892076,3247,NA
131.375,33.625,3.47190618224707,3247,"Japanese Exclusive Economic Zone"
131.875,33.625,1.5832814312163,3247,"Japanese Exclusive Economic Zone"
132.125,33.625,0.452401039193836,3247,"Japanese Exclusive Economic Zone"
132.375,33.625,0.421819961693638,3275,"Japanese Exclusive Economic Zone"
134.375,33.625,0.323370821664371,3302,"Japanese Exclusive Economic Zone"
134.625,33.625,0.268742402105479,3302,"Japanese Exclusive Economic Zone"
134.875,33.625,0.409486055399176,3302,"Japanese Exclusive Economic Zone"
135.125,33.625,0.0452438233261589,3302,"Japanese Exclusive Economic Zone"
131.875,33.375,0.597533519877133,3247,"Japanese Exclusive Economic Zone"
132.375,33.375,0.1549561315867,3275,"Japanese Exclusive Economic Zone"
133.375,33.375,0.131234907707373,3275,"Japanese Exclusive Economic Zone"
133.625,33.375,0.14015299962061,3275,"Japanese Exclusive Economic Zone"
133.875,33.375,0.0638628476371885,3275,"Japanese Exclusive Economic Zone"
134.375,33.375,0.0295167807095909,3302,"Japanese Exclusive Economic Zone"
134.625,33.375,0.0335459690476533,3302,"Japanese Exclusive Economic Zone"
134.875,33.375,0.0702137322005814,3302,"Japanese Exclusive Economic Zone"
135.125,33.375,0.0821916536072149,3302,"Japanese Exclusive Economic Zone"
132.125,33.125,0.101762125321793,3247,"Japanese Exclusive Economic Zone"
132.375,33.125,0.305273564937963,3274,"Japanese Exclusive Economic Zone"
133.375,33.125,0.0178487042775152,3274,"Japanese Exclusive Economic Zone"
133.625,33.125,0.0356808383291315,3274,"Japanese Exclusive Economic Zone"
133.875,33.125,0.0803267013559213,3274,"Japanese Exclusive Economic Zone"
134.125,33.125,0.15106043687291,3302,"Japanese Exclusive Economic Zone"
134.375,33.125,0.17279451636143,3302,"Japanese Exclusive Economic Zone"
134.625,33.125,0.171423849295092,3302,"Japanese Exclusive Economic Zone"
134.875,33.125,0.225085600433138,3302,"Japanese Exclusive Economic Zone"
135.125,33.125,0.248011813158541,3302,"Japanese Exclusive Economic Zone"
132.125,32.875,0.253581021055008,3274,"Japanese Exclusive Economic Zone"
132.375,32.875,0.369078515591453,3274,"Japanese Exclusive Economic Zone"
132.625,32.875,0.213389321581677,3274,"Japanese Exclusive Economic Zone"
133.125,32.875,0.0216583710728141,3274,"Japanese Exclusive Economic Zone"
133.375,32.875,0.036524408091045,3274,"Japanese Exclusive Economic Zone"
133.625,32.875,0.16405133476321,3274,"Japanese Exclusive Economic Zone"
133.875,32.875,0.229358781058119,3274,"Japanese Exclusive Economic Zone"
134.125,32.875,0.348131560954292,3274,"Japanese Exclusive Economic Zone"
134.375,32.875,0.417053530114477,3302,"Japanese Exclusive Economic Zone"
134.625,32.875,0.388052522151892,3302,"Japanese Exclusive Economic Zone"
134.875,32.875,0.368655456438599,3302,"Japanese Exclusive Economic Zone"
135.125,32.875,0.332571215844378,3302,"Japanese Exclusive Economic Zone"
131.875,32.625,0.199452666385191,3274,"Japanese Exclusive Economic Zone"
132.125,32.625,0.0608994554896011,3274,"Japanese Exclusive Economic Zone"
132.375,32.625,0.0441534259110131,3274,"Japanese Exclusive Economic Zone"
132.625,32.625,0.0504054679870912,3274,"Japanese Exclusive Economic Zone"
132.875,32.625,0.0935319660258584,3274,"Japanese Exclusive Economic Zone"
133.125,32.625,0.117856241494439,3274,"Japanese Exclusive Economic Zone"
133.375,32.625,0.288364579717591,3274,"Japanese Exclusive Economic Zone"
133.625,32.625,0.4396867933606,3274,"Japanese Exclusive Economic Zone"
133.875,32.625,0.438423268933574,3274,"Japanese Exclusive Economic Zone"
134.125,32.625,0.429498714020137,3274,"Japanese Exclusive Economic Zone"
134.375,32.625,0.405087138239861,3302,"Japanese Exclusive Economic Zone"
134.625,32.625,0.38427465203663,3302,"Japanese Exclusive Economic Zone"
134.875,32.625,0.396973826913848,3302,"Japanese Exclusive Economic Zone"
131.875,32.375,0.107603185045089,3274,"Japanese Exclusive Economic Zone"
132.125,32.375,0.0790624651967092,3274,"Japanese Exclusive Economic Zone"
132.375,32.375,0.0852715139419293,3274,"Japanese Exclusive Economic Zone"
132.625,32.375,0.214645404487991,3274,"Japanese Exclusive Economic Zone"
132.875,32.375,0.345121776339316,3274,"Japanese Exclusive Economic Zone"
133.125,32.375,0.418656618303871,3274,"Japanese Exclusive Economic Zone"
133.375,32.375,0.449495252707891,3274,"Japanese Exclusive Economic Zone"
133.625,32.375,0.40355298560441,3274,"Japanese Exclusive Economic Zone"
133.875,32.375,0.36812108471841,3274,"Japanese Exclusive Economic Zone"
134.125,32.375,0.337928137242576,3274,"Japanese Exclusive Economic Zone"
134.375,32.375,0.3147502579779,3302,"Japanese Exclusive Economic Zone"
134.625,32.375,0.272248820183074,3302,"Japanese Exclusive Economic Zone"
129.875,32.125,0.777163673164787,3247,"Japanese Exclusive Economic Zone"
131.625,32.125,0.083107924900531,3274,"Japanese Exclusive Economic Zone"
131.875,32.125,0.0668257609866843,3274,"Japanese Exclusive Economic Zone"
132.125,32.125,0.153260257124182,3274,"Japanese Exclusive Economic Zone"
132.375,32.125,0.236717296336089,3274,"Japanese Exclusive Economic Zone"
132.625,32.125,0.386242224741639,3274,"Japanese Exclusive Economic Zone"
132.875,32.125,0.437698981646146,3274,"Japanese Exclusive Economic Zone"
133.125,32.125,0.406517931623131,3274,"Japanese Exclusive Economic Zone"
133.375,32.125,0.353547746346759,3274,"Japanese Exclusive Economic Zone"
133.625,32.125,0.320983375006378,3274,"Japanese Exclusive Economic Zone"
133.875,32.125,0.288906461691867,3274,"Japanese Exclusive Economic Zone"
134.125,32.125,0.251316741869452,3274,"Japanese Exclusive Economic Zone"
134.375,32.125,0.240049562722541,3274,"Japanese Exclusive Economic Zone"
129.625,31.875,0.268775109027297,3219,"Japanese Exclusive Economic Zone"
129.875,31.875,0.523764985811567,3247,"Japanese Exclusive Economic Zone"
130.125,31.875,1.04531478974414,3247,"Japanese Exclusive Economic Zone"
131.625,31.875,0.105756751160649,3274,"Japanese Exclusive Economic Zone"
131.875,31.875,0.06754093810733,3274,"Japanese Exclusive Economic Zone"
132.125,31.875,0.19949599349225,3274,"Japanese Exclusive Economic Zone"
132.375,31.875,0.397510382681239,3274,"Japanese Exclusive Economic Zone"
132.625,31.875,0.442473227806243,3274,"Japanese Exclusive Economic Zone"
132.875,31.875,0.423200269732946,3274,"Japanese Exclusive Economic Zone"
133.125,31.875,0.376356918811742,3274,"Japanese Exclusive Economic Zone"
133.375,31.875,0.33758699615846,3274,"Japanese Exclusive Economic Zone"
133.625,31.875,0.299659805529193,3274,"Japanese Exclusive Economic Zone"
133.875,31.875,0.270439374970284,3274,"Japanese Exclusive Economic Zone"
134.125,31.875,0.236838473544567,3274,"Japanese Exclusive Economic Zone"
129.375,31.625,0.287276298960441,3219,"Japanese Exclusive Economic Zone"
129.625,31.625,0.278728280081592,3246,"Japanese Exclusive Economic Zone"
129.875,31.625,0.215286710247173,3246,"Japanese Exclusive Economic Zone"
130.125,31.625,0.635014133844125,3246,"Japanese Exclusive Economic Zone"
130.625,31.625,0.151950467494548,3246,"Japanese Exclusive Economic Zone"
131.625,31.625,0.0659809073670796,3274,"Japanese Exclusive Economic Zone"
131.875,31.625,0.214551639505499,3274,"Japanese Exclusive Economic Zone"
132.125,31.625,0.389693880447053,3274,"Japanese Exclusive Economic Zone"
132.375,31.625,0.433128477873207,3274,"Japanese Exclusive Economic Zone"
132.625,31.625,0.434812403780746,3274,"Japanese Exclusive Economic Zone"
132.875,31.625,0.368234261241741,3274,"Japanese Exclusive Economic Zone"
133.125,31.625,0.329656557049868,3274,"Japanese Exclusive Economic Zone"
133.375,31.625,0.286821552630515,3274,"Japanese Exclusive Economic Zone"
129.125,31.375,0.194692251739636,3219,"Japanese Exclusive Economic Zone"
129.375,31.375,0.280403409480998,3246,"Japanese Exclusive Economic Zone"
129.625,31.375,0.280774915998369,3246,"Japanese Exclusive Economic Zone"
129.875,31.375,0.278578687720971,3246,"Japanese Exclusive Economic Zone"
130.125,31.375,0.246941820357411,3246,"Japanese Exclusive Economic Zone"
130.625,31.375,0.180708379378265,3246,"Japanese Exclusive Economic Zone"
131.125,31.375,0.023762916841465,3246,"Japanese Exclusive Economic Zone"
131.375,31.375,0.038346727801195,3246,"Japanese Exclusive Economic Zone"
131.625,31.375,0.13472065702017,3274,"Japanese Exclusive Economic Zone"
131.875,31.375,0.386906863098376,3274,"Japanese Exclusive Economic Zone"
132.125,31.375,0.421991871430042,3274,"Japanese Exclusive Economic Zone"
132.375,31.375,0.424297224104346,3274,"Japanese Exclusive Economic Zone"
132.625,31.375,0.36942617170118,3274,"Japanese Exclusive Economic Zone"
132.875,31.375,0.320621775003935,3274,"Japanese Exclusive Economic Zone"
133.125,31.375,0.28498058535484,3274,"Japanese Exclusive Economic Zone"
128.875,31.125,0.282981276102488,3219,"Joint regime area Japan / Korea"
129.125,31.125,0.293072510195017,3219,"Japanese Exclusive Economic Zone"
129.375,31.125,0.240163241693927,3246,"Japanese Exclusive Economic Zone"
129.625,31.125,0.1729061534652,3246,"Japanese Exclusive Economic Zone"
129.875,31.125,0.273587788365413,3246,"Japanese Exclusive Economic Zone"
130.125,31.125,0.252968517649432,3246,"Japanese Exclusive Economic Zone"
