"Species","EEZ","p2","p4","Average","Max"
"Decapterus macrosoma","American Samoa Exclusive Economic Zone",0,0,1.19476412575516,1.95896957265747
"Decapterus macrosoma","Angolan Exclusive Economic Zone",0,0,0.113336133383948,1.38116412033827
"Decapterus macrosoma","Ascension Exclusive Economic Zone",0,0,0.0541904637721973,0.0869068821763747
"Decapterus macrosoma","Australian Exclusive Economic Zone",0.00523560209424084,0,0.327203989672177,2.57673416062984
"Decapterus macrosoma","Bahraini Exclusive Economic Zone",1,1,4.24383620589317,4.54345565078446
"Decapterus macrosoma","Bangladeshi Exclusive Economic Zone",0.333333333333333,0,1.00458549142644,3.49663747947036
"Decapterus macrosoma","Bassas da India Exclusive Economic Zone",0,0,0.00820522331059798,0.00820522331059798
"Decapterus macrosoma","Bruneian Exclusive Economic Zone",0,0,0.230692139946717,1.2987305279622
"Decapterus macrosoma","Cambodian Exclusive Economic Zone",0,0,0.28819375686053,0.759255117898369
"Decapterus macrosoma","Chagos Archipelago Exclusive Economic Zone",0,0,0.612988863102848,1.01992554889632
"Decapterus macrosoma","Chinese Exclusive Economic Zone",0.00768049155145929,0.00384024577572965,0.189926744711097,5.97568035010941
"Decapterus macrosoma","Christmas Island Exclusive Economic Zone",0,0,0.00879198800807265,0.0128937555423514
"Decapterus macrosoma","Clipperton Exclusive Economic Zone",0,0,0.00242994101548833,0.0029843715621146
"Decapterus macrosoma","Cocos Islands Exclusive Economic Zone",0,0,0.0388884961274867,0.0565358956504733
"Decapterus macrosoma","Colombian Exclusive Economic Zone",0,0,0.0551217490076541,0.913390551221614
"Decapterus macrosoma","Comoran Exclusive Economic Zone",0,0,0.0308902123980266,0.0460998753834675
"Decapterus macrosoma","Cook Islands Exclusive Economic Zone",0,0,0.770818683661331,1.69171298218043
"Decapterus macrosoma","Costa Rican Exclusive Economic Zone",0,0,0.0561259875970424,0.345055764700881
"Decapterus macrosoma","Djiboutian Exclusive Economic Zone",1,1,5.4373814454937,6.38757983152929
"Decapterus macrosoma","East Timorian Exclusive Economic Zone",0,0,0.445190381689952,0.757493942900473
"Decapterus macrosoma","Ecuadorian Exclusive Economic Zone",0.0126582278481013,0,0.104142015698997,2.23195057265793
"Decapterus macrosoma","Ecuadorian Exclusive Economic Zone (Galapagos)",0,0,0.0667566222971939,1.17450054616197
"Decapterus macrosoma","Egyptian Exclusive Economic Zone",1,0,3.18841929088993,3.51981134451406
"Decapterus macrosoma","El Salvador Exclusive Economic Zone",0,0,0.0891339934631314,0.575847436472854
"Decapterus macrosoma","Eritrean Exclusive Economic Zone",1,1,8.0386233868085,8.2923610758136
"Decapterus macrosoma","Fijian Exclusive Economic Zone",0.00395343729409181,0.000439270810454645,0.265513071611604,8.2923610758136
"Decapterus macrosoma","French Polynesian Exclusive Economic Zone",0,0,0.0791210277917938,0.549443702253152
"Decapterus macrosoma","Guam Exclusive Economic Zone",0,0,0.507710680369776,0.52347169713349
"Decapterus macrosoma","Guatemalan Exclusive Economic Zone",0,0,0.109769763994173,0.620242780156205
"Decapterus macrosoma","Honduran Exclusive Economic Zone",0,0,0.388260525968602,0.575847436472854
"Decapterus macrosoma","Howland and Baker Islands Exclusive Economic Zone",0,0,1.35611336189114,1.48260793785941
"Decapterus macrosoma","Indian Exclusive Economic Zone",0.202600216684724,0,1.22112923289219,3.30763865656103
"Decapterus macrosoma","Indian Exclusive Economic Zone (Andaman and Nicobar Islands)",0.00366300366300366,0,0.153768256819387,2.06528599097108
"Decapterus macrosoma","Indonesian Exclusive Economic Zone",0.0323346188074755,0.000593295757935331,0.477927925070002,4.94345638852253
"Decapterus macrosoma","Iranian Exclusive Economic Zone",0.962406015037594,0.75187969924812,5.06894616136582,8.2923610758136
"Decapterus macrosoma","Japanese Exclusive Economic Zone",0,0,0.263427280764385,1.22818601952606
"Decapterus macrosoma","Jarvis Island Exclusive Economic Zone",0,0,0.205373786957391,0.34103208939862
"Decapterus macrosoma","Johnston Atoll Exclusive Economic Zone",0,0,0.087516482294367,0.104428175481286
"Decapterus macrosoma","Joint regime area Australia / Papua New Guinea",0,0,0.00907176819074389,0.0296667949843094
"Decapterus macrosoma","Joint regime area Ecuador / Colombia",0,0,0.00391511599569705,0.0127396001347719
"Decapterus macrosoma","Joint regime area Japan / Korea",0,0,0.310851663251543,1.11536694273337
"Decapterus macrosoma","Joint regime area Peru / Ecuador",0,0,0.19848090861168,0.282927713625113
"Decapterus macrosoma","Juan de Nova Exclusive Economic Zone",0,0,0.0323098281816078,0.055459493715897
"Decapterus macrosoma","Kenyan Exclusive Economic Zone",0,0,0.00372955013350741,0.0253522035588854
"Decapterus macrosoma","Kiribati Exclusive Economic Zone (Gilbert Islands)",0.0542920029347029,0.000978234287111763,0.705012316004953,4.94345638852253
"Decapterus macrosoma","Kiribati Exclusive Economic Zone (Line Islands)",0,0,0.287214875338073,1.21874481217467
"Decapterus macrosoma","Kiribati Exclusive Economic Zone (Phoenix Islands)",0,0,0.440108902688827,1.48260793785941
"Decapterus macrosoma","Kuwaiti Exclusive Economic Zone",0.666666666666667,0,2.16527874099906,2.48335680515488
"Decapterus macrosoma","Madagascan Exclusive Economic Zone",0.00297619047619048,0,0.0881142584163842,2.19772016062289
"Decapterus macrosoma","Malaysian Exclusive Economic Zone",0.0114388922335942,0,0.327434681190429,3.53285580221859
"Decapterus macrosoma","Maldives Exclusive Economic Zone",0.0176211453744493,0,1.52098450607828,2.09873060499236
"Decapterus macrosoma","Marshall Islands Exclusive Economic Zone",0,0,0.660150633351769,1.77096723765067
"Decapterus macrosoma","Mauritian Exclusive Economic Zone",0,0,0.10810917467079,0.253499244048614
"Decapterus macrosoma","Mexican Exclusive Economic Zone",0.00592592592592593,0,0.200258928623053,3.06795310512095
"Decapterus macrosoma","Micronesian Exclusive Economic Zone",0.0318181818181818,0,1.10308121357595,2.25403740609277
"Decapterus macrosoma","Mozambican Exclusive Economic Zone",0,0,0.0539584976323987,0.986011485258066
"Decapterus macrosoma","Myanmar Exclusive Economic Zone",0.00797872340425532,0,0.165925837097888,3.30592434937797
"Decapterus macrosoma","Nauruan Exclusive Economic Zone",0.166666666666667,0,1.87635717173216,2.11866965651885
"Decapterus macrosoma","New Caledonian Exclusive Economic Zone",0,0,0.0737178617274363,0.255671678654535
"Decapterus macrosoma","Nicaraguan Exclusive Economic Zone",0,0,0.102712201067401,0.575847436472854
"Decapterus macrosoma","Niue Exclusive Economic Zone",0,0,0.0738244170292977,0.129772017655105
"Decapterus macrosoma","Northern Mariana Exclusive Economic Zone",0,0,0.50486256893554,0.52347169713349
"Decapterus macrosoma","Oecussi Ambeno Exclusive Economic Zone",0,0,0.00385614120475201,0.00906941816481316
"Decapterus macrosoma","Omani Exclusive Economic Zone",0.577464788732394,0.427230046948357,3.18470044317001,8.2923610758136
"Decapterus macrosoma","Overlapping claim Glorioso Islands: France / Madagascar",0,0,0.0351040067074016,0.117157215067028
"Decapterus macrosoma","Overlapping claim Ile Tromelin: Reunion / Madagascar / Mauritus",0,0,0.0507875773247542,0.0547763145506689
"Decapterus macrosoma","Overlapping claim Mayotte: France / Comoros",0,0,0.0328652602984475,0.0466459387802749
"Decapterus macrosoma","Overlapping claim Senkaku Islands: Japan / China / Taiwan",0,0,0.117107189942233,0.483114794285212
"Decapterus macrosoma","Overlapping claim South China Sea",0,0,0.187991776313423,1.70720174774217
"Decapterus macrosoma","Overlapping claim: Iran / United Arab Emirates",1,1,7.35887357284951,8.2923610758136
"Decapterus macrosoma","Overlapping claim: Kenya / Somalia",0,0,0.00427098247039553,0.00613663701104186
"Decapterus macrosoma","Pakistani Exclusive Economic Zone",0.094017094017094,0,0.954245468840261,2.28935183553836
"Decapterus macrosoma","Palau Exclusive Economic Zone",0,0,0.69044475999054,0.873242695961589
"Decapterus macrosoma","Palmyra Atoll Exclusive Economic Zone",0,0,0.219820120713268,0.275864277494151
"Decapterus macrosoma","Panamanian Exclusive Economic Zone",0,0,0.058037517422187,0.832077727071489
"Decapterus macrosoma","Papua New Guinean Exclusive Economic Zone",0.00513112884834664,0,0.627291580246371,3.17799969792209
"Decapterus macrosoma","Peruvian Exclusive Economic Zone",0.303030303030303,0.212121212121212,1.80211944400753,8.2923610758136
"Decapterus macrosoma","Philippines Exclusive Economic Zone",0.0222822417285618,0.00135043889264011,0.606036010870501,5.92972821431599
"Decapterus macrosoma","Qatari Exclusive Economic Zone",1,1,4.98421257267559,5.8546053068678
"Decapterus macrosoma","Samoan Exclusive Economic Zone",0,0,0.969546696779846,1.95896957265747
"Decapterus macrosoma","Saudi Arabian Exclusive Economic Zone",0.99,0.86,7.13209835353678,8.2923610758136
"Decapterus macrosoma","Seychellois Exclusive Economic Zone",0,0,0.302850982486602,0.807678929638061
"Decapterus macrosoma","Solomon Islands Exclusive Economic Zone",0,0,0.997698292799958,1.81197933162773
"Decapterus macrosoma","Somali Exclusive Economic Zone",0.339240506329114,0.177215189873418,1.59210488728426,7.72468234701592
"Decapterus macrosoma","South Korean Exclusive Economic Zone",0,0,0.424921860632525,1.03602345368815
"Decapterus macrosoma","Sri Lankan Exclusive Economic Zone",0.151832460732984,0,0.894402851629818,3.30763865656103
"Decapterus macrosoma","St. Helena Exclusive Economic Zone",0,0,0.000203898542339225,0.000726219369989797
"Decapterus macrosoma","Sudanese Exclusive Economic Zone",1,1,7.7882028389486,8.2923610758136
"Decapterus macrosoma","Taiwanese Exclusive Economic Zone",0.00539568345323741,0,0.118379750501186,2.41530197360097
"Decapterus macrosoma","Tanzanian Exclusive Economic Zone",0,0,0.0147336932751333,0.126173357558252
"Decapterus macrosoma","Thailand Exclusive Economic Zone",0.00742115027829314,0,0.270079246011916,2.54629737299529
"Decapterus macrosoma","Tokelau Exclusive Economic Zone",0,0,1.68999413565754,1.86981353876916
"Decapterus macrosoma","Tongan Exclusive Economic Zone",0,0,0.0908552644565584,0.626355036657534
"Decapterus macrosoma","Tuvaluan Exclusive Economic Zone",0.00725176645593157,0.0013015991074749,0.395631334254985,8.2923610758136
"Decapterus macrosoma","United Arab Emirates Exclusive Economic Zone",1,1,6.36204485811332,8.2923610758136
"Decapterus macrosoma","United States Exclusive Economic Zone",0,0,0.178064368039431,1.36567465587682
"Decapterus macrosoma","United States Exclusive Economic Zone (Hawaii)",0.0997693194925029,0.0640138408304498,0.768857705935908,8.2923610758136
"Decapterus macrosoma","Vanuatu Exclusive Economic Zone",0,0,0.0799461005105113,0.255671678654535
"Decapterus macrosoma","Vietnamese Exclusive Economic Zone",0.0158033362598771,0.00790166812993854,0.206182935793265,5.90609203778836
"Decapterus macrosoma","Wallis and Futuna Exclusive Economic Zone",0.00384078212290503,0.000698324022346369,0.328276981548358,8.2923610758136
"Decapterus macrosoma","Yemeni Exclusive Economic Zone",0.522959183673469,0.35969387755102,3.08231657627052,8.2923610758136
