"x","y","sigmaNovelty","cell","EEZ"
-13.375,53.875,0.583315055594777,835,"Irish Exclusive Economic Zone"
-13.125,53.875,0.606444694093215,835,"Irish Exclusive Economic Zone"
-13.625,53.625,0.528154043431608,835,"Irish Exclusive Economic Zone"
-13.375,53.625,0.566053773832566,835,"Irish Exclusive Economic Zone"
-13.125,53.625,0.503512375065798,835,"Irish Exclusive Economic Zone"
-12.875,53.625,0.519014724868709,835,"Irish Exclusive Economic Zone"
-13.875,53.375,0.458712057447757,835,"Irish Exclusive Economic Zone"
-13.625,53.375,0.455295838148358,835,"Irish Exclusive Economic Zone"
-13.375,53.375,0.409687956660033,835,"Irish Exclusive Economic Zone"
-13.125,53.375,0.387775179839491,835,"Irish Exclusive Economic Zone"
-12.875,53.375,0.379229339808187,835,"Irish Exclusive Economic Zone"
-9.875,53.375,0.307825410342391,836,"Irish Exclusive Economic Zone"
-13.875,53.125,0.362241886518571,835,"Irish Exclusive Economic Zone"
-13.625,53.125,0.305708828526189,835,"Irish Exclusive Economic Zone"
-13.375,53.125,0.311129909685988,835,"Irish Exclusive Economic Zone"
-13.125,53.125,0.295808850746905,835,"Irish Exclusive Economic Zone"
-9.875,53.125,0.104308950361338,836,"Irish Exclusive Economic Zone"
-9.625,53.125,0.129223575365608,836,"Irish Exclusive Economic Zone"
-13.625,52.875,0.252867112803917,835,"Irish Exclusive Economic Zone"
-13.375,52.875,0.279087583230289,835,"Irish Exclusive Economic Zone"
-11.875,52.875,0.137461294595824,835,"Irish Exclusive Economic Zone"
-11.625,52.875,0.06904285124603,835,"Irish Exclusive Economic Zone"
-11.875,52.625,0.130690295330179,835,"Irish Exclusive Economic Zone"
-11.625,52.625,0.0437598331434438,835,"Irish Exclusive Economic Zone"
-5.625,52.125,0.0226336973625137,837,"United Kingdom Exclusive Economic Zone"
-5.375,52.125,0.00211150204273318,837,"United Kingdom Exclusive Economic Zone"
-5.875,51.875,0.0232309716925675,864,"United Kingdom Exclusive Economic Zone"
-5.625,51.875,0.00253283105891993,837,"United Kingdom Exclusive Economic Zone"
-5.375,51.875,0.0152311864679827,837,"United Kingdom Exclusive Economic Zone"
-6.125,51.625,0.072243907566936,864,"United Kingdom Exclusive Economic Zone"
-5.875,51.625,0.0218766611614832,864,"United Kingdom Exclusive Economic Zone"
-5.625,51.625,0.0260556904459325,864,"United Kingdom Exclusive Economic Zone"
-5.375,51.625,0.00879114217517712,864,"United Kingdom Exclusive Economic Zone"
-5.125,51.625,0.0167977277106988,864,"United Kingdom Exclusive Economic Zone"
-4.875,51.625,0.0638843324848906,864,"United Kingdom Exclusive Economic Zone"
-4.625,51.625,0.156557662538884,837,"United Kingdom Exclusive Economic Zone"
-4.375,51.625,0.148197744466904,837,"United Kingdom Exclusive Economic Zone"
-6.375,51.375,0.04227059146067,864,"United Kingdom Exclusive Economic Zone"
-6.125,51.375,0.0120333862137176,864,"United Kingdom Exclusive Economic Zone"
-5.875,51.375,0.0137152277640418,864,"United Kingdom Exclusive Economic Zone"
-5.625,51.375,0.0194161730516452,864,"United Kingdom Exclusive Economic Zone"
-5.375,51.375,0.0137801183061558,864,"United Kingdom Exclusive Economic Zone"
-5.125,51.375,0.0156513557553451,864,"United Kingdom Exclusive Economic Zone"
-4.875,51.375,0.025251175607336,864,"United Kingdom Exclusive Economic Zone"
-4.625,51.375,0.129725906762025,864,"United Kingdom Exclusive Economic Zone"
-4.375,51.375,0.171597695496418,864,"United Kingdom Exclusive Economic Zone"
-4.125,51.375,1.40439282460321,864,"United Kingdom Exclusive Economic Zone"
-3.875,51.375,1.46140294797394,864,"United Kingdom Exclusive Economic Zone"
-3.625,51.375,1.35341613694801,865,"United Kingdom Exclusive Economic Zone"
-3.375,51.375,1.56681782528853,865,"United Kingdom Exclusive Economic Zone"
-3.125,51.375,2.58578149057546,865,"United Kingdom Exclusive Economic Zone"
-6.625,51.125,0.0156322078976225,864,"United Kingdom Exclusive Economic Zone"
-6.375,51.125,0.0223128104420078,864,"United Kingdom Exclusive Economic Zone"
-6.125,51.125,0.032914741198263,864,"United Kingdom Exclusive Economic Zone"
-5.875,51.125,0.00830725498373136,864,"United Kingdom Exclusive Economic Zone"
