"Species","EEZ","p2","p4","Average","Max"
"Dentex gibbosus","Albanian Exclusive Economic Zone",0,0,0.502425152740827,1.43786019089204
"Dentex gibbosus","Algerian Exclusive Economic Zone",0,0,0.324869622125792,0.750587433841458
"Dentex gibbosus","Angolan Exclusive Economic Zone",0.212264150943396,0.117924528301887,1.71801001437572,8.2923610758136
"Dentex gibbosus","Beninese Exclusive Economic Zone",1,0.285714285714286,3.75686283178731,4.55316724773309
"Dentex gibbosus","Cameroonian Exclusive Economic Zone",0.791666666666667,0.3125,3.14417642789713,4.95082408887908
"Dentex gibbosus","Cape Verdean Exclusive Economic Zone",0,0,0.478292982018543,0.6046869444848
"Dentex gibbosus","Congolese Exclusive Economic Zone",0.25,0.0961538461538462,2.13404551673583,8.2923610758136
"Dentex gibbosus","Croatian Exclusive Economic Zone",0,0,0.583339286283926,1.38156844769554
"Dentex gibbosus","Cypriote Exclusive Economic Zone",0.535353535353535,0,1.99806289516977,2.86456022951269
"Dentex gibbosus","Democratic Republic of the Congo Exclusive Economic Zone",0.741935483870968,0.483870967741935,4.72438491312506,8.2923610758136
"Dentex gibbosus","Egyptian Exclusive Economic Zone",0.151376146788991,0,1.39522804535472,3.0766170649143
"Dentex gibbosus","Equatorial Guinean Exclusive Economic Zone",0.636363636363636,0.314285714285714,3.10060277999057,7.29834792559634
"Dentex gibbosus","French Exclusive Economic Zone",0.00354609929078014,0,0.314193127356809,2.48418782262325
"Dentex gibbosus","Gabonese Exclusive Economic Zone",0.26797385620915,0.0261437908496732,1.80088912669444,4.56719480183085
"Dentex gibbosus","Gambian Exclusive Economic Zone",1,0.153846153846154,3.265704674921,4.24100839602496
"Dentex gibbosus","Ghanaian Exclusive Economic Zone",1,0.429906542056075,4.02207548123222,6.37484279843447
"Dentex gibbosus","Greek Exclusive Economic Zone",0.0196078431372549,0,0.459924108070414,2.39272735584766
"Dentex gibbosus","Guinea Bissau Exclusive Economic Zone",1,0.926829268292683,6.22049705836998,8.2923610758136
"Dentex gibbosus","Guinean Exclusive Economic Zone",1,0.951724137931034,6.48981078581873,8.2923610758136
"Dentex gibbosus","Israeli Exclusive Economic Zone",0.384615384615385,0,2.07146514134239,3.0766170649143
"Dentex gibbosus","Italian Exclusive Economic Zone",0.00172711571675302,0,0.712877167930176,2.49189810233772
"Dentex gibbosus","Ivory Coast Exclusive Economic Zone",1,0.666666666666667,5.35735538844026,8.2923610758136
"Dentex gibbosus","Joint regime area Italy / France",0,0,0.394231434585413,0.394231434585413
"Dentex gibbosus","Joint regime area Nigeria / Sao Tome and Principe",1,1,5.55465657625188,5.82187836827487
"Dentex gibbosus","Joint regime area Senegal / Guinea Bissau",1,0.608695652173913,4.47158179585521,6.40787346361106
"Dentex gibbosus","Lebanese Exclusive Economic Zone",0.604166666666667,0,2.14146513959176,2.97135536570692
"Dentex gibbosus","Liberian Exclusive Economic Zone",1,1,7.81936437599502,8.2923610758136
"Dentex gibbosus","Libyan Exclusive Economic Zone",0.0126582278481013,0,0.886961656133958,2.48789491638896
"Dentex gibbosus","Maltese Exclusive Economic Zone",0,0,0.917626789831069,1.31990884415781
"Dentex gibbosus","Mauritanian Exclusive Economic Zone",0.315315315315315,0.117117117117117,1.76787042578578,8.2923610758136
"Dentex gibbosus","Montenegrin Exclusive economic Zone",0,0,0.503329343873118,0.740250786353153
"Dentex gibbosus","Moroccan Exclusive Economic Zone",0,0,0.139812320492073,1.04809455218274
"Dentex gibbosus","Nigerian Exclusive Economic Zone",0.994117647058824,0.488235294117647,3.83515732320508,5.78443836719777
"Dentex gibbosus","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.416864681156645,0.416864681156645
"Dentex gibbosus","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0818492708852152,0.0943576861345864
"Dentex gibbosus","Overlapping claim Melilla: Spain / Morocco",0,0,0.248579702724395,0.248579702724395
"Dentex gibbosus","Overlapping claim Western Saharan Exclusive Economic Zone",0.0743494423791822,0.0111524163568773,0.738962215272391,8.2923610758136
"Dentex gibbosus","Palestinian Exclusive Economic Zone",1,0,2.62784669454131,2.8901561237546
"Dentex gibbosus","Portuguese Exclusive Economic Zone",0,0,0.182484776437653,1.70349661506003
"Dentex gibbosus","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.35046504805731,1.24218548017984
"Dentex gibbosus","Sao Tome and Principe Exclusive Economic Zone",0.717514124293785,0.423728813559322,3.51204349045428,5.82187836827487
"Dentex gibbosus","Senegalese Exclusive Economic Zone",0.710344827586207,0.496551724137931,4.20811126721038,8.2923610758136
"Dentex gibbosus","Sierra Leonian Exclusive Economic Zone",1,1,7.19773638715214,8.2923610758136
"Dentex gibbosus","Spanish Exclusive Economic Zone",0.00184842883548983,0,0.214830665001017,2.48418782262325
"Dentex gibbosus","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.416167534389185,1.35250073661847
"Dentex gibbosus","Syrian Exclusive Economic Zone",1,0,2.47372416867336,3.17552357751477
"Dentex gibbosus","Togolese Exclusive Economic Zone",1,0.238095238095238,3.89293908197144,5.55234268132896
"Dentex gibbosus","Tunisian Exclusive Economic Zone",0.0794701986754967,0,0.887532632800157,3.11973475408034
"Dentex gibbosus","Turkish Exclusive Economic Zone",0.364077669902913,0,1.28450105417928,3.23820587206366
