"x","y","sigmaNovelty","cell","EEZ"
-3.125,46.125,0.434822955683835,919,"French Exclusive Economic Zone"
-2.875,46.125,0.371728774485684,919,"French Exclusive Economic Zone"
-2.625,46.125,0.265213909375708,919,"French Exclusive Economic Zone"
-2.375,46.125,0.301222388165228,919,"French Exclusive Economic Zone"
-2.125,46.125,0.0873336669757435,1481,"French Exclusive Economic Zone"
-1.875,46.125,0.0480890257861101,1481,"French Exclusive Economic Zone"
-1.625,46.125,0.308211081173759,1481,"French Exclusive Economic Zone"
-1.375,46.125,1.25885638169275,1481,"French Exclusive Economic Zone"
-3.375,45.875,0.328053898847257,919,"French Exclusive Economic Zone"
-3.125,45.875,0.395493503756193,919,"French Exclusive Economic Zone"
-2.875,45.875,0.383352779997581,919,"French Exclusive Economic Zone"
-2.625,45.875,0.366797160755929,919,"French Exclusive Economic Zone"
-2.375,45.875,0.205169931876549,919,"French Exclusive Economic Zone"
-2.125,45.875,0.105272788424012,1481,"French Exclusive Economic Zone"
-1.875,45.875,0.203875152487371,1481,"French Exclusive Economic Zone"
-1.625,45.875,0.0939136310622607,1481,"French Exclusive Economic Zone"
-1.375,45.875,0.852553558907291,1481,"French Exclusive Economic Zone"
-1.125,45.875,1.30943261193281,1481,"French Exclusive Economic Zone"
-3.375,45.625,0.337516165754477,919,"French Exclusive Economic Zone"
-3.125,45.625,0.336225843120979,919,"French Exclusive Economic Zone"
-2.875,45.625,0.227959620539138,919,"French Exclusive Economic Zone"
-2.625,45.625,0.167665498339423,919,"French Exclusive Economic Zone"
-2.375,45.625,0.196019913528567,1480,"French Exclusive Economic Zone"
-2.125,45.625,0.266953047303629,1480,"French Exclusive Economic Zone"
-1.875,45.625,0.0257637797350104,1481,"French Exclusive Economic Zone"
-1.625,45.625,0.24762982857443,1481,"French Exclusive Economic Zone"
-1.375,45.625,0.870785432825169,1481,"French Exclusive Economic Zone"
-1.125,45.625,1.85930486586022,1481,"French Exclusive Economic Zone"
-3.125,45.375,0.187066907062834,1480,"French Exclusive Economic Zone"
-2.875,45.375,0.0887746065291369,1480,"French Exclusive Economic Zone"
-2.625,45.375,0.0846955615894107,1480,"French Exclusive Economic Zone"
-2.375,45.375,0.0916972358497773,1480,"French Exclusive Economic Zone"
-2.125,45.375,0.126752882279552,1480,"French Exclusive Economic Zone"
-1.875,45.375,0.0618057800551037,1480,"French Exclusive Economic Zone"
-1.625,45.375,0.136988845906585,1480,"French Exclusive Economic Zone"
-1.375,45.375,1.70102373734597,1480,"French Exclusive Economic Zone"
-2.875,45.125,0.0518833582155632,1480,"French Exclusive Economic Zone"
-2.625,45.125,0.0533073553333133,1480,"French Exclusive Economic Zone"
-2.375,45.125,0.0591696822454226,1480,"French Exclusive Economic Zone"
-2.125,45.125,0.0576808089382931,1480,"French Exclusive Economic Zone"
-1.875,45.125,0.0688716625908671,1480,"French Exclusive Economic Zone"
-1.625,45.125,0.0723570912337861,1480,"French Exclusive Economic Zone"
-1.375,45.125,2.48418782262325,1480,"French Exclusive Economic Zone"
-2.625,44.875,0.0515781581695337,1480,"French Exclusive Economic Zone"
-2.375,44.875,0.0443626255343732,1480,"French Exclusive Economic Zone"
-2.125,44.875,0.0325969635261089,1480,"French Exclusive Economic Zone"
-1.875,44.875,0.102203804566028,1480,"French Exclusive Economic Zone"
-1.625,44.875,0.00341278191213328,1480,"French Exclusive Economic Zone"
-1.375,44.875,1.72512140130746,1480,"French Exclusive Economic Zone"
-2.375,44.625,0.0385403505571968,1480,"French Exclusive Economic Zone"
-2.125,44.625,0.0302631842428137,1480,"French Exclusive Economic Zone"
-1.875,44.625,0.0315336614389634,1480,"French Exclusive Economic Zone"
-1.625,44.625,0.00470040145569495,1480,"French Exclusive Economic Zone"
-1.375,44.625,0.611315919501407,1480,"French Exclusive Economic Zone"
-2.125,44.375,0.0165365069869964,1480,"French Exclusive Economic Zone"
-1.875,44.375,0.0038178119798316,1480,"French Exclusive Economic Zone"
-1.625,44.375,0.0947441904376129,1480,"French Exclusive Economic Zone"
-1.375,44.375,0.0940299306257165,1480,"French Exclusive Economic Zone"
8.875,44.375,0.0836556098839746,1564,"Italian Exclusive Economic Zone"
-8.625,44.125,0.098705702219188,945,"Spanish Exclusive Economic Zone"
-8.375,44.125,0.12011729893191,945,"Spanish Exclusive Economic Zone"
-8.125,44.125,0.0464604428971295,945,"Spanish Exclusive Economic Zone"
-7.875,44.125,0.00432256216926611,945,"Spanish Exclusive Economic Zone"
-7.625,44.125,0.000178186644291933,945,"Spanish Exclusive Economic Zone"
-7.375,44.125,0.0168031488427543,946,"Spanish Exclusive Economic Zone"
-7.125,44.125,0.00145401313408609,946,"Spanish Exclusive Economic Zone"
-6.875,44.125,0.049086496936741,946,"Spanish Exclusive Economic Zone"
-6.625,44.125,0.0468242999269599,946,"Spanish Exclusive Economic Zone"
-6.375,44.125,0.0237690798002797,946,"Spanish Exclusive Economic Zone"
-6.125,44.125,0.00973252863983233,946,"Spanish Exclusive Economic Zone"
-5.875,44.125,0.000983628727544676,946,"Spanish Exclusive Economic Zone"
-5.625,44.125,0.0018714057012862,946,"Spanish Exclusive Economic Zone"
-5.375,44.125,0.00292675755444908,946,"Spanish Exclusive Economic Zone"
-5.125,44.125,0.0217347301221051,946,"Spanish Exclusive Economic Zone"
-4.875,44.125,0.0158212728105292,946,"Spanish Exclusive Economic Zone"
-3.625,44.125,0.00466388461525709,1480,"Spanish Exclusive Economic Zone"
-3.375,44.125,0.0122599791320816,1480,"Spanish Exclusive Economic Zone"
-3.125,44.125,0.0218480051306406,1480,"Spanish Exclusive Economic Zone"
-2.875,44.125,0.0219626396857872,1480,"Spanish Exclusive Economic Zone"
-2.625,44.125,0.00836970607473227,1480,"Spanish Exclusive Economic Zone"
-2.375,44.125,0.0020811122519878,1480,"Spanish Exclusive Economic Zone"
-2.125,44.125,0.0104367901717126,1480,"French Exclusive Economic Zone"
-1.875,44.125,0.0371548836472052,1480,"French Exclusive Economic Zone"
-1.625,44.125,0.0521352812318895,1480,"French Exclusive Economic Zone"
-1.375,44.125,0.152904401713792,1480,"French Exclusive Economic Zone"
8.375,44.125,0.196742293090715,1564,"Italian Exclusive Economic Zone"
8.625,44.125,0.469130689146893,1564,"Italian Exclusive Economic Zone"
8.875,44.125,0.75368229788756,1564,"Italian Exclusive Economic Zone"
9.125,44.125,0.515288482245125,1564,"Italian Exclusive Economic Zone"
9.375,44.125,0.245396615055464,1564,"Italian Exclusive Economic Zone"
9.625,44.125,0.00270308266164025,1564,"Italian Exclusive Economic Zone"
-8.875,43.875,0.176611223197806,945,"Spanish Exclusive Economic Zone"
-8.625,43.875,0.100709204310621,945,"Spanish Exclusive Economic Zone"
-8.375,43.875,0.0842421694714707,945,"Spanish Exclusive Economic Zone"
-8.125,43.875,0.0398949748632996,945,"Spanish Exclusive Economic Zone"
-7.875,43.875,0.133106419546838,945,"Spanish Exclusive Economic Zone"
-7.625,43.875,0.185080344547436,945,"Spanish Exclusive Economic Zone"
-7.375,43.875,0.30594571567493,946,"Spanish Exclusive Economic Zone"
-7.125,43.875,0.326017823290914,946,"Spanish Exclusive Economic Zone"
-6.875,43.875,0.138268767884366,946,"Spanish Exclusive Economic Zone"
-6.625,43.875,0.0323493780854777,946,"Spanish Exclusive Economic Zone"
-6.375,43.875,0.0364952653116271,946,"Spanish Exclusive Economic Zone"
-6.125,43.875,0.0189018077035021,946,"Spanish Exclusive Economic Zone"
-5.875,43.875,0.0212394075044479,946,"Spanish Exclusive Economic Zone"
-5.625,43.875,0.123197597631538,946,"Spanish Exclusive Economic Zone"
-5.375,43.875,0.128159887102294,946,"Spanish Exclusive Economic Zone"
-5.125,43.875,0.00535355785070492,946,"Spanish Exclusive Economic Zone"
-4.875,43.875,0.0367496708512467,946,"Spanish Exclusive Economic Zone"
-4.625,43.875,0.00901935400080059,946,"Spanish Exclusive Economic Zone"
-3.875,43.875,0.0070472742896851,946,"Spanish Exclusive Economic Zone"
-3.625,43.875,0.0121906237018927,1480,"Spanish Exclusive Economic Zone"
-3.375,43.875,0.0325482852453461,1480,"Spanish Exclusive Economic Zone"
-3.125,43.875,0.0223311937309679,1480,"Spanish Exclusive Economic Zone"
-2.875,43.875,0.0242700966566286,1480,"Spanish Exclusive Economic Zone"
-2.625,43.875,0.0179050291983076,1480,"Spanish Exclusive Economic Zone"
-2.375,43.875,0.0293483239973607,1480,"Spanish Exclusive Economic Zone"
-2.125,43.875,0.0266083795944658,1480,"French Exclusive Economic Zone"
-1.875,43.875,0.00280862273017041,1480,"French Exclusive Economic Zone"
-1.625,43.875,0.123502091596454,1480,"French Exclusive Economic Zone"
8.375,43.875,0.590770298280762,1564,"Italian Exclusive Economic Zone"
8.625,43.875,0.945278853397348,1564,"Italian Exclusive Economic Zone"
8.875,43.875,0.942828065204788,1564,"Italian Exclusive Economic Zone"
9.125,43.875,0.969802155803968,1564,"Italian Exclusive Economic Zone"
9.375,43.875,1.0514278651826,1564,"Italian Exclusive Economic Zone"
9.625,43.875,0.523728232762384,1564,"Italian Exclusive Economic Zone"
9.875,43.875,0.037591675192118,1564,"Italian Exclusive Economic Zone"
10.125,43.875,0.0928873440769816,1564,"Italian Exclusive Economic Zone"
-9.125,43.625,0.408378107815102,945,"Spanish Exclusive Economic Zone"
-8.875,43.625,0.388057555431271,945,"Spanish Exclusive Economic Zone"
-8.625,43.625,0.403388533758226,945,"Spanish Exclusive Economic Zone"
-8.375,43.625,0.486789909578059,945,"Spanish Exclusive Economic Zone"
-7.125,43.625,0.18673334812517,946,"Spanish Exclusive Economic Zone"
-6.875,43.625,0.114890618724696,946,"Spanish Exclusive Economic Zone"
-6.625,43.625,0.0329149723010796,946,"Spanish Exclusive Economic Zone"
-6.375,43.625,0.0526785635968379,946,"Spanish Exclusive Economic Zone"
-6.125,43.625,0.108112247521452,946,"Spanish Exclusive Economic Zone"
-5.625,43.625,0.203749787704769,946,"Spanish Exclusive Economic Zone"
-5.375,43.625,0.256488623649359,946,"Spanish Exclusive Economic Zone"
-5.125,43.625,0.0645749518311171,946,"Spanish Exclusive Economic Zone"
-4.875,43.625,0.0107461055061623,946,"Spanish Exclusive Economic Zone"
-4.625,43.625,0.0464175311165765,946,"Spanish Exclusive Economic Zone"
-4.375,43.625,0.0176872200465628,946,"Spanish Exclusive Economic Zone"
-4.125,43.625,0.000664338640909316,946,"Spanish Exclusive Economic Zone"
-3.875,43.625,0.000414654128653412,946,"Spanish Exclusive Economic Zone"
-3.625,43.625,0.00225802746016272,1480,"Spanish Exclusive Economic Zone"
-3.375,43.625,0.015938222992826,1480,"Spanish Exclusive Economic Zone"
-3.125,43.625,0.0310683539089648,1480,"Spanish Exclusive Economic Zone"
-2.875,43.625,0.0129873430128734,1480,"Spanish Exclusive Economic Zone"
-2.625,43.625,0.00181115600454929,1480,"Spanish Exclusive Economic Zone"
-2.375,43.625,0.00376005292960821,1480,"Spanish Exclusive Economic Zone"
-2.125,43.625,0.000849947429916226,1480,"Spanish Exclusive Economic Zone"
-1.875,43.625,0.0507436253088002,1480,"Spanish Exclusive Economic Zone"
-1.625,43.625,0.164084343881687,1480,"French Exclusive Economic Zone"
8.375,43.625,0.776274548158524,1564,"Italian Exclusive Economic Zone"
8.625,43.625,0.700440599913082,1564,"Italian Exclusive Economic Zone"
8.875,43.625,0.751638414554238,1564,"Italian Exclusive Economic Zone"
9.125,43.625,0.749519525265348,1564,"Italian Exclusive Economic Zone"
9.375,43.625,0.771809590107488,1564,"Italian Exclusive Economic Zone"
9.625,43.625,0.771153816202323,1564,"Italian Exclusive Economic Zone"
9.875,43.625,0.94530859097272,1564,"Italian Exclusive Economic Zone"
10.125,43.625,0.37505406179522,1564,"Italian Exclusive Economic Zone"
-9.375,43.375,0.0896436039926737,945,"Spanish Exclusive Economic Zone"
-9.125,43.375,0.276930101315543,945,"Spanish Exclusive Economic Zone"
-8.875,43.375,0.210934282426223,945,"Spanish Exclusive Economic Zone"
-8.625,43.375,0.311038097523014,945,"Spanish Exclusive Economic Zone"
-8.375,43.375,0.34812813348511,945,"Spanish Exclusive Economic Zone"
-3.125,43.375,0.21271470696941,1479,"Spanish Exclusive Economic Zone"
-2.375,43.375,0.015563101533725,1480,"Spanish Exclusive Economic Zone"
