"Species","EEZ","p2","p4","Average","Max"
"Diplodus puntazzo","Albanian Exclusive Economic Zone",0,0,0.904629675741098,1.8555481427783
"Diplodus puntazzo","Algerian Exclusive Economic Zone",0,0,0.340264519808985,1.2591508165561
"Diplodus puntazzo","Angolan Exclusive Economic Zone",0.34375,0.1875,1.95384153306301,6.81323492897587
"Diplodus puntazzo","Bulgarian Exclusive Economic Zone",0.836734693877551,0.204081632653061,3.08790474020506,4.66913047414774
"Diplodus puntazzo","Cape Verdean Exclusive Economic Zone",0.040983606557377,0,0.721819807583872,2.50326957540403
"Diplodus puntazzo","Croatian Exclusive Economic Zone",0.0402684563758389,0,1.07270621290706,3.64402034882357
"Diplodus puntazzo","Cypriote Exclusive Economic Zone",0.55050505050505,0,2.04981808754568,2.86199626875411
"Diplodus puntazzo","Egyptian Exclusive Economic Zone",0.146788990825688,0,1.48282647191567,3.07418162427524
"Diplodus puntazzo","French Exclusive Economic Zone",0,0,0.223468103331611,1.53305555827549
"Diplodus puntazzo","Gambian Exclusive Economic Zone",1,0.153846153846154,3.26977474647027,4.24081786354561
"Diplodus puntazzo","Georgian Exclusive Economic Zone",1,0.523076923076923,4.0245351886404,5.31970366278189
"Diplodus puntazzo","Greek Exclusive Economic Zone",0.024390243902439,0,0.767791011716786,2.76777755684052
"Diplodus puntazzo","Guinea Bissau Exclusive Economic Zone",1,0.943396226415094,6.3757819110937,8.2923610758136
"Diplodus puntazzo","Guinean Exclusive Economic Zone",1,0.967741935483871,6.65908518647423,8.2923610758136
"Diplodus puntazzo","Israeli Exclusive Economic Zone",0.384615384615385,0,2.06982368040757,3.07418162427524
"Diplodus puntazzo","Italian Exclusive Economic Zone",0.0284049526584122,0.010924981791697,0.961732856098489,8.2923610758136
"Diplodus puntazzo","Joint regime area Croatia / Slovenia",0,0,1.56288527508659,1.56288527508659
"Diplodus puntazzo","Joint regime area Italy / France",0,0,0.393127395111995,0.393127395111995
"Diplodus puntazzo","Joint regime area Senegal / Guinea Bissau",1,0.647058823529412,4.58295913996591,6.4077268934097
"Diplodus puntazzo","Lebanese Exclusive Economic Zone",0.604166666666667,0,2.14452840995505,2.96955553410494
"Diplodus puntazzo","Liberian Exclusive Economic Zone",1,1,7.79668545724535,8.2923610758136
"Diplodus puntazzo","Libyan Exclusive Economic Zone",0.0464285714285714,0,1.26348865322215,2.85598071419428
"Diplodus puntazzo","Maltese Exclusive Economic Zone",0.00869565217391304,0,1.43743698485164,2.00680427889179
"Diplodus puntazzo","Mauritanian Exclusive Economic Zone",0.378378378378378,0.135135135135135,1.96938286607503,8.2923610758136
"Diplodus puntazzo","Monégasque Exclusive Economic Zone",0,0,0.282499968048578,0.531323735480556
"Diplodus puntazzo","Montenegrin Exclusive economic Zone",0,0,1.01561516038978,1.42298887603605
"Diplodus puntazzo","Moroccan Exclusive Economic Zone",0,0,0.137024882146153,1.04758812235251
"Diplodus puntazzo","Namibian Exclusive Economic Zone",1,1,7.16129790408056,8.2923610758136
"Diplodus puntazzo","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.418180547320451,0.418180547320451
"Diplodus puntazzo","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0812196178639973,0.0941039637329662
"Diplodus puntazzo","Overlapping claim Melilla: Spain / Morocco",0,0,0.246576484612407,0.246576484612407
"Diplodus puntazzo","Overlapping claim Ukrainian Exclusive Economic Zone",0.948979591836735,0.0102040816326531,2.59770264595998,4.26146781472092
"Diplodus puntazzo","Overlapping claim Western Saharan Exclusive Economic Zone",0.0892193308550186,0.0185873605947955,0.744174902477737,8.2923610758136
"Diplodus puntazzo","Palestinian Exclusive Economic Zone",1,0,2.62560972574979,2.88780668948048
"Diplodus puntazzo","Portuguese Exclusive Economic Zone",0,0,0.143225839611799,1.53416288298369
"Diplodus puntazzo","Portuguese Exclusive Economic Zone (Azores)",0,0,0.034243055900045,0.0525154577285848
"Diplodus puntazzo","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.281265642225258,0.837939350880745
"Diplodus puntazzo","Romanian Exclusive economic Zone",0.35,0.2,2.62403649750952,7.32993740392196
"Diplodus puntazzo","Russian Exclusive economic Zone",0.9625,0.125,3.14469322688332,4.28473630022259
"Diplodus puntazzo","Senegalese Exclusive Economic Zone",0.7,0.5,4.17043335102397,8.2923610758136
"Diplodus puntazzo","Sierra Leonian Exclusive Economic Zone",1,1,7.22895943453316,8.2923610758136
"Diplodus puntazzo","Spanish Exclusive Economic Zone",0,0,0.302515970521062,1.53416288298369
"Diplodus puntazzo","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.248331718469124,1.35004675733791
"Diplodus puntazzo","Syrian Exclusive Economic Zone",1,0,2.47216523051176,3.17393513442391
"Diplodus puntazzo","Tunisian Exclusive Economic Zone",0.116883116883117,0,1.16745311462061,3.35376489092361
"Diplodus puntazzo","Turkish Exclusive Economic Zone",0.639676113360324,0.0674763832658569,2.20731041471276,5.05552825299903
