"Species","EEZ","p2","p4","Average","Max"
"Diplodus vulgaris","Albanian Exclusive Economic Zone",0,0,0.963799394619869,1.85626967475543
"Diplodus vulgaris","Algerian Exclusive Economic Zone",0,0,0.340726812922506,1.2597203412348
"Diplodus vulgaris","Angolan Exclusive Economic Zone",0.870967741935484,0.451612903225806,4.19787249646009,7.6985046604752
"Diplodus vulgaris","Bulgarian Exclusive Economic Zone",0.9375,0.125,3.16333242013191,4.44420638418776
"Diplodus vulgaris","Cape Verdean Exclusive Economic Zone",1,0.404255319148936,3.99779243245267,4.92061332453792
"Diplodus vulgaris","Congolese Exclusive Economic Zone",1,0.25,3.52969262593972,6.02188286220372
"Diplodus vulgaris","Croatian Exclusive Economic Zone",0.0469798657718121,0,1.16141242104089,3.64384186748667
"Diplodus vulgaris","Cypriote Exclusive Economic Zone",0.954545454545455,0.626262626262626,4.41816832466251,6.19680128659514
"Diplodus vulgaris","Egyptian Exclusive Economic Zone",0.885321100917431,0.555045871559633,3.94177792146595,5.94830258002744
"Diplodus vulgaris","French Exclusive Economic Zone",0,0,0.212772490749876,1.93785215448742
"Diplodus vulgaris","Georgian Exclusive Economic Zone",1,0.137931034482759,3.70796145590683,4.22311725610516
"Diplodus vulgaris","Greek Exclusive Economic Zone",0.0670731707317073,0.0109756097560976,1.10714009345565,5.18963263975203
"Diplodus vulgaris","Israeli Exclusive Economic Zone",1,1,4.97997571404177,5.75522536063044
"Diplodus vulgaris","Italian Exclusive Economic Zone",0.0516363636363636,0.0109090909090909,0.992947929786718,8.2923610758136
"Diplodus vulgaris","Joint regime area Croatia / Slovenia",0,0,1.56310671265751,1.56310671265751
"Diplodus vulgaris","Joint regime area Italy / France",0,0,0.393784539403854,0.393784539403854
"Diplodus vulgaris","Lebanese Exclusive Economic Zone",1,0.895833333333333,5.2409239937829,6.62836170095402
"Diplodus vulgaris","Libyan Exclusive Economic Zone",0.35,0.00535714285714286,1.68875958382576,4.10234442286684
"Diplodus vulgaris","Maltese Exclusive Economic Zone",0.165217391304348,0,1.52503299788688,2.18479750625554
"Diplodus vulgaris","Mauritanian Exclusive Economic Zone",0.432432432432432,0.207207207207207,2.54542672406102,8.2923610758136
"Diplodus vulgaris","Monégasque Exclusive Economic Zone",0,0,0.282619076796521,0.531299518627336
"Diplodus vulgaris","Montenegrin Exclusive economic Zone",0,0,1.22222201353627,1.75310602306938
"Diplodus vulgaris","Moroccan Exclusive Economic Zone",0,0,0.0653636652093371,0.65795667521029
"Diplodus vulgaris","Namibian Exclusive Economic Zone",0.619047619047619,0.428571428571429,3.97618452286222,8.2923610758136
"Diplodus vulgaris","Overlapping claim Chafarinas Islands: Spain / Morocco",0,0,0.418219574370194,0.418219574370194
"Diplodus vulgaris","Overlapping claim Gibraltarian Exclusive Economic Zone",0,0,0.0809056570081365,0.0937156336612625
"Diplodus vulgaris","Overlapping claim Melilla: Spain / Morocco",0,0,0.246612988289052,0.246612988289052
"Diplodus vulgaris","Overlapping claim Western Saharan Exclusive Economic Zone",0.0830188679245283,0.0150943396226415,0.673829877210589,8.2923610758136
"Diplodus vulgaris","Palestinian Exclusive Economic Zone",1,1,5.51467143878977,5.75522536063044
"Diplodus vulgaris","Portuguese Exclusive Economic Zone",0,0,0.142898562629335,1.53349800575427
"Diplodus vulgaris","Portuguese Exclusive Economic Zone (Azores)",0,0,0.0398567831321509,0.088753899133449
"Diplodus vulgaris","Portuguese Exclusive Economic Zone (Madeira)",0,0,0.226636729950429,0.547205937394432
"Diplodus vulgaris","Russian Exclusive economic Zone",1,0,3.13423954808937,3.26030808866886
"Diplodus vulgaris","Senegalese Exclusive Economic Zone",0.911111111111111,0.688888888888889,5.29348003795351,8.2923610758136
"Diplodus vulgaris","Slovenian Exclusive Economic Zone",1,0,3.08460544837332,3.08460544837332
"Diplodus vulgaris","South African Exclusive Economic Zone",0.04149377593361,0.00829875518672199,0.631564777421869,4.52503109100383
"Diplodus vulgaris","Spanish Exclusive Economic Zone",0,0,0.287309073132458,1.53366755699484
"Diplodus vulgaris","Spanish Exclusive Economic Zone (Canary Islands)",0,0,0.217641129168884,1.35040271866212
"Diplodus vulgaris","St. Helena Exclusive Economic Zone",0.333333333333333,0,1.63579589139695,3.80450078228782
"Diplodus vulgaris","Syrian Exclusive Economic Zone",1,1,6.20033686002728,6.97758687930483
"Diplodus vulgaris","Tunisian Exclusive Economic Zone",0.162337662337662,0,1.19100027825489,3.59856552165848
"Diplodus vulgaris","Turkish Exclusive Economic Zone",0.716216216216216,0.24024024024024,3.01352093252236,6.97758687930483
